GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Speed (OBD)(km/h),Acceleration Sensor(Total)(g),Litres Per 100 Kilometer(Instant)(l/100km),Speed (GPS)(km/h),Acceleration Sensor(Z axis)(g)
Fri Mar 25 17:18:15 GMT+03:00 2016,25-Mar-2016 17:18:08.672,37.58310537,55.84855829,1.0,14.0,143.0,0.0,-1.0691223,8.187592,4.949341,0.0020146966,-,0.0,0.0020146965980529785,-,3.5999999046325684,0.40562742948532104
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:08.767,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-1.5299377,8.353485,5.0782013,0.027656972,-,0.0,0.027656972408294678,-,3.5999999046325684,0.4176555871963501
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:08.867,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-1.4837799,8.233429,4.653717,0.016111765,-,0.0,0.016111765056848526,-,3.5999999046325684,0.3743849992752075
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:08.966,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-1.4892883,8.442078,4.666107,0.01522613,-,0.0,0.015226130373775959,-,3.5999999046325684,0.37564802169799805
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:09.067,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-0.7208252,8.725891,4.7433167,0.03407663,-,0.0,0.03407663106918335,-,3.5999999046325684,0.3835185170173645
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:09.166,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-2.1772614,9.4814,3.680664,0.07926363,-,0.0,0.07926362752914429,-,3.5999999046325684,0.2751951217651367
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:09.267,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-2.4820862,9.38472,3.6089935,0.08301869,-,0.0,0.08301869034767151,-,3.5999999046325684,0.26788923144340515
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:09.367,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-2.508072,9.068359,1.8750458,0.06050089,-,0.0,0.060500890016555786,-,3.5999999046325684,0.0911361575126648
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:09.466,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-2.2966003,8.867355,0.79551697,-0.04375112,-,0.0,-0.04375112056732178,-,3.5999999046325684,-0.018907546997070313
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:09.567,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-2.6759644,8.852341,0.94844055,-0.03475008,-,0.0,-0.0347500815987587,-,3.5999999046325684,-0.0033190064132213593
Fri Mar 25 17:18:16 GMT+03:00 2016,25-Mar-2016 17:18:09.668,37.58310188,55.8485542,1.0,14.0,143.0,0.0,-2.5829926,9.293716,1.5516357,-0.021958837,-,0.0,-0.021958837285637856,-,3.5999999046325684,0.05816877633333206
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:09.767,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-2.4381104,9.399414,3.2932281,-0.010936705,1190.75,0.0,-0.010936705395579338,-,3.5999999046325684,0.09341797977685928
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:09.867,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-2.7071228,8.974762,1.159729,-0.018143237,1190.75,0.0,-0.01814323663711548,-,3.5999999046325684,0.018219061195850372
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:09.967,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-1.4850769,9.227921,-0.7305603,0.002357781,1190.75,0.0,0.002357780933380127,-,3.5999999046325684,-0.1744709610939026
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:10.067,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-2.9429474,9.169586,0.1812439,0.0012985507,1190.75,0.0,0.0012985507491976023,-,3.5999999046325684,-0.0815245732665062
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:10.168,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-1.8975677,9.159348,3.1369324,0.02469188,1190.75,0.0,-0.006450653076171875,-,3.5999999046325684,0.03131891041994095
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:10.267,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-3.475418,8.601929,1.50737,0.019316494,1190.75,0.0,0.019316494464874268,-,3.5999999046325684,0.05365647003054619
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:10.368,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-1.6097412,9.184128,0.873291,0.020302841,1190.75,0.0,0.020302841439843178,-,3.5999999046325684,0.12397755682468414
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:10.467,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-1.4563751,8.743835,2.7939148,0.027630273,1190.75,0.0,0.0276302732527256,-,3.5999999046325684,0.2676263749599457
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:10.568,37.58309738,55.84856053,1.0,12.0,143.0,0.0,0.029876709,8.641525,1.3820953,-0.0889101,1190.75,0.0,-0.07191133499145508,-,3.5999999046325684,0.10258881002664566
Fri Mar 25 17:18:17 GMT+03:00 2016,25-Mar-2016 17:18:10.667,37.58309738,55.84856053,1.0,12.0,143.0,0.0,-0.10142517,10.052734,1.9975433,-0.034765575,1185.5,0.0,-0.03476557508111,-,3.5999999046325684,0.1036231741309166
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:10.767,37.58309587,55.848555,1.0,11.0,144.0,0.0,0.038482666,9.431992,-3.371109,0.0029612144,1185.5,0.0,3.127327945549041E-4,-,3.5999999046325684,-0.06097576022148132
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:10.867,37.58309587,55.848555,1.0,11.0,144.0,0.0,-0.4658661,10.653961,0.51071167,0.10731429,1185.5,0.0,0.10731428861618042,-,3.5999999046325684,-0.04793968424201012
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:10.967,37.58309587,55.848555,1.0,11.0,144.0,0.0,0.36235046,9.332382,0.30162048,-0.028473735,1185.5,0.0,-0.028473734855651855,-,3.5999999046325684,-0.06925377249717712
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:11.066,37.58309587,55.848555,1.0,11.0,144.0,0.0,-0.6860504,10.571854,0.619751,0.07575918,1185.5,0.0,0.07575917989015579,-,3.5999999046325684,-0.03682456910610199
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:11.168,37.58309587,55.848555,1.0,11.0,144.0,0.0,0.9461212,10.473068,0.3782959,0.043090086,1185.5,0.0,0.04005622863769531,-,3.5999999046325684,-0.07048411667346954
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:11.267,37.58309587,55.848555,1.0,11.0,144.0,0.0,0.04576111,9.797485,0.74957275,-0.005577743,1181.0,0.0,-0.005577743053436279,-,3.5999999046325684,-0.044761937111616135
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:11.368,37.58309587,55.848555,1.0,11.0,144.0,0.0,0.40170288,9.813156,1.5914307,0.0042175055,1181.0,0.0,0.00421750545501709,-,3.5999999046325684,-0.08719723671674728
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:11.467,37.58309587,55.848555,1.0,11.0,144.0,0.0,0.71806335,10.438477,0.7398834,0.010359709,1181.0,0.0,0.010359709151089191,-,3.5999999046325684,0.04271400347352028
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:11.567,37.58309587,55.848555,1.0,11.0,144.0,0.0,0.98812866,9.898926,0.5877991,0.034848273,1181.0,0.0,0.010091089643537998,-,3.5999999046325684,-0.08370684832334518
Fri Mar 25 17:18:18 GMT+03:00 2016,25-Mar-2016 17:18:11.667,37.58309587,55.848555,1.0,11.0,144.0,0.0,1.1825104,9.49086,0.43769836,-0.0050312877,1181.0,0.0,-0.005527138710021973,-,3.5999999046325684,-0.024572430178523064
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:11.767,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.33740234,9.100815,0.5127106,0.014257419,1183.0,0.0,0.014257418923079967,-,3.5999999046325684,-0.030889039859175682
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:11.868,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.67918396,9.775253,0.4158783,0.009751599,1183.0,0.0,0.009751599282026291,-,3.5999999046325684,0.00665286835283041
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:11.968,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.36743164,8.912399,1.0426025,-0.06553674,1183.0,0.0,0.10589724779129028,-,3.5999999046325684,-0.07803729921579361
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:12.069,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.6265259,9.48938,0.19691467,0.0096986545,1183.0,0.0,0.009698654524981976,-,3.5999999046325684,-0.01866178773343563
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:12.168,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.6981201,9.973358,0.2634735,0.010803892,1183.0,0.0,0.008496408350765705,-,3.5999999046325684,-0.08784740418195724
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:12.268,37.58310075,55.84855892,1.0,11.0,145.0,0.0,-0.0418396,9.715683,0.2899475,0.0062697628,1183.0,0.0,0.006269762758165598,-,3.5999999046325684,-0.07237241417169571
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:12.367,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.7509308,8.544678,0.7856293,-0.10296595,1183.0,0.0,-0.10296595096588135,-,3.5999999046325684,-0.019915467128157616
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:12.468,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.53240967,10.13147,0.5630646,0.020697646,1181.75,0.0,0.020697645843029022,-,3.5999999046325684,-0.04260299727320671
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:12.567,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.7154541,10.09967,0.7601166,0.026363641,1181.75,0.0,0.02423681691288948,-,3.5999999046325684,-0.038002029061317444
Fri Mar 25 17:18:19 GMT+03:00 2016,25-Mar-2016 17:18:12.667,37.58310075,55.84855892,1.0,11.0,145.0,0.0,0.15258789,9.608322,0.92718506,0.0031141639,1181.75,0.0,0.003114163875579834,-,3.5999999046325684,-0.00548572326079011
Fri Mar 25 17:18:20 GMT+03:00 2016,25-Mar-2016 17:18:12.767,37.58310478,55.8485595,1.0,11.0,146.0,0.0,0.39338684,9.537445,0.31262207,0.006239372,1181.75,0.0,0.006177961826324463,-,3.5999999046325684,-0.0185855720192194
Fri Mar 25 17:18:20 GMT+03:00 2016,25-Mar-2016 17:18:12.867,37.58310478,55.8485595,1.0,11.0,146.0,0.0,1.629364,10.163818,2.262741,0.025030429,1181.75,0.0,0.018819721415638924,-,3.5999999046325684,-0.016439076513051987
Fri Mar 25 17:18:20 GMT+03:00 2016,25-Mar-2016 17:18:12.967,37.58310478,55.8485595,1.0,11.0,146.0,0.0,1.1824493,9.852936,0.7377777,0.010940639,1181.75,0.0,0.009538471698760986,-,3.5999999046325684,0.008233187720179558
Fri Mar 25 17:18:20 GMT+03:00 2016,25-Mar-2016 17:18:13.067,37.58310478,55.8485595,1.0,11.0,146.0,0.0,0.11909485,9.710556,1.0224609,0.014409065,1181.75,0.0,0.014409065246582031,-,3.5999999046325684,0.004226394463330507
Fri Mar 25 17:18:20 GMT+03:00 2016,25-Mar-2016 17:18:13.169,37.58310478,55.8485595,1.0,11.0,146.0,0.0,1.0765839,10.05246,1.0922699,0.026777029,1173.0,0.0,0.026777029037475586,-,3.5999999046325684,0.011342495679855347
Fri Mar 25 17:18:20 GMT+03:00 2016,25-Mar-2016 17:18:13.266,37.58310478,55.8485595,1.0,11.0,146.0,0.0,-0.1859436,9.69516,0.97506714,0.019006189,1173.0,0.0,0.019006188958883286,-,3.5999999046325684,-6.047774804756045E-4
Fri Mar 25 17:18:20 GMT+03:00 2016,25-Mar-2016 17:18:13.367,37.58310478,55.8485595,1.0,11.0,146.0,0.0,0.14230347,9.201355,1.2377014,-0.034484684,1173.0,0.0,0.021023303270339966,-,3.5999999046325684,0.06867105513811111
