icm4n607_acc,iven_sense,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2094010102,3,0.22500001,4.533,8.625,1781203481679
2094010112,3,0.21495001,4.51095,8.635051,1781203481689
2094010122,3,0.20505,4.48005,8.58195,1781203481699
2094010133,3,0.21000001,4.46595,8.496,1781203481710
2094010143,3,0.27,4.425,8.493,1781203481720
2094010153,3,0.29205,4.368,8.565001,1781203481729
2094010163,3,0.29895002,4.32705,8.647051,1781203481739
2094010173,3,0.26505002,4.3099504,8.785951,1781203481749
2094010183,3,0.21300001,4.34595,8.956051,1781203481758
2094010193,3,0.16005,4.39395,9.051001,1781203481771
2094010203,3,0.15495001,4.45095,9.075001,1781203481779
2094010213,3,0.20295002,4.46595,9.087001,1781203481789
2094010223,3,0.27195,4.4539504,9.09195,1781203481800
2094010233,3,0.31305,4.4110503,9.172951,1781203481811
2094010243,3,0.28005,4.39395,9.34605,1781203481820
2094010253,3,0.246,4.3699503,9.43395,1781203481829
2094010264,3,0.21300001,4.35795,9.460951,1781203481841
2094010274,3,0.201,4.401,9.42,1781203481851
2094010284,3,0.22200002,4.3770003,9.24495,1781203481860
2094010294,3,0.29895002,4.32,9.019951,1781203481871
2094010304,3,0.36105,4.28595,8.922001,1781203481881
2094010314,3,0.36795002,4.296,8.90505,1781203481890
2094010324,3,0.35895002,4.31295,8.901,1781203481902
2094010334,3,0.354,4.3050003,8.92905,1781203481911
2094010344,3,0.33,4.3219504,8.946,1781203481921
2094010354,3,0.29595003,4.341,8.934,1781203481932
2094010364,3,0.27495003,4.3699503,8.97,1781203481941
2094010374,3,0.25800002,4.3699503,8.946,1781203481951
2094010384,3,0.26805001,4.3170004,8.88405,1781203481961
2094010394,3,0.21495001,4.2670503,8.78295,1781203481970
2094010405,3,0.18900001,4.1860504,8.68305,1781203481982
2094010415,3,0.23205002,4.08495,8.5990505,1781203481993
2094010425,3,0.27,4.05195,8.57295,1781203482002
2094010435,3,0.29205,4.08495,8.601001,1781203482012
2094010445,3,0.28905,4.1740503,8.68305,1781203482021
2094010455,3,0.32295,4.1950502,8.802,1781203482031
2094010465,3,0.32295,4.2000003,8.971951,1781203482042
2094010475,3,0.31800002,4.224,9.111,1781203482052
2094010485,3,0.31605002,4.25295,9.229051,1781203482062
2094010495,3,0.26295,4.31295,9.34095,1781203482072
2094010505,3,0.201,4.296,9.40095,1781203482082
2094010515,3,0.20295002,4.31505,9.38895,1781203482092
2094010525,3,0.17400001,4.368,9.336,1781203482102
2094010536,3,0.13800001,4.45095,9.24495,1781203482112
2094010546,3,0.11895001,4.5019503,9.118051,1781203482122
2094010556,3,0.13095,4.49205,8.995951,1781203482132
2094010566,3,0.14295001,4.5019503,8.89305,1781203482142
2094010576,3,0.15300001,4.4869504,8.754001,1781203482152
2094010586,3,0.141,4.4370003,8.653951,1781203482162
2094010596,3,0.16005,4.3840504,8.69505,1781203482172
2094010606,3,0.14595,4.3699503,8.778001,1781203482182
2094010616,3,0.102000006,4.3390503,8.79,1781203482194
2094010626,3,0.08295,4.33605,8.78295,1781203482202
2094010636,3,0.11400001,4.293,8.733001,1781203482213
2094010646,3,0.177,4.25295,8.56095,1781203482224
2094010656,3,0.14595,4.25505,8.637,1781203482234
2094010666,3,0.13800001,4.26195,8.773951,1781203482243
2094010677,3,0.117000006,4.2169504,8.941051,1781203482253
2094010687,3,0.14295001,4.2070503,9.160951,1781203482264
2094010697,3,0.09,4.2379503,9.384001,1781203482275
2094010707,3,0.105000004,4.33605,9.576,1781203482285
2094010717,3,0.19605,4.4110503,9.669001,1781203482295
2094010727,3,0.342,4.46805,9.597,1781203482303
2094010737,3,0.44700003,4.545,9.406051,1781203482315
2094010747,3,0.555,4.5349503,9.219001,1781203482325
2094010757,3,0.73005,4.557,9.121051,1781203482335
2094010767,3,0.79695004,4.5930004,8.86905,1781203482345
2094010777,3,1.0309501,4.5739503,8.623051,1781203482355
2094010787,3,1.1580001,4.3890004,8.877001,1781203482365
2094010797,3,1.2400501,4.3219504,9.243,1781203482375
2094010808,3,1.16805,4.2979503,9.87705,1781203482385
2094010818,3,1.11,4.38,10.21695,1781203482396
2094010828,3,1.11,4.6069503,10.2630005,1781203482405
2094010838,3,1.125,5.0070004,10.50195,1781203482415
2094010848,3,1.0360501,5.6650505,10.404,1781203482426
2094010858,3,1.1080501,5.907,10.20495,1781203482436
2094010868,3,1.36395,5.73495,9.813001,1781203482446
2094010878,3,1.32105,5.52405,9.0390005,1781203482455
2094010888,3,0.95205003,5.4139504,8.70195,1781203482466
2094010898,3,0.555,5.7400503,8.769,1781203482476
2094010908,3,0.27195,5.991,8.776051,1781203482486
2094010918,3,0.39495003,6.0030003,8.71395,1781203482496
