timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
255,2094010173,-0.039325,0.120175,0.0477125,0.26505002,4.3099504,8.785951,41.71875,-26.175001,-14.156251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,2094010183,-0.0350625,0.1329625,0.0413875,0.21300001,4.34595,8.956051,43.143753,-25.800001,-13.781251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,2094010193,-0.0298375,0.1309,0.0339625,0.16005,4.39395,9.051001,43.143753,-25.800001,-13.781251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,2094010203,-0.0308,0.119075,0.0306625,0.15495001,4.45095,9.075001,43.143753,-25.800001,-13.781251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,2094010213,-0.0350625,0.1095875,0.0306625,0.20295002,4.46595,9.087001,39.84375,-26.362501,-13.25625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,2094010223,-0.0446875,0.1084875,0.0306625,0.27195,4.4539504,9.09195,39.84375,-26.362501,-13.25625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,2094010233,-0.0617375,0.11055,0.0317625,0.31305,4.4110503,9.172951,42.225002,-25.575,-13.837501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,2094010243,-0.076725,0.103125,0.0297,0.28005,4.39395,9.34605,42.225002,-25.575,-13.837501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,2094010253,-0.090475,0.0807125,0.0297,0.246,4.3699503,9.43395,42.80625,-25.781252,-13.762501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,2094010264,-0.1054625,0.0477125,0.0275,0.21300001,4.35795,9.460951,42.7125,-25.800001,-14.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,2094010274,-0.11825,0.0083875,0.0275,0.201,4.401,9.42,42.7125,-25.800001,-14.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,2094010284,-0.124575,-0.0257125,0.0286,0.22200002,4.3770003,9.24495,43.3125,-25.575,-14.250001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,2094010294,-0.126775,-0.0438625,0.0306625,0.29895002,4.32,9.019951,43.3125,-25.575,-14.250001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,2094010304,-0.124575,-0.0427625,0.0317625,0.36105,4.28595,8.922001,42.91875,-25.48125,-13.275001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,2094010314,-0.1139875,-0.0331375,0.036025,0.36795002,4.296,8.90505,42.91875,-25.48125,-13.275001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,2094010324,-0.0969375,-0.016224999,0.036025,0.35895002,4.31295,8.901,41.925003,-25.462502,-13.33125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,2094010334,-0.08305,8.25E-4,0.037125,0.354,4.3050003,8.92905,41.925003,-25.462502,-13.33125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,2094010344,-0.0691625,0.018975,0.037125,0.33,4.3219504,8.946,41.5125,-25.687502,-13.25625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,2094010354,-0.0606375,0.0275,0.0297,0.29595003,4.341,8.934,41.5125,-25.687502,-13.25625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,2094010364,-0.059675,0.0264,0.0232375,0.27495003,4.3699503,8.97,41.7,-25.781252,-13.33125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,2094010374,-0.058575,0.021175,0.014712499,0.25800002,4.3699503,8.946,41.7,-25.781252,-13.33125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,2094010384,-0.05115,0.018975,0.003025,0.26805001,4.3170004,8.88405,41.60625,-25.3875,-13.950001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,2094010394,-0.0383625,0.0286,-0.0097624995,0.21495001,4.2670503,8.78295,41.60625,-25.3875,-13.950001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
