gravity,mtk,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2094010223,3,-0.260913,4.313297,8.803269
2094010233,3,-0.300144,4.250925,8.832304
2094010243,3,-0.26771,4.174969,8.869493
2094010253,3,-0.234198,4.123306,8.894589
2094010264,3,-0.202158,4.103267,8.904642
2094010274,3,-0.190221,4.148076,8.884116
2094010284,3,-0.21222,4.193373,8.862326
2094010294,3,-0.289317,4.232093,8.841701
2094010304,3,-0.354712,4.243448,8.833883
2094010314,3,-0.365067,4.257313,8.826799
2094010324,3,-0.35632,4.272717,8.819711
2094010334,3,-0.350577,4.257516,8.82729
2094010344,3,-0.327162,4.263619,8.825241
2094010354,3,-0.294619,4.283356,8.816825
2094010364,3,-0.271621,4.293157,8.812797
2094010374,3,-0.255393,4.302612,8.808669
2094010384,3,-0.265554,4.286002,8.816463
2094010394,3,-0.21883,4.284528,8.818459
2094010405,3,-0.193576,4.259243,8.831289
2094010415,3,-0.193198,4.257831,8.831984
2094010425,3,-0.193366,4.257912,8.831941
2094010435,3,-0.193807,4.258167,8.831807
2094010445,3,-0.194616,4.258693,8.831534
2094010455,3,-0.19579,4.259511,8.831113
2094010465,3,-0.197305,4.260592,8.830554
2094010475,3,-0.19911,4.261946,8.829855
2094010485,3,-0.201124,4.263577,8.829017
2094010495,3,-0.203283,4.265476,8.828044
2094010505,3,-0.20544,4.267524,8.826999
2094010515,3,-0.20737,4.269589,8.825951
2094010525,3,-0.208924,4.27156,8.824958
2094010536,3,-0.210016,4.273391,8.824045
2094010546,3,-0.210606,4.275059,8.823225
2094010556,3,-0.210654,4.27652,8.822515
2094010566,3,-0.210194,4.2778,8.821905
2094010576,3,-0.209304,4.278946,8.82137
2094010586,3,-0.208111,4.279973,8.820898
2094010596,3,-0.206716,4.280854,8.820499
2094010606,3,-0.205244,4.281615,8.820163
2094010616,3,-0.203679,4.282336,8.819845
2094010626,3,-0.20194,4.283042,8.81954
2094010636,3,-0.199944,4.283746,8.819239
2094010646,3,-0.197679,4.284497,8.818923
2094010656,3,-0.195373,4.285316,8.818577
2094010666,3,-0.193221,4.286245,8.818174
2094010677,3,-0.191427,4.2872,8.817752
2094010687,3,-0.190139,4.288116,8.817338
2094010697,3,-0.189482,4.288961,8.816942
2094010707,3,-0.189449,4.289839,8.816514
2094010717,3,-0.189949,4.290857,8.816002
2094010727,3,-0.190776,4.292102,8.815371
2094010737,3,-0.191767,4.293665,8.814581
2094010747,3,-0.192855,4.295605,8.813604
2094010757,3,-0.194083,4.298111,8.812349
2094010767,3,-0.195771,4.301548,8.810624
2094010777,3,-0.198229,4.306278,8.808241
2094010787,3,-0.202027,4.312386,8.805136
2094010797,3,-0.207739,4.320038,8.801201
2094010808,3,-0.217215,4.329776,8.796072
2094010818,3,-0.23067,4.341777,8.789599
2094010828,3,-0.248229,4.355969,8.781757
2094010838,3,-0.269861,4.372086,8.772628
2094010848,3,-0.295267,4.389684,8.762408
2094010858,3,-0.324042,4.408317,8.75131
2094010868,3,-0.356013,4.427627,8.739497
2094010878,3,-0.389358,4.44789,8.726958
2094010888,3,-0.424996,4.468971,8.713656
2094010898,3,-0.463854,4.490905,8.699436
2094010908,3,-0.506685,4.513632,8.68421
2094010918,3,-0.553867,4.537057,8.667964
2094010928,3,-0.605963,4.561217,8.650581
2094010938,3,-0.663456,4.585976,8.632027
2094010949,3,-0.726725,4.611201,8.612261
2094010959,3,-0.796171,4.63639,8.591406
2094010969,3,-0.871817,4.660492,8.569889
2094010979,3,-0.953454,4.682338,8.548229
2094010989,3,-1.040372,4.700995,8.526884
2094010999,3,-1.131774,4.715676,8.506241
2094011009,3,-1.225665,4.72533,8.486856
2094011019,3,-1.321941,4.729216,8.469028
2094011029,3,-1.420894,4.726774,8.452849
2094011039,3,-1.522985,4.717685,8.438255
2094011049,3,-1.628508,4.701716,8.425196
2094011059,3,-1.737486,4.679087,8.413439
2094011069,3,-1.84842,4.65066,8.40294
2094011079,3,-1.963722,4.616122,8.393316
2094011090,3,-2.082612,4.57639,8.384009
2094011100,3,-2.204519,4.532228,8.374483
2094011110,3,-2.32908,4.484424,8.36424
2094011120,3,-2.456081,4.434118,8.352724
2094011130,3,-2.585495,4.382463,8.339263
2094011140,3,-2.718022,4.3301,8.323032
2094011150,3,-2.853793,4.277186,8.303644
2094011160,3,-2.990372,4.224552,8.281694
2094011170,3,-3.127496,4.173626,8.256379
2094011180,3,-3.26524,4.126045,8.226635
2094011190,3,-3.404071,4.08349,8.191152
2094011200,3,-3.544625,4.047391,8.148614
2094011210,3,-3.687126,4.018949,8.097978
2094011221,3,-3.83099,3.999169,8.038714
2094011231,3,-3.974826,3.988761,7.970958
2094011241,3,-4.116915,3.988191,7.89536
2094011251,3,-4.255973,3.997846,7.8126
2094011261,3,-4.392876,4.016425,7.722861
2094011271,3,-4.529874,4.043784,7.624833
2094011281,3,-4.667244,4.080099,7.517499
2094011291,3,-4.804881,4.124409,7.401026
2094011301,3,-4.941415,4.175473,7.276961
2094011311,3,-5.075181,4.23364,7.146098
2094011321,3,-5.204999,4.297701,7.010272
2094011331,3,-5.329493,4.366252,6.871581
