icm4n607_gyro,iven_sense,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2094010173,3,-0.039325,0.120175,0.0477125
2094010183,3,-0.0350625,0.1329625,0.0413875
2094010193,3,-0.0298375,0.1309,0.0339625
2094010203,3,-0.0308,0.119075,0.0306625
2094010213,3,-0.0350625,0.1095875,0.0306625
2094010223,3,-0.0446875,0.1084875,0.0306625
2094010233,3,-0.0617375,0.11055,0.0317625
2094010243,3,-0.076725,0.103125,0.0297
2094010253,3,-0.090475,0.0807125,0.0297
2094010264,3,-0.1054625,0.0477125,0.0275
2094010274,3,-0.11825,0.0083875,0.0275
2094010284,3,-0.124575,-0.0257125,0.0286
2094010294,3,-0.126775,-0.0438625,0.0306625
2094010304,3,-0.124575,-0.0427625,0.0317625
2094010314,3,-0.1139875,-0.0331375,0.036025
2094010324,3,-0.0969375,-0.016224999,0.036025
2094010334,3,-0.08305,8.25E-4,0.037125
2094010344,3,-0.0691625,0.018975,0.037125
2094010354,3,-0.0606375,0.0275,0.0297
2094010364,3,-0.059675,0.0264,0.0232375
2094010374,3,-0.058575,0.021175,0.014712499
2094010384,3,-0.05115,0.018975,0.003025
2094010394,3,-0.0383625,0.0286,-0.0097624995
2094010405,3,-0.01595,0.04675,-0.02475
2094010415,3,0.009625,0.0721875,-0.0407
2094010425,3,0.033,0.0999625,-0.0609125
2094010435,3,0.05115,0.1233375,-0.073699996
2094010445,3,0.0639375,0.1425875,-0.0768625
2094010455,3,0.076725,0.154275,-0.0705375
2094010465,3,0.08525,0.153175,-0.0620125
2094010475,3,0.095837496,0.14575,-0.0534875
2094010485,3,0.1023,0.1329625,-0.0427625
2094010495,3,0.100099996,0.11165,-0.033275
2094010505,3,0.0820875,0.070125,-0.02475
2094010515,3,0.0490875,0.021175,-0.02255
2094010525,3,0.010725,-0.02145,-0.0268125
2094010536,3,-0.022275,-0.0512875,-0.0290125
2094010546,3,-0.047849998,-0.0672375,-0.031075
2094010556,3,-0.0671,-0.0768625,-0.0342375
2094010566,3,-0.073425,-0.0715,-0.0396
2094010576,3,-0.073425,-0.054449998,-0.0418
2094010586,3,-0.0713625,-0.031075,-0.0438625
2094010596,3,-0.0639375,-0.0077,-0.048125
2094010606,3,-0.047849998,0.0061875,-0.049225
2094010616,3,-0.025575,0.013612499,-0.0449625
2094010626,3,-0.0011,0.0221375,-0.0385
2094010636,3,0.026675,0.037125,-0.033275
2094010646,3,0.05115,0.0669625,-0.0407
2094010656,3,0.069299996,0.1084875,-0.0460625
2094010666,3,0.08525,0.1414875,-0.05555
2094010677,3,0.093775,0.1639,-0.0748
2094010687,3,0.1023,0.1755875,-0.099275
2094010697,3,0.1076625,0.1681625,-0.12375
2094010707,3,0.1034,0.1318625,-0.1397
2094010717,3,0.093775,0.07645,-0.1524875
2094010727,3,0.0735625,0.0221375,-0.165275
2094010737,3,0.0554125,-0.015125,-0.17379999
2094010747,3,0.050049998,-0.02365,-0.19085
2094010757,3,0.0724625,-0.0023375,-0.22385
2094010767,3,0.1342,0.0669625,-0.2781625
2094010777,3,0.213125,0.1841125,-0.3559875
2094010787,3,0.3004375,0.3172125,-0.4560875
2094010797,3,0.38665,0.42267498,-0.5775
2094010808,3,0.473,0.4717625,-0.7000125
2094010818,3,0.5423,0.4728625,-0.8204625
2094010828,3,0.56787497,0.4439875,-0.944075
2094010838,3,0.549725,0.373725,-1.0665874
2094010848,3,0.5006375,0.25547498,-1.188
2094010858,3,0.4283125,0.154275,-1.2912625
2094010868,3,0.3707,0.0903375,-1.4020875
2094010878,3,0.32381248,0.0999625,-1.5299625
2094010888,3,0.296175,0.1766875,-1.6886375
2094010898,3,0.2930125,0.21395,-1.8899375
2094010908,3,0.28545,0.205425,-2.0689626
2094010918,3,0.296175,0.171325,-2.2341
2094010928,3,0.311025,0.12979999,-2.3788874
2094010938,3,0.328075,0.0977625,-2.48655
2094010949,3,0.3579125,0.1073875,-2.5920124
2094010959,3,0.363275,0.119075,-2.714525
2094010969,3,0.3419625,0.088275,-2.8391
2094010979,3,0.3067625,0.014712499,-2.9701376
2094010989,3,0.25575,-0.0950125,-3.1086
2094010999,3,0.209825,-0.22715,-3.237575
2094011009,3,0.1640375,-0.3421,-3.3493624
2094011019,3,0.126775,-0.40713748,-3.4590874
2094011029,3,0.108625,-0.4082375,-3.56455
2094011039,3,0.1034,-0.39214998,-3.658325
2094011049,3,0.11825,-0.4114,-3.7371125
2094011059,3,0.163075,-0.4731375,-3.7882624
2094011069,3,0.227975,-0.5509625,-3.79995
2094011079,3,0.3047,-0.6180625,-3.7851
2094011090,3,0.395175,-0.6095375,-3.7371125
2094011100,3,0.514525,-0.49665,-3.6498
2094011110,3,0.699875,-0.36135,-3.5283875
2094011120,3,0.94063747,-0.26221249,-3.3675125
2094011130,3,1.1793375,-0.176,-3.1757
2094011140,3,1.340075,0.0061875,-3.0190876
2094011150,3,1.4711125,0.2107875,-2.8796625
2094011160,3,1.6149375,0.3427875,-2.7325375
2094011170,3,1.764125,0.460075,-2.542925
2094011180,3,1.9122125,0.6378625,-2.299
2094011190,3,2.0304625,0.8903125,-2.0189126
2094011200,3,2.1305625,1.1727375,-1.733325
2094011210,3,2.2286,1.36235,-1.47235
2094011221,3,2.302025,1.3825625,-1.263625
2094011231,3,2.3255374,1.22375,-1.1166375
2094011241,3,2.3159125,0.9340375,-1.0154375
2094011251,3,2.2616,0.645425,-0.923725
2094011261,3,2.1742876,0.527175,-0.8353125
2094011271,3,2.1368876,0.68365,-0.75116247
2094011281,3,2.1368876,1.012825,-0.654225
2094011291,3,2.102925,1.317525,-0.5754375
2094011301,3,2.0389874,1.403875,-0.4731375
2094011311,3,1.933525,1.2216874,-0.3751
2094011321,3,1.811975,0.87119997,-0.2739
2094011331,3,1.6746125,0.5335,-0.1887875
2094011341,3,1.5074124,0.3513125,-0.1109625
2094011351,3,1.3391125,0.38005,-0.02475
2094011362,3,1.2090375,0.6017,0.0721875
2094011372,3,1.103575,0.9329375,0.1639
2094011382,3,0.9801,1.2365375,0.2011625
2094011392,3,0.8735375,1.42945,0.1926375
2094011402,3,0.802175,1.4900875,0.1904375
2094011412,3,0.76175,1.4454,0.21395
2094011422,3,0.76175,1.386825,0.2745875
2094011432,3,0.79475,1.3697749,0.38334998
2094011442,3,0.7893875,1.350525,0.510125
2094011452,3,0.7308125,1.3079,0.6037625
2094011462,3,0.6274125,1.2450625,0.6474875
2094011472,3,0.4591125,1.15775,0.6400625
2094011482,3,0.3036,1.0352376,0.593175
2094011493,3,0.2088625,0.9084625,0.527175
2094011503,3,0.1683,0.83503747,0.4621375
2094011513,3,0.180125,0.864875,0.406725
2094011523,3,0.2429625,1.0192875,0.356675
2094011533,3,0.293975,1.2472625,0.3172125
2094011543,3,0.312125,1.4806,0.28215
2094011553,3,0.3100625,1.66265,0.273625
2094011563,3,0.3004375,1.7382749,0.2949375
2094011573,3,0.328075,1.724525,0.3290375
2094011583,3,0.3856875,1.6861625,0.3683625
2094011593,3,0.42075,1.7138,0.4547125
2094011603,3,0.4112625,1.8522625,0.5462875
2094011613,3,0.313225,1.992925,0.5665
2094011623,3,0.209825,2.06745,0.507925
2094011634,3,0.1225125,2.0409124,0.4302375
2094011644,3,0.0138875,1.90135,0.355575
2094011654,3,-0.1032625,1.6680125,0.2778875
2094011664,3,-0.21945,1.36125,0.2330625
2094011674,3,-0.35255,1.0278125,0.21285
2094011684,3,-0.45168748,0.7401625,0.203225
2094011694,3,-0.548625,0.4536125,0.22453749
2094011704,3,-0.6263125,0.1639,0.2299
2094011714,3,-0.6754,-0.082225,0.22453749
2094011724,3,-0.681725,-0.2036375,0.21395
2094011734,3,-0.631675,-0.183425,0.203225
2094011744,3,-0.564575,-0.0108624995,0.2074875
2094011754,3,-0.5028375,0.2778875,0.237325
2094011765,3,-0.428175,0.5995,0.287375
2094011775,3,-0.3152875,0.8988375,0.3375625
2094011785,3,-0.1683,1.12365,0.3790875
2094011795,3,0.027775,1.2568874,0.4024625
2094011805,3,0.2376,1.26115,0.4195125
2094011815,3,0.4186875,1.184425,0.4269375
2094011825,3,0.5102625,1.098075,0.41415
2094011835,3,0.5539875,1.066175,0.36519998
2094011845,3,0.5688375,1.1545875,0.2660625
2094011855,3,0.584925,1.3814625,0.1958
2094011865,3,0.55935,1.539175,0.1744875
2094011956,3,0.4016375,0.793375,0.0807125
2094011966,3,0.3174875,0.7679375,0.18095
2094011976,3,0.192775,0.8734,0.256575
2094011986,3,0.092675,1.065075,0.31405
2094011996,3,0.008525,1.2216874,0.357775
2094012006,3,-0.0671,1.267475,0.3705625
2094012016,3,-0.140525,1.235575,0.357775
2094012026,3,-0.2385625,1.149225,0.354475
2094012037,3,-0.3471875,1.013925,0.36519998
2094012047,3,-0.4494875,0.8393,0.38334998
2094012057,3,-0.5028375,0.677325,0.4120875
2094012067,3,-0.52085,0.55275,0.476025
2094012077,3,-0.5581125,0.3971,0.5357
2094012087,3,-0.5784625,0.17985,0.5611375
2094012097,3,-0.6114625,-0.0683375,0.57722497
2094012107,3,-0.6785625,-0.250525,0.5867125
2094012117,3,-0.6763625,-0.35915,0.6048625
2094012127,3,-0.5836875,-0.341,0.6304375
