stk3a5x_als,sensortek,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2094009964,3,4.0
2094009964,3,4.0
2094010174,3,4.0
2094010185,3,1.0
2094010194,3,1.0
2094010204,3,1.0
2094010214,3,1.0
2094010224,3,4.0
2094010234,3,1.0
2094010244,3,1.0
2094010254,3,1.0
2094010264,3,1.0
2094010274,3,4.0
2094010284,3,1.0
2094010294,3,1.0
2094010304,3,1.0
2094010314,3,1.0
2094010324,3,4.0
2094010334,3,1.0
2094010344,3,1.0
2094010354,3,1.0
2094010364,3,1.0
2094010374,3,4.0
2094010384,3,1.0
2094010394,3,1.0
2094010404,3,1.0
2094010414,3,1.0
2094010424,3,4.0
2094010434,3,1.0
2094010444,3,1.0
2094010454,3,1.0
2094010464,3,1.0
2094010474,3,4.0
2094010484,3,1.0
2094010494,3,1.0
2094010504,3,1.0
2094010514,3,1.0
2094010524,3,4.0
2094010534,3,1.0
2094010544,3,1.0
2094010554,3,1.0
2094010564,3,1.0
2094010574,3,1.0
2094010584,3,4.0
2094010594,3,1.0
2094010604,3,1.0
2094010614,3,1.0
2094010624,3,1.0
2094010634,3,4.0
2094010644,3,1.0
2094010654,3,1.0
2094010664,3,1.0
2094010674,3,1.0
2094010684,3,4.0
2094010694,3,1.0
2094010704,3,1.0
2094010714,3,1.0
2094010724,3,1.0
2094010734,3,4.0
2094010744,3,1.0
2094010754,3,1.0
2094010764,3,1.0
2094010774,3,1.0
2094010784,3,4.0
2094010794,3,1.0
2094010804,3,1.0
2094010814,3,1.0
2094010824,3,1.0
2094010834,3,1.0
2094010844,3,2.0
2094010854,3,0.0
2094010864,3,0.0
2094010874,3,0.0
2094010884,3,0.0
2094010894,3,2.0
2094010904,3,0.0
2094010914,3,0.0
2094010924,3,0.0
2094010934,3,0.0
2094010944,3,2.0
2094010954,3,0.0
2094010964,3,0.0
2094010974,3,0.0
2094010984,3,0.0
2094010994,3,2.0
2094011004,3,0.0
2094011014,3,0.0
2094011024,3,0.0
2094011034,3,0.0
2094011044,3,2.0
2094011054,3,0.0
