linear_acc,mtk,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2094010243,3,-0.459688,-0.560506,3.498571
2094010253,3,-0.394565,-0.467367,2.871961
2094010264,3,-0.342467,-0.383789,2.320297
2094010274,3,-0.284125,-0.274023,1.825461
2094010284,3,-0.210956,-0.236583,1.324123
2094010294,3,-0.108941,-0.234343,0.880598
2094010304,3,-0.03697,-0.214927,0.622564
2094010314,3,-0.022362,-0.16543,0.482469
2094010324,3,-0.025104,-0.119127,0.381826
2094010334,3,-0.024041,-0.10041,0.327551
2094010344,3,-0.037876,-0.067559,0.275771
2094010354,3,-0.05686,-0.038786,0.211803
2094010364,3,-0.063046,-0.008301,0.196899
2094010374,3,-0.063972,-0.005875,0.139961
2094010384,3,-0.044218,-0.045434,0.063188
2094010394,3,-0.075852,-0.076633,-0.028871
2094010405,3,-0.082453,-0.125597,-0.103542
2094010415,3,-0.033337,-0.180412,-0.15032
2094010425,3,-0.025648,-0.145223,-0.120958
2094010435,3,-0.018922,-0.116178,-0.096702
2094010445,3,-0.013605,-0.09058,-0.075128
2094010455,3,-0.008458,-0.069527,-0.054676
2094010465,3,-0.00434,-0.052557,-0.033781
2094010475,3,-0.001174,-0.038342,-0.01336
2094010485,3,0.001295,-0.026205,0.006101
2094010495,3,0.001866,-0.014899,0.024674
2094010505,3,6.62E-4,-0.0063,0.041128
2094010515,3,-2.35E-4,0.001088,0.053972
2094010525,3,-0.00172,0.008404,0.062841
2094010536,3,-0.003866,0.016491,0.06751
2094010546,3,-0.006094,0.024302,0.067863
2094010556,3,-0.007556,0.030295,0.064888
2094010566,3,-0.008407,0.035346,0.059763
2094010576,3,-0.008833,0.039002,0.051961
2094010586,3,-0.009492,0.040587,0.043039
2094010596,3,-0.009509,0.04045,0.036985
2094010606,3,-0.009905,0.039958,0.034376
2094010616,3,-0.011372,0.038733,0.032608
2094010626,3,-0.013056,0.03769,0.031002
2094010636,3,-0.013573,0.035706,0.028376
2094010646,3,-0.012327,0.033034,0.02168
