qmc6308,qst,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2094010117,0,41.775,-26.156252,-13.2375
2094010137,0,41.756252,-26.250002,-14.775001
2094010157,0,41.71875,-26.175001,-14.156251
2094010177,0,43.143753,-25.800001,-13.781251
2094010204,0,39.84375,-26.362501,-13.25625
2094010224,0,42.225002,-25.575,-13.837501
2094010244,0,42.80625,-25.781252,-13.762501
2094010264,0,42.7125,-25.800001,-14.3625
2094010284,0,43.3125,-25.575,-14.250001
2094010304,0,42.91875,-25.48125,-13.275001
2094010324,0,41.925003,-25.462502,-13.33125
2094010344,0,41.5125,-25.687502,-13.25625
2094010364,0,41.7,-25.781252,-13.33125
2094010384,0,41.60625,-25.3875,-13.950001
2094010404,0,41.5875,-25.368752,-13.44375
2094010424,0,41.550003,-25.3875,-13.425
2094010444,0,41.456253,-25.406252,-13.387501
2094010464,0,41.4,-25.425001,-13.35
2094010484,0,41.362503,-25.44375,-13.33125
2094010504,0,41.325,-25.48125,-13.312501
2094010524,0,41.30625,-25.518751,-13.275001
2094010544,0,41.268753,-25.575,-13.218751
2094010564,0,41.2125,-25.612501,-13.181251
2094010584,0,41.193752,-25.650002,-13.125001
2094010604,0,41.175003,-25.66875,-13.106251
2094010624,0,41.1375,-25.725,-13.05
2094010644,0,41.11875,-25.7625,-13.031251
2094010664,0,41.100002,-25.800001,-13.031251
2094010684,0,41.081253,-25.85625,-13.012501
2094010704,0,41.11875,-25.893751,-12.937501
2094010724,0,41.175003,-25.9125,-12.900001
2094010744,0,41.287502,-25.95,-12.88125
2094010764,0,41.362503,-25.987501,-12.88125
2094010784,0,41.456253,-26.04375,-12.843751
2094010804,0,41.568752,-26.081251,-12.76875
2094010824,0,41.7,-26.1375,-12.712501
2094010844,0,41.925003,-26.19375,-12.656251
2094010864,0,42.206253,-26.268751,-12.6
2094010884,0,42.5625,-26.343752,-12.525001
2094010904,0,42.956253,-26.41875,-12.431251
2094010924,0,43.3875,-26.475,-12.356251
2094010944,0,43.893753,-26.493752,-12.243751
2094010964,0,44.41875,-26.456251,-12.150001
2094010984,0,45.0,-26.38125,-12.0375
2094011004,0,45.65625,-26.212502,-12.0
2094011024,0,46.350002,-25.95,-11.94375
2094011044,0,47.0625,-25.575,-11.925
2094011064,0,47.79375,-25.06875,-11.94375
2094011084,0,48.487503,-24.393751,-12.01875
2094011104,0,49.162502,-23.60625,-12.150001
2094011124,0,49.818752,-22.66875,-12.3
2094011144,0,50.437504,-21.618752,-12.525001
2094011164,0,51.093754,-20.53125,-12.750001
2094011184,0,51.787502,-19.40625,-13.012501
2094011204,0,52.425003,-18.28125,-13.181251
2094011224,0,52.912502,-17.268751,-13.218751
2094011244,0,53.362503,-16.331251,-13.200001
2094011264,0,53.812504,-15.50625,-13.106251
2094011284,0,54.24375,-14.812501,-12.975
2094011304,0,54.656254,-14.26875,-12.712501
2094011324,0,55.068752,-13.856251,-12.39375
2094011344,0,55.500004,-13.63125,-11.981251
2094011364,0,55.93125,-13.6125,-11.493751
2094011384,0,56.4,-13.762501,-10.856251
2094011404,0,56.9625,-14.08125,-10.14375
2094011424,0,57.581253,-14.56875,-9.337501
2094011444,0,58.143753,-15.20625,-8.34375
2094011464,0,58.55625,-15.95625,-7.2375
2094011484,0,58.85625,-16.800001,-6.05625
2094011504,0,59.193752,-17.6625,-4.89375
2094011524,0,59.775,-18.45,-3.7875001
2094011544,0,60.35625,-19.237501,-2.7375002
2094011564,0,60.975002,-19.96875,-1.63125
2094011584,0,61.593754,-20.681252,-0.46875003
2094011604,0,62.175003,-21.337502,0.73125005
2094011624,0,62.737503,-21.975,1.95
2094011644,0,63.300003,-22.59375,3.2812502
2094011664,0,63.881252,-23.15625,4.7250004
2094011684,0,64.481255,-23.681252,6.1875005
2094011704,0,65.006256,-24.16875,7.6125
2094011724,0,65.418755,-24.6375,8.94375
2094011744,0,65.83125,-25.031252,10.125
2094011764,0,66.318756,-25.3875,11.19375
2094011784,0,66.76875,-25.66875,12.243751
2094011804,0,67.2375,-25.95,13.312501
2094011824,0,67.575005,-26.23125,14.418751
2094011844,0,67.875,-26.5125,15.525001
2094011864,0,68.137505,-26.775002,16.650002
2094011884,0,68.4,-27.018751,17.75625
2094011904,0,68.68125,-27.243752,18.825
2094011924,0,68.86875,-27.45,19.9125
2094011944,0,68.9625,-27.6,20.94375
2094011964,0,69.037506,-27.768751,21.91875
2094011984,0,69.05625,-27.937502,22.875
2094012004,0,69.01875,-28.125002,23.831251
2094012024,0,69.01875,-28.29375,24.900002
2094012044,0,69.0,-28.518751,26.04375
2094012064,0,68.9625,-28.781252,27.243752
2094012084,0,68.887505,-29.081251,28.44375
2094012104,0,68.8125,-29.38125,29.550001
2094012124,0,68.7375,-29.681252,30.50625
2094012144,0,68.606255,-30.000002,31.406252
2094012164,0,68.34375,-30.337502,32.193752
2094012184,0,67.89375,-30.69375,32.925003
2094012204,0,67.33125,-31.087502,33.61875
2094012224,0,66.75,-31.48125,34.256252
2094012244,0,66.20625,-31.875002,34.800003
2094012264,0,65.606255,-32.287502,35.268753
2094012284,0,65.025,-32.68125,35.625
2094012304,0,64.5,-33.05625,35.90625
2094012324,0,63.99375,-33.43125,36.112503
2094012344,0,63.487503,-33.75,36.225002
2094012364,0,63.05625,-34.050003,36.24375
2094012384,0,62.662502,-34.350002,36.1875
2094012404,0,62.250004,-34.631252,36.112503
2094012424,0,61.818752,-34.912502,36.09375
2094012444,0,61.425003,-35.15625,36.075
2094012464,0,61.125004,-35.41875,36.0
2094012484,0,60.91875,-35.68125,35.9625
2094012504,0,60.73125,-36.0,35.90625
2094012524,0,60.54375,-36.393753,35.86875
2094012544,0,60.225002,-36.84375,35.850002
2094012564,0,59.925003,-37.350002,35.8125
2094012584,0,59.568752,-37.893753,35.8125
2094012604,0,59.175003,-38.49375,35.79375
2094012624,0,58.66875,-39.15,35.756252
2094012644,0,58.031254,-39.84375,35.662502
2094012664,0,57.300003,-40.575,35.643753
2094012684,0,56.475002,-41.325,35.662502
2094012704,0,55.575,-42.112503,35.737503
2094012724,0,54.6375,-42.91875,35.8875
2094012744,0,53.60625,-43.78125,36.05625
2094012764,0,52.48125,-44.662502,36.225002
2094012784,0,51.318752,-45.525,36.375
2094012804,0,50.193752,-46.331253,36.46875
2094012824,0,49.0875,-47.081253,36.43125
2094012844,0,48.075,-47.756252,36.300003
2094012864,0,47.100002,-48.35625,36.09375
2094012884,0,46.18125,-48.956253,35.86875
2094012904,0,45.28125,-49.518753,35.662502
2094012924,0,44.456253,-50.04375,35.5125
2094012944,0,43.74375,-50.550003,35.34375
2094012964,0,43.050003,-51.000004,35.193752
2094012984,0,42.43125,-51.412502,35.006252
2094013004,0,41.86875,-51.787502,34.818752
2094013024,0,41.362503,-52.143753,34.612503
2094013044,0,40.95,-52.406254,34.425003
2094013064,0,40.706253,-52.593754,34.256252
2094013084,0,40.55625,-52.74375,34.0875
2094013104,0,40.443752,-52.875004,33.9375
2094013124,0,40.40625,-52.968754,33.862503
2094013144,0,40.443752,-53.04375,33.84375
2094013164,0,40.48125,-53.11875,33.975002
2094013184,0,40.5,-53.1375,34.162502
2094013204,0,40.518753,-53.156254,34.350002
2094013224,0,40.59375,-53.156254,34.575
2094013244,0,40.575,-53.11875,34.875
2094013264,0,40.59375,-53.081253,35.175003
2094013284,0,40.631252,-53.025,35.456253
2094013304,0,40.74375,-52.93125,35.737503
2094013324,0,40.875,-52.818752,36.018753
2094013344,0,40.987503,-52.706253,36.2625
2094013364,0,41.100002,-52.575,36.487503
2094013384,0,41.23125,-52.443752,36.693752
2094013404,0,41.4,-52.275,36.881252
2094013424,0,41.53125,-52.10625,37.10625
2094013444,0,41.60625,-51.91875,37.331253
2094013464,0,41.71875,-51.73125,37.443752
2094013484,0,41.8875,-51.562504,37.55625
2094013504,0,42.037502,-51.412502,37.65
2094013524,0,42.206253,-51.2625,37.725002
2094013544,0,42.43125,-51.093754,37.74375
2094013564,0,42.6375,-50.9625,37.800003
2094013584,0,42.75,-50.86875,37.875
2094013604,0,42.75,-50.831253,37.95
2094013624,0,42.600002,-50.812504,38.0625
2094013644,0,42.28125,-50.850002,38.268753
2094013664,0,41.8875,-50.906254,38.49375
2094013684,0,41.49375,-50.98125,38.7
2094013704,0,41.006252,-51.093754,38.850002
2094013724,0,40.575,-51.24375,38.90625
2094013744,0,40.10625,-51.412502,38.9625
2094013764,0,39.600002,-51.600002,39.0
2094013784,0,39.09375,-51.80625,39.0
2094013804,0,38.5875,-52.031254,39.018753
2094013824,0,38.081253,-52.29375,38.98125
2094013844,0,37.59375,-52.575,38.943752
2094013864,0,37.162502,-52.875004,38.86875
2094013884,0,36.825,-53.175003,38.79375
2094013904,0,36.581253,-53.41875,38.79375
2094013924,0,36.5625,-53.625004,38.8125
2094013944,0,36.768753,-53.775,38.86875
2094013964,0,37.050003,-53.925003,38.98125
