spl07,goermicro,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
2094010264,3,995.57996
2094010364,3,995.57996
2094010464,3,995.56
2094010564,3,995.57996
2094010664,3,995.54
2094010764,3,995.56995
2094010864,3,995.61
2094010964,3,995.45996
2094011064,3,995.5
2094011164,3,995.43
2094011264,3,995.44
2094011364,3,995.44
2094011464,3,995.31
2094011564,3,995.24
2094011664,3,995.14996
2094011764,3,995.06995
2094011864,3,995.04
2094011964,3,995.07996
2094012064,3,995.04
2094012164,3,994.95996
2094012264,3,994.97
2094012364,3,995.02997
2094012464,3,995.08997
2094012564,3,995.12
2094012664,3,995.12
2094012764,3,995.18
2094012864,3,995.18
2094012964,3,995.19
2094013064,3,995.20996
2094013164,3,995.19
2094013264,3,995.23
2094013364,3,995.19
2094013464,3,995.19
2094013564,3,995.14996
2094013664,3,995.51996
2094013764,3,995.72
2094013864,3,995.31995
2094013964,3,995.19995
2094014064,3,995.1
2094014164,3,995.19995
2094014264,3,995.24
2094014364,3,995.32996
2094014464,3,995.26996
2094014564,3,995.32996
2094014664,3,995.43
2094014764,3,995.41
2094014864,3,995.47
2094014964,3,995.24
2094015064,3,995.38995
2094015164,3,995.39996
2094015264,3,995.41
2094015364,3,995.36
2094015464,3,995.36
2094015564,3,995.36
2094015664,3,995.35
2094015764,3,995.33997
2094015864,3,995.33997
2094015964,3,995.31
2094016064,3,995.31995
2094016164,3,995.31995
2094016264,3,995.20996
2094016364,3,995.19
2094016464,3,995.19
2094016564,3,995.31995
2094016664,3,995.23
2094016764,3,995.26996
2094016864,3,995.35
2094016964,3,995.41
2094017064,3,995.23
2094017164,3,995.19
2094017264,3,995.26996
2094017364,3,995.36
2094017464,3,995.38
2094017564,3,995.55
2094017664,3,995.62
2094017764,3,995.56995
2094017864,3,995.76996
2094017964,3,995.69
2094018064,3,995.75995
2094018164,3,995.93
2094018264,3,995.93
2094018364,3,996.11
2094018464,3,995.75
2094018564,3,996.13995
2094018664,3,995.81995
2094018764,3,995.37
2094018864,3,995.45996
2094018964,3,995.5
2094019064,3,995.5
2094019164,3,995.56995
2094019264,3,995.44995
2094019364,3,995.41
2094019464,3,995.33997
2094019564,3,995.36
2094019664,3,995.43
2094019764,3,995.51996
2094019864,3,995.58997
2094019964,3,995.29
2094020064,3,995.44995
2094020164,3,995.44995
2094020264,3,995.48
2094020364,3,995.50995
2094020464,3,995.54
2094020564,3,995.42
2094020664,3,995.51996
2094020764,3,995.6
2094020864,3,995.69
2094020964,3,995.83997
2094021064,3,995.64996
2094021164,3,995.56995
2094021264,3,995.39996
2094021364,3,995.43
2094021464,3,995.35
2094021564,3,995.3
2094021664,3,995.33997
2094021764,3,995.35
2094021864,3,995.37
2094021964,3,995.38995
2094022064,3,995.39996
2094022164,3,995.41
2094022264,3,995.43
2094022364,3,995.43
2094022464,3,995.44995
2094022564,3,995.44995
2094022664,3,995.45996
2094022764,3,995.47
2094022864,3,995.47
2094022964,3,995.49
2094023064,3,995.50995
2094023164,3,995.5
2094023264,3,995.49
2094023364,3,995.49
2094023464,3,995.47
2094023564,3,995.48
2094023664,3,995.49
2094023764,3,995.49
2094023864,3,995.49
2094023964,3,995.49
2094024064,3,995.5
2094024164,3,995.5
2094024264,3,995.52997
2094024364,3,995.5
2094024464,3,995.5
2094024564,3,995.49
2094024664,3,995.5
2094024764,3,995.5
2094024864,3,995.49
2094024964,3,995.5
2094025064,3,995.50995
2094025164,3,995.5
2094025264,3,995.49
2094025364,3,995.49
2094025464,3,995.50995
2094025564,3,995.52997
2094025664,3,995.49
2094025764,3,995.5
2094025864,3,995.5
2094025964,3,995.49
2094026064,3,995.49
2094026164,3,995.50995
2094026264,3,995.5
2094026364,3,995.49
2094026464,3,995.5
2094026564,3,995.51996
2094026664,3,995.50995
2094026764,3,995.49
2094026864,3,995.5
2094026964,3,995.49
2094027064,3,995.5
2094027164,3,995.5
2094027264,3,995.5
2094027364,3,995.5
2094027464,3,995.49
2094027564,3,995.49
2094027664,3,995.5
2094027764,3,995.5
2094027864,3,995.5
2094027964,3,995.48
2094028064,3,995.49
2094028164,3,995.5
2094028264,3,995.49
2094028364,3,995.49
2094028464,3,995.50995
2094028564,3,995.5
2094028664,3,995.50995
2094028764,3,995.5
2094028864,3,995.50995
