location due to GPS and WiFi+Cell,2026-06-11_21-49-00.661_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2094272482,network,55.5256196,37.5104778,1,100.0,1,182.10000610351562,0,0.0,0,0.0,1781203743903,2094272329387140
2094272482,network,55.5256196,37.5104778,1,100.0,1,182.10000610351562,0,0.0,0,0.0,1781203744016,2094272442389524
2094272483,network,55.5256196,37.5104778,1,100.0,1,182.10000610351562,0,0.0,0,0.0,1781203744028,2094272453708909
2094273451,gps,55.52551333333334,37.510621666666665,1,11.0,1,189.29999999999998,1,116.85,1,0.99701697,1781203744730,2094273381550217
2094274205,gps,55.525543333333324,37.51057333333333,1,6.4,1,189.1,1,123.24,1,0.7834072,1781203745500,2094274152729909
2094274709,gps,55.525543333333324,37.510553333333334,1,5.3,1,186.9,1,151.54,1,0.5502381,1781203746000,2094274650555755
2094275203,gps,55.52558333333333,37.51054,1,4.7,1,189.0,1,187.39,1,0.31192166,1781203746500,2094275151141524
2094275706,gps,55.52557,37.510533333333335,1,4.3,1,189.5,1,182.86,1,0.26662612,1781203747000,2094275652351755
2094276707,gps,55.525556666666674,37.51053,1,4.1,1,189.29999999999998,1,197.69,1,1.7006422,1781203748000,2094276649223678
2094277703,gps,55.525531666666666,37.510535,1,3.9,1,192.5,1,212.17,1,1.6455669,1781203749000,2094277649576909
2094278715,gps,55.52555833333333,37.51053,1,3.7,1,194.29999999999998,1,208.21,1,1.1890084,1781203750000,2094278648412371
2094279711,gps,55.525623333333336,37.51058333333334,1,3.1,1,196.7,1,204.64,1,0.5167811,1781203751000,2094279650139063
2094280669,network,55.5256312,37.5104739,1,34.56,1,182.10000610351562,0,0.0,0,0.0,1781203748531,2094277180000000
2094280719,gps,55.52564333333333,37.51058666666667,1,2.6,1,198.7,1,212.22,1,0.31089222,1781203752000,2094280653266525
