orientation,mtk,2026-06-11_21-49-00.661_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2094272482,0,258.66318,-28.464634,2.539994
2094272493,0,255.71753,-28.19435,2.428817
2094272503,0,252.77515,-27.88481,1.845908
2094272513,0,249.795,-27.774155,0.910861
2094272523,0,246.84389,-27.264227,-0.121921
2094272533,0,244.35608,-31.543343,-0.852272
2094272543,0,242.45947,-34.79791,-2.339164
2094272553,0,240.51022,-34.306,-3.053628
2094272563,0,240.70532,-32.09565,-1.949968
2094272573,0,241.07976,-33.902554,-0.982829
2094272583,0,241.50476,-34.02301,-1.023618
2094272593,0,242.0236,-34.19305,-1.109542
2094272603,0,242.56581,-34.351048,-1.18798
2094272613,0,242.68262,-34.47283,-1.225766
2094272623,0,242.40701,-34.561085,-1.263632
2094272634,0,242.16017,-34.618225,-1.346183
2094272644,0,242.29842,-34.67825,-1.455427
2094272654,0,242.38536,-34.7936,-1.527131
2094272664,0,242.4732,-34.900204,-1.599604
2094272674,0,242.55441,-34.98616,-1.660637
2094272684,0,242.62468,-35.004215,-1.701621
2094272694,0,242.68347,-34.942772,-1.699442
2094272704,0,242.72542,-34.803684,-1.647076
2094272714,0,242.74867,-34.671062,-1.551724
2094272724,0,242.75052,-34.540962,-1.440095
2094272734,0,242.73016,-34.401615,-1.346279
2094272744,0,242.69026,-34.275055,-1.257456
2094272754,0,242.63364,-34.18158,-1.143576
2094272765,0,242.56607,-34.04787,-1.016429
2094272775,0,242.4962,-33.883118,-0.889238
2094272785,0,242.4323,-33.695026,-0.763697
2094272795,0,242.36957,-33.463833,-0.645058
2094272805,0,242.30524,-33.202385,-0.531553
2094272815,0,242.23575,-32.939808,-0.421957
2094272825,0,242.1532,-32.668114,-0.311465
2094272835,0,242.04913,-32.33829,-0.192974
2094272845,0,241.91803,-31.9633,-0.052971
2094272855,0,241.75705,-31.57014,0.093347
2094272865,0,241.57327,-31.294151,0.29273
2094272875,0,241.37363,-31.013847,0.447498
2094272885,0,241.14726,-30.61058,0.608025
2094272895,0,240.88684,-30.149227,0.79344
2094272906,0,240.59857,-29.696562,0.980584
2094272916,0,240.29517,-29.291967,1.152932
2094272926,0,239.9823,-28.90827,1.364394
2094272936,0,239.65907,-28.603445,1.660876
2094272946,0,239.31332,-28.333124,2.026055
2094272956,0,238.94104,-28.07376,2.396408
2094272966,0,238.54901,-27.836676,2.794156
2094272976,0,238.14262,-27.659367,3.202258
2094272986,0,237.71925,-27.53576,3.594135
2094272996,0,237.27823,-27.460306,3.934239
2094273006,0,236.82782,-27.436705,4.209706
2094273016,0,236.371,-27.399805,4.417077
2094273026,0,235.9163,-27.361399,4.554197
2094273037,0,235.46126,-27.336529,4.7082
2094273047,0,235.00491,-27.320192,4.915931
2094273057,0,234.54025,-27.238838,5.148563
2094273067,0,234.0599,-27.148392,5.408268
2094273077,0,233.55386,-27.090258,5.687926
2094273087,0,233.01524,-27.06251,5.975163
2094273097,0,232.44894,-27.063927,6.290028
2094273107,0,231.85565,-27.137741,6.617948
2094273117,0,231.24507,-27.290064,6.910682
2094273127,0,230.63388,-27.477844,7.142213
2094273137,0,230.04263,-27.722836,7.299095
2094273147,0,229.48833,-28.002657,7.406245
2094273157,0,228.97495,-28.293314,7.52527
2094273167,0,228.5064,-28.637354,7.647228
2094273178,0,228.07841,-28.995651,7.769361
2094273188,0,227.69048,-29.359089,7.856737
2094273198,0,227.3453,-29.763828,7.900411
2094273208,0,227.03694,-30.195099,7.912265
2094273218,0,226.75475,-30.627876,7.926888
2094273228,0,226.49461,-31.13081,7.946557
2094273238,0,226.20996,-31.620655,7.942129
2094273248,0,225.96344,-32.07502,7.849442
2094273258,0,225.77872,-32.475105,7.577557
2094273268,0,225.67703,-32.85321,7.157814
2094273278,0,225.65494,-33.128654,6.650729
2094273288,0,225.71138,-33.400135,6.097469
2094273298,0,225.868,-33.84058,5.506444
2094273309,0,226.12158,-34.3712,4.963142
2094273319,0,226.52907,-35.038406,4.450985
2094273329,0,227.03209,-35.833656,3.983149
2094273339,0,227.61118,-36.70877,3.543084
2094273349,0,228.25473,-37.6361,3.053495
2094273359,0,228.981,-38.707165,2.43676
2094273369,0,229.83139,-40.038013,1.627006
2094273379,0,230.80443,-41.4952,0.712117
2094273389,0,231.86772,-42.74955,-0.182151
2094273399,0,232.98013,-43.774994,-1.030468
2094273409,0,234.11087,-44.610806,-1.873292
2094273419,0,235.24359,-45.3603,-2.709088
2094273429,0,236.3544,-46.127644,-3.395247
2094273439,0,237.40637,-46.936417,-3.875306
2094273450,0,238.34978,-47.78743,-4.190035
2094273460,0,239.16896,-48.681416,-4.482931
2094273470,0,239.87859,-49.451233,-4.723477
2094273480,0,240.47343,-49.906326,-4.941441
2094273490,0,240.96669,-50.25738,-5.192069
2094273500,0,241.37645,-50.61791,-5.480179
2094273510,0,241.71669,-50.949207,-5.802398
2094273520,0,241.99492,-51.213264,-6.14627
2094273530,0,242.19592,-51.321514,-6.439771
2094273540,0,242.27815,-51.180668,-6.606874
2094273550,0,242.23099,-50.917126,-6.571022
2094273560,0,242.09006,-50.701588,-6.351257
2094273570,0,241.8776,-50.65446,-5.967699
2094273581,0,241.60144,-50.76413,-5.493178
2094273591,0,241.27312,-50.934826,-5.040084
2094273601,0,240.89948,-51.045406,-4.650938
2094273611,0,240.50276,-51.0726,-4.344409
2094273621,0,240.1062,-50.918476,-4.080598
2094273631,0,239.7335,-50.67987,-3.85797
2094273641,0,239.40393,-50.570244,-3.651593
2094273651,0,239.11024,-50.529114,-3.388243
2094273661,0,238.82516,-50.424805,-2.958575
2094273671,0,238.50687,-50.169952,-2.300536
2094273681,0,238.12642,-49.69982,-1.536821
2094273691,0,237.69649,-49.343636,-0.796172
2094273701,0,237.25099,-49.164654,-0.096717
2094273711,0,236.80559,-49.08379,0.554759
2094273722,0,236.34003,-48.943005,1.18168
2094273732,0,235.85187,-48.699535,1.66752
2094273742,0,235.3667,-48.365986,1.947209
2094273752,0,234.93248,-48.012276,2.021902
2094273762,0,234.60884,-47.80604,1.948555
2094273772,0,234.41104,-47.715553,1.698921
2094273782,0,234.35986,-47.9081,1.392139
2094273792,0,234.46387,-48.293102,1.119407
2094273802,0,234.72342,-48.697224,0.901565
2094273812,0,235.13412,-49.116783,0.743625
2094273822,0,235.68843,-49.529984,0.587009
2094273832,0,236.3696,-49.913765,0.363887
2094273842,0,237.1679,-50.39229,0.011929
2094273853,0,238.08472,-51.017834,-0.509812
2094273863,0,239.09317,-51.69812,-1.183453
2094273873,0,240.17673,-52.414635,-1.943013
2094273883,0,241.33965,-53.141186,-2.76792
2094273893,0,242.56558,-53.779984,-3.569189
2094273903,0,243.82123,-54.270702,-4.250619
2094273913,0,245.08853,-54.742393,-4.831714
2094273923,0,246.34998,-55.31552,-5.333701
2094273933,0,247.56743,-55.880573,-5.790458
2094273943,0,248.68459,-56.116356,-6.224603
2094273953,0,249.67615,-56.198044,-6.677724
2094273963,0,250.51562,-56.08502,-7.172856
2094273973,0,251.20274,-55.848675,-7.696662
2094273983,0,251.76405,-55.617348,-8.240765
2094273994,0,252.2288,-55.506084,-8.808913
2094274004,0,252.61151,-55.53572,-9.409331
2094274014,0,252.92963,-55.674183,-9.990602
2094274024,0,253.20987,-55.74885,-10.519215
2094274034,0,253.45486,-55.72925,-10.991589
2094274044,0,253.66084,-55.512897,-11.392074
2094274054,0,253.8653,-55.495075,-11.65738
2094274064,0,254.04614,-55.32132,-11.768402
2094274074,0,254.18517,-55.137974,-11.754705
2094274084,0,254.26471,-54.993557,-11.670698
2094274094,0,254.26143,-54.808983,-11.481253
2094274104,0,254.1744,-54.556396,-11.204356
2094274114,0,254.0084,-54.222668,-10.882563
2094274124,0,253.80338,-54.03413,-10.547185
2094274135,0,253.56168,-54.02733,-10.201802
2094274145,0,253.3104,-54.051723,-9.850331
2094274155,0,253.0051,-53.721794,-9.400084
2094274165,0,252.57848,-52.956566,-8.728109
2094274175,0,252.03664,-52.162685,-8.040381
2094274185,0,251.38596,-51.331654,-7.362048
2094274276,0,250.31557,-50.406784,-4.52589
2094274286,0,249.30194,-50.830467,-4.235572
2094274296,0,248.37791,-51.716133,-3.851265
2094274306,0,247.55115,-52.568962,-3.646436
2094274316,0,246.9108,-53.543102,-3.705735
2094274326,0,246.4192,-53.69235,-3.953137
2094274336,0,246.15562,-54.261517,-4.306618
2094274346,0,246.06311,-54.31503,-4.719083
2094274356,0,246.60922,-55.299606,-5.284884
2094274366,0,247.27704,-56.07923,-5.811486
2094274376,0,247.72607,-55.05471,-5.95704
2094274386,0,248.08894,-55.08695,-5.932957
2094274396,0,248.60913,-57.05856,-5.807669
2094274407,0,249.0264,-56.580418,-5.538334
2094274417,0,249.2467,-55.890163,-5.312966
2094274427,0,249.32481,-54.97752,-5.37446
2094274437,0,249.17719,-54.2149,-5.921201
2094274447,0,248.86467,-53.509586,-6.866617
2094274457,0,248.64221,-52.60622,-7.796963
2094274467,0,248.31264,-51.468357,-8.449507
2094274477,0,247.6193,-50.718662,-8.732108
2094274487,0,246.85912,-49.525852,-8.884478
2094274497,0,246.0856,-48.615147,-9.03332
2094274507,0,245.48044,-49.244995,-8.875203
2094274517,0,245.05241,-50.286976,-8.991852
2094274527,0,244.69565,-50.974346,-8.807631
2094274538,0,244.28667,-50.680965,-8.407165
2094274548,0,243.85814,-50.31076,-7.924526
2094274558,0,243.46277,-50.4993,-7.593895
2094274568,0,243.26006,-51.40462,-7.253927
2094274578,0,243.13899,-51.99227,-6.578705
2094274588,0,242.82626,-52.303364,-5.244031
2094274598,0,242.25366,-53.192642,-3.268521
2094274608,0,241.32176,-53.543182,-0.82896
2094274618,0,239.96011,-52.898567,1.629529
2094274628,0,238.19296,-52.576977,3.941033
2094274638,0,235.94179,-52.839653,6.301974
2094274648,0,233.02362,-53.337128,8.773349
2094274658,0,229.25029,-51.526974,10.847737
2094274668,0,224.7653,-49.635674,12.949385
2094274679,0,219.71913,-48.14443,14.840281
2094274689,0,214.36282,-47.78813,16.746008
2094274699,0,208.98373,-47.54317,18.496656
2094274709,0,203.71696,-47.078033,19.886164
2094274719,0,198.65428,-47.135925,20.989756
2094274729,0,193.91087,-47.32147,22.030586
2094274739,0,189.81046,-47.582645,22.86953
2094274749,0,186.47871,-46.980457,23.304228
2094274759,0,183.78487,-46.829655,23.566017
2094274769,0,181.59401,-49.342476,23.300686
2094274779,0,179.99731,-53.05465,22.142859
2094274789,0,179.163,-56.3277,20.242533
2094274799,0,179.19809,-58.3841,18.17997
2094274810,0,180.08351,-60.87855,16.35615
2094274820,0,181.94057,-62.77881,14.328379
2094274830,0,184.7343,-64.984344,12.251554
2094274840,0,188.4606,-66.73169,10.241611
2094274850,0,193.17804,-68.12806,8.145666
2094274860,0,198.49045,-68.97792,6.424084
2094274870,0,203.64352,-69.00317,5.570287
2094274880,0,208.22028,-68.95902,5.433573
2094274890,0,212.0173,-68.260574,5.563391
2094274900,0,214.77815,-66.79224,5.567162
2094274910,0,216.38824,-64.90021,5.42534
2094274920,0,216.90025,-62.572636,4.995107
2094274930,0,216.4365,-61.966633,5.047988
2094274940,0,215.28963,-61.73142,5.098825
2094274951,0,214.0496,-62.16456,4.919461
2094274961,0,213.03902,-62.857773,4.454839
2094274971,0,212.53696,-63.923607,3.907845
2094274981,0,212.50458,-64.52373,3.616849
2094274991,0,212.89044,-65.100624,3.474797
2094275001,0,213.61963,-66.01984,3.600197
2094275011,0,214.44978,-66.55146,3.938851
2094275021,0,215.38431,-66.88406,3.883235
2094275031,0,216.41254,-67.488365,3.473829
2094275041,0,217.5981,-68.64251,2.803472
2094275051,0,219.00325,-70.38883,2.123255
2094275061,0,220.91718,-72.72601,1.489106
2094275071,0,223.35156,-74.89785,1.133858
2094275082,0,225.71167,-74.70606,0.672367
2094275092,0,227.91795,-73.83104,0.297289
2094275102,0,229.68475,-72.22276,0.277164
2094275112,0,230.70926,-70.07217,0.72833
2094275122,0,230.74847,-67.60981,1.536342
2094275132,0,229.76834,-65.08202,2.095571
2094275142,0,227.71599,-62.892685,2.582251
2094275152,0,224.7187,-60.923634,2.917698
2094275162,0,221.4653,-59.064873,3.002066
2094275172,0,218.24142,-58.102474,3.161438
2094275182,0,215.32248,-57.238186,3.141786
2094275192,0,212.92795,-56.52905,2.923773
2094275202,0,211.20267,-56.800777,2.753743
2094275212,0,210.0221,-57.19896,2.697296
2094275223,0,209.30147,-58.20717,2.725584
2094275233,0,208.9016,-59.114506,2.865875
2094275243,0,208.62007,-59.708878,3.387127
2094275253,0,208.40276,-60.788586,3.919828
2094275263,0,208.25145,-61.817696,4.176667
2094275273,0,207.93721,-61.724277,4.709821
2094275283,0,206.84647,-58.656036,6.643022
2094275293,0,204.91176,-54.10183,9.326771
2094275303,0,202.39613,-53.298866,11.506564
2094275313,0,199.2027,-56.86188,13.991282
2094275323,0,195.36804,-59.76124,16.11619
2094275333,0,190.87097,-60.74041,18.146534
2094275343,0,185.77112,-61.097584,19.91142
2094275354,0,180.51746,-60.025177,21.341688
2094275364,0,175.7527,-58.889565,22.584597
2094275374,0,171.64214,-57.632267,23.691889
2094275384,0,167.87794,-56.704193,24.821047
2094275394,0,164.52078,-56.51441,25.974512
2094275404,0,161.658,-56.269543,27.241196
2094275414,0,159.24045,-55.99565,28.908344
2094275424,0,156.98843,-56.674435,31.123243
2094275434,0,154.15854,-61.336227,32.63891
2094275444,0,150.21344,-68.84878,32.796207
2094275454,0,145.87312,-71.74084,32.632793
2094275464,0,142.05795,-70.25052,32.39132
2094275474,0,138.7493,-68.88229,32.524193
2094275484,0,135.7571,-68.54764,32.42439
2094275495,0,133.12422,-68.174866,32.2704
