rot_vec,mtk,2026-06-11_21-49-00.661_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
2094272442,3,0.090393,0.22009,0.83711,0.49258,0.0
2094272452,3,0.097228,0.226551,0.831329,0.498108,0.0
2094272462,3,0.104055,0.229051,0.823787,0.508018,0.0
2094272472,3,0.105657,0.224634,0.826968,0.504478,0.0
2094272482,3,0.105808,0.222833,0.833399,0.494565,0.0
2094272493,3,0.103724,0.221184,0.837671,0.488491,0.0
2094272503,3,0.105896,0.216849,0.841027,0.484184,0.0
2094272513,3,0.110637,0.213077,0.846333,0.475474,0.0
2094272523,3,0.115218,0.205445,0.85045,0.470373,0.0
2094272533,3,0.145478,0.231191,0.828757,0.488413,0.0
2094272543,3,0.175891,0.243645,0.811873,0.500559,0.0
2094272553,3,0.176874,0.237044,0.816413,0.495978,0.0
2094272563,3,0.152959,0.230009,0.832126,0.4809,0.0
2094272573,3,0.15397,0.23181,0.831206,0.481304,0.0
2094272583,3,0.155209,0.234657,0.829964,0.481669,0.0
2094272593,3,0.15602,0.237947,0.828677,0.482008,0.0
2094272603,3,0.15638,0.240674,0.827711,0.482197,0.0
2094272613,3,0.156473,0.242242,0.827298,0.482091,0.0
2094272623,3,0.156029,0.24267,0.827333,0.481959,0.0
2094272634,3,0.154479,0.242106,0.827639,0.482216,0.0
2094272644,3,0.152398,0.241018,0.828053,0.482713,0.0
2094272654,3,0.150853,0.239829,0.828554,0.482931,0.0
2094272664,3,0.149292,0.238156,0.829178,0.483172,0.0
2094272674,3,0.14791,0.235961,0.829961,0.483331,0.0
2094272684,3,0.14652,0.232977,0.830987,0.483439,0.0
2094272694,3,0.145084,0.229091,0.83219,0.483659,0.0
2094272704,3,0.143593,0.224547,0.833408,0.484138,0.0
2094272714,3,0.142479,0.220288,0.834274,0.484931,0.0
2094272724,3,0.141524,0.216408,0.834928,0.485831,0.0
2094272734,3,0.140307,0.213109,0.835369,0.486884,0.0
2094272744,3,0.139202,0.210371,0.835678,0.487859,0.0
2094272754,3,0.138653,0.20832,0.836047,0.488264,0.0
2094272765,3,0.137933,0.206204,0.83665,0.488333,0.0
2094272775,3,0.13715,0.204163,0.837443,0.488052,0.0
2094272785,3,0.136478,0.202554,0.838355,0.487344,0.0
2094272795,3,0.1358,0.20136,0.839336,0.48634,0.0
2094272805,3,0.135204,0.200563,0.84027,0.48522,0.0
2094272815,3,0.134876,0.20045,0.841086,0.483944,0.0
2094272825,3,0.134802,0.20103,0.841827,0.482433,0.0
2094272835,3,0.134619,0.20156,0.842548,0.481002,0.0
2094272845,3,0.134503,0.201899,0.843276,0.479613,0.0
2094272855,3,0.134386,0.20215,0.843945,0.478363,0.0
2094272865,3,0.134797,0.204024,0.844111,0.477157,0.0
2094272875,3,0.135452,0.205724,0.844337,0.47584,0.0
2094272885,3,0.136459,0.207394,0.844641,0.474285,0.0
2094272895,3,0.138013,0.209176,0.844997,0.472416,0.0
2094272906,3,0.14008,0.211018,0.845281,0.470476,0.0
2094272916,3,0.142623,0.2131,0.845523,0.468333,0.0
2094272926,3,0.145488,0.215385,0.845648,0.466177,0.0
2094272936,3,0.148568,0.217836,0.845678,0.464007,0.0
