icm4n607_acc,iven_sense,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2076713401,3,-1.2210001,0.52695,9.92805,1781186184978
2076713411,3,-1.21305,0.56100005,9.894,1781186184988
2076713421,3,-1.1869501,0.55095005,9.870001,1781186184998
2076713431,3,-1.1530501,0.48900002,9.825001,1781186185007
2076713441,3,-1.14405,0.46500003,9.801001,1781186185018
2076713451,3,-1.13205,0.43905002,9.75,1781186185027
2076713461,3,-1.11,0.453,9.70005,1781186185039
2076713471,3,-1.11,0.50295,9.67605,1781186185048
2076713481,3,-1.098,0.54195005,9.715051,1781186185058
2076713491,3,-1.08405,0.56295,9.798,1781186185067
2076713501,3,-1.09095,0.56595004,9.817051,1781186185078
2076713511,3,-1.1080501,0.56595004,9.79605,1781186185088
2076713521,3,-1.1149501,0.582,9.798,1781186185098
2076713532,3,-1.1340001,0.582,9.82005,1781186185107
2076713542,3,-1.1340001,0.58500004,9.86295,1781186185117
2076713552,3,-1.1530501,0.56595004,9.870001,1781186185128
2076713562,3,-1.146,0.54405004,9.8890505,1781186185138
2076713572,3,-1.12695,0.52305,9.892051,1781186185148
2076713582,3,-1.11,0.49605003,9.846001,1781186185158
2076713592,3,-1.08405,0.52500004,9.769951,1781186185168
2076713602,3,-1.0699501,0.546,9.693001,1781186185179
2076713612,3,-1.0699501,0.558,9.645,1781186185189
2076713622,3,-1.077,0.52995,9.703051,1781186185199
2076713632,3,-1.09605,0.48900002,9.774,1781186185210
2076713642,3,-1.11,0.513,9.786,1781186185219
2076713652,3,-1.113,0.549,9.754951,1781186185230
2076713663,3,-1.098,0.582,9.681001,1781186185240
2076713673,3,-1.0860001,0.606,9.616051,1781186185250
2076713683,3,-1.09395,0.61800003,9.607051,1781186185260
2076713693,3,-1.1010001,0.61800003,9.628051,1781186185270
2076713703,3,-1.0699501,0.59205,9.69795,1781186185281
2076713713,3,-1.074,0.53505003,9.766951,1781186185291
2076713723,3,-1.0720501,0.51105005,9.8560505,1781186185300
2076713733,3,-1.11,0.52695,9.892051,1781186185310
2076713743,3,-1.14195,0.57795,9.84405,1781186185320
2076713753,3,-1.1580001,0.60405004,9.798,1781186185330
2076713763,3,-1.16805,0.64005005,9.745951,1781186185340
2076713773,3,-1.149,0.66405004,9.753,1781186185351
2076713783,3,-1.1509501,0.61605,9.814951,1781186185360
2076713794,3,-1.1770501,0.54405004,9.901051,1781186185371
2076713804,3,-1.182,0.53205,9.901051,1781186185380
2076713814,3,-1.16295,0.53895,9.882001,1781186185391
2076713824,3,-1.1560501,0.537,9.813001,1781186185402
2076713834,3,-1.1730001,0.573,9.75,1781186185410
2076713844,3,-1.1509501,0.60405004,9.748051,1781186185421
2076713854,3,-1.14195,0.63495004,9.736051,1781186185430
2076713864,3,-1.1200501,0.64005005,9.736051,1781186185442
2076713874,3,-1.098,0.61395,9.769951,1781186185451
2076713884,3,-1.1010001,0.59895,9.81,1781186185461
2076713894,3,-1.1029501,0.57795,9.84405,1781186185472
2076713904,3,-1.113,0.56595004,9.858001,1781186185481
2076713914,3,-1.146,0.558,9.82695,1781186185491
2076713925,3,-1.1580001,0.63495004,9.760051,1781186185501
2076713935,3,-1.18005,0.71205,9.71205,1781186185511
2076713945,3,-1.2060001,0.78405005,9.68595,1781186185522
2076713955,3,-1.19895,0.80505,9.729,1781186185532
2076713965,3,-1.17495,0.74295,9.814951,1781186185542
2076713975,3,-1.18005,0.68805003,9.85305,1781186185552
2076713985,3,-1.1580001,0.64005005,9.934951,1781186185561
2076713995,3,-1.1530501,0.60195005,9.98295,1781186185573
2076714005,3,-1.1560501,0.60405004,9.942,1781186185583
2076714015,3,-1.14195,0.642,9.880051,1781186185592
2076714025,3,-1.125,0.67305005,9.790951,1781186185602
2076714035,3,-1.1389501,0.71205,9.71205,1781186185613
2076714045,3,-1.1200501,0.72795004,9.68805,1781186185624
2076714055,3,-1.1029501,0.69495004,9.68295,1781186185633
2076714066,3,-1.08405,0.65205,9.67395,1781186185643
2076714076,3,-1.1080501,0.62295,9.71205,1781186185653
2076714086,3,-1.1220001,0.64905006,9.736051,1781186185663
2076714096,3,-1.1220001,0.73095006,9.786,1781186185673
2076714106,3,-1.1179501,0.795,9.729,1781186185683
2076714116,3,-1.12995,0.79305005,9.66195,1781186185693
2076714126,3,-1.1179501,0.82695,9.613951,1781186185703
2076714136,3,-1.098,0.83595,9.621,1781186185713
2076714146,3,-1.1149501,0.81495005,9.63105,1781186185724
2076714156,3,-1.09095,0.795,9.669001,1781186185734
2076714166,3,-1.0720501,0.80295,9.67605,1781186185744
2076714176,3,-1.12995,0.846,9.66195,1781186185754
2076714186,3,-1.182,0.882,9.69495,1781186185764
2076714197,3,-1.2040501,0.915,9.802951,1781186185774
2076714207,3,-1.197,0.90105003,9.837001,1781186185784
2076714217,3,-1.1730001,0.88395005,9.85095,1781186185794
2076714227,3,-1.18005,0.85995007,9.849001,1781186185804
2076714237,3,-1.16805,0.84300005,9.83895,1781186185814
