timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
231,2076713471,0.0149875,-0.0097624995,0.01155,-1.11,0.50295,9.67605,-16.050001,4.70625,-43.93125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,2076713481,0.01815,0.01045,0.01265,-1.098,0.54195005,9.715051,-16.050001,4.70625,-43.93125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2076713491,0.0202125,0.021175,0.013612499,-1.08405,0.56295,9.798,-16.462502,4.70625,-43.350002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,2076713501,0.01925,0.0232375,0.014712499,-1.09095,0.56595004,9.817051,-16.462502,4.70625,-43.350002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,2076713511,0.01705,0.0221375,0.014712499,-1.1080501,0.56595004,9.79605,-13.687501,5.1000004,-44.381252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,2076713521,0.01705,0.020075,0.014712499,-1.1149501,0.582,9.798,-13.687501,5.1000004,-44.381252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,2076713532,0.0149875,0.017875,0.0158125,-1.1340001,0.582,9.82005,-15.01875,5.025,-43.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,2076713542,0.0149875,0.0083875,0.0158125,-1.1340001,0.58500004,9.86295,-15.01875,5.025,-43.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,2076713552,0.01595,-0.0023375,0.018975,-1.1530501,0.56595004,9.870001,-15.01875,5.025,-43.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,2076713562,0.0213125,-0.0097624995,0.021175,-1.146,0.54405004,9.8890505,-15.01875,5.025,-43.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,2076713572,0.0309375,-0.012925,0.021175,-1.12695,0.52305,9.892051,-11.53125,5.4187503,-43.93125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,2076713582,0.044825,-0.0119624995,0.020075,-1.11,0.49605003,9.846001,-11.53125,5.4187503,-43.93125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,2076713592,0.0565125,-0.0055,0.0169125,-1.08405,0.52500004,9.769951,-14.1,5.1375003,-43.93125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,2076713602,0.0661375,0.001925,0.018975,-1.0699501,0.546,9.693001,-14.1,5.1375003,-43.93125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,2076713612,0.0661375,0.01045,0.021175,-1.0699501,0.558,9.645,-15.375001,4.8375,-43.350002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,2076713622,0.061875,0.0169125,0.0232375,-1.077,0.52995,9.703051,-15.375001,4.8375,-43.350002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,2076713632,0.05115,0.013612499,0.018975,-1.09605,0.48900002,9.774,-15.4875,4.93125,-43.425003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,2076713642,0.0383625,0.0083875,0.013612499,-1.11,0.513,9.786,-15.4875,4.93125,-43.425003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,2076713652,0.027775,0.0050875,0.01045,-1.113,0.549,9.754951,-16.95,4.425,-43.143753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,2076713663,0.01705,0.0050875,0.0083875,-1.098,0.582,9.681001,-17.2875,4.40625,-42.73125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,2076713673,0.008525,0.013612499,0.0061875,-1.0860001,0.606,9.616051,-17.2875,4.40625,-42.73125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
