gravity,mtk,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2076713562,3,1.130316,0.702603,9.687059
2076713572,3,1.110114,0.515522,9.729967
2076713582,3,1.098577,0.492116,9.732486
2076713592,3,1.081302,0.52181,9.732872
2076713602,3,1.074758,0.547875,9.732168
2076713612,3,1.079375,0.563138,9.730785
2076713622,3,1.080586,0.533421,9.732323
2076713632,3,1.091325,0.489647,9.733423
2076713642,3,1.103903,0.509363,9.730997
2076713652,3,1.109865,0.545955,9.728331
2076713663,3,1.104358,0.583715,9.726765
2076713673,3,1.099476,0.612272,9.725567
2076713683,3,1.106988,0.625676,9.723861
2076713693,3,1.111892,0.624936,9.72335
2076713703,3,1.075565,0.595906,9.729252
2076713713,3,1.071324,0.536196,9.733191
2076713723,3,1.028056,0.532936,9.738037
2076713733,3,1.025845,0.532983,9.738262
2076713743,3,1.021451,0.533181,9.738694
2076713753,3,1.014888,0.533595,9.739318
2076713763,3,1.006162,0.534289,9.74012
2076713773,3,0.995317,0.535294,9.741083
2076713783,3,0.982421,0.536546,9.7422
2076713794,3,0.967552,0.537942,9.743459
2076713804,3,0.950808,0.539455,9.744847
2076713814,3,0.932271,0.541081,9.746353
2076713824,3,0.911984,0.542815,9.747967
2076713834,3,0.889917,0.54469,9.749681
2076713844,3,0.866066,0.546714,9.751493
2076713854,3,0.840442,0.548889,9.753389
2076713864,3,0.813063,0.551192,9.755369
2076713874,3,0.783966,0.553568,9.757424
2076713884,3,0.753185,0.556,9.75955
2076713894,3,0.720773,0.558469,9.761739
2076713904,3,0.686758,0.560988,9.763984
2076713914,3,0.648847,0.563594,9.766523
2076713925,3,0.611524,0.566463,9.768854
2076713935,3,0.574673,0.569703,9.770979
2076713945,3,0.538222,0.573348,9.772905
2076713955,3,0.5022,0.577397,9.774634
2076713965,3,0.466733,0.58173,9.776175
2076713975,3,0.431913,0.586237,9.777542
2076713985,3,0.397821,0.59089,9.778743
2076713995,3,0.364499,0.5957,9.779791
2076714005,3,0.331928,0.600664,9.780695
2076714015,3,0.300081,0.605788,9.781469
2076714025,3,0.26893,0.611121,9.782114
2076714035,3,0.238469,0.616682,9.782629
2076714045,3,0.208702,0.622517,9.783018
2076714055,3,0.179616,0.628638,9.783279
2076714066,3,0.151207,0.635073,9.783421
2076714076,3,0.123422,0.641885,9.783441
2076714086,3,0.096217,0.649171,9.783338
2076714096,3,0.06955,0.657062,9.783106
2076714106,3,0.043413,0.665645,9.782743
2076714116,3,0.017833,0.674875,9.782253
2076714126,3,-0.007143,0.684624,9.781643
2076714136,3,-0.031439,0.694684,9.780928
2076714146,3,-0.055036,0.704812,9.780126
2076714156,3,-0.077956,0.714824,9.779257
2076714166,3,-0.100315,0.724661,9.778334
2076714176,3,-0.122325,0.734314,9.777361
2076714186,3,-0.144222,0.743803,9.776339
2076714197,3,-0.166149,0.753174,9.775267
2076714207,3,-0.188116,0.762413,9.774149
2076714217,3,-0.210067,0.771499,9.772989
2076714227,3,-0.231911,0.780386,9.7718
2076714237,3,-0.253495,0.789034,9.77059
2076714247,3,-0.274724,0.797374,9.769366
2076714257,3,-0.295523,0.805381,9.768139
2076714267,3,-0.315902,0.813115,9.766905
2076714277,3,-0.335867,0.820574,9.765664
2076714287,3,-0.355488,0.827764,9.764414
2076714297,3,-0.374864,0.834687,9.763145
2076714307,3,-0.394076,0.841335,9.761859
2076714317,3,-0.413152,0.847721,9.760553
2076714328,3,-0.432031,0.853774,9.759237
2076714338,3,-0.450663,0.859517,9.757916
2076714348,3,-0.468965,0.865028,9.75659
2076714358,3,-0.486898,0.870429,9.755251
2076714368,3,-0.504444,0.875836,9.753897
2076714378,3,-0.521517,0.881312,9.752523
2076714388,3,-0.538034,0.886837,9.751139
2076714398,3,-0.553998,0.892367,9.749751
2076714408,3,-0.569417,0.897848,9.748368
2076714418,3,-0.584354,0.903259,9.746992
