icm4n607_gyro,iven_sense,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2076713471,3,0.0149875,-0.0097624995,0.01155
2076713481,3,0.01815,0.01045,0.01265
2076713491,3,0.0202125,0.021175,0.013612499
2076713501,3,0.01925,0.0232375,0.014712499
2076713511,3,0.01705,0.0221375,0.014712499
2076713521,3,0.01705,0.020075,0.014712499
2076713532,3,0.0149875,0.017875,0.0158125
2076713542,3,0.0149875,0.0083875,0.0158125
2076713552,3,0.01595,-0.0023375,0.018975
2076713562,3,0.0213125,-0.0097624995,0.021175
2076713572,3,0.0309375,-0.012925,0.021175
2076713582,3,0.044825,-0.0119624995,0.020075
2076713592,3,0.0565125,-0.0055,0.0169125
2076713602,3,0.0661375,0.001925,0.018975
2076713612,3,0.0661375,0.01045,0.021175
2076713622,3,0.061875,0.0169125,0.0232375
2076713632,3,0.05115,0.013612499,0.018975
2076713642,3,0.0383625,0.0083875,0.013612499
2076713652,3,0.027775,0.0050875,0.01045
2076713663,3,0.01705,0.0050875,0.0083875
2076713673,3,0.008525,0.013612499,0.0061875
2076713683,3,0.0,0.0254375,0.0061875
2076713693,3,-0.006325,0.034925,0.0072875
2076713703,3,-0.007425,0.037125,0.00935
2076713713,3,-0.0053625,0.036025,0.01045
2076713723,3,0.0011,0.0297,0.00935
2076713733,3,0.009625,0.018975,0.0072875
2076713743,3,0.0202125,0.014712499,0.0083875
2076713753,3,0.0287375,0.0158125,0.01265
2076713763,3,0.0352,0.020075,0.017875
2076713773,3,0.0383625,0.0232375,0.0243375
2076713783,3,0.0372625,0.018975,0.0286
2076713794,3,0.033,0.0072875,0.0275
2076713804,3,0.0298375,-0.0066,0.0232375
2076713814,3,0.027775,-0.012925,0.018975
2076713824,3,0.026675,-0.015125,0.0158125
2076713834,3,0.025575,-0.0077,0.01265
2076713844,3,0.0213125,0.004125,0.01045
2076713854,3,0.01595,0.01045,0.00935
2076713864,3,0.010725,0.017875,0.01265
2076713874,3,0.0064625,0.0221375,0.013612499
2076713884,3,0.0064625,0.0221375,0.01155
2076713894,3,0.007425,0.017875,0.00935
2076713904,3,0.0127875,0.0169125,0.0083875
2076713914,3,0.0235125,0.020075,0.0050875
2076713925,3,0.0394625,0.0339625,0.0050875
2076713935,3,0.0576125,0.04675,0.0083875
2076713945,3,0.0724625,0.0573375,0.014712499
2076713955,3,0.08415,0.0584375,0.0264
2076713965,3,0.0895125,0.045649998,0.0339625
2076713975,3,0.0873125,0.0243375,0.036025
2076713985,3,0.0809875,0.0061875,0.0339625
2076713995,3,0.0724625,-0.0119624995,0.0297
2076714005,3,0.0661375,-0.02475,0.0275
2076714015,3,0.059675,-0.029975,0.0254375
2076714025,3,0.061875,-0.0279125,0.021175
2076714035,3,0.0650375,-0.02145,0.018975
2076714045,3,0.0735625,-0.014025,0.020075
2076714055,3,0.08525,-0.0055,0.020075
2076714066,3,0.095837496,-0.0012375,0.0169125
2076714076,3,0.1065625,0.001925,0.01045
2076714086,3,0.11935,0.0050875,0.003025
2076714096,3,0.128975,0.0083875,-1.375E-4
2076714106,3,0.1375,0.0083875,-0.0012375
2076714116,3,0.1406625,0.0072875,-0.0044
2076714126,3,0.1417625,0.014712499,-0.0066
2076714136,3,0.1342,0.018975,-0.0055
2076714146,3,0.12045,0.0254375,-0.0044
2076714156,3,0.1034,0.0306625,-0.0044
2076714166,3,0.0809875,0.036025,-0.0044
2076714176,3,0.0554125,0.043449998,-0.0044
