stk3a5x_als,sensortek,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2076713368,3,16398.0
2076713368,3,16398.0
2076713513,3,16233.0
2076713523,3,16233.0
2076713533,3,16233.0
2076713543,3,16233.0
2076713553,3,16233.0
2076713563,3,16219.0
2076713573,3,16219.0
2076713583,3,16219.0
2076713593,3,16219.0
2076713603,3,16219.0
2076713613,3,16219.0
2076713623,3,16128.0
2076713633,3,16128.0
2076713643,3,16128.0
2076713653,3,16128.0
2076713663,3,16128.0
2076713673,3,16028.0
2076713683,3,16028.0
2076713693,3,16028.0
2076713703,3,16028.0
2076713713,3,16028.0
2076713723,3,16038.0
2076713733,3,16038.0
2076713743,3,16038.0
2076713753,3,16038.0
2076713763,3,16038.0
2076713773,3,16076.0
2076713783,3,16076.0
2076713793,3,16076.0
2076713803,3,16076.0
2076713813,3,16076.0
2076713823,3,16037.0
2076713833,3,16037.0
2076713843,3,16037.0
2076713853,3,16037.0
2076713863,3,16037.0
2076713873,3,15976.0
2076713883,3,15976.0
2076713893,3,15976.0
2076713903,3,15976.0
2076713913,3,15976.0
2076713923,3,15976.0
2076713933,3,15975.0
2076713943,3,15975.0
2076713953,3,15975.0
2076713963,3,15975.0
2076713973,3,15975.0
2076713983,3,15933.0
2076713993,3,15933.0
2076714003,3,15933.0
2076714013,3,15933.0
2076714023,3,15933.0
2076714033,3,15785.0
2076714043,3,15785.0
2076714053,3,15785.0
2076714063,3,15785.0
2076714073,3,15785.0
2076714083,3,15584.0
2076714093,3,15584.0
2076714103,3,15584.0
2076714113,3,15584.0
2076714123,3,15584.0
2076714133,3,15332.0
2076714143,3,15332.0
2076714153,3,15332.0
2076714163,3,15332.0
2076714173,3,15332.0
2076714183,3,15118.0
2076714193,3,15118.0
2076714203,3,15118.0
2076714213,3,15118.0
2076714223,3,15118.0
2076714233,3,15125.0
2076714243,3,15125.0
2076714253,3,15125.0
2076714263,3,15125.0
2076714273,3,15125.0
2076714283,3,15125.0
2076714293,3,15082.0
2076714303,3,15082.0
2076714313,3,15082.0
2076714323,3,15082.0
2076714333,3,15082.0
2076714343,3,14998.0
2076714353,3,14998.0
2076714363,3,14998.0
2076714373,3,14998.0
2076714383,3,14998.0
2076714393,3,14875.0
2076714403,3,14875.0
2076714413,3,14875.0
2076714423,3,14875.0
2076714433,3,14875.0
2076714443,3,14786.0
2076714453,3,14786.0
2076714463,3,14786.0
2076714473,3,14786.0
2076714483,3,14786.0
2076714493,3,14730.0
2076714503,3,14730.0
2076714513,3,14730.0
2076714523,3,14730.0
2076714533,3,14730.0
2076714543,3,14505.0
2076714553,3,14505.0
2076714563,3,14505.0
2076714573,3,14505.0
2076714583,3,14505.0
2076714593,3,14505.0
2076714603,3,13609.0
2076714613,3,13609.0
2076714623,3,13609.0
2076714633,3,13609.0
2076714643,3,13609.0
2076714653,3,12303.0
2076714663,3,12303.0
2076714673,3,12303.0
2076714683,3,12303.0
2076714693,3,12303.0
2076714703,3,11449.0
2076714713,3,11449.0
2076714723,3,11449.0
2076714733,3,11449.0
2076714743,3,11449.0
2076714753,3,11064.0
2076714763,3,11064.0
2076714773,3,11064.0
2076714783,3,11064.0
2076714793,3,11064.0
2076714803,3,10054.0
2076714813,3,10054.0
2076714823,3,10054.0
2076714833,3,10054.0
2076714843,3,10054.0
2076714853,3,8440.0
2076714863,3,8440.0
2076714873,3,8440.0
2076714883,3,8440.0
2076714893,3,8440.0
2076714903,3,8440.0
2076714913,3,6420.0
2076714923,3,6420.0
2076714933,3,6420.0
2076714943,3,6420.0
2076714953,3,6420.0
2076714963,3,5496.0
2076714973,3,5496.0
2076714983,3,5496.0
2076714993,3,5496.0
2076715003,3,5496.0
2076715013,3,5433.0
2076715023,3,5433.0
2076715033,3,5433.0
2076715043,3,5433.0
2076715053,3,5433.0
2076715063,3,5455.0
2076715073,3,5455.0
2076715083,3,5455.0
2076715093,3,5455.0
2076715103,3,5455.0
2076715113,3,5612.0
2076715123,3,5612.0
