linear_acc,mtk,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2076713572,3,-0.960081,-1.394156,0.345208
2076713582,3,-0.754593,-1.136266,0.241047
2076713592,3,-0.582861,-0.887497,0.132377
2076713602,3,-0.454477,-0.692567,0.04461
2076713612,3,-0.363199,-0.544222,-0.003384
2076713622,3,-0.296113,-0.457276,0.040452
2076713632,3,-0.251894,-0.398063,0.089438
2076713642,3,-0.213135,-0.30102,0.082727
2076713652,3,-0.172742,-0.212405,0.042428
2076713663,3,-0.127149,-0.143045,-0.024283
2076713673,3,-0.092078,-0.095027,-0.071397
2076713683,3,-0.078898,-0.066125,-0.066245
2076713693,3,-0.068864,-0.052581,-0.036588
2076713703,3,-0.031213,-0.062431,0.024994
2076713713,3,-0.027843,-0.095084,0.075545
2076713723,3,-0.020551,-0.096114,0.130792
2076713733,3,-0.017462,-0.076444,0.105591
2076713743,3,-0.015821,-0.059368,0.084154
2076713753,3,-0.014955,-0.045004,0.06579
2076713763,3,-0.014518,-0.032556,0.049695
2076713773,3,-0.013657,-0.021958,0.037012
2076713783,3,-0.013033,-0.014757,0.028524
2076713794,3,-0.013235,-0.010912,0.024032
2076713804,3,-0.013525,-0.008155,0.02044
2076713814,3,-0.013246,-0.005758,0.017053
2076713824,3,-0.012831,-0.003904,0.012494
2076713834,3,-0.012946,-0.001463,0.007184
2076713844,3,-0.012464,0.001319,0.002875
2076713854,3,-0.011823,0.004375,-8.92E-4
2076713864,3,-0.010735,0.006947,-0.003906
2076713874,3,-0.00929,0.008303,-0.005423
2076713884,3,-0.008198,0.009005,-0.005552
2076713894,3,-0.007388,0.008991,-0.004759
2076713904,3,-0.006996,0.008661,-0.003744
2076713914,3,-0.007576,0.008206,-0.003762
2076713925,3,-0.008359,0.009885,-0.005563
2076713935,3,-0.00956,0.013271,-0.00828
2076713945,3,-0.011223,0.017895,-0.011157
2076713955,3,-0.012362,0.022169,-0.012309
2076713965,3,-0.012635,0.023928,-0.010932
2076713975,3,-0.012981,0.023867,-0.00881
2076713985,3,-0.012683,0.022541,-0.004941
2076713995,3,-0.012317,0.020459,-5.69E-4
2076714005,3,-0.012088,0.018857,0.001843
2076714015,3,-0.011458,0.017958,0.004474
2076714025,3,-0.010571,0.018708,0.001855
2076714035,3,-0.009223,0.019883,-0.003303
2076714045,3,-0.006804,0.019928,-0.006793
2076714055,3,-0.003974,0.018369,-0.008499
