location due to GPS and WiFi+Cell,2026-06-11_16-56-21.805_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2076713628,network,55.6681754,37.5562464,1,40.872,1,215.40000915527344,0,0.0,0,0.0,1781186164950,2076693599000000
2076729209,gps,55.66862833333333,37.55661333333333,1,5.8,1,211.4,1,48.96,1,0.32942224,1781186200496,2076729146383954
2076730713,gps,55.66865500000001,37.55666833333333,1,2.7,1,202.2,1,63.82,1,0.50803083,1781186202000,2076730652602108
2076731714,gps,55.66864333333333,37.55665333333333,1,2.3,1,202.2,1,80.94,1,0.54097307,1781186203000,2076731655228493
2076732708,gps,55.66864333333333,37.556686666666664,1,2.1,1,201.0,1,108.49,1,1.664097,1781186204000,2076732650677800
2076733587,network,55.6679382,37.5558121,1,105.424,1,216.10000610351562,0,0.0,0,0.0,1781186189701,2076718350000000
2076733717,gps,55.66863333333334,37.556733333333334,1,2.1,1,200.0,1,116.15,1,2.8870769,1781186205000,2076733652439954
2076734715,gps,55.668615,37.55679833333333,1,2.1,1,200.1,1,110.6,1,4.082262,1781186206000,2076734655243339
2076735713,gps,55.668589999999995,37.55688166666666,1,2.0,1,199.7,1,116.25,1,5.130751,1781186207000,2076735652102031
2076736713,gps,55.668566666666656,37.556960000000004,1,2.1,1,199.6,1,118.48,1,5.199209,1781186208000,2076736653170955
2076737714,gps,55.66853,37.55705833333333,1,2.2,1,199.3,1,121.79,1,6.3691726,1781186209000,2076737651372570
2076738711,gps,55.66849833333334,37.55714666666667,1,2.1,1,199.3,1,120.49,1,5.9290853,1781186210000,2076738654009416
2076739711,gps,55.66846833333334,37.55723166666667,1,2.1,1,199.1,1,122.96,1,5.606354,1781186211000,2076739655417109
2076740712,gps,55.66844,37.55730833333334,1,2.1,1,199.2,1,121.15,1,5.2851677,1781186212000,2076740652355339
2076741709,gps,55.66841333333333,37.557383333333334,1,2.1,1,199.3,1,121.9,1,5.1595755,1781186213000,2076741653098955
2076742715,gps,55.668386666666656,37.557455,1,2.1,1,199.4,1,121.6,1,4.841992,1781186214000,2076742655331032
2076743721,gps,55.66836166666667,37.557525000000005,1,2.1,1,199.4,1,121.81,1,4.6649275,1781186215000,2076743651605186
2076744713,gps,55.66833666666666,37.55759166666667,1,2.1,1,199.3,1,120.97,1,4.4924955,1781186216000,2076744656801801
2076745714,gps,55.66831333333333,37.55765666666667,1,2.1,1,199.0,1,119.64,1,4.378227,1781186217000,2076745656572494
2076746715,gps,55.66829166666666,37.55772,1,2.1,1,198.8,1,120.68,1,4.328814,1781186218000,2076746657320263
2076747721,gps,55.66827166666667,37.55778166666666,1,2.1,1,198.9,1,121.11,1,5.2115626,1781186219000,2076747654424263
2076748720,gps,55.668251666666656,37.557845,1,2.1,1,198.9,1,118.51,1,4.713311,1781186220000,2076748650245725
2076749716,gps,55.668231666666664,37.55790666666667,1,2.1,1,198.6,1,117.76,1,4.554777,1781186221000,2076749655688878
2076750720,gps,55.668220000000005,37.55797,1,2.1,1,198.6,1,103.19,1,4.4260964,1781186222000,2076750654333109
2076751715,gps,55.668216666666666,37.558035000000004,1,2.1,1,198.8,1,88.34,1,4.2974157,1781186223000,2076751656379648
2076752714,gps,55.668218333333336,37.558096666666664,1,2.1,1,198.4,1,83.28,1,4.195501,1781186224000,2076752653131879
2076753727,gps,55.668221666666675,37.55816,1,2.1,1,198.3,1,85.61,1,4.099248,1781186225000,2076753654455956
2076754718,gps,55.66822333333333,37.55822,1,2.1,1,198.4,1,88.29,1,4.025128,1781186226000,2076754654522417
2076754961,network,55.6690673,37.5572001,1,40.193,1,214.3000030517578,0,0.0,0,0.0,1781186224714,2076753363000000
2076755713,gps,55.66822333333333,37.558285,1,2.1,1,198.4,1,86.81,1,3.9854941,1781186227000,2076755651738110
2076756718,gps,55.66822666666667,37.558346666666665,1,2.1,1,198.3,1,80.9,1,3.9474046,1781186228000,2076756650156187
2076757700,gps,55.668229999999994,37.558413333333334,1,2.1,1,198.3,1,87.41,1,3.9309337,1781186229000,2076757650276264
2076758711,gps,55.668231666666664,37.55847833333333,1,2.1,1,198.4,1,87.12,1,3.9196098,1781186230000,2076758650292494
2076759719,gps,55.66823833333333,37.55853666666667,1,1.7,1,199.2,1,84.16,1,3.9206393,1781186231000,2076759656418110
2076760720,gps,55.668235,37.558593333333334,1,1.4,1,202.1,1,80.44,1,3.9175508,1781186232000,2076760654879648
2076761713,gps,55.66824,37.558655,1,1.3,1,202.7,1,80.04,1,3.9350514,1781186233000,2076761653251956
2076762719,gps,55.66824166666667,37.55871833333333,1,1.3,1,203.5,1,84.22,1,3.971082,1781186234000,2076762655830956
2076763720,gps,55.668243333333336,37.55878333333333,1,1.3,1,203.9,1,87.63,1,4.00248,1781186235000,2076763655487264
2076764715,gps,55.66824666666666,37.558841666666666,1,1.3,1,204.4,1,84.03,1,4.0168924,1781186236000,2076764653273495
2076765708,gps,55.668243333333336,37.5589,1,1.2,1,204.2,1,97.8,1,3.963361,1781186237000,2076765652784264
2076766711,gps,55.668231666666664,37.558946666666664,1,1.2,1,204.3,1,109.93,1,3.8351953,1781186238000,2076766653399264
2076767708,gps,55.668218333333336,37.55895666666667,1,1.3,1,204.6,1,141.4,1,3.59482,1781186239000,2076767649890649
2076768716,gps,55.66820166666666,37.55894,1,1.3,1,205.6,1,196.25,1,3.3673127,1781186240000,2076768657885110
2076769731,gps,55.66818,37.55891166666667,1,1.3,1,206.3,1,212.11,1,3.1845863,1781186241000,2076769656164572
2076770699,gps,55.66815166666667,37.55887166666666,1,1.3,1,206.4,1,215.94,1,3.1634827,1781186242000,2076770652456264
2076771704,gps,55.66812,37.55882166666667,1,1.3,1,206.1,1,219.23,1,3.1902483,1781186243000,2076771650820495
2076772711,gps,55.668085000000005,37.558771666666665,1,1.2,1,205.9,1,214.62,1,3.227823,1781186244000,2076772653350957
2076773715,gps,55.66804333333333,37.55873833333333,1,1.2,1,206.1,1,212.35,1,3.2602506,1781186245000,2076773655563880
2076774712,gps,55.668015,37.5587,1,1.2,1,205.7,1,213.43,1,3.237088,1781186246000,2076774656588188
2076775652,network,55.6685408,37.5587628,1,26.347,1,210.50001525878906,0,0.0,0,0.0,1781186246906,2076775555000000
2076775711,gps,55.66798833333334,37.55866666666667,1,1.2,1,205.6,1,213.22,1,3.2489266,1781186247000,2076775650234726
2076776713,gps,55.66796166666666,37.558655,1,1.3,1,205.4,1,189.02,1,3.2865014,1781186248000,2076776653131572
2076777713,gps,55.66794,37.558675,1,1.3,1,205.5,1,159.1,1,3.402314,1781186249000,2076777651291649
2076778707,gps,55.667925,37.55872,1,1.3,1,205.6,1,127.94,1,3.5279062,1781186250000,2076778650508880
2076779713,gps,55.66790833333333,37.55876833333333,1,1.2,1,205.1,1,121.52,1,3.6246738,1781186251000,2076779652284496
2076780708,gps,55.66789333333333,37.558818333333335,1,1.2,1,204.6,1,116.8,1,3.5876138,1781186252000,2076780650282342
2076781708,gps,55.66787333333333,37.55886833333333,1,1.2,1,204.3,1,125.2,1,3.5289357,1781186253000,2076781651228188
2076782713,gps,55.66785333333334,37.55891666666666,1,1.2,1,204.2,1,122.25,1,3.416726,1781186254000,2076782648832803
2076783707,gps,55.667836666666666,37.55896833333334,1,1.2,1,204.5,1,121.98,1,3.3441503,1781186255000,2076783652327957
2076784717,gps,55.667816666666674,37.559020000000004,1,1.2,1,204.2,1,121.8,1,3.3755484,1781186256000,2076784651259034
2076785708,gps,55.66779499999999,37.55907666666667,1,1.2,1,203.8,1,122.67,1,3.4141524,1781186257000,2076785651061496
2076786716,gps,55.667775,37.55913333333333,1,1.2,1,203.5,1,119.77,1,3.5160675,1781186258000,2076786652178342
2076787706,gps,55.667756666666676,37.559189999999994,1,1.2,1,203.0,1,120.82,1,3.646807,1781186259000,2076787653301419
2076788711,gps,55.66773666666666,37.55924666666667,1,1.2,1,202.8,1,123.93,1,3.7574723,1781186260000,2076788652006727
2076789707,gps,55.66771666666667,37.55930166666667,1,1.2,1,202.6,1,124.81,1,3.8290186,1781186261000,2076789650022035
2076790710,gps,55.66769833333333,37.55936,1,1.2,1,202.8,1,118.82,1,3.913433,1781186262000,2076790647417112
2076791711,gps,55.667676666666665,37.55942166666667,1,1.2,1,203.1,1,122.86,1,3.9813764,1781186263000,2076791649320266
2076792711,gps,55.667656666666666,37.55948166666667,1,1.2,1,203.4,1,122.78,1,4.091012,1781186264000,2076792651927573
2076793713,gps,55.667635000000004,37.559545,1,1.2,1,203.6,1,123.89,1,4.191383,1781186265000,2076793650836266
2076794700,gps,55.667613333333335,37.55961333333333,1,1.2,1,203.6,1,120.58,1,4.2721944,1781186266000,2076794649349804
2076795722,gps,55.667590000000004,37.55968333333333,1,1.2,1,203.5,1,121.39,1,4.38183,1781186267000,2076795648592266
2076796297,network,55.6678063,37.5598511,1,23.635,1,209.3000030517578,0,0.0,0,0.0,1781186266964,2076795613000000
2076796711,gps,55.667566666666666,37.55975,1,1.2,1,203.1,1,121.09,1,4.469333,1781186268000,2076796650398035
2076797718,gps,55.667543333333334,37.559815,1,1.1,1,202.7,1,121.05,1,4.5532327,1781186269000,2076797652449112
2076798708,gps,55.667519999999996,37.55988,1,1.1,1,202.3,1,120.32,1,4.6258087,1781186270000,2076798650492804
2076799710,gps,55.667498333333334,37.559945,1,1.1,1,201.6,1,120.66,1,4.723091,1781186271000,2076799651145804
2076800701,gps,55.66747333333333,37.56001333333334,1,1.1,1,201.1,1,121.42,1,4.781255,1781186272000,2076800649816497
2076801716,gps,55.667449999999995,37.56007833333333,1,1.1,1,200.5,1,122.87,1,4.8244915,1781186273000,2076801649546343
2076802718,gps,55.667428333333326,37.560143333333336,1,1.1,1,200.0,1,120.33,1,4.8394184,1781186274000,2076802648446035
2076803717,gps,55.667408333333334,37.56021166666667,1,1.1,1,200.1,1,120.4,1,4.829124,1781186275000,2076803649561189
2076804700,gps,55.667386666666665,37.560273333333335,1,1.1,1,200.2,1,120.89,1,4.790005,1781186276000,2076804650904189
2076805719,gps,55.66736666666667,37.560338333333334,1,1.1,1,200.6,1,121.82,1,4.704561,1781186277000,2076805651543574
2076806707,gps,55.66734666666666,37.56039833333333,1,1.1,1,200.8,1,120.89,1,4.619632,1781186278000,2076806650864266
2076807710,gps,55.66732666666667,37.560455000000005,1,1.1,1,201.2,1,124.06,1,4.521835,1781186279000,2076807650765805
2076808711,gps,55.66731166666667,37.56050833333334,1,1.1,1,201.4,1,112.9,1,4.400875,1781186280000,2076808649224805
2076809711,gps,55.66730833333333,37.560563333333334,1,1.2,1,201.9,1,94.85,1,4.2536645,1781186281000,2076809651417497
2076810704,gps,55.667316666666665,37.560608333333334,1,1.2,1,202.2,1,65.09,1,4.045717,1781186282000,2076810649312882
2076811710,gps,55.66733166666666,37.56064833333333,1,1.2,1,202.2,1,59.86,1,3.8351953,1781186283000,2076811653022728
2076812715,gps,55.667339999999996,37.56068833333333,1,1.2,1,202.2,1,76.22,1,3.6380568,1781186284000,2076812651447651
2076813706,gps,55.66734666666666,37.56072833333334,1,1.2,1,202.7,1,78.97,1,3.4609923,1781186285000,2076813650307575
2076814723,gps,55.667355,37.56077333333334,1,1.2,1,203.2,1,76.16,1,3.3266497,1781186286000,2076814652405421
2076815708,gps,55.667363333333334,37.56082333333333,1,1.1,1,203.4,1,76.42,1,3.2283378,1781186287000,2076815652590652
2076816704,gps,55.66737,37.560876666666665,1,1.1,1,203.5,1,79.75,1,3.146497,1781186288000,2076816651183036
2076816936,network,55.6677068,37.5600642,1,32.661,1,209.3000030517578,0,0.0,0,0.0,1781186287657,2076816306000000
2076817712,gps,55.66737666666666,37.56092833333333,1,1.1,1,203.3,1,78.75,1,3.0821567,1781186289000,2076817652175036
2076818708,gps,55.667383333333326,37.56098,1,1.1,1,203.6,1,78.29,1,3.0404642,1781186290000,2076818649179344
2076819707,gps,55.667388333333335,37.561031666666665,1,1.1,1,203.7,1,83.81,1,3.0311992,1781186291000,2076819647922036
2076820710,gps,55.66738999999999,37.56108666666667,1,1.1,1,203.7,1,86.24,1,3.0929658,1781186292000,2076820653548190
2076821711,gps,55.66739166666666,37.561146666666666,1,1.1,1,203.5,1,82.66,1,3.175836,1781186293000,2076821652604267
2076822712,gps,55.66739333333333,37.56120666666666,1,1.1,1,203.1,1,84.99,1,3.255618,1781186294000,2076822651578114
2076823711,gps,55.667395000000006,37.561263333333336,1,1.1,1,202.7,1,86.96,1,3.324591,1781186295000,2076823653256267
2076824706,gps,55.667395000000006,37.56131833333333,1,1.1,1,202.3,1,86.92,1,3.3580477,1781186296000,2076824650398344
2076825707,gps,55.667396666666676,37.561375,1,1.1,1,201.6,1,86.13,1,3.3693717,1781186297000,2076825651479652
2076826711,gps,55.66739833333333,37.561431666666664,1,1.2,1,200.9,1,82.88,1,3.3935635,1781186298000,2076826651181114
2076827707,gps,55.66740166666667,37.56148333333333,1,1.2,1,200.9,1,83.6,1,3.4295943,1781186299000,2076827651335268
2076828708,gps,55.667404999999995,37.56153833333334,1,1.2,1,200.9,1,81.5,1,3.4702573,1781186300000,2076828650772575
2076829715,gps,55.667406666666665,37.56160166666667,1,1.2,1,200.7,1,93.09,1,3.542833,1781186301000,2076829655043037
2076830708,gps,55.66740166666667,37.56167000000001,1,1.2,1,200.5,1,101.98,1,3.6035702,1781186302000,2076830653120806
2076831706,gps,55.667384999999996,37.56174,1,1.3,1,199.6,1,115.47,1,3.6607044,1781186303000,2076831651460883
2076832712,gps,55.667365000000004,37.56179833333333,1,1.3,1,198.2,1,120.3,1,3.7018821,1781186304000,2076832651281499
2076833704,gps,55.66734499999999,37.56185166666667,1,1.3,1,197.7,1,123.98,1,3.7373981,1781186305000,2076833650792576
2076834709,gps,55.66733166666666,37.56189833333334,1,1.3,1,198.0,1,118.9,1,3.759531,1781186306000,2076834650691653
2076835730,gps,55.66731166666667,37.56195,1,1.3,1,198.8,1,121.74,1,3.7862966,1781186307000,2076835653050653
2076836707,gps,55.667294999999996,37.561998333333335,1,1.3,1,199.0,1,120.76,1,3.7883556,1781186308000,2076836650166961
2076836944,network,55.6673895,37.5619213,1,21.786,1,205.70001220703125,0,0.0,0,0.0,1781186306387,2076835036000000
2076837718,gps,55.66728333333334,37.562045,1,1.3,1,199.0,1,116.33,1,3.7687962,1781186309000,2076837649078345
2076838715,gps,55.667271666666664,37.56209333333334,1,1.3,1,199.5,1,119.44,1,3.7296772,1781186310000,2076838652413191
2076839709,gps,55.667253333333335,37.562135,1,1.2,1,199.5,1,124.94,1,3.6426892,1781186311000,2076839652262038
2076840705,gps,55.667235,37.562175,1,1.2,1,199.6,1,128.5,1,3.552098,1781186312000,2076840649824807
2076841711,gps,55.667216666666675,37.56221166666667,1,1.2,1,199.8,1,131.34,1,3.418785,1781186313000,2076841651926115
2076842716,gps,55.66720166666667,37.56223833333333,1,1.2,1,199.8,1,132.75,1,3.2262788,1781186314000,2076842650709499
2076843707,gps,55.66719333333334,37.56225,1,1.2,1,200.1,1,121.77,1,2.9102395,1781186315000,2076843650010961
2076844707,gps,55.66719,37.56225,1,1.2,1,200.1,1,127.4,1,2.57567,1781186316000,2076844649571961
2076845710,gps,55.66718833333333,37.56225333333334,1,1.2,1,200.0,1,114.08,1,2.2431595,1781186317000,2076845653293423
2076846715,gps,55.66718833333333,37.56225166666666,1,1.1,1,199.9,1,146.18,1,1.8972661,1781186318000,2076846651020807
2076847711,gps,55.66718833333333,37.56225166666666,1,1.1,1,199.8,1,124.85,1,1.5575495,1781186319000,2076847655048807
2076848710,gps,55.66718833333333,37.56224833333333,1,1.1,1,199.7,1,274.41,1,1.2317302,1781186320000,2076848654534115
2076849709,gps,55.66718833333333,37.56224666666667,1,1.1,1,199.6,1,42.71,1,0.92341167,1781186321000,2076849649777192
2076850711,gps,55.66718833333333,37.56225166666666,1,1.1,1,199.6,1,90.86,1,0.65421194,1781186322000,2076850650715961
2076851719,gps,55.66719,37.56225333333334,1,1.2,1,199.5,1,340.99,1,0.39993918,1781186323000,2076851650545808
2076852716,gps,55.66719333333334,37.56225,1,1.2,1,199.2,1,325.54,1,0.0,1781186324000,2076852652344808
2076853718,gps,55.66719833333333,37.56225,1,1.2,1,198.9,1,353.63,1,0.0,1781186325000,2076853652572885
2076854718,gps,55.667203333333326,37.56225,1,1.2,1,198.6,1,358.73,1,0.0,1781186326000,2076854650700577
2076855715,gps,55.667203333333326,37.56225,1,1.2,1,198.6,1,358.73,1,0.0,1781186327000,2076855650291577
2076856729,gps,55.667203333333326,37.56225,1,1.2,1,198.6,1,358.73,1,0.0,1781186328000,2076856650124885
2076856954,network,55.667367,37.5618225,1,20.557,1,205.70001220703125,0,0.0,0,0.0,1781186309375,2076838024000000
2076857720,gps,55.667203333333326,37.56225,1,1.2,1,198.6,1,358.73,1,0.0,1781186329000,2076857651595654
2076858709,gps,55.667203333333326,37.56225,1,1.1,1,198.6,1,358.73,1,0.0,1781186330000,2076858651341116
