qmc6308,qst,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2076713429,3,-17.175001,3.6000001,-43.66875
2076713449,3,-17.25,4.5,-43.537502
2076713469,3,-16.050001,4.70625,-43.93125
2076713489,3,-16.462502,4.70625,-43.350002
2076713510,3,-13.687501,5.1000004,-44.381252
2076713530,3,-15.01875,5.025,-43.65
2076713563,3,-11.53125,5.4187503,-43.93125
2076713583,3,-14.1,5.1375003,-43.93125
2076713603,3,-15.375001,4.8375,-43.350002
2076713623,3,-15.4875,4.93125,-43.425003
2076713643,3,-16.95,4.425,-43.143753
2076713663,3,-17.2875,4.40625,-42.73125
2076713683,3,-17.475,3.91875,-42.9
2076713703,3,-17.587502,4.40625,-43.03125
2076713723,3,-17.38125,4.5,-43.03125
2076713743,3,-17.362501,4.5,-43.0125
2076713763,3,-17.400002,4.5,-43.0125
2076713783,3,-17.4375,4.4812503,-43.0125
2076713803,3,-17.456251,4.4437504,-42.99375
2076713823,3,-17.456251,4.40625,-42.99375
2076713843,3,-17.475,4.3875003,-42.975002
2076713863,3,-17.493752,4.3500004,-42.956253
2076713883,3,-17.493752,4.33125,-42.9375
2076713903,3,-17.53125,4.2937503,-42.9375
2076713923,3,-17.56875,4.275,-42.9375
2076713943,3,-17.56875,4.21875,-42.9375
2076713963,3,-17.587502,4.18125,-42.91875
2076713983,3,-17.587502,4.125,-42.9
2076714003,3,-17.587502,4.0875,-42.881252
2076714023,3,-17.587502,4.03125,-42.91875
2076714043,3,-17.60625,3.9750001,-42.9375
2076714063,3,-17.56875,3.91875,-42.9375
2076714083,3,-17.53125,3.8625002,-42.9375
2076714103,3,-17.53125,3.825,-42.956253
2076714123,3,-17.53125,3.7687502,-42.975002
2076714143,3,-17.53125,3.7125,-43.0125
2076714163,3,-17.493752,3.6375,-43.03125
2076714183,3,-17.475,3.5812502,-43.050003
2076714203,3,-17.456251,3.4875002,-43.03125
2076714223,3,-17.325,3.43125,-43.050003
2076714243,3,-17.23125,3.35625,-43.0875
2076714263,3,-17.175001,3.3000002,-43.10625
2076714283,3,-17.1,3.2250001,-43.143753
2076714303,3,-17.0625,3.16875,-43.18125
2076714323,3,-17.00625,3.0937502,-43.18125
2076714343,3,-16.96875,3.0375001,-43.18125
2076714363,3,-16.9125,2.9625,-43.2
2076714383,3,-16.931252,2.8875,-43.2
2076714403,3,-16.931252,2.8312502,-43.2
2076714423,3,-16.931252,2.775,-43.162502
2076714443,3,-16.95,2.71875,-43.143753
2076714463,3,-16.95,2.6625001,-43.143753
2076714483,3,-16.931252,2.60625,-43.143753
2076714503,3,-16.875,2.5875,-43.18125
2076714523,3,-16.9125,2.53125,-43.2
2076714543,3,-16.95,2.4562502,-43.21875
2076714563,3,-16.9125,2.34375,-43.237503
2076714583,3,-16.931252,2.1937501,-43.237503
2076714603,3,-16.893751,1.9687501,-43.275
2076714623,3,-16.9125,1.66875,-43.275
2076714643,3,-16.85625,1.2375001,-43.29375
2076714663,3,-16.800001,0.675,-43.256252
2076714683,3,-16.650002,-0.0375,-43.331253
2076714703,3,-16.5375,-0.93750006,-43.36875
2076714723,3,-16.40625,-1.9875001,-43.40625
2076714743,3,-16.29375,-3.2062502,-43.40625
2076714763,3,-16.1625,-4.55625,-43.36875
2076714783,3,-16.087502,-6.0375004,-43.237503
2076714803,3,-16.06875,-7.6125,-43.068752
2076714823,3,-16.10625,-9.3,-42.787502
2076714843,3,-16.125,-11.043751,-42.506252
2076714863,3,-16.2,-12.843751,-42.15
2076714883,3,-16.25625,-14.681251,-41.775
2076714903,3,-16.368752,-16.518751,-41.30625
2076714923,3,-16.425001,-18.35625,-40.8375
2076714943,3,-16.575,-20.1,-40.3125
2076714963,3,-16.706251,-21.712502,-39.787502
2076714983,3,-16.95,-23.175001,-39.15
2076715003,3,-17.118752,-24.393751,-38.475002
2076715023,3,-17.268751,-25.368752,-37.912502
2076715043,3,-17.4375,-26.1,-37.425003
2076715063,3,-17.6625,-26.643751,-37.0125
2076715083,3,-17.85,-27.018751,-36.675003
2076715103,3,-18.075,-27.300001,-36.375
2076715123,3,-18.243752,-27.431252,-36.1875
2076715143,3,-18.46875,-27.431252,-36.0
2076715163,3,-18.69375,-27.31875,-35.8875
2076715183,3,-18.956251,-27.093752,-35.775
2076715203,3,-19.1625,-26.775002,-35.756252
2076715223,3,-19.368752,-26.41875,-35.756252
2076715243,3,-19.59375,-26.00625,-35.79375
2076715263,3,-19.931252,-25.612501,-35.8125
2076715283,3,-20.212502,-25.275002,-35.8875
2076715303,3,-20.56875,-25.031252,-35.943752
2076715323,3,-20.962502,-24.91875,-35.831253
2076715343,3,-21.375,-24.975,-35.60625
2076715363,3,-21.75,-25.181252,-35.325
2076715383,3,-22.125,-25.518751,-34.95
2076715403,3,-22.44375,-25.968752,-34.425003
2076715423,3,-22.81875,-26.587502,-33.75
2076715443,3,-23.175001,-27.393751,-32.943752
2076715463,3,-23.587502,-28.368752,-31.875002
2076715483,3,-24.0,-29.5125,-30.6
2076715503,3,-24.487501,-30.7875,-29.04375
2076715523,3,-24.937502,-32.1375,-27.281252
2076715543,3,-25.312502,-33.5625,-25.25625
2076715563,3,-25.5375,-35.025,-23.04375
2076715583,3,-25.725,-36.506252,-20.6625
2076715603,3,-25.81875,-37.987503,-18.16875
2076715623,3,-25.800001,-39.46875,-15.6
2076715643,3,-25.63125,-40.893753,-13.031251
2076715663,3,-25.44375,-42.24375,-10.40625
2076715683,3,-25.2,-43.518753,-7.8375
2076715703,3,-24.88125,-44.7,-5.3250003
2076715723,3,-24.431252,-45.75,-2.98125
2076715743,3,-23.962502,-46.65,-0.80625004
2076715763,3,-23.400002,-47.4,1.06875
2076715783,3,-22.837502,-48.018753,2.68125
2076715803,3,-22.237501,-48.506252,3.9562502
2076715823,3,-21.6375,-48.881252,4.93125
2076715843,3,-21.018751,-49.162502,5.55
2076715863,3,-20.493752,-49.36875,5.8125
2076715883,3,-20.00625,-49.518753,5.83125
2076715903,3,-19.66875,-49.631252,5.5687504
2076715923,3,-19.368752,-49.65,5.1000004
2076715943,3,-19.237501,-49.631252,4.5375004
2076715963,3,-19.1625,-49.575,3.825
2076715983,3,-19.2,-49.500004,3.0187502
2076716003,3,-19.331251,-49.3875,2.1750002
2076716023,3,-19.59375,-49.256252,1.35
2076716043,3,-19.9125,-49.0875,0.52500004
2076716063,3,-20.325,-48.9,-0.26250002
2076716083,3,-20.737501,-48.675003,-1.0125
2076716103,3,-21.2625,-48.412502,-1.6500001
2076716123,3,-21.862501,-48.131252,-2.2875001
2076716143,3,-22.575,-47.850002,-2.8125
2076716163,3,-23.268751,-47.53125,-3.2250001
2076716183,3,-24.018751,-47.193752,-3.4875002
2076716203,3,-24.712502,-46.8375,-3.61875
2076716223,3,-25.5375,-46.5,-3.5812502
2076716243,3,-26.38125,-46.125,-3.43125
2076716263,3,-27.2625,-45.768753,-3.05625
2076716283,3,-28.06875,-45.412502,-2.5500002
2076716303,3,-28.875002,-45.112503,-1.8750001
2076716323,3,-29.550001,-44.831253,-1.03125
2076716343,3,-30.150002,-44.5875,-0.09375
2076716363,3,-30.581251,-44.41875,0.88125
2076716383,3,-30.956251,-44.30625,1.8750001
2076716403,3,-31.143751,-44.25,2.86875
2076716423,3,-31.237501,-44.268753,3.9
2076716443,3,-31.181252,-44.325,4.9500003
2076716463,3,-31.050001,-44.4375,6.0
2076716483,3,-30.768751,-44.60625,7.0687504
2076716503,3,-30.50625,-44.79375,8.19375
2076716523,3,-30.018751,-45.0,9.262501
2076716543,3,-29.475,-45.24375,10.2375
2076716563,3,-28.875002,-45.487503,11.1
2076716583,3,-28.29375,-45.75,11.90625
2076716603,3,-27.675001,-45.975002,12.543751
2076716623,3,-27.206251,-46.18125,13.012501
2076716643,3,-26.775002,-46.331253,13.387501
2076716663,3,-26.475,-46.443752,13.743751
2076716683,3,-26.23125,-46.48125,14.08125
2076716703,3,-26.118752,-46.5,14.400001
2076716723,3,-25.968752,-46.4625,14.681251
2076716743,3,-26.00625,-46.425003,14.962501
2076716763,3,-26.062502,-46.36875,15.243751
2076716783,3,-26.212502,-46.275,15.431251
2076716803,3,-26.325,-46.2,15.4875
2076716823,3,-26.493752,-46.143753,15.50625
2076716843,3,-26.56875,-46.125,15.468751
2076716863,3,-26.625002,-46.125,15.375001
2076716883,3,-26.531252,-46.21875,15.168751
2076716903,3,-26.343752,-46.350002,14.925
2076716923,3,-26.04375,-46.5,14.64375
2076716943,3,-25.66875,-46.6875,14.306251
2076716963,3,-25.181252,-46.875,13.856251
2076716983,3,-24.69375,-47.11875,13.368751
2076717003,3,-24.150002,-47.362503,12.825001
2076717023,3,-23.6625,-47.60625,12.225
2076717043,3,-23.081251,-47.831253,11.512501
2076717063,3,-22.5375,-48.05625,10.743751
2076717083,3,-21.862501,-48.300003,9.8625
2076717103,3,-21.225,-48.54375,8.981251
2076717123,3,-20.5125,-48.750004,8.0625
2076717143,3,-19.893751,-48.99375,7.18125
2076717163,3,-19.25625,-49.237503,6.3
2076717183,3,-18.69375,-49.48125,5.4750004
2076717203,3,-18.112501,-49.74375,4.6875
2076717223,3,-17.60625,-50.081253,3.9
2076717243,3,-17.1,-50.475002,3.1312501
2076717263,3,-16.6875,-50.943752,2.3812501
2076717283,3,-16.275002,-51.393753,1.5562501
2076717303,3,-15.993751,-51.825,0.675
2076717323,3,-15.750001,-52.143753,-0.28125
2076717343,3,-15.637501,-52.331253,-1.1812501
2076717363,3,-15.656251,-52.350002,-2.04375
2076717383,3,-15.8625,-52.237503,-2.7562501
2076717403,3,-16.275002,-52.050003,-3.2812502
2076717423,3,-16.837502,-51.881252,-3.5625002
2076717443,3,-17.475,-51.750004,-3.6562502
2076717463,3,-18.206251,-51.693752,-3.5812502
2076717483,3,-18.975,-51.693752,-3.43125
2076717503,3,-19.837502,-51.73125,-3.1312501
2076717523,3,-20.681252,-51.693752,-2.775
2076717543,3,-21.6,-51.61875,-2.2687502
2076717563,3,-22.5,-51.525,-1.63125
2076717583,3,-23.456251,-51.45,-0.80625004
2076717603,3,-24.337502,-51.393753,0.1875
2076717623,3,-25.25625,-51.487503,1.3875
2076717643,3,-26.062502,-51.7125,2.625
2076717663,3,-26.79375,-52.0875,3.8437502
2076717683,3,-27.35625,-52.612503,5.0437503
2076717703,3,-27.750002,-53.2125,6.05625
2076717723,3,-28.06875,-53.775,6.80625
2076717743,3,-28.425001,-54.2625,7.2562504
2076717763,3,-28.85625,-54.61875,7.4437504
2076717783,3,-29.493752,-54.825,7.4062505
2076717803,3,-30.206251,-54.9,7.2000003
2076717823,3,-31.0125,-54.975002,6.9375005
2076717843,3,-31.7625,-55.031254,6.5437503
2076717863,3,-32.5125,-55.050003,6.0937505
2076717883,3,-33.1875,-55.068752,5.55
2076717903,3,-33.84375,-55.0875,5.025
2076717923,3,-34.3875,-55.0875,4.4625
2076717943,3,-34.93125,-55.0875,3.9375002
2076717963,3,-35.381252,-55.0875,3.525
2076717983,3,-35.925003,-55.0875,3.2062502
2076718003,3,-36.46875,-55.068752,2.9437501
2076718023,3,-37.050003,-55.050003,2.7375002
2076718043,3,-37.55625,-55.0125,2.60625
2076718063,3,-38.006252,-55.0125,2.6437502
2076718083,3,-38.25,-55.050003,2.8125
2076718103,3,-38.41875,-55.10625,3.1312501
2076718123,3,-38.5125,-55.162502,3.4875002
2076718143,3,-38.643753,-55.18125,3.8812501
2076718163,3,-38.756252,-55.218754,4.275
2076718183,3,-38.8875,-55.218754,4.6875
2076718203,3,-38.98125,-55.18125,5.08125
2076718223,3,-39.037502,-55.125004,5.4750004
2076718243,3,-39.075,-55.031254,5.8875003
2076718263,3,-39.09375,-54.9,6.3
2076718283,3,-39.0,-54.7125,6.6937504
2076718303,3,-38.8875,-54.506252,7.05
2076718323,3,-38.625,-54.281254,7.3875003
2076718343,3,-38.325,-54.037502,7.70625
2076718363,3,-37.893753,-53.79375,8.00625
2076718383,3,-37.55625,-53.550003,8.26875
2076718403,3,-37.125,-53.287502,8.418751
2076718423,3,-36.6375,-53.04375,8.53125
2076718443,3,-36.09375,-52.800003,8.55
2076718463,3,-35.643753,-52.593754,8.606251
2076718483,3,-35.1375,-52.3875,8.71875
2076718503,3,-34.65,-52.18125,8.868751
2076718523,3,-34.125,-51.99375,9.0
2076718543,3,-33.61875,-51.80625,9.168751
2076718563,3,-33.112503,-51.656254,9.28125
2076718583,3,-32.643753,-51.525,9.375
2076718603,3,-32.11875,-51.45,9.50625
2076718623,3,-31.706251,-51.375004,9.69375
2076718643,3,-31.312502,-51.318752,9.918751
2076718663,3,-31.050001,-51.300003,10.21875
2076718683,3,-30.750002,-51.2625,10.462501
2076718703,3,-30.468752,-51.24375,10.743751
2076718723,3,-30.281252,-51.225002,11.043751
2076718743,3,-30.2625,-51.206253,11.418751
2076718763,3,-30.150002,-51.206253,11.75625
2076718783,3,-30.093752,-51.225002,12.056251
2076718803,3,-30.018751,-51.2625,12.31875
2076718823,3,-30.0375,-51.3375,12.543751
2076718843,3,-30.056252,-51.45,12.637501
2076718863,3,-30.112501,-51.581253,12.656251
2076718883,3,-30.206251,-51.7125,12.58125
2076718903,3,-30.525002,-51.881252,12.450001
2076718923,3,-30.862501,-52.0875,12.225
2076718943,3,-31.35,-52.350002,11.85
2076718963,3,-31.875002,-52.65,11.306251
2076718983,3,-32.41875,-52.987503,10.78125
2076719003,3,-32.943752,-53.4,10.35
2076719023,3,-33.506252,-53.812504,9.95625
2076719043,3,-33.9375,-54.187504,9.5625
2076719063,3,-34.443752,-54.525,9.20625
2076719083,3,-34.95,-54.825,8.868751
2076719103,3,-35.456253,-55.125004,8.56875
2076719123,3,-35.943752,-55.406254,8.325001
2076719143,3,-36.487503,-55.706253,8.19375
2076719163,3,-37.0125,-55.987503,8.175
2076719183,3,-37.518753,-56.268753,8.231251
2076719203,3,-37.8375,-56.531254,8.38125
2076719223,3,-38.11875,-56.775,8.606251
2076719243,3,-38.25,-57.018753,9.0
2076719263,3,-38.2125,-57.206253,9.46875
2076719283,3,-38.0625,-57.3375,9.95625
2076719303,3,-37.96875,-57.375004,10.368751
2076719323,3,-37.85625,-57.375004,10.70625
2076719343,3,-37.800003,-57.393753,11.1
2076719363,3,-37.6875,-57.45,11.45625
2076719383,3,-37.575,-57.506252,11.83125
2076719403,3,-37.4625,-57.581253,12.13125
2076719423,3,-37.350002,-57.6375,12.450001
2076719443,3,-37.2,-57.693752,12.731251
2076719463,3,-37.068752,-57.7125,12.937501
2076719483,3,-36.91875,-57.73125,13.106251
2076719503,3,-36.881252,-57.768753,13.2375
2076719523,3,-36.768753,-57.768753,13.368751
2076719543,3,-36.73125,-57.7125,13.462501
2076719563,3,-36.73125,-57.656254,13.556251
2076719583,3,-36.787502,-57.6375,13.668751
2076719603,3,-36.768753,-57.61875,13.743751
2076719623,3,-36.73125,-57.61875,13.856251
2076719643,3,-36.5625,-57.61875,13.9125
2076719663,3,-36.375,-57.675003,13.875001
2076719683,3,-36.05625,-57.73125,13.781251
2076719703,3,-35.775,-57.787502,13.63125
2076719723,3,-35.4,-57.825,13.368751
2076719743,3,-34.95,-57.881252,13.05
2076719763,3,-34.518753,-57.956253,12.69375
2076719783,3,-34.125,-58.0125,12.281251
2076719803,3,-33.65625,-58.050003,11.75625
2076719823,3,-33.24375,-58.068752,11.212501
2076719843,3,-32.775,-58.068752,10.6125
2076719863,3,-32.34375,-58.068752,10.012501
2076719883,3,-31.9125,-58.031254,9.39375
2076719903,3,-31.556252,-57.99375,8.775001
2076719923,3,-31.181252,-57.956253,8.15625
2076719943,3,-30.862501,-57.9,7.65
2076719963,3,-30.581251,-57.80625,7.18125
2076719983,3,-30.337502,-57.693752,6.80625
