orientation,mtk,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2076713622,3,89.46668,-3.134032,-6.326311
2076713632,3,84.6423,-2.875551,-6.390452
2076713642,3,79.83107,-2.998674,-6.464563
2076713652,3,75.514,-3.21572,-6.498913
2076713663,3,71.32681,-3.43795,-6.465381
2076713673,3,66.97216,-3.605077,-6.436787
2076713683,3,62.75325,-3.682819,-6.482265
2076713693,3,58.572166,-3.67736,-6.510723
2076713703,3,59.38575,-3.501848,-6.292921
2076713713,3,60.155563,-3.147067,-6.271548
2076713723,3,60.88421,-2.973729,-6.204643
2076713733,3,61.10805,-2.976608,-6.211207
2076713743,3,61.180443,-2.989686,-6.224663
2076713753,3,61.39019,-3.008317,-6.242248
2076713763,3,61.456944,-3.034439,-6.262733
2076713773,3,61.437485,-3.065135,-6.279385
2076713783,3,61.422203,-3.085937,-6.295245
2076713794,3,61.36505,-3.091946,-6.314407
2076713804,3,61.332806,-3.095637,-6.334491
2076713814,3,61.3093,-3.100918,-6.351304
2076713824,3,61.298477,-3.106463,-6.368222
2076713834,3,61.293663,-3.119612,-6.389639
2076713844,3,61.29186,-3.138819,-6.406958
2076713854,3,61.29198,-3.164194,-6.422676
2076713864,3,61.293858,-3.190514,-6.43427
2076713874,3,61.298615,-3.211388,-6.441049
2076713884,3,61.301632,-3.229045,-6.44743
2076713894,3,61.301517,-3.242164,-6.45357
2076713904,3,61.30155,-3.252806,-6.461249
2076713914,3,61.308674,-3.2624,-6.476033
2076713925,3,61.32739,-3.287586,-6.494476
2076713935,3,61.329117,-3.32818,-6.518008
2076713945,3,61.328396,-3.383042,-6.547092
2076713955,3,61.312828,-3.44164,-6.573838
2076713965,3,61.287655,-3.487181,-6.594175
2076713975,3,61.25262,-3.521585,-6.614655
2076713985,3,61.212772,-3.54572,-6.629251
2076713995,3,61.172886,-3.561834,-6.641906
2076714005,3,61.12758,-3.578892,-6.65591
2076714015,3,61.104607,-3.598401,-6.666088
2076714025,3,61.084442,-3.630735,-6.67739
2076714035,3,61.077126,-3.668683,-6.686652
2076714045,3,61.079086,-3.699873,-6.685796
2076714055,3,61.090927,-3.718967,-6.677681
2076714066,3,61.108437,-3.722196,-6.663197
2076714076,3,61.130478,-3.71481,-6.656356
2076714086,3,61.161484,-3.722313,-6.652558
2076714096,3,61.18753,-3.760032,-6.64428
2076714106,3,61.203438,-3.813406,-6.635321
2076714116,3,61.2101,-3.865602,-6.633413
2076714126,3,61.20804,-3.924569,-6.630038
2076714136,3,61.202732,-3.977542,-6.618234
2076714146,3,61.191444,-4.020139,-6.613607
2076714156,3,61.16994,-4.052283,-6.605165
2076714166,3,61.138393,-4.084806,-6.597016
2076714176,3,61.09942,-4.131533,-6.605038
2076714186,3,61.062214,-4.188183,-6.622824
2076714197,3,61.023884,-4.254523,-6.642556
2076714207,3,60.983566,-4.320122,-6.658622
2076714217,3,60.92205,-4.383174,-6.662605
2076714227,3,60.84054,-4.425658,-6.664378
2076714237,3,60.74992,-4.449364,-6.659001
2076714247,3,60.66537,-4.450486,-6.646132
2076714257,3,60.604675,-4.444641,-6.634975
2076714267,3,60.55124,-4.46088,-6.628986
2076714277,3,60.50564,-4.486568,-6.618471
2076714287,3,60.46369,-4.533221,-6.614354
2076714297,3,60.42386,-4.603632,-6.617656
2076714307,3,60.380013,-4.680402,-6.624161
2076714317,3,60.321995,-4.7459,-6.635961
2076714328,3,60.248585,-4.793543,-6.650673
2076714338,3,60.15589,-4.830658,-6.66672
2076714348,3,60.05818,-4.865783,-6.692909
2076714358,3,59.946842,-4.914545,-6.721265
2076714368,3,59.818954,-4.98193,-6.754517
2076714378,3,59.690186,-5.061891,-6.784033
2076714388,3,59.56963,-5.131376,-6.812314
2076714398,3,59.45773,-5.184287,-6.845635
2076714408,3,59.347828,-5.22046,-6.873344
2076714418,3,59.237732,-5.261527,-6.897209
2076714428,3,59.13478,-5.296775,-6.922553
2076714438,3,59.04745,-5.328089,-6.952419
2076714448,3,58.981766,-5.357642,-6.973435
2076714458,3,58.935005,-5.386056,-6.993897
2076714469,3,58.908276,-5.40085,-7.011853
2076714479,3,58.905216,-5.412158,-7.013975
2076714489,3,58.908543,-5.431182,-7.008318
2076714499,3,58.91258,-5.448491,-6.993503
2076714509,3,58.904697,-5.464864,-6.979084
2076714519,3,58.89983,-5.484676,-6.97068
2076714529,3,58.921047,-5.499606,-6.966467
2076714539,3,58.975365,-5.508647,-6.949428
2076714549,3,59.046795,-5.505859,-6.926651
2076714559,3,59.13008,-5.506733,-6.883156
2076714569,3,59.248665,-5.516957,-6.833596
2076714579,3,59.444324,-5.4739,-6.769612
2076714589,3,59.712765,-5.446085,-6.685872
2076714600,3,60.103737,-5.272013,-6.591511
2076714610,3,60.58784,-5.164359,-6.51
2076714620,3,61.14027,-5.119326,-6.475714
2076714630,3,61.747066,-5.148662,-6.434155
2076714640,3,62.38266,-5.284397,-6.384129
2076714650,3,63.190857,-5.162407,-6.147458
2076714660,3,64.172615,-5.002912,-5.872467
2076714670,3,65.2094,-5.148082,-5.702043
2076714680,3,66.06839,-5.672106,-5.694263
2076714690,3,66.58555,-6.569845,-5.919507
2076714700,3,66.55546,-7.945246,-6.362524
2076714710,3,65.92796,-9.497879,-6.806661
2076714720,3,64.953835,-10.587076,-7.108464
2076714731,3,63.67091,-11.289574,-7.303186
2076714741,3,62.135147,-11.887933,-7.406571
2076714751,3,60.55823,-12.389436,-7.41885
2076714761,3,59.164875,-12.835456,-7.398347
2076714771,3,58.156624,-13.312585,-7.329251
2076714781,3,57.684483,-14.061557,-7.220927
2076714791,3,57.8364,-14.8021,-7.131197
2076714801,3,58.27929,-15.685109,-7.200989
2076714811,3,58.72836,-16.756413,-7.380021
2076714821,3,59.10943,-17.81582,-7.560397
2076714831,3,59.341957,-18.870323,-7.734282
2076714841,3,59.413124,-19.92134,-7.814417
