spl07,goermicro,2026-06-11_16-56-21.805_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
2076713613,3,991.88
2076713713,3,991.88
2076713813,3,991.88
2076713913,3,991.88
2076714013,3,991.88
2076714113,3,991.88
2076714213,3,991.88
2076714313,3,991.88
2076714413,3,991.88
2076714513,3,991.88
2076714613,3,991.88
2076714713,3,991.88
2076714813,3,991.88
2076714913,3,991.88
2076715013,3,991.87
2076715113,3,991.88
2076715213,3,991.87
2076715313,3,991.87
2076715413,3,991.87
2076715513,3,991.87
2076715613,3,991.88
2076715713,3,991.88
2076715813,3,991.88
2076715913,3,991.88995
2076716013,3,991.88995
2076716113,3,991.88995
2076716213,3,991.89996
2076716313,3,991.89996
2076716413,3,991.91
2076716513,3,991.88995
2076716613,3,991.89996
2076716713,3,991.92
2076716813,3,991.91
2076716913,3,991.89996
2076717013,3,991.92
2076717113,3,991.92
2076717213,3,991.92
2076717313,3,991.93
2076717413,3,991.93
2076717513,3,991.92
2076717613,3,991.93
2076717713,3,991.94995
2076717813,3,991.94995
2076717913,3,991.94995
2076718013,3,991.95996
2076718113,3,991.91
2076718213,3,991.93
2076718313,3,991.94995
2076718413,3,991.93
2076718513,3,991.94995
2076718613,3,991.94995
2076718713,3,991.94995
2076718813,3,991.94995
2076718913,3,991.95996
2076719013,3,991.88
2076719113,3,991.89996
2076719213,3,991.93
2076719313,3,991.94995
2076719413,3,991.98
2076719513,3,991.94
2076719613,3,991.94
2076719713,3,991.94995
2076719813,3,991.98
2076719913,3,992.13
2076720013,3,991.99
2076720113,3,991.76996
2076720213,3,991.93
2076720313,3,991.97
2076720413,3,991.75
2076720513,3,991.5
2076720613,3,992.19
2076720713,3,991.92
2076720813,3,991.89996
2076720913,3,991.97
2076721013,3,991.81995
2076721113,3,991.75
2076721213,3,991.81
2076721313,3,991.88
2076721413,3,991.83997
2076721513,3,991.85
2076721613,3,991.93
2076721713,3,991.87
2076721813,3,991.91
2076721913,3,991.97
2076722013,3,991.94
2076722113,3,991.94
2076722213,3,992.19
2076722313,3,992.49
2076722413,3,991.68
2076722513,3,991.70996
2076722613,3,992.02997
2076722713,3,991.88995
2076722813,3,991.88995
2076722913,3,991.87
2076723013,3,991.88995
2076723113,3,991.87
2076723213,3,991.88995
2076723313,3,991.88995
2076723413,3,991.93
2076723513,3,991.89996
2076723613,3,991.76996
2076723713,3,991.87
2076723813,3,991.8
2076723913,3,991.85
2076724013,3,992.12
2076724113,3,991.83997
2076724213,3,991.87
2076724313,3,991.92
2076724413,3,991.88
2076724513,3,991.86
2076724613,3,991.8
2076724713,3,991.88995
2076724813,3,991.95996
2076724913,3,991.87
2076725013,3,991.88995
2076725113,3,992.0
2076725213,3,991.87
2076725313,3,991.88
2076725413,3,991.86
2076725513,3,991.87
2076725613,3,991.88
2076725713,3,991.86
2076725813,3,991.88
2076725913,3,991.86
2076726013,3,991.92
2076726113,3,991.94995
2076726213,3,991.89996
2076726313,3,991.83997
2076726413,3,991.86
2076726513,3,991.94995
2076726613,3,991.85
2076726713,3,991.85
2076726813,3,991.86
2076726913,3,991.88
2076727013,3,991.88
2076727113,3,991.86
2076727213,3,991.83997
2076727313,3,991.87
2076727413,3,991.86
2076727513,3,991.83997
2076727613,3,991.86
2076727713,3,991.85
2076727813,3,991.82996
2076727913,3,991.79
2076728013,3,991.88995
2076728113,3,991.86
2076728213,3,991.88
2076728313,3,991.91
2076728413,3,991.83997
2076728513,3,991.87
2076728613,3,991.86
2076728713,3,991.86
