icm4n607_gyro,iven_sense,2026-06-11_17-04-59.349_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2077231052,3,0.0224125,-0.032175,-0.015125
2077231062,3,0.010725,-0.0342375,-0.0171875
2077231072,3,-0.0020625,-0.0331375,-0.016224999
2077231082,3,-0.0116875,-0.0257125,-0.0171875
2077231092,3,-0.0213125,-0.012925,-0.0193875
2077231102,3,-0.024475,-1.375E-4,-0.0193875
2077231112,3,-0.023375,0.01155,-0.016224999
2077231122,3,-0.0180125,0.018975,-0.0182875
2077231132,3,-0.0105875,0.020075,-0.0182875
2077231142,3,-0.0020625,0.020075,-0.0193875
2077231152,3,0.007425,0.017875,-0.0204875
2077231162,3,0.0149875,0.014712499,-0.0193875
2077231173,3,0.01595,0.00935,-0.0171875
2077231183,3,0.0138875,0.004125,-0.012925
2077231193,3,0.0116875,-1.375E-4,-0.0097624995
2077231203,3,0.008525,-0.0023375,-0.0066
2077231213,3,0.007425,-0.0023375,-0.0034375
2077231223,3,0.0064625,-0.0012375,-1.375E-4
2077231233,3,0.0031625,-1.375E-4,8.25E-4
2077231243,3,0.0042625,0.001925,0.001925
2077231253,3,0.0053625,8.25E-4,0.003025
2077231263,3,0.007425,0.004125,-1.375E-4
2077231273,3,0.009625,0.004125,-0.0034375
2077231283,3,0.010725,0.001925,-0.0066
2077231293,3,0.009625,8.25E-4,-0.0077
2077231303,3,0.009625,8.25E-4,-0.0055
2077231314,3,0.009625,0.001925,-0.0034375
2077231324,3,0.0064625,8.25E-4,-1.375E-4
2077231334,3,0.0011,0.004125,8.25E-4
2077231344,3,-0.0031625,0.0061875,-1.375E-4
2077231354,3,-0.0031625,0.01045,-0.0034375
2077231364,3,0.0011,0.013612499,-0.0066
2077231374,3,0.0064625,0.0083875,-0.0108624995
2077231384,3,0.009625,0.001925,-0.015125
2077231394,3,0.010725,-0.0066,-0.0193875
2077231404,3,0.010725,-0.0097624995,-0.0204875
2077231414,3,0.007425,-0.0077,-0.0182875
2077231424,3,0.0053625,-0.0023375,-0.0171875
2077231434,3,0.0042625,0.001925,-0.016224999
2077231445,3,0.0031625,0.0072875,-0.014025
2077231455,3,0.0022,0.01045,-0.0119624995
2077231465,3,0.0011,0.01045,-0.0119624995
2077231475,3,0.0011,0.0158125,-0.0086624995
2077231485,3,0.0031625,0.021175,-0.0066
2077231495,3,0.0022,0.0232375,-0.0055
2077231505,3,0.0031625,0.021175,-0.0055
2077231515,3,0.0031625,0.0158125,-0.0066
2077231525,3,0.0042625,0.01045,-0.0066
2077231535,3,0.0064625,0.0072875,-0.0055
2077231545,3,0.007425,0.0050875,-0.0034375
2077231555,3,0.010725,0.0061875,-0.0034375
2077231565,3,0.0127875,0.0061875,-0.0034375
2077231576,3,0.0127875,0.0050875,-0.0023375
2077231586,3,0.009625,-0.0012375,-0.0055
2077231596,3,0.0031625,-0.0119624995,-0.0097624995
2077231606,3,-0.0031625,-0.015125,-0.0086624995
2077231616,3,-0.0042625,-0.0119624995,-0.0055
2077231626,3,-0.0042625,-0.0044,-0.0034375
2077231636,3,-0.0020625,0.0050875,-0.0012375
2077231646,3,0.0022,0.018975,-0.0012375
2077231656,3,0.0031625,0.0243375,-0.0034375
2077231666,3,0.0011,0.0275,-0.0044
2077231676,3,-0.0020625,0.0221375,-0.0077
2077231686,3,-0.0053625,0.00935,-0.0086624995
2077231696,3,-0.006325,-0.0023375,-0.0066
2077231706,3,-0.0031625,-0.0097624995,-0.0012375
2077231717,3,-0.0011,-0.014025,0.003025
2077231727,3,0.0042625,-0.0182875,0.004125
2077231737,3,0.0138875,-0.015125,0.004125
2077231747,3,0.0213125,-0.015125,8.25E-4
2077231757,3,0.026675,-0.012925,-0.0066
2077231767,3,0.026675,-0.0097624995,-0.012925
2077231777,3,0.024475,-0.0077,-0.0171875
2077231787,3,0.0213125,-0.0012375,-0.02255
2077231797,3,0.01925,0.0061875,-0.02145
2077231807,3,0.0116875,0.014712499,-0.02255
2077231817,3,0.0042625,0.0232375,-0.0204875
2077231827,3,-0.0042625,0.0254375,-0.016224999
2077231837,3,-0.01485,0.021175,-0.014025
2077231848,3,-0.024475,0.0158125,-0.0097624995
2077231858,3,-0.0319,0.013612499,-0.0044
2077231868,3,-0.0319,0.013612499,-0.0012375
2077231878,3,-0.025575,0.0158125,8.25E-4
2077231888,3,-0.01485,0.0221375,0.004125
2077231898,3,-0.0042625,0.0275,0.0061875
2077231908,3,0.0053625,0.0254375,0.0083875
2077231918,3,0.0127875,0.020075,0.01045
2077231928,3,0.0202125,0.01155,0.0083875
2077231938,3,0.025575,0.004125,0.0061875
2077231948,3,0.0287375,-1.375E-4,0.001925
2077231958,3,0.0309375,-0.0034375,-0.0023375
2077231968,3,0.0298375,-0.0055,-0.0066
2077231979,3,0.0287375,-0.0077,-0.0097624995
2077231989,3,0.026675,-0.0034375,-0.014025
2077231999,3,0.0224125,8.25E-4,-0.016224999
2077232009,3,0.01705,0.0083875,-0.0182875
2077232019,3,0.010725,0.01045,-0.02255
2077232029,3,0.0053625,0.013612499,-0.02145
2077232039,3,0.0022,0.0169125,-0.0204875
2077232049,3,-0.0031625,0.021175,-0.0204875
2077232059,3,-0.006325,0.017875,-0.015125
2077232069,3,-0.009625,0.013612499,-0.014025
2077232079,3,-0.009625,0.00935,-0.0108624995
2077232089,3,-0.006325,0.0083875,-0.0034375
2077232099,3,0.0031625,0.0083875,8.25E-4
2077232110,3,0.01815,0.01155,0.0083875
2077232120,3,0.033,0.001925,0.0072875
2077232130,3,0.050049998,-0.0268125,0.0072875
2077232140,3,0.0873125,-0.0683375,0.0061875
2077232150,3,0.1640375,-0.1109625,0.0061875
2077232160,3,0.2737625,-0.1428625,0.0050875
2077232170,3,0.4112625,-0.147125,-0.0077
2077232180,3,0.566775,-0.13653749,-0.0182875
2077232190,3,0.72545,-0.12375,-0.014025
2077232200,3,0.8757375,-0.0950125,-0.02145
2077232210,3,1.0162625,-0.0182875,-0.0364375
2077232220,3,1.1495,0.0988625,-0.0290125
2077232230,3,1.2815,0.17765,0.034925
2077232240,3,1.410475,0.198,0.102025
2077232251,3,1.543575,0.17985,0.1681625
2077232261,3,1.6896,0.14465,0.2490125
2077232271,3,1.849375,0.0680625,0.340725
2077232281,3,2.00915,-0.065175,0.44935
2077232291,3,2.150775,-0.2355375,0.6315375
2077232301,3,2.2957,-0.4560875,0.8647375
2077232311,3,2.4682624,-0.5817625,1.0852875
2077232321,3,2.6791875,-0.6479,1.2546875
2077232331,3,2.909225,-0.7255875,1.3825625
2077232341,3,3.1436625,-0.855525,1.484725
2077232351,3,3.3534875,-1.0484375,1.6083375
2077232361,3,3.56015,-1.2093124,1.7447375
2077232371,3,3.772175,-1.30295,1.8715125
2077232382,3,3.9766374,-1.3487375,1.990725
2077232392,3,4.13215,-1.413775,2.110075
2077232402,3,4.2387123,-1.5437125,2.1335876
2077232412,3,4.3132377,-1.702525,2.0142374
2077232422,3,4.33565,-1.901625,1.83315
2077232432,3,4.3132377,-2.0774875,1.6328125
2077232442,3,4.2642875,-2.206325,1.3899875
2077232452,3,4.2153373,-2.274525,1.0586125
2077232462,3,4.2238626,-2.205225,0.7827875
