stk3a5x_als,sensortek,2026-06-11_17-04-59.349_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2077230968,3,7527.0
2077230968,3,7527.0
2077231101,3,7569.0
2077231111,3,7569.0
2077231121,3,7569.0
2077231131,3,7569.0
2077231141,3,7569.0
2077231151,3,7569.0
2077231161,3,7560.0
2077231171,3,7560.0
2077231181,3,7560.0
2077231191,3,7560.0
2077231201,3,7560.0
2077231211,3,7561.0
2077231221,3,7561.0
2077231231,3,7561.0
2077231241,3,7561.0
2077231251,3,7561.0
2077231261,3,7582.0
2077231271,3,7582.0
2077231281,3,7582.0
2077231291,3,7582.0
2077231301,3,7582.0
2077231311,3,7607.0
2077231321,3,7607.0
2077231331,3,7607.0
2077231341,3,7607.0
2077231351,3,7607.0
2077231361,3,7631.0
2077231371,3,7631.0
2077231381,3,7631.0
2077231391,3,7631.0
2077231401,3,7631.0
2077231411,3,7646.0
2077231421,3,7646.0
2077231431,3,7646.0
2077231441,3,7646.0
2077231451,3,7646.0
2077231461,3,7646.0
2077231471,3,7660.0
2077231481,3,7660.0
2077231491,3,7660.0
2077231501,3,7660.0
2077231511,3,7660.0
2077231521,3,7660.0
2077231531,3,7660.0
2077231541,3,7660.0
2077231551,3,7660.0
2077231561,3,7660.0
2077231571,3,7662.0
2077231581,3,7662.0
2077231591,3,7662.0
2077231601,3,7662.0
2077231611,3,7662.0
2077231621,3,7676.0
2077231631,3,7676.0
2077231641,3,7676.0
2077231651,3,7676.0
2077231661,3,7676.0
2077231671,3,7680.0
2077231681,3,7680.0
2077231691,3,7680.0
2077231701,3,7680.0
2077231711,3,7680.0
2077231721,3,7674.0
2077231731,3,7674.0
2077231741,3,7674.0
2077231751,3,7674.0
2077231761,3,7674.0
2077231771,3,7674.0
2077231781,3,7687.0
2077231791,3,7687.0
2077231801,3,7687.0
2077231811,3,7687.0
2077231821,3,7687.0
2077231831,3,7697.0
2077231841,3,7697.0
2077231851,3,7697.0
2077231861,3,7697.0
2077231871,3,7697.0
2077231881,3,7679.0
2077231891,3,7679.0
2077231901,3,7679.0
2077231911,3,7679.0
2077231921,3,7679.0
2077231931,3,7662.0
2077231941,3,7662.0
2077231951,3,7662.0
2077231961,3,7662.0
2077231971,3,7662.0
2077231981,3,7667.0
2077231991,3,7667.0
2077232001,3,7667.0
2077232011,3,7667.0
2077232021,3,7667.0
2077232031,3,7669.0
2077232041,3,7669.0
2077232051,3,7669.0
2077232061,3,7669.0
2077232071,3,7669.0
2077232081,3,7669.0
2077232091,3,7642.0
2077232101,3,7642.0
2077232111,3,7642.0
2077232121,3,7642.0
2077232131,3,7642.0
2077232141,3,7638.0
2077232151,3,7638.0
2077232161,3,7638.0
2077232171,3,7638.0
2077232181,3,7638.0
2077232191,3,7816.0
2077232201,3,7816.0
2077232211,3,7816.0
2077232221,3,7816.0
2077232231,3,7816.0
2077232241,3,8338.0
2077232251,3,8338.0
2077232261,3,8338.0
2077232271,3,8338.0
2077232281,3,8338.0
2077232291,3,8911.0
2077232301,3,8911.0
2077232311,3,8911.0
2077232321,3,8911.0
2077232331,3,8911.0
2077232341,3,10025.0
2077232351,3,10025.0
2077232361,3,10025.0
2077232371,3,10025.0
2077232381,3,10025.0
2077232391,3,10731.0
2077232401,3,10731.0
2077232411,3,10731.0
2077232421,3,10731.0
2077232431,3,10731.0
2077232441,3,10731.0
2077232451,3,8051.0
2077232461,3,8051.0
2077232471,3,8051.0
2077232481,3,8051.0
2077232491,3,8051.0
2077232501,3,6526.0
2077232511,3,6526.0
2077232521,3,6526.0
2077232531,3,6526.0
2077232541,3,6526.0
2077232551,3,5657.0
2077232561,3,5657.0
2077232571,3,5657.0
2077232581,3,5657.0
2077232591,3,5657.0
2077232601,3,3921.0
2077232611,3,3921.0
2077232621,3,3921.0
2077232631,3,3921.0
2077232641,3,3921.0
2077232651,3,2683.0
2077232661,3,2683.0
2077232671,3,2683.0
2077232681,3,2683.0
2077232691,3,2683.0
2077232701,3,2223.0
2077232711,3,2223.0
2077232721,3,2223.0
2077232731,3,2223.0
2077232741,3,2223.0
2077232751,3,2223.0
2077232761,3,2478.0
2077232771,3,2478.0
2077232781,3,2478.0
2077232791,3,2478.0
2077232801,3,2478.0
2077232811,3,2457.0
2077232821,3,2457.0
2077232831,3,2457.0
2077232841,3,2457.0
2077232851,3,2457.0
2077232861,3,2177.0
2077232871,3,2177.0
2077232881,3,2177.0
2077232891,3,2177.0
2077232901,3,2177.0
2077232911,3,2046.0
2077232921,3,2046.0
2077232931,3,2046.0
2077232941,3,2046.0
2077232951,3,2046.0
2077232961,3,2053.0
2077232971,3,2053.0
2077232981,3,2053.0
2077232991,3,2053.0
2077233001,3,2053.0
2077233011,3,2003.0
2077233021,3,2003.0
2077233031,3,2003.0
2077233041,3,2003.0
2077233051,3,2003.0
2077233061,3,2003.0
2077233071,3,1982.0
