timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
245,2077665180,-0.0213125,-0.012925,0.020075,-2.2759502,3.1030502,9.35505,-0.95625,-2.2687502,-47.68125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,2077665190,-0.0383625,-0.054449998,-0.02255,-2.2789502,3.144,9.247951,-0.95625,-2.2687502,-47.68125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,2077665200,-0.05115,-0.0672375,-0.049225,-2.32905,3.28095,9.066,1.81875,-1.8000001,-47.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,2077665211,-0.0628375,-0.0501875,-0.0523875,-2.36505,3.4669502,8.88405,1.81875,-1.8000001,-47.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,2077665221,-0.066,-0.0077,-0.0342375,-2.39805,3.5749502,8.86005,0.375,-2.0625,-47.23125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,2077665231,-0.056375,0.0286,-0.0108624995,-2.394,3.5490003,9.03195,0.375,-2.0625,-47.23125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,2077665241,-0.0372625,0.037125,8.25E-4,-2.3790002,3.4360502,9.259951,0.91875005,-1.8000001,-47.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,2077665251,-0.0138875,0.018975,-0.0012375,-2.3770502,3.35205,9.37905,0.91875005,-1.8000001,-47.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,2077665261,0.0064625,-0.0044,-0.0086624995,-2.394,3.3330002,9.348001,-0.075,-2.0625,-47.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,2077665271,0.0202125,-0.02255,-0.015125,-2.38695,3.348,9.23295,-0.075,-2.0625,-47.04375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
