linear_acc,mtk,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2077665271,3,-0.755494,-1.221948,0.85969
2077665281,3,-0.589391,-0.986433,0.588411
2077665291,3,-0.43212,-0.795019,0.410012
2077665301,3,-0.336949,-0.617692,0.255676
2077665311,3,-0.291522,-0.443524,0.152118
2077665321,3,-0.263608,-0.277184,0.110718
2077665331,3,-0.224868,-0.13581,0.141946
2077665342,3,-0.224778,-0.115032,0.19132
2077665352,3,-0.199871,-0.199733,0.298241
2077665362,3,-0.15498,-0.304204,0.369414
2077665372,3,-0.097871,-0.318574,0.318387
2077665382,3,-0.038521,-0.273949,0.184988
2077665392,3,-0.007257,-0.164188,-0.011814
2077665402,3,0.006069,-0.018343,-0.187067
2077665412,3,0.005238,0.059512,-0.272236
2077665422,3,0.022706,0.077809,-0.306982
2077665432,3,0.031763,0.015065,-0.285552
2077665442,3,0.081403,-0.035896,-0.17973
2077665452,3,0.102216,-0.071045,-0.112434
2077665462,3,0.081773,-0.058049,-0.090585
2077665473,3,0.065035,-0.047397,-0.073297
2077665483,3,0.050751,-0.037088,-0.059723
2077665493,3,0.037345,-0.026542,-0.0488
2077665503,3,0.024385,-0.016573,-0.038785
2077665513,3,0.012676,-0.009747,-0.021387
2077665523,3,0.002799,-0.007223,6.38E-4
2077665533,3,-0.006954,-0.009162,0.023366
2077665543,3,-0.01597,-0.011926,0.041933
2077665553,3,-0.024715,-0.010307,0.053785
2077665563,3,-0.033179,-0.003777,0.059627
2077665573,3,-0.04027,0.005406,0.060088
2077665583,3,-0.045432,0.011922,0.059051
2077665593,3,-0.047774,0.012921,0.061288
2077665604,3,-0.048179,0.008805,0.065886
2077665614,3,-0.047928,0.003596,0.071096
2077665624,3,-0.047664,-8.89E-4,0.075391
2077665634,3,-0.047325,-0.003329,0.077807
2077665644,3,-0.04699,-0.003301,0.076738
2077665654,3,-0.047232,-2.78E-4,0.071669
2077665664,3,-0.047873,0.004245,0.064358
2077665674,3,-0.047684,0.007929,0.057105
2077665684,3,-0.046638,0.007748,0.053217
2077665694,3,-0.044972,0.0039,0.054193
2077665704,3,-0.04332,-0.001796,0.058295
2077665714,3,-0.041934,-0.00731,0.060746
2077665724,3,-0.040634,-0.011658,0.060791
2077665735,3,-0.039466,-0.015455,0.058976
2077665745,3,-0.038085,-0.018812,0.056948
2077665755,3,-0.039789,-0.019009,0.054818
2077665765,3,-0.042685,-0.017314,0.055218
2077665775,3,-0.045129,-0.016533,0.057518
2077665785,3,-0.046574,-0.018589,0.059549
2077665795,3,-0.047475,-0.023235,0.061174
2077665805,3,-0.048386,-0.027845,0.060368
2077665815,3,-0.05052,-0.029299,0.051678
2077665825,3,-0.05293,-0.026184,0.038342
2077665835,3,-0.05224,-0.018777,0.022245
2077665845,3,-0.048304,-0.01234,0.007708
2077665855,3,-0.041133,-0.011978,-0.003856
2077665865,3,-0.031246,-0.018649,-0.014449
2077665876,3,-0.020336,-0.028135,-0.022668
2077665886,3,-0.011544,-0.033234,-0.032818
2077665896,3,-0.005404,-0.030162,-0.047261
2077665906,3,7.19E-4,-0.019852,-0.061495
2077665916,3,0.008173,-0.008156,-0.073138
2077665926,3,0.015285,-4.59E-4,-0.079069
2077665936,3,0.021421,0.0011,-0.074236
2077665946,3,0.025693,-0.00378,-0.055174
2077665956,3,0.026683,-0.016623,-0.025498
2077665966,3,0.026454,-0.033729,0.006734
2077665976,3,0.022951,-0.048946,0.033545
2077665986,3,0.016253,-0.057416,0.050841
2077665996,3,0.007129,-0.059532,0.057783
2077666007,3,-0.002149,-0.057522,0.060016
2077666017,3,-0.011296,-0.056041,0.068316
2077666027,3,-0.018167,-0.05939,0.089896
2077666037,3,-0.023152,-0.068708,0.121525
2077666047,3,-0.026503,-0.083952,0.156533
2077666057,3,-0.02963,-0.102532,0.178407
2077666067,3,-0.031557,-0.112607,0.188375
