location due to GPS and WiFi+Cell,2026-06-11_17-12-13.502_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2077666135,network,55.672426,37.5577192,1,23.43,1,224.60000610351562,0,0.0,0,0.0,1781187136958,2077665607000000
2077666145,network,55.672426,37.5577192,1,27.182001,1,224.60000610351562,0,0.0,0,0.0,1781187137718,2077666143995681
2077672922,gps,55.67414166666667,37.55641666666667,1,9.6,1,373.9,1,326.18,1,40.249733,1781187144097,2077672852198681
2077673914,gps,55.67424166666667,37.5563,1,7.0,1,369.5,1,327.09,1,40.27804,1781187145099,2077673853141143
2077675807,gps,55.674011666666665,37.55559,1,4.2,1,164.1,1,327.01,1,34.01027,1781187147000,2077675746426758
2077676811,gps,55.674074999999995,37.55569,1,6.0,1,194.6,1,327.18,1,33.155315,1781187148000,2077676753804527
2077677814,gps,55.67377166666667,37.55625,1,4.8,1,197.6,1,327.38,1,27.920591,1781187149000,2077677748034143
2077678819,gps,55.67367833333333,37.556180000000005,1,5.3,1,226.6,1,327.51,1,24.818876,1781187150000,2077678749842681
2077679815,gps,55.673298333333335,37.55758166666667,1,6.2,1,156.3,1,327.83,1,21.81856,1781187151000,2077679749459989
2077680808,gps,55.67252,37.55766166666667,1,4.5,1,213.3,1,332.75,1,9.502802,1781187152100,2077680749166451
2077682711,gps,55.672533333333334,37.55761,1,3.9,1,215.9,1,335.47,1,2.2616894,1781187154000,2077682648783681
2077683705,gps,55.67252499999999,37.55761666666667,1,3.8,1,215.8,1,311.48,1,0.7092872,1781187155000,2077683645904912
2077684711,gps,55.672513333333335,37.55761833333334,1,3.4,1,219.1,1,311.11,1,0.324275,1781187156000,2077684649943605
2077685706,gps,55.672509999999996,37.557606666666665,1,3.1,1,220.2,1,30.75,1,0.31089222,1781187157000,2077685650138989
2077686160,network,55.6724501,37.5575404,1,31.812,1,224.60000610351562,0,0.0,0,0.0,1781187141047,2077669696000000
2077686716,gps,55.672505,37.557611666666666,1,2.6,1,223.3,1,51.94,1,0.66090333,1781187158000,2077686649115297
2077687714,gps,55.672509999999996,37.55761,1,2.4,1,224.0,1,75.77,1,0.78649557,1781187159000,2077687654354451
2077688710,gps,55.67253000000001,37.55762666666667,1,2.4,1,224.2,1,27.46,1,2.6024356,1781187160000,2077688649501451
2077689714,gps,55.672556666666665,37.55764666666666,1,2.3,1,225.1,1,23.88,1,3.3662834,1781187161000,2077689650163682
2077690707,gps,55.67259000000001,37.55766666666667,1,2.3,1,226.1,1,22.55,1,4.1038804,1781187162000,2077690649650682
2077691700,gps,55.67263166666667,37.557694999999995,1,2.4,1,226.2,1,22.41,1,4.927436,1781187163000,2077691648975913
2077692709,gps,55.67267833333334,37.55773166666667,1,2.5,1,226.4,1,26.13,1,2.35331,1781187164000,2077692648607067
2077693709,gps,55.67273,37.55777,1,2.5,1,226.1,1,24.37,1,2.892224,1781187165000,2077693650409451
2077694716,gps,55.67277666666667,37.55781,1,2.5,1,226.0,1,24.88,1,3.3791513,1781187166000,2077694651844913
2077695715,gps,55.672826666666666,37.557856666666666,1,2.5,1,226.0,1,29.52,1,3.9175508,1781187167000,2077695648629528
2077696715,gps,55.672869999999996,37.557903333333336,1,2.5,1,226.2,1,30.52,1,4.3864627,1781187168000,2077696648987990
2077697716,gps,55.672914999999996,37.557946666666666,1,2.5,1,226.2,1,28.75,1,4.862581,1781187169000,2077697651776605
2077698717,gps,55.672959999999996,37.557995,1,2.4,1,226.1,1,33.09,1,5.1708994,1781187170000,2077698649326682
2077699713,gps,55.673006666666666,37.55804166666667,1,2.4,1,225.7,1,31.45,1,5.4272313,1781187171000,2077699651239375
2077700715,gps,55.673049999999996,37.55808833333333,1,2.4,1,225.8,1,31.63,1,5.5451026,1781187172000,2077700649024913
2077701704,gps,55.673096666666666,37.558146666666666,1,2.4,1,224.9,1,32.47,1,5.562603,1781187173000,2077701644858067
2077702713,gps,55.67313000000001,37.55817166666667,1,2.4,1,226.3,1,21.77,1,5.340243,1781187174000,2077702654730683
2077703710,gps,55.67315166666667,37.558195,1,2.2,1,227.5,1,17.77,1,5.0705285,1781187175000,2077703652609760
2077704722,gps,55.67319166666666,37.558233333333334,1,2.1,1,227.5,1,22.02,1,4.958319,1781187176000,2077704653482452
2077705717,gps,55.67323,37.558265,1,2.0,1,228.4,1,22.3,1,4.8275795,1781187177000,2077705648961837
2077706710,gps,55.67327166666667,37.55830666666667,1,2.0,1,228.7,1,26.96,1,4.775593,1781187178000,2077706647243068
2077706858,network,55.6732271,37.5583886,1,19.904,1,222.50001525878906,0,0.0,0,0.0,1781187177519,2077706168000000
2077707719,gps,55.67333166666667,37.55840166666667,1,1.9,1,225.6,1,29.66,1,4.7390475,1781187179000,2077707648712529
2077708702,gps,55.673390000000005,37.558483333333335,1,1.8,1,223.1,1,32.09,1,4.740077,1781187180000,2077708644704298
2077709707,gps,55.67344,37.558545,1,1.8,1,221.7,1,28.46,1,4.727209,1781187181000,2077709646886991
2077710720,gps,55.67348833333334,37.5586,1,1.7,1,220.0,1,29.05,1,4.7369885,1781187182000,2077710651415606
2077711714,gps,55.67354,37.558655,1,1.7,1,217.9,1,28.18,1,4.7997847,1781187183000,2077711654938068
2077712714,gps,55.67360166666667,37.558735,1,1.5,1,214.3,1,28.29,1,5.0365567,1781187184000,2077712648198068
2077713716,gps,55.673660000000005,37.558795,1,1.4,1,212.8,1,27.97,1,5.307301,1781187185000,2077713650788530
2077714711,gps,55.673706666666675,37.55885166666667,1,1.4,1,211.8,1,34.84,1,5.477674,1781187186000,2077714652379683
2077715711,gps,55.67375333333333,37.55891166666667,1,1.4,1,210.9,1,33.31,1,5.626943,1781187187000,2077715645658991
2077716703,gps,55.67380166666667,37.55896833333334,1,1.4,1,210.2,1,31.37,1,5.7515063,1781187188000,2077716647026760
