qmc6308,qst,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2077665133,3,-2.90625,-3.16875,-47.625
2077665153,3,-0.16875,-2.0812502,-49.275
2077665173,3,-0.95625,-2.2687502,-47.68125
2077665193,3,1.81875,-1.8000001,-47.4375
2077665213,3,0.375,-2.0625,-47.23125
2077665237,3,0.91875005,-1.8000001,-47.5125
2077665257,3,-0.075,-2.0625,-47.04375
2077665278,3,1.0125,-1.8937501,-47.4
2077665298,3,0.80625004,-1.8750001,-47.41875
2077665318,3,0.6,-1.575,-47.1375
2077665338,3,-0.35625002,-1.8750001,-46.443752
2077665358,3,-0.3,-1.9875001,-46.537502
2077665378,3,-0.8625,-1.9687501,-46.331253
2077665397,3,-0.69375,-2.1750002,-46.706253
2077665417,3,-0.46875003,-2.1750002,-46.725002
2077665437,3,-1.0875001,-2.3625002,-46.912502
2077665458,3,-1.6500001,-2.2687502,-46.537502
2077665478,3,-1.5375,-2.2875001,-46.55625
2077665497,3,-1.4625001,-2.2687502,-46.575
2077665518,3,-1.29375,-2.2687502,-46.631252
2077665537,3,-1.1812501,-2.2687502,-46.65
2077665558,3,-1.0125,-2.2687502,-46.6875
2077665578,3,-0.88125,-2.2875001,-46.6875
2077665597,3,-0.69375,-2.30625,-46.6875
2077665618,3,-0.58125,-2.325,-46.6875
2077665638,3,-0.4875,-2.3625002,-46.65
2077665658,3,-0.41250002,-2.3812501,-46.612503
2077665678,3,-0.31875002,-2.3812501,-46.612503
2077665698,3,-0.24375,-2.3812501,-46.59375
2077665718,3,-0.15,-2.3625002,-46.575
2077665738,3,-0.09375,-2.34375,-46.537502
2077665758,3,0.0,-2.325,-46.518753
2077665778,3,-0.0375,-2.2875001,-46.48125
2077665798,3,-0.0,-2.25,-46.443752
2077665818,3,-0.09375,-2.2125,-46.350002
2077665838,3,-0.09375,-2.15625,-46.29375
2077665858,3,-0.16875,-2.11875,-46.21875
2077665878,3,-0.22500001,-2.0812502,-46.162502
2077665898,3,-0.3375,-2.0812502,-46.10625
2077665918,3,-0.3,-2.0625,-46.068752
2077665938,3,-0.28125,-2.0812502,-46.068752
2077665957,3,-0.20625001,-2.0812502,-46.050003
2077665977,3,-0.15,-2.1000001,-46.03125
2077665998,3,-0.01875,-2.11875,-46.03125
2077666017,3,-0.0375,-2.15625,-46.0125
2077666038,3,0.0,-2.1750002,-45.99375
2077666057,3,0.0,-2.2125,-45.956253
2077666077,3,0.056250002,-2.2125,-46.03125
2077666098,3,0.056250002,-2.25,-46.125
2077666118,3,0.15,-2.2875001,-46.275
2077666138,3,0.13125001,-2.325,-46.443752
2077666158,3,0.16875,-2.3625002,-46.612503
2077666177,3,0.056250002,-2.4,-46.74375
2077666197,3,-0.09375,-2.4750001,-46.95
2077666218,3,-0.41250002,-2.53125,-47.100002
2077666237,3,-0.675,-2.60625,-47.268753
2077666258,3,-1.06875,-2.7,-47.41875
2077666278,3,-1.5,-2.8125,-47.550003
2077666298,3,-2.0625,-2.9625,-47.7
2077666318,3,-2.53125,-3.1125002,-47.86875
2077666337,3,-3.1312501,-3.3187501,-48.0
2077666358,3,-3.73125,-3.525,-48.16875
2077666378,3,-4.36875,-3.7500002,-48.206253
2077666397,3,-5.025,-3.99375,-48.225002
2077666417,3,-5.71875,-4.2562504,-48.206253
2077666437,3,-6.3562503,-4.5375004,-48.15
2077666458,3,-6.99375,-4.8,-48.093754
2077666477,3,-7.4437504,-5.025,-48.131252
2077666497,3,-7.89375,-5.2125,-48.112503
2077666517,3,-8.212501,-5.3625,-48.112503
2077666537,3,-8.625,-5.5125003,-48.075
2077666557,3,-8.94375,-5.6062503,-48.093754
2077666577,3,-9.3,-5.7000003,-48.093754
2077666597,3,-9.58125,-5.775,-48.075
2077666617,3,-9.95625,-5.83125,-48.018753
2077666637,3,-10.1625,-5.8875003,-48.018753
2077666658,3,-10.35,-5.9437504,-48.018753
2077666677,3,-10.5,-6.01875,-47.9625
2077666697,3,-10.70625,-6.0750003,-47.850002
2077666717,3,-10.9125,-6.15,-47.737503
2077666737,3,-11.175,-6.24375,-47.625
2077666758,3,-11.45625,-6.3750005,-47.5125
2077666778,3,-11.85,-6.5625005,-47.287502
2077666797,3,-12.225,-6.80625,-47.100002
2077666818,3,-12.69375,-7.14375,-46.875
2077666838,3,-13.125001,-7.5375004,-46.66875
2077666858,3,-13.593751,-7.9875,-46.40625
2077666878,3,-14.043751,-8.45625,-46.125
2077666897,3,-14.512501,-8.925,-45.84375
2077666918,3,-14.868751,-9.39375,-45.581253
2077666937,3,-15.39375,-9.88125,-45.2625
2077666957,3,-15.975,-10.387501,-44.90625
2077666977,3,-16.650002,-10.9125,-44.60625
2077666997,3,-17.25,-11.45625,-44.381252
2077667018,3,-17.962502,-12.0,-44.081253
2077667038,3,-18.675001,-12.562501,-43.7625
2077667058,3,-19.425001,-13.087501,-43.425003
2077667078,3,-20.118752,-13.575001,-43.0875
2077667098,3,-20.85,-14.062501,-42.7125
2077667118,3,-21.54375,-14.493751,-42.35625
2077667138,3,-22.25625,-14.887501,-42.0
2077667158,3,-22.931252,-15.225,-41.643753
2077667178,3,-23.625,-15.525001,-41.287502
2077667198,3,-24.2625,-15.825001,-40.96875
2077667218,3,-24.937502,-16.10625,-40.631252
2077667238,3,-25.48125,-16.35,-40.331253
2077667258,3,-25.987501,-16.575,-40.050003
2077667278,3,-26.400002,-16.800001,-39.75
2077667297,3,-26.812502,-17.025002,-39.43125
2077667318,3,-27.093752,-17.268751,-39.1875
2077667337,3,-27.2625,-17.53125,-39.0
2077667357,3,-27.35625,-17.8125,-38.8125
2077667378,3,-27.393751,-18.16875,-38.643753
2077667397,3,-27.375002,-18.581251,-38.456253
2077667418,3,-27.31875,-19.06875,-38.25
2077667438,3,-27.243752,-19.6875,-37.93125
2077667458,3,-27.112501,-20.41875,-37.55625
2077667477,3,-26.868752,-21.300001,-37.18125
2077667497,3,-26.56875,-22.3125,-36.675003
2077667517,3,-26.2875,-23.456251,-36.075
2077667538,3,-26.04375,-24.750002,-35.325
2077667558,3,-25.81875,-26.175001,-34.40625
2077667577,3,-25.650002,-27.69375,-33.318752
2077667597,3,-25.593752,-29.250002,-32.04375
2077667617,3,-25.650002,-30.900002,-30.487501
2077667638,3,-25.81875,-32.568752,-28.725
2077667658,3,-26.00625,-34.2,-26.85
2077667678,3,-26.250002,-35.79375,-24.956251
2077667698,3,-26.550001,-37.3125,-22.96875
2077667718,3,-26.8875,-38.775,-20.925001
2077667737,3,-27.225,-40.0875,-18.9375
2077667758,3,-27.6,-41.287502,-16.987501
2077667777,3,-28.10625,-42.375,-15.01875
2077667797,3,-28.66875,-43.275,-13.106251
2077667817,3,-29.2875,-44.081253,-11.25
2077667837,3,-29.925001,-44.756252,-9.525001
2077667857,3,-30.487501,-45.24375,-8.00625
2077667877,3,-31.050001,-45.6375,-6.6375003
2077667897,3,-31.48125,-45.91875,-5.45625
2077667917,3,-31.781252,-46.10625,-4.51875
2077667937,3,-32.0625,-46.237503,-3.73125
2077667958,3,-32.34375,-46.331253,-3.075
2077667977,3,-32.550003,-46.40625,-2.4375
2077667997,3,-32.7,-46.4625,-1.9312501
2077668018,3,-32.831253,-46.48125,-1.4250001
2077668037,3,-33.0,-46.5,-0.95625
2077668058,3,-33.112503,-46.537502,-0.4875
2077668078,3,-33.1875,-46.575,0.0
2077668097,3,-33.1875,-46.631252,0.52500004
2077668118,3,-33.09375,-46.706253,1.0125
2077668137,3,-32.90625,-46.800003,1.5187501
2077668158,3,-32.737503,-46.912502,2.025
2077668178,3,-32.49375,-47.025,2.5500002
2077668197,3,-32.287502,-47.1375,3.1125002
2077668218,3,-32.15625,-47.268753,3.6000001
2077668238,3,-31.95,-47.381252,3.99375
2077668258,3,-31.650002,-47.5125,4.3500004
2077668278,3,-31.3875,-47.625,4.65
2077668297,3,-31.1625,-47.756252,4.89375
2077668318,3,-30.956251,-47.86875,5.1000004
