orientation,mtk,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2077665352,3,115.83795,-20.677732,-14.093633
2077665362,3,144.10983,-19.37118,-13.935171
2077665372,3,172.38141,-18.805079,-13.762782
2077665382,3,200.82544,-18.837114,-13.611003
2077665392,3,229.37991,-19.603859,-13.671061
2077665402,3,257.92737,-20.853151,-13.807077
2077665412,3,286.50247,-21.712877,-13.958199
2077665422,3,315.54282,-22.181967,-13.952715
2077665432,3,315.80896,-21.960602,-13.952776
2077665442,3,316.37527,-21.477198,-13.495564
2077665452,3,317.19955,-21.085669,-13.201048
2077665462,3,317.82318,-21.078726,-13.202816
2077665473,3,318.28506,-21.074139,-13.207525
2077665483,3,318.68402,-21.083109,-13.218068
2077665493,3,319.00464,-21.10841,-13.241531
2077665503,3,319.26062,-21.141172,-13.278283
2077665513,3,319.42038,-21.13962,-13.310393
2077665523,3,319.4861,-21.094633,-13.334911
2077665533,3,319.3064,-21.007559,-13.366962
2077665543,3,319.0947,-20.911263,-13.407689
2077665553,3,318.85565,-20.850842,-13.461657
2077665563,3,318.59103,-20.83769,-13.528519
2077665573,3,318.30353,-20.863989,-13.601707
2077665583,3,317.99606,-20.888111,-13.673717
2077665593,3,317.67484,-20.874165,-13.730318
2077665604,3,317.34262,-20.81812,-13.774716
2077665614,3,317.00946,-20.744741,-13.813517
2077665624,3,316.67947,-20.669096,-13.851656
2077665634,3,316.35867,-20.604513,-13.889666
2077665644,3,316.04785,-20.561913,-13.930737
2077665654,3,315.7449,-20.551474,-13.98029
2077665664,3,315.4542,-20.564297,-14.036878
2077665674,3,315.1854,-20.581211,-14.090671
2077665684,3,314.93658,-20.57129,-14.136858
2077665694,3,314.70374,-20.524935,-14.172676
2077665704,3,314.48337,-20.451881,-14.202273
2077665714,3,314.2679,-20.374552,-14.233265
2077665724,3,314.05362,-20.302801,-14.265944
2077665735,3,313.83862,-20.233751,-14.300889
2077665745,3,313.62726,-20.164083,-14.333792
2077665755,3,313.40543,-20.11309,-14.385394
2077665765,3,313.18637,-20.069695,-14.442807
2077665775,3,312.97598,-20.017443,-14.49795
2077665785,3,312.77524,-19.946344,-14.550686
2077665795,3,312.57925,-19.854725,-14.603301
2077665805,3,312.38943,-19.762388,-14.661138
2077665815,3,312.21384,-19.705528,-14.740721
2077665825,3,312.0498,-19.693989,-14.833326
2077665835,3,311.91388,-19.729856,-14.9143
2077665845,3,311.80167,-19.77345,-14.974698
2077665855,3,311.71158,-19.783821,-15.01044
2077665865,3,311.64072,-19.749273,-15.024403
2077665876,3,311.59583,-19.6851,-15.019877
2077665886,3,311.57947,-19.64694,-15.019561
2077665896,3,311.5963,-19.67438,-15.032027
2077665906,3,311.64844,-19.763752,-15.035893
2077665916,3,311.72504,-19.878466,-15.020216
2077665926,3,311.81995,-19.973448,-14.991488
2077665936,3,311.92242,-20.01189,-14.945591
2077665946,3,312.02838,-19.96829,-14.881338
2077665956,3,312.12048,-19.825123,-14.814574
2077665966,3,312.17877,-19.61313,-14.744561
2077665976,3,312.18118,-19.388882,-14.696932
2077665986,3,312.11868,-19.201847,-14.681282
2077665996,3,311.98853,-19.064928,-14.700745
2077666007,3,311.7951,-18.962336,-14.7373
2077666017,3,311.55472,-18.843554,-14.77446
2077666027,3,311.27005,-18.658354,-14.785213
2077666037,3,310.94943,-18.395061,-14.771396
2077666047,3,310.59305,-18.05861,-14.740876
2077666057,3,310.20114,-17.695662,-14.72711
2077666067,3,309.78485,-17.3855,-14.719247
2077666077,3,309.35135,-17.142376,-14.764585
2077666087,3,308.8935,-16.929483,-14.847944
2077666097,3,308.4038,-16.708054,-14.918544
2077666107,3,307.88354,-16.444302,-14.944298
2077666117,3,307.34235,-16.146303,-14.914678
2077666127,3,306.8079,-15.844297,-14.830332
2077666138,3,306.29968,-15.558142,-14.729558
2077666148,3,305.81442,-15.315155,-14.644363
2077666158,3,305.3479,-15.109959,-14.595344
2077666168,3,304.90674,-14.929854,-14.578553
2077666178,3,304.49356,-14.753473,-14.573865
2077666188,3,304.1125,-14.559323,-14.562954
2077666198,3,303.75363,-14.337962,-14.551294
2077666208,3,303.4069,-14.100497,-14.54181
2077666218,3,303.0754,-13.88197,-14.540014
2077666228,3,302.76093,-13.696577,-14.540935
2077666238,3,302.47305,-13.542382,-14.535328
2077666248,3,302.22314,-13.442809,-14.530272
2077666258,3,302.0276,-13.403929,-14.513961
2077666269,3,301.90768,-13.423653,-14.497192
2077666279,3,301.89026,-13.494608,-14.467365
2077666289,3,301.99652,-13.606462,-14.415411
2077666299,3,302.23227,-13.746557,-14.34826
2077666309,3,302.5978,-13.891483,-14.267226
2077666319,3,303.11218,-14.054144,-14.181292
2077666329,3,303.75116,-14.27914,-14.122465
2077666339,3,304.5222,-14.577945,-14.081525
2077666349,3,305.41977,-14.950333,-14.051713
2077666359,3,306.38953,-15.378983,-14.012383
2077666369,3,307.5181,-15.792049,-13.965397
2077666379,3,308.74863,-16.199203,-13.868883
2077666389,3,310.0906,-16.618801,-13.736915
2077666399,3,311.5223,-17.032005,-13.606293
2077666410,3,312.97678,-17.457438,-13.495988
2077666420,3,314.58008,-17.898718,-13.418748
2077666430,3,316.20886,-18.36615,-13.383184
2077666440,3,317.89178,-18.84069,-13.36566
2077666450,3,319.5282,-19.292826,-13.337836
2077666460,3,321.0672,-19.727983,-13.281118
2077666470,3,322.65775,-20.1827,-13.20751
2077666480,3,324.13828,-20.936829,-13.343639
2077666490,3,325.5627,-21.744171,-13.556753
2077666500,3,326.75473,-22.356524,-13.739717
2077666510,3,327.7615,-22.608326,-13.798978
2077666520,3,328.70517,-22.604982,-13.736999
2077666530,3,329.59476,-22.546812,-13.570959
2077666541,3,330.53372,-22.380432,-13.3526
2077666551,3,331.35254,-22.097614,-13.111497
2077666561,3,332.18793,-21.782242,-12.907061
2077666571,3,333.07074,-21.67449,-12.765141
2077666581,3,334.0452,-21.80688,-12.650999
2077666591,3,335.18378,-21.928486,-12.484596
2077666601,3,336.39725,-21.964642,-12.25738
2077666611,3,337.66302,-22.036425,-12.089527
2077666621,3,338.923,-22.267046,-12.018918
2077666631,3,340.1177,-22.353748,-11.989557
2077666641,3,341.23862,-22.024014,-11.930255
2077666651,3,342.30148,-21.524729,-11.838112
2077666661,3,343.32214,-21.103062,-11.705103
2077666672,3,344.26996,-20.868427,-11.603267
2077666682,3,345.13947,-20.699883,-11.486843
2077666692,3,345.963,-20.56571,-11.353653
2077666702,3,346.8137,-20.478704,-11.202238
2077666712,3,347.76038,-20.376753,-11.045743
2077666722,3,348.84308,-20.32943,-10.874928
2077666732,3,350.06772,-20.28443,-10.697374
2077666742,3,351.43533,-20.26181,-10.485939
2077666752,3,353.0055,-20.255672,-10.209268
2077666762,3,354.78555,-20.234268,-9.933775
