icm4n607_acc,iven_sense,2026-06-11_17-04-59.349_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2077230971,3,-0.82305,2.325,9.733951,1781186702548
2077230981,3,-0.80895007,2.33295,9.71205,1781186702557
2077230991,3,-0.82305,2.35395,9.691051,1781186702567
2077231001,3,-0.80595005,2.3370001,9.657001,1781186702579
2077231011,3,-0.78705,2.3400002,9.63105,1781186702589
2077231021,3,-0.77805007,2.35905,9.583051,1781186702598
2077231031,3,-0.76995003,2.3779502,9.573001,1781186702609
2077231042,3,-0.77505004,2.39205,9.53505,1781186702619
2077231052,3,-0.80595005,2.4019501,9.489,1781186702629
2077231062,3,-0.82995003,2.3760002,9.493951,1781186702639
2077231072,3,-0.84195006,2.3779502,9.430051,1781186702649
2077231082,3,-0.81795,2.3760002,9.448951,1781186702658
2077231092,3,-0.81795,2.38995,9.48495,1781186702668
2077231102,3,-0.78495,2.3779502,9.540001,1781186702678
2077231112,3,-0.768,2.3760002,9.573001,1781186702689
2077231122,3,-0.75600004,2.35905,9.636001,1781186702698
2077231132,3,-0.77805007,2.35395,9.67905,1781186702709
2077231142,3,-0.79905003,2.3490002,9.67905,1781186702719
2077231152,3,-0.81405,2.3370001,9.636001,1781186702728
2077231162,3,-0.804,2.35605,9.612,1781186702739
2077231173,3,-0.82500005,2.3730001,9.56595,1781186702751
2077231183,3,-0.83295006,2.39205,9.54705,1781186702759
2077231193,3,-0.82995003,2.4160502,9.51795,1781186702769
2077231203,3,-0.81105006,2.4090002,9.516001,1781186702780
2077231213,3,-0.79905003,2.4139502,9.52995,1781186702790
2077231223,3,-0.78705,2.4090002,9.552,1781186702800
2077231233,3,-0.79395,2.40405,9.571051,1781186702810
2077231243,3,-0.78195006,2.424,9.585,1781186702820
2077231253,3,-0.78000003,2.4090002,9.573001,1781186702831
2077231263,3,-0.77805007,2.4,9.564,1781186702840
2077231273,3,-0.77505004,2.4,9.54705,1781186702854
2077231283,3,-0.768,2.3830502,9.564,1781186702860
2077231293,3,-0.77295005,2.40405,9.56595,1781186702870
2077231303,3,-0.78705,2.4190502,9.583051,1781186702880
2077231314,3,-0.81600004,2.42805,9.588,1781186702890
2077231324,3,-0.81795,2.4120002,9.607051,1781186702900
2077231334,3,-0.82800007,2.38995,9.613951,1781186702910
2077231344,3,-0.81405,2.364,9.612,1781186702920
2077231354,3,-0.81105006,2.3370001,9.604051,1781186702930
2077231364,3,-0.80595005,2.325,9.609,1781186702940
2077231374,3,-0.82305,2.325,9.56595,1781186702951
2077231384,3,-0.81795,2.3419502,9.556951,1781186702961
2077231394,3,-0.81795,2.3470502,9.52305,1781186702971
2077231404,3,-0.82800007,2.361,9.501,1781186702981
2077231414,3,-0.81795,2.36805,9.493951,1781186702991
2077231424,3,-0.82095003,2.3830502,9.51795,1781186703003
2077231434,3,-0.81405,2.38995,9.53295,1781186703013
2077231445,3,-0.81105006,2.38995,9.58005,1781186703023
2077231455,3,-0.804,2.3830502,9.624001,1781186703032
2077231465,3,-0.80895007,2.3850002,9.616051,1781186703042
2077231475,3,-0.81795,2.421,9.595051,1781186703053
2077231485,3,-0.84195006,2.42595,9.616051,1781186703062
2077231495,3,-0.837,2.42805,9.613951,1781186703073
2077231505,3,-0.82305,2.424,9.624001,1781186703082
2077231515,3,-0.837,2.424,9.633,1781186703092
2077231525,3,-0.83505005,2.4090002,9.645,1781186703103
2077231535,3,-0.82995003,2.4090002,9.609,1781186703113
2077231545,3,-0.80205005,2.4430501,9.552,1781186703122
2077231555,3,-0.79005,2.4400501,9.52305,1781186703132
2077231565,3,-0.79695004,2.4430501,9.48705,1781186703143
2077231576,3,-0.78000003,2.4400501,9.475051,1781186703154
2077231586,3,-0.79005,2.40405,9.525001,1781186703165
2077231596,3,-0.81600004,2.3779502,9.56805,1781186703173
2077231606,3,-0.84705,2.397,9.559051,1781186703183
2077231616,3,-0.85395,2.4070501,9.564,1781186703194
2077231626,3,-0.82995003,2.4090002,9.5779505,1781186703202
2077231636,3,-0.81795,2.4120002,9.604051,1781186703214
2077231646,3,-0.78495,2.40405,9.61905,1781186703223
2077231656,3,-0.78000003,2.40405,9.61905,1781186703234
2077231666,3,-0.79200006,2.4379501,9.625951,1781186703243
2077231676,3,-0.79395,2.433,9.633,1781186703255
2077231686,3,-0.83505005,2.43105,9.628051,1781186703265
2077231696,3,-0.84195006,2.4120002,9.609,1781186703276
2077231706,3,-0.873,2.3730001,9.607051,1781186703284
2077231717,3,-0.88305,2.35395,9.6,1781186703293
2077231727,3,-0.87105006,2.3470502,9.56595,1781186703305
2077231737,3,-0.84900004,2.35905,9.552,1781186703315
2077231747,3,-0.804,2.36805,9.525001,1781186703324
2077231757,3,-0.76995003,2.3760002,9.50895,1781186703335
2077231767,3,-0.78000003,2.39505,9.516001,1781186703345
2077231777,3,-0.78705,2.421,9.492001,1781186703355
2077231787,3,-0.79200006,2.436,9.4800005,1781186703365
2077231797,3,-0.78495,2.43105,9.48705,1781186703375
2077231807,3,-0.78705,2.4469502,9.451051,1781186703385
2077231817,3,-0.78000003,2.4880502,9.451051,1781186703396
2077231827,3,-0.76995003,2.4829502,9.49695,1781186703406
2077231837,3,-0.79395,2.46405,9.54195,1781186703415
2077231848,3,-0.79695004,2.4430501,9.58005,1781186703426
2077231858,3,-0.804,2.4190502,9.585,1781186703436
2077231868,3,-0.82500005,2.39205,9.61905,1781186703446
2077231878,3,-0.87795,2.3470502,9.645,1781186703456
2077231888,3,-0.90195006,2.3470502,9.628051,1781186703466
2077231898,3,-0.91905004,2.32995,9.670951,1781186703476
2077231908,3,-0.91905004,2.3449502,9.691051,1781186703486
2077231918,3,-0.91605,2.32995,9.64995,1781186703497
2077231928,3,-0.91905004,2.3470502,9.637951,1781186703507
2077231938,3,-0.92805004,2.3419502,9.616051,1781186703517
2077231948,3,-0.92805004,2.364,9.583051,1781186703527
2077231958,3,-0.91395,2.38995,9.576,1781186703537
2077231968,3,-0.88305,2.43105,9.571051,1781186703548
2077231979,3,-0.87105006,2.4499502,9.559051,1781186703557
2077231989,3,-0.88305,2.4709501,9.556951,1781186703565
2077231999,3,-0.85905004,2.4450002,9.549001,1781186703576
2077232009,3,-0.84000003,2.469,9.564,1781186703586
2077232019,3,-0.84000003,2.4709501,9.56595,1781186703597
2077232029,3,-0.84000003,2.4859502,9.552,1781186703608
2077232039,3,-0.81105006,2.49105,9.525001,1781186703618
2077232049,3,-0.81795,2.4709501,9.571051,1781186703628
2077232059,3,-0.80895007,2.4709501,9.595051,1781186703638
2077232069,3,-0.82095003,2.4520502,9.63105,1781186703648
2077232079,3,-0.82305,2.42595,9.613951,1781186703658
2077232089,3,-0.84000003,2.4120002,9.604051,1781186703668
2077232099,3,-0.84000003,2.4070501,9.576,1781186703678
2077232110,3,-0.84000003,2.3370001,9.645,1781186703688
2077232120,3,-0.84000003,2.2699502,9.825001,1781186703697
2077232130,3,-0.82305,2.1790502,10.16205,1781186703706
2077232140,3,-0.79005,2.08095,10.48995,1781186703718
2077232150,3,-0.66705,2.0310001,10.62405,1781186703728
2077232160,3,-0.70095,2.01405,10.67205,1781186703739
2077232170,3,-0.66495,1.8060001,10.59105,1781186703748
2077232180,3,-0.93795,2.28495,10.96905,1781186703756
2077232190,3,-1.0030501,2.3830502,11.3209505,1781186703767
2077232200,3,-1.1560501,2.3449502,11.496,1781186703776
2077232210,3,-1.47405,2.6869502,11.39805,1781186703789
2077232220,3,-1.845,3.15105,11.367001,1781186703799
2077232230,3,-1.9560001,3.4990501,11.91195,1781186703808
2077232240,3,-1.9960501,3.9250503,12.07005,1781186703817
2077232251,3,-2.061,4.37505,12.231001,1781186703829
2077232261,3,-2.322,4.602,12.085051,1781186703839
2077232271,3,-2.2429502,4.9399505,12.271951,1781186703849
2077232281,3,-2.559,5.256,12.015,1781186703858
2077232291,3,-2.49405,5.35395,12.03495,1781186703869
2077232301,3,-2.94195,5.5669503,11.314051,1781186703879
2077232311,3,-3.03795,5.63205,10.5720005,1781186703889
2077232321,3,-2.77395,5.8350005,10.399051,1781186703899
2077232331,3,-2.355,6.07905,10.51395,1781186703909
2077232341,3,-2.0389502,6.1780505,10.60305,1781186703918
2077232351,3,-2.1379502,6.2899504,10.167001,1781186703929
2077232361,3,-2.19495,6.2140503,9.49695,1781186703939
2077232371,3,-2.1379502,6.1990504,8.841001,1781186703949
2077232382,3,-2.1040502,6.33795,8.46195,1781186703959
2077232392,3,-1.7590501,6.4099503,8.52705,1781186703969
2077232402,3,-0.31095,6.3960004,8.403001,1781186703979
2077232412,3,0.76995003,6.5460005,7.76805,1781186703989
2077232422,3,1.2559501,6.7330503,6.73395,1781186703998
2077232432,3,1.4170501,6.3739505,5.46495,1781186704008
2077232442,3,1.7740501,5.5260005,4.737,1781186704019
2077232452,3,1.8360001,4.9300504,3.63105,1781186704029
2077232462,3,1.5870001,5.1150002,2.5099502,1781186704040
2077232472,3,1.51995,4.9300504,2.118,1781186704049
2077232482,3,1.6060501,3.147,2.0029502,1781186704059
2077232492,3,1.8690001,3.11805,2.15805,1781186704071
2077232502,3,1.5840001,3.28305,1.8060001,1781186704080
2077232513,3,1.4070001,3.6330001,0.99495006,1781186704089
2077232523,3,1.7230501,3.8029501,0.96900004,1781186704101
2077232533,3,1.8889501,4.854,1.8930001,1781186704111
2077232543,3,2.46795,5.076,1.2610501,1781186704121
2077232553,3,2.86995,5.5480504,0.09195001,1781186704131
2077232563,3,2.8150501,6.453,-1.1209501,1781186704141
2077232573,3,2.4850502,7.01595,-1.746,1781186704151
2077232583,3,2.6809502,6.156,-0.74700004,1781186704161
2077232593,3,4.551,4.353,1.00695,1781186704171
2077232603,3,5.47305,4.755,-0.70605004,1781186704181
2077232613,3,1.3789501,7.66905,-0.16800001,1781186704192
2077232623,3,0.15,9.331051,1.2610501,1781186704201
2077232633,3,1.8430501,8.875951,0.97095007,1781186704210
2077232644,3,2.91105,8.625,-0.49605003,1781186704222
2077232654,3,2.6239502,9.642,-1.76505,1781186704232
2077232664,3,1.434,11.67195,-1.6110001,1781186704241
2077232674,3,0.58605003,13.272,-0.46500003,1781186704251
2077232684,3,0.72300005,13.777051,-0.55305004,1781186704262
2077232694,3,0.282,14.031001,-1.245,1781186704271
2077232704,3,-0.588,14.368051,-1.75995,1781186704282
2077232714,3,-0.39900002,13.873051,-3.7830002,1781186704292
