linear_acc,mtk,2026-06-11_17-04-59.349_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2077231173,3,-0.486931,0.262743,-0.065264
2077231183,3,-0.395674,0.225453,-0.068235
2077231193,3,-0.314879,0.199388,-0.077318
2077231203,3,-0.237027,0.154594,-0.064472
2077231213,3,-0.179853,0.127187,-0.040532
2077231223,3,-0.134306,0.098174,-0.015378
2077231233,3,-0.11268,0.074708,0.003081
2077231243,3,-0.081078,0.074451,0.014088
2077231253,3,-0.062691,0.048962,0.002394
2077231263,3,-0.048238,0.031381,-0.005805
2077231273,3,-0.036675,0.024849,-0.017863
2077231283,3,-0.023721,0.006919,-0.001774
2077231293,3,-0.022489,0.021751,8.73E-4
2077231303,3,-0.029227,0.029085,0.013726
2077231314,3,-0.045983,0.031056,0.01513
2077231324,3,-0.039404,0.01214,0.027044
2077231334,3,-0.038993,-0.007398,0.027701
2077231344,3,-0.030811,-0.006621,0.022097
2077231354,3,-0.024202,-0.006701,0.017422
2077231364,3,-0.018787,-0.007085,0.01381
2077231374,3,-0.014902,-0.007391,0.009771
2077231384,3,-0.011666,-0.00719,0.006284
2077231394,3,-0.009077,-0.006901,0.002601
2077231404,3,-0.007262,-0.006287,-9.18E-4
2077231414,3,-0.005554,-0.005604,-0.003927
2077231424,3,-0.004251,-0.004674,-0.005695
2077231434,3,-0.003018,-0.003739,-0.006727
2077231445,3,-0.001967,-0.002991,-0.006276
2077231455,3,-9.35E-4,-0.002584,-0.004765
2077231465,3,-2.37E-4,-0.002195,-0.003748
2077231475,3,6.5E-5,-9.26E-4,-0.00351
2077231485,3,-3.31E-4,2.16E-4,-0.002744
2077231495,3,-5.2E-4,0.001194,-0.002196
2077231505,3,-2.88E-4,0.001849,-0.001502
2077231515,3,-4.86E-4,0.002373,-6.91E-4
2077231525,3,-5.8E-4,0.002409,2.76E-4
2077231535,3,-5.28E-4,0.002438,9.3E-5
2077231545,3,2.79E-4,0.003355,-0.001585
2077231555,3,0.001245,0.004024,-0.003694
2077231565,3,0.001826,0.004624,-0.00634
2077231576,3,0.002737,0.00504,-0.008774
2077231586,3,0.003211,0.004415,-0.009381
2077231596,3,0.002888,0.003212,-0.008718
2077231606,3,0.0018,0.002762,-0.008441
2077231616,3,7.37E-4,0.002656,-0.008094
2077231626,3,2.7E-4,0.002061,-0.007242
2077231636,3,4.72E-4,0.002223,-0.006049
2077231646,3,0.001143,0.002864,-0.004648
2077231656,3,0.001745,0.004079,-0.003335
2077231666,3,0.001779,0.006263,-0.002221
2077231676,3,0.002189,0.007884,1.1E-5
2077231686,3,0.001304,0.008669,0.001924
2077231696,3,4.05E-4,0.008659,0.003837
2077231706,3,-8.88E-4,0.007246,0.005878
2077231717,3,-0.002434,0.005414,0.007513
2077231727,3,-0.003288,0.003373,0.007287
2077231737,3,-0.003588,0.001868,0.006341
2077231747,3,-0.002679,9.2E-4,0.003602
2077231757,3,-0.001249,5.45E-4,-1.81E-4
2077231767,3,-2.33E-4,6.91E-4,-0.002825
2077231777,3,6.43E-4,5.53E-4,-0.005006
2077231787,3,0.001855,6.97E-4,-0.007644
2077231797,3,0.002888,6.22E-4,-0.0095
2077231807,3,0.003268,0.001136,-0.012197
2077231817,3,0.004147,0.002632,-0.014611
2077231827,3,0.005041,0.004085,-0.015646
2077231837,3,0.00499,0.004736,-0.014304
2077231848,3,0.00412,0.003789,-0.010677
2077231858,3,0.002913,0.002456,-0.006881
2077231868,3,0.001564,6.24E-4,-0.001993
2077231878,3,-0.001366,-0.001989,0.002937
2077231888,3,-0.004093,-0.003124,0.005094
2077231898,3,-0.00602,-0.003776,0.006822
2077231908,3,-0.006731,-0.004425,0.00897
2077231918,3,-0.007045,-0.005583,0.009473
2077231928,3,-0.007998,-0.006126,0.009176
2077231938,3,-0.009335,-0.006752,0.007659
2077231948,3,-0.011299,-0.006487,0.00517
2077231958,3,-0.012614,-0.005573,0.002985
2077231968,3,-0.012517,-0.00465,9.21E-4
2077231979,3,-0.012057,-0.003273,-0.001241
2077231989,3,-0.010922,-0.001533,-0.002908
2077231999,3,-0.009185,-3.32E-4,-0.003923
2077232009,3,-0.006454,0.002287,-0.004287
2077232019,3,-0.004014,0.004958,-0.004323
2077232029,3,-0.002381,0.007669,-0.00384
2077232039,3,-8.83E-4,0.009647,-0.003775
2077232049,3,-0.001089,0.010463,-0.001809
2077232059,3,-0.001893,0.010924,8.52E-4
2077232069,3,-0.0026,0.010271,0.003746
2077232079,3,-0.003037,0.008344,0.006254
2077232089,3,-0.003707,0.006037,0.008321
2077232099,3,-0.004434,0.004191,0.009019
2077232110,3,-0.004951,4.16E-4,0.012388
2077232120,3,-0.005557,-0.005476,0.01987
2077232130,3,-0.00585,-0.012489,0.033645
2077232140,3,-0.004552,-0.020206,0.052198
2077232150,3,-1.94E-4,-0.027146,0.069595
2077232160,3,0.002589,-0.032507,0.084662
2077232170,3,0.006349,-0.041647,0.09365
2077232180,3,0.003483,-0.034978,0.110227
2077232190,3,1.05E-4,-0.027025,0.13332
2077232200,3,-0.006236,-0.021236,0.155306
2077232210,3,-0.019801,-0.007859,0.169767
2077232220,3,-0.040613,0.015611,0.181591
2077232230,3,-0.060135,0.043198,0.205924
2077232240,3,-0.076583,0.07676,0.230181
2077232251,3,-0.091465,0.115038,0.254758
2077232261,3,-0.110713,0.151023,0.270717
2077232271,3,-0.124835,0.187729,0.288591
2077232281,3,-0.144879,0.225009,0.296379
2077232291,3,-0.158871,0.256877,0.303182
2077232301,3,-0.182642,0.288756,0.2896
2077232311,3,-0.204723,0.315345,0.25856
2077232321,3,-0.215366,0.341978,0.229066
2077232331,3,-0.212707,0.369414,0.208919
2077232341,3,-0.202918,0.393853,0.195865
2077232351,3,-0.197513,0.416916,0.17259
2077232361,3,-0.194977,0.433323,0.135454
2077232371,3,-0.191096,0.446576,0.087293
2077232382,3,-0.187034,0.461584,0.039125
2077232392,3,-0.174144,0.475889,0.00257
2077232402,3,-0.125205,0.487077,-0.029229
2077232412,3,-0.057196,0.501902,-0.073437
2077232422,3,0.010171,0.52053,-0.141175
2077232432,3,0.067896,0.528281,-0.238204
2077232442,3,0.122695,0.514498,-0.343983
2077232452,3,0.164938,0.488915,-0.461679
2077232462,3,0.192987,0.473812,-0.586992
2077232472,3,0.21268,0.462368,-0.695542
2077232482,3,0.238012,0.392878,-0.795535
2077232492,3,0.267024,0.333903,-0.880764
2077232502,3,0.286722,0.29215,-0.962994
2077232513,3,0.306247,0.258939,-1.047803
2077232523,3,0.340191,0.224516,-1.115522
2077232533,3,0.374688,0.21575,-1.159611
2077232543,3,0.418822,0.20331,-1.21595
2077232553,3,0.466579,0.193932,-1.296456
2077232563,3,0.510276,0.204498,-1.389336
2077232573,3,0.534315,0.218952,-1.485283
2077232583,3,0.567209,0.199168,-1.528586
2077232593,3,0.641665,0.132647,-1.516941
2077232603,3,0.737748,0.084474,-1.53412
2077232613,3,0.707993,0.121911,-1.513707
2077232623,3,0.644413,0.190742,-1.454663
2077232633,3,0.627515,0.227166,-1.418219
2077232644,3,0.634045,0.246983,-1.430562
2077232654,3,0.634224,0.28697,-1.462655
2077232664,3,0.604169,0.375144,-1.466366
2077232674,3,0.555991,0.488714,-1.42126
2077232684,3,0.520194,0.589339,-1.37745
2077232694,3,0.470615,0.674691,-1.362577
2077232704,3,0.369086,0.752357,-1.361085
2077232714,3,0.264048,0.797253,-1.396922
2077232724,3,0.185381,0.80329,-1.442638
2077232734,3,0.12398,0.798223,-1.448182
2077232744,3,0.067453,0.797234,-1.419482
2077232754,3,0.015208,0.803402,-1.358725
2077232764,3,-0.037121,0.804122,-1.27028
2077232774,3,-0.096607,0.811275,-1.186372
2077232785,3,-0.157028,0.86686,-1.120395
2077232795,3,-0.223434,0.913883,-1.075529
2077232805,3,-0.277643,0.945308,-1.025081
2077232815,3,-0.314371,0.954996,-0.940413
2077232825,3,-0.3495,0.95202,-0.854355
2077232835,3,-0.372686,0.916441,-0.797767
2077232845,3,-0.406048,0.880125,-0.732003
2077232855,3,-0.441867,0.836834,-0.648298
2077232865,3,-0.469947,0.776983,-0.548007
2077232875,3,-0.477599,0.703565,-0.436299
2077232885,3,-0.466164,0.644829,-0.322224
2077232895,3,-0.486576,0.61342,-0.271059
2077232905,3,-0.517845,0.57731,-0.178157
2077232916,3,-0.419767,0.452463,-0.08532
2077232926,3,-0.305359,0.304956,-0.089452
2077232936,3,-0.246522,0.209936,-0.109805
2077232946,3,-0.217201,0.155498,-0.112425
2077232956,3,-0.18289,0.096433,-0.087322
2077232966,3,-0.130287,0.013238,-0.073241
2077232976,3,-0.074925,-0.092454,-0.083109
2077232986,3,-0.042127,-0.18748,-0.088578
2077232996,3,-0.005801,-0.265417,-0.084334
2077233006,3,0.049499,-0.333129,-0.085088
2077233016,3,0.093102,-0.376127,-0.050066
2077233026,3,0.118024,-0.38939,0.015109
2077233036,3,0.130109,-0.380656,0.074591
2077233047,3,0.140926,-0.351387,0.12039
2077233057,3,0.159092,-0.311628,0.164818
2077233067,3,0.191055,-0.276693,0.197551
2077233077,3,0.233353,-0.249255,0.214097
2077233087,3,0.281876,-0.23369,0.210096
2077233097,3,0.341955,-0.232153,0.196935
2077233107,3,0.407767,-0.239671,0.175041
2077233117,3,0.46546,-0.24773,0.148397
2077233127,3,0.504719,-0.25092,0.136402
2077233137,3,0.520676,-0.250153,0.143598
2077233147,3,0.523163,-0.247304,0.166402
2077233157,3,0.51915,-0.241067,0.201819
2077233167,3,0.520793,-0.238821,0.226067
2077233177,3,0.524852,-0.229747,0.223438
2077233188,3,0.513479,-0.201099,0.173132
2077233283,3,0.233238,-0.060579,0.228391
2077233293,3,0.215186,-0.065572,0.357486
2077233303,3,0.204603,-0.064401,0.42454
2077233314,3,0.191548,-0.078222,0.405628
2077233324,3,0.188619,-0.088228,0.388569
2077233334,3,0.148514,-0.054182,0.402692
2077233344,3,0.10432,0.002035,0.377867
2077233354,3,0.086531,0.049952,0.288965
2077233364,3,0.074431,0.078729,0.203312
2077233374,3,0.02589,0.106978,0.16406
2077233384,3,-4.2E-5,0.127024,0.079307
2077233394,3,-0.030583,0.14841,0.04049
2077233404,3,-0.059464,0.165838,0.019388
2077233414,3,-0.089018,0.176161,-0.00156
2077233424,3,-0.106758,0.172437,-0.032014
2077233434,3,-0.121099,0.156099,-0.080121
2077233444,3,-0.132206,0.138019,-0.114139
2077233455,3,-0.148853,0.123868,-0.144811
2077233465,3,-0.16478,0.11231,-0.153868
2077233475,3,-0.182636,0.109048,-0.14152
2077233485,3,-0.185865,0.097219,-0.12459
2077233495,3,-0.185685,0.077939,-0.119755
2077233505,3,-0.172328,0.047135,-0.114682
2077233515,3,-0.158748,0.012518,-0.099318
2077233525,3,-0.141247,-0.029681,-0.070739
2077233535,3,-0.121286,-0.06794,-0.036948
2077233545,3,-0.099816,-0.094584,0.010702
2077233555,3,-0.071671,-0.118722,0.041785
2077233565,3,-0.039063,-0.142548,0.045551
2077233575,3,-0.008528,-0.162507,0.039189
2077233586,3,0.028839,-0.176929,0.027545
