location due to GPS and WiFi+Cell,2026-06-11_17-04-59.349_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2077231246,network,55.6723551,37.5575315,1,21.587,1,224.90000915527344,0,0.0,0,0.0,1781186691075,2077219724000000
2077232682,gps,55.67257333333334,37.55773166666667,1,3.9,1,219.7,1,0.0,1,0.0,1781186703968,2077232620158354
2077233208,gps,55.67258666666667,37.557766666666666,1,4.0,1,219.8,1,0.0,1,0.0,1781186704500,2077233150593124
2077233709,gps,55.672605000000004,37.55776166666667,1,3.8,1,220.0,1,0.0,1,0.0,1781186705000,2077233647929201
2077234204,gps,55.67262000000001,37.55776166666667,1,3.7,1,220.1,1,0.0,1,0.0,1781186705500,2077234148901432
2077235203,gps,55.67262666666667,37.55775666666667,1,3.7,1,220.1,1,96.47,1,0.28103834,1781186706500,2077235148301201
2077236725,gps,55.67262666666667,37.55775166666667,1,3.6,1,220.7,1,65.57,1,0.23059556,1781186708000,2077236648960585
2077237715,gps,55.672625000000004,37.55774833333333,1,3.3,1,221.5,1,170.67,1,0.36854112,1781186709000,2077237654596278
2077238710,gps,55.67263666666666,37.557735,1,2.9,1,221.1,1,289.84,1,0.37729138,1781186710000,2077238651112509
2077239713,gps,55.67264166666667,37.55773166666667,1,2.7,1,221.3,1,266.98,1,0.39993918,1781186711000,2077239647849124
2077240717,gps,55.672644999999996,37.55772666666667,1,2.6,1,221.5,1,275.31,1,0.3850122,1781186712000,2077240649483047
2077241721,gps,55.67263166666667,37.55773666666666,1,2.4,1,221.7,1,239.5,1,0.19507973,1781186713000,2077241648254432
2077242709,gps,55.67263,37.557750000000006,1,2.3,1,221.5,1,97.79,1,0.31140694,1781186714000,2077242649454970
2077243714,gps,55.672625000000004,37.557765,1,2.3,1,221.6,1,136.44,1,0.2640525,1781186715000,2077243650583894
2077244715,gps,55.67262000000001,37.55777,1,2.2,1,221.6,1,232.4,1,0.37935027,1781186716000,2077244647927586
2077245713,gps,55.67261499999999,37.557775,1,2.2,1,221.8,1,195.13,1,0.26250833,1781186717000,2077245650219048
2077246713,gps,55.672613333333324,37.55777333333333,1,2.2,1,222.2,1,195.06,1,0.18787362,1781186718000,2077246650656894
2077247709,gps,55.67260833333333,37.557775,1,2.1,1,222.5,1,130.26,1,0.15801972,1781186719000,2077247649281125
2077248722,gps,55.67260833333333,37.557786666666665,1,2.0,1,222.3,1,90.46,1,0.46119112,1781186720000,2077248648759971
2077249713,gps,55.67260833333333,37.55779666666667,1,1.8,1,222.3,1,83.57,1,0.6552414,1781186721000,2077249649013432
2077250711,gps,55.672623333333334,37.55781,1,1.8,1,222.5,1,34.89,1,2.13095,1781186722000,2077250650394971
2077251709,gps,55.67265333333333,37.557835,1,1.8,1,223.0,1,36.91,1,0.82818806,1781186723000,2077251648529740
2077251881,network,55.6723685,37.5573583,1,52.4,1,224.90000915527344,0,0.0,0,0.0,1781186722529,2077251178000000
