qmc6308,qst,2026-06-11_17-04-59.349_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2077231012,3,-14.212501,6.3,-49.0125
2077231032,3,-13.6125,6.525,-49.312504
2077231052,3,-13.781251,6.2250004,-49.312504
2077231072,3,-13.6125,6.1125,-49.518753
2077231092,3,-11.64375,6.4125004,-49.443752
2077231112,3,-12.168751,6.43125,-48.937504
2077231150,3,-11.212501,6.80625,-49.218754
2077231170,3,-10.575001,7.0125003,-49.031254
2077231190,3,-12.375001,6.525,-49.0125
2077231210,3,-12.7875,6.43125,-49.312504
2077231230,3,-12.88125,6.3,-48.91875
2077231250,3,-12.01875,6.43125,-48.937504
2077231270,3,-13.25625,6.1125,-48.73125
2077231290,3,-13.687501,6.20625,-48.825
2077231310,3,-12.806251,6.20625,-49.312504
2077231330,3,-13.087501,6.3,-48.937504
2077231350,3,-13.106251,6.3,-48.937504
2077231370,3,-13.106251,6.2812505,-48.91875
2077231390,3,-13.106251,6.2625003,-48.9
2077231410,3,-13.106251,6.2625003,-48.881252
2077231430,3,-13.1625,6.24375,-48.881252
2077231450,3,-13.275001,6.2250004,-48.843754
2077231470,3,-13.387501,6.20625,-48.843754
2077231490,3,-13.425,6.20625,-48.825
2077231510,3,-13.481251,6.1875005,-48.787502
2077231530,3,-13.51875,6.1687503,-48.787502
2077231550,3,-13.556251,6.1312504,-48.787502
2077231570,3,-13.6125,6.1312504,-48.768753
2077231590,3,-13.650001,6.1125,-48.768753
2077231610,3,-13.687501,6.1125,-48.768753
2077231630,3,-13.725,6.0937505,-48.750004
2077231650,3,-13.725,6.0937505,-48.750004
2077231670,3,-13.725,6.0937505,-48.768753
2077231690,3,-13.725,6.0937505,-48.768753
2077231710,3,-13.743751,6.0937505,-48.768753
2077231730,3,-13.70625,6.1125,-48.768753
2077231750,3,-13.650001,6.1125,-48.787502
2077231770,3,-13.63125,6.1125,-48.750004
2077231790,3,-13.650001,6.0937505,-48.768753
2077231810,3,-13.63125,6.0937505,-48.787502
2077231830,3,-13.650001,6.0750003,-48.787502
2077231850,3,-13.650001,6.05625,-48.750004
2077231870,3,-13.650001,6.05625,-48.750004
2077231890,3,-13.687501,6.01875,-48.73125
2077231910,3,-13.687501,6.01875,-48.7125
2077231930,3,-13.70625,6.01875,-48.7125
2077231950,3,-13.762501,6.0,-48.675003
2077231970,3,-13.81875,6.0,-48.656254
2077231990,3,-13.837501,6.0,-48.675003
2077232010,3,-13.875001,5.9625,-48.656254
2077232030,3,-13.931251,5.9437504,-48.61875
2077232050,3,-13.950001,5.925,-48.6375
2077232070,3,-13.950001,5.925,-48.675003
2077232090,3,-13.931251,5.90625,-48.656254
2077232110,3,-13.950001,5.90625,-48.656254
2077232130,3,-13.950001,5.90625,-48.656254
2077232150,3,-13.950001,5.90625,-48.6375
2077232170,3,-13.968751,5.86875,-48.6375
2077232190,3,-13.931251,5.83125,-48.675003
2077232210,3,-13.931251,5.71875,-48.693752
2077232230,3,-13.931251,5.53125,-48.693752
2077232250,3,-13.931251,5.26875,-48.73125
2077232270,3,-13.9125,4.875,-48.768753
2077232290,3,-13.950001,4.33125,-48.768753
2077232310,3,-13.950001,3.6750002,-48.80625
2077232330,3,-14.00625,2.8500001,-48.825
2077232350,3,-14.118751,1.85625,-48.750004
2077232370,3,-14.306251,0.63750005,-48.61875
2077232390,3,-14.606251,-0.7875,-48.412502
2077232410,3,-15.0375,-2.4750001,-48.093754
2077232430,3,-15.637501,-4.3500004,-47.625
2077232450,3,-16.3875,-6.4687505,-46.95
2077232470,3,-17.2875,-8.793751,-46.03125
2077232490,3,-18.31875,-11.26875,-44.8875
2077232510,3,-19.40625,-13.9125,-43.48125
2077232530,3,-20.5125,-16.66875,-41.86875
2077232550,3,-21.6,-19.556252,-39.956253
2077232570,3,-22.650002,-22.518751,-37.74375
2077232590,3,-23.587502,-25.500002,-35.362503
2077232610,3,-24.375002,-28.462502,-32.756252
2077232630,3,-24.975,-31.406252,-29.98125
2077232650,3,-25.368752,-34.256252,-27.150002
2077232670,3,-25.556252,-36.956253,-24.2625
2077232690,3,-25.44375,-39.487503,-21.393751
2077232710,3,-25.1625,-41.79375,-18.675001
2077232730,3,-24.7875,-43.912502,-16.1625
2077232750,3,-24.243752,-45.768753,-13.9125
2077232770,3,-23.5125,-47.381252,-11.94375
2077232790,3,-22.725,-48.787502,-10.21875
2077232810,3,-21.84375,-49.95,-8.75625
2077232830,3,-21.056252,-50.943752,-7.51875
2077232850,3,-20.325,-51.693752,-6.58125
2077232870,3,-19.6875,-52.218754,-5.90625
2077232890,3,-19.2,-52.593754,-5.4750004
2077232910,3,-18.862501,-52.818752,-5.2312503
2077232930,3,-18.69375,-52.912502,-5.1937504
2077232950,3,-18.712502,-52.893753,-5.30625
2077232970,3,-18.91875,-52.781254,-5.55
2077232990,3,-19.331251,-52.65,-5.7937503
