orientation,mtk,2026-06-11_17-04-59.349_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2077231243,3,51.69569,-14.18846,-4.529804
2077231253,3,47.53603,-14.129704,-4.52055
2077231263,3,43.628925,-14.088535,-4.512082
2077231273,3,39.95156,-14.110141,-4.505585
2077231283,3,36.429726,-13.996638,-4.45989
2077231293,3,32.852104,-14.106855,-4.481764
2077231303,3,28.964228,-14.165961,-4.553943
2077231314,3,24.912277,-14.213287,-4.713133
2077231324,3,24.982521,-14.097715,-4.725194
2077231334,3,25.286762,-13.96706,-4.777794
2077231344,3,25.356174,-13.962242,-4.775182
2077231354,3,25.197355,-13.952834,-4.772325
2077231364,3,24.877459,-13.940961,-4.768523
2077231374,3,24.601257,-13.931087,-4.768598
2077231384,3,24.61179,-13.924789,-4.767839
2077231394,3,24.753834,-13.920949,-4.767581
2077231404,3,24.782974,-13.920786,-4.769437
2077231414,3,24.809982,-13.922311,-4.769542
2077231424,3,24.83718,-13.925415,-4.76968
2077231434,3,24.87218,-13.929201,-4.768189
2077231445,3,24.92153,-13.930762,-4.765495
2077231455,3,24.994278,-13.92897,-4.760779
2077231465,3,25.086708,-13.927963,-4.757084
2077231475,3,25.190016,-13.934693,-4.755423
2077231485,3,25.299917,-13.941317,-4.758005
2077231495,3,25.414185,-13.948502,-4.759696
2077231505,3,25.533081,-13.95434,-4.758499
2077231515,3,25.6498,-13.959736,-4.759912
2077231525,3,25.754744,-13.961877,-4.760733
2077231535,3,25.837324,-13.965688,-4.761192
2077231545,3,25.905346,-13.978464,-4.756901
2077231555,3,25.971361,-13.992145,-4.750765
2077231565,3,26.036442,-14.007957,-4.74655
2077231576,3,26.104235,-14.023892,-4.739306
2077231586,3,26.1721,-14.030741,-4.733258
2077231596,3,26.23689,-14.030627,-4.731707
2077231606,3,26.298306,-14.03456,-4.736211
2077231616,3,26.36073,-14.040066,-4.741986
2077231626,3,26.421831,-14.040967,-4.744741
2077231636,3,26.477726,-14.045465,-4.742965
