spl07,goermicro,2026-06-11_17-04-59.349_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
2077231198,3,990.91
2077231298,3,990.89996
2077231398,3,990.89996
2077231498,3,990.89996
2077231598,3,990.89996
2077231697,3,990.89996
2077231798,3,990.89996
2077231898,3,990.89996
2077231998,3,990.89996
2077232098,3,990.89996
2077232198,3,990.94995
2077232298,3,990.91
2077232398,3,990.81995
2077232498,3,990.8
2077232598,3,990.81
2077232698,3,990.88
2077232798,3,990.87
2077232898,3,990.88
2077232997,3,990.89996
2077233097,3,990.88995
2077233197,3,990.88995
2077233297,3,990.89996
2077233397,3,990.89996
2077233497,3,990.88995
2077233597,3,990.88995
2077233697,3,990.88995
2077233797,3,990.88995
2077233897,3,990.88995
2077233997,3,990.88995
2077234097,3,990.88995
2077234197,3,990.81995
2077234297,3,990.83997
2077234397,3,990.92
2077234497,3,990.97
2077234597,3,990.99
2077234697,3,990.94995
2077234797,3,990.91
2077234897,3,991.3
2077234997,3,991.0
2077235097,3,990.93
2077235197,3,990.83997
2077235297,3,990.99
2077235397,3,990.95996
2077235497,3,991.22
2077235597,3,991.17
2077235697,3,990.89996
2077235797,3,990.69
2077235897,3,990.75995
2077235997,3,990.87
2077236097,3,990.82996
2077236197,3,991.11
2077236297,3,991.19995
2077236397,3,991.05
2077236497,3,990.82996
2077236597,3,990.88
2077236697,3,990.85
2077236797,3,990.97
2077236897,3,991.01996
2077236997,3,990.89996
2077237097,3,990.85
2077237197,3,990.82996
2077237297,3,990.92
2077237397,3,990.88995
2077237497,3,990.8
2077237597,3,990.74
2077237697,3,990.8
2077237797,3,991.13995
2077237897,3,991.01996
2077237997,3,991.16
2077238097,3,991.35
2077238197,3,991.27997
2077238297,3,991.27997
2077238397,3,991.33997
2077238497,3,990.82996
2077238597,3,990.86
2077238697,3,991.1
2077238797,3,990.70996
2077238897,3,990.70996
2077238997,3,990.92
2077239097,3,990.76996
2077239197,3,990.94
2077239297,3,991.07996
2077239397,3,991.45996
2077239497,3,991.05
2077239597,3,990.88
2077239697,3,990.75995
2077239797,3,990.83997
2077239897,3,990.75
2077239997,3,990.82996
2077240097,3,990.74
2077240197,3,990.97
2077240297,3,991.97
2077240397,3,990.81
2077240497,3,991.11
2077240597,3,991.02997
2077240697,3,990.83997
2077240797,3,990.88
2077240897,3,990.74
2077240997,3,990.87
2077241097,3,990.81995
2077241197,3,990.94995
2077241297,3,990.58997
2077241397,3,990.75995
2077241497,3,990.67
2077241597,3,990.83997
2077241697,3,990.82996
2077241797,3,990.81995
2077241897,3,990.88
2077241997,3,990.8
2077242097,3,990.95996
2077242197,3,990.79
2077242297,3,991.11
2077242397,3,990.77997
2077242497,3,990.8
2077242597,3,990.88995
2077242697,3,990.85
2077242797,3,991.13
2077242897,3,990.98
2077242997,3,990.69995
2077243097,3,991.31995
2077243197,3,990.77997
2077243297,3,990.83997
2077243397,3,990.86
2077243497,3,990.76996
2077243597,3,990.83997
2077243697,3,991.06995
2077243797,3,990.62
2077243897,3,990.82996
2077243997,3,990.74
2077244097,3,990.99
2077244197,3,990.83997
2077244297,3,990.8
2077244397,3,990.94
2077244497,3,990.82996
2077244597,3,990.81995
2077244697,3,990.74
2077244797,3,990.83997
2077244897,3,990.88
2077244997,3,990.81
2077245097,3,990.86
2077245197,3,990.88995
2077245297,3,990.8
2077245397,3,990.81995
2077245497,3,990.87
2077245597,3,990.74
2077245697,3,990.81995
2077245797,3,990.82996
2077245897,3,990.88
2077245997,3,990.81
2077246097,3,990.85
2077246197,3,990.75995
2077246297,3,990.83997
2077246397,3,990.82996
2077246497,3,990.86
2077246597,3,990.88
2077246697,3,990.81
2077246797,3,990.81995
2077246897,3,990.75
2077246997,3,990.86
2077247097,3,990.75995
2077247197,3,990.79
2077247297,3,990.74
2077247397,3,990.85
2077247497,3,990.91
2077247597,3,990.74
2077247697,3,990.76996
2077247797,3,990.82996
2077247897,3,990.82996
2077247997,3,990.79
2077248097,3,990.93
2077248197,3,990.86
2077248297,3,990.87
2077248397,3,990.85
2077248497,3,990.75995
2077248597,3,990.76996
2077248697,3,991.19
2077248797,3,990.57996
2077248897,3,990.69
2077248997,3,990.8
2077249097,3,990.82996
2077249197,3,990.75
2077249297,3,990.93
2077249397,3,990.93
2077249497,3,990.81995
2077249597,3,990.87
2077249697,3,990.69995
2077249797,3,990.79
2077249897,3,990.81995
2077249997,3,990.73
