gravity,mtk,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2077665261,3,2.20849,3.432504,8.825959
2077665271,3,2.315031,3.246065,8.959573
2077665281,3,2.32489,3.274964,8.946497
2077665291,3,2.296353,3.295363,8.946379
2077665301,3,2.302836,3.343613,8.926783
2077665311,3,2.33719,3.417179,8.889904
2077665321,3,2.367812,3.503023,8.848288
2077665331,3,2.361144,3.572991,8.822069
2077665342,3,2.392177,3.532164,8.83015
2077665352,3,2.388078,3.361602,8.897493
2077665362,3,2.362113,3.160407,8.97777
2077665372,3,2.333498,3.071778,9.016037
2077665382,3,2.308194,3.077268,9.020699
2077665392,3,2.317587,3.19506,8.977188
2077665402,3,2.34,3.386862,8.900665
2077665412,3,2.365081,3.518784,8.842733
2077665422,3,2.364618,3.592096,8.813372
2077665432,3,2.364597,3.559793,8.826487
2077665442,3,2.289887,3.492519,8.872908
2077665452,3,2.197246,3.499829,8.893438
2077665462,3,2.192472,3.500317,8.894397
2077665473,3,2.182762,3.501236,8.896318
2077665483,3,2.167916,3.502571,8.899193
2077665493,3,2.147718,3.504312,8.903009
2077665503,3,2.121942,3.50641,8.907762
2077665513,3,2.090568,3.508648,8.913465
2077665523,3,2.053798,3.510835,8.920094
2077665533,3,2.011884,3.512822,8.927601
2077665543,3,1.965123,3.514582,8.935896
2077665553,3,1.913735,3.516291,8.944829
2077665563,3,1.857897,3.518191,8.954236
2077665573,3,1.797776,3.520468,8.963984
2077665583,3,1.733515,3.523062,8.97404
2077665593,3,1.66534,3.52569,8.984457
2077665604,3,1.593521,3.528015,8.995308
2077665614,3,1.518315,3.529791,9.006642
2077665624,3,1.439966,3.53082,9.01849
2077665634,3,1.358694,3.531013,9.030851
2077665644,3,1.269992,3.530942,9.044645
2077665654,3,1.183245,3.529564,9.057913
2077665664,3,1.098536,3.527047,9.070595
2077665674,3,1.016003,3.523497,9.082654
2077665684,3,0.935828,3.518858,9.094109
2077665694,3,0.858288,3.513043,9.104988
2077665704,3,0.783699,3.506066,9.11529
2077665714,3,0.712158,3.498201,9.124962
2077665724,3,0.643503,3.489722,9.133982
2077665735,3,0.577505,3.480787,9.142381
2077665745,3,0.513793,3.471463,9.150217
2077665755,3,0.45206,3.46159,9.157621
2077665765,3,0.392059,3.450964,9.164724
2077665775,3,0.333619,3.439428,9.171635
2077665785,3,0.276592,3.427091,9.17835
2077665795,3,0.220666,3.414312,9.18477
2077665805,3,0.165432,3.401597,9.190739
2077665815,3,0.110504,3.389406,9.196108
2077665825,3,0.055609,3.378228,9.200718
2077665835,3,6.07E-4,3.368484,9.204437
2077665845,3,-0.054509,3.360433,9.20719
2077665855,3,-0.109602,3.354192,9.208949
2077665865,3,-0.164496,3.349768,9.209723
2077665876,3,-0.21891,3.347134,9.20954
2077665886,3,-0.272837,3.346396,9.208363
2077665896,3,-0.326417,3.347676,9.206141
2077665906,3,-0.379738,3.350977,9.202879
2077665916,3,-0.432833,3.356093,9.198659
2077665926,3,-0.485699,3.362549,9.193668
2077665936,3,-0.538208,3.369791,9.188139
2077665946,3,-0.590002,3.377218,9.182338
2077665956,3,-0.640655,3.3843,9.176518
2077665966,3,-0.689684,3.390638,9.170889
2077665976,3,-0.736857,3.396066,9.165552
2077665986,3,-0.782142,3.40054,9.160534
2077665996,3,-0.825617,3.404017,9.155845
2077666007,3,-0.86739,3.406324,9.151528
2077666017,3,-0.907567,3.407158,9.147679
2077666027,3,-0.944849,3.407039,9.144293
2077666037,3,-0.979239,3.405736,9.141478
2077666047,3,-1.010622,3.40316,9.139315
2077666057,3,-1.038882,3.399259,9.137868
2077666067,3,-1.064033,3.394036,9.137163
2077666077,3,-1.086403,3.387574,9.137158
2077666087,3,-1.106262,3.379924,9.137814
2077666097,3,-1.123794,3.371178,9.139088
2077666107,3,-1.139018,3.36154,9.140921
2077666117,3,-1.151722,3.351374,9.143223
2077666127,3,-1.16142,3.34132,9.145833
2077666138,3,-1.167664,3.33215,9.148525
2077666148,3,-1.170222,3.324593,9.151056
2077666158,3,-1.170441,3.318103,9.153457
2077666168,3,-1.168715,3.31316,9.155505
2077666178,3,-1.165244,3.309943,9.157112
2077666188,3,-1.159993,3.308457,9.158285
2077666198,3,-1.152823,3.308653,9.159066
2077666208,3,-1.14342,3.31055,9.159491
2077666218,3,-1.131453,3.314378,9.159521
2077666228,3,-1.118153,3.319401,9.159262
2077666238,3,-1.103438,3.325487,9.158765
2077666248,3,-1.087436,3.332506,9.158049
2077666258,3,-1.070411,3.340301,9.157131
2077666269,3,-1.052556,3.348801,9.156008
2077666279,3,-1.033948,3.358034,9.154657
2077666289,3,-1.013309,3.368203,9.15312
2077666299,3,-0.990681,3.379006,9.151502
2077666309,3,-0.966317,3.390122,9.149894
2077666319,3,-0.940677,3.401207,9.148371
2077666329,3,-0.914534,3.411909,9.14697
2077666339,3,-0.888792,3.421914,9.145711
2077666349,3,-0.864238,3.431015,9.144594
2077666359,3,-0.840077,3.44027,9.143345
2077666369,3,-0.816489,3.449591,9.141982
2077666379,3,-0.79362,3.45898,9.140497
2077666389,3,-0.771765,3.46843,9.138868
2077666399,3,-0.751183,3.47792,9.137093
2077666410,3,-0.732196,3.487363,9.13518
2077666420,3,-0.715132,3.496539,9.133188
2077666430,3,-0.700181,3.505268,9.131172
2077666440,3,-0.687576,3.513452,9.129152
2077666450,3,-0.6774,3.520881,9.127199
2077666460,3,-0.669613,3.527392,9.125385
2077666470,3,-0.664177,3.532761,9.1238
2077666480,3,-0.663391,3.538768,9.121557
2077666490,3,-0.668089,3.544898,9.118759
2077666500,3,-0.674772,3.549235,9.116495
2077666510,3,-0.682452,3.551899,9.114813
2077666520,3,-0.691571,3.552052,9.113994
2077666530,3,-0.70109,3.549584,9.114167
2077666541,3,-0.710162,3.544198,9.115499
2077666551,3,-0.718065,3.535806,9.118059
2077666561,3,-0.723913,3.526685,9.121064
2077666571,3,-0.728007,3.516291,9.124677
2077666581,3,-0.730148,3.505782,9.128481
2077666591,3,-0.731038,3.495125,9.132434
2077666601,3,-0.731425,3.48472,9.136337
2077666611,3,-0.731814,3.474898,9.140032
2077666621,3,-0.733027,3.466454,9.143165
2077666631,3,-0.735841,3.458548,9.145975
2077666641,3,-0.738844,3.450545,9.148799
2077666651,3,-0.74142,3.442626,9.151617
2077666661,3,-0.742814,3.43508,9.154379
2077666672,3,-0.74231,3.428292,9.157001
2077666682,3,-0.737,3.420596,9.160379
2077666692,3,-0.726945,3.412445,9.164358
2077666702,3,-0.716525,3.406276,9.167602
2077666712,3,-0.705503,3.402129,9.170093
2077666722,3,-0.69375,3.401509,9.171275
2077666732,3,-0.682142,3.405058,9.170827
2077666742,3,-0.671049,3.413691,9.168364
2077666752,3,-0.660102,3.427688,9.163793
2077666762,3,-0.649382,3.445163,9.157761
2077666772,3,-0.638392,3.467471,9.149751
2077666782,3,-0.627124,3.493713,9.140023
2077666792,3,-0.614897,3.524113,9.128488
2077666803,3,-0.601087,3.558127,9.115352
2077666813,3,-0.584426,3.595384,9.100779
2077666823,3,-0.56343,3.634982,9.085153
2077666833,3,-0.536976,3.677271,9.068439
2077666843,3,-0.506311,3.722495,9.050468
2077666853,3,-0.472029,3.770315,9.031313
2077666863,3,-0.434844,3.820327,9.011056
2077666873,3,-0.395413,3.872179,8.989758
2077666883,3,-0.354065,3.92547,8.967521
2077666893,3,-0.310948,3.980114,8.944317
2077666903,3,-0.265027,4.035904,8.920263
2077666913,3,-0.217232,4.092955,8.895197
2077666923,3,-0.167108,4.151021,8.869167
2077666934,3,-0.114746,4.21005,8.842115
2077666944,3,-0.060595,4.269946,8.813974
2077666954,3,-0.005668,4.330648,8.784678
2077666964,3,0.049226,4.391805,8.754316
2077666974,3,0.10397,4.452887,8.723043
2077666984,3,0.158589,4.513757,8.690864
2077666994,3,0.213624,4.57413,8.657897
2077667004,3,0.270006,4.634117,8.624064
2077667014,3,0.327656,4.693633,8.589355
2077667024,3,0.3864,4.752658,8.553755
2077667034,3,0.446287,4.811553,8.517073
2077667044,3,0.507442,4.870744,8.479058
2077667054,3,0.570051,4.93062,8.439417
2077667064,3,0.634175,4.991544,8.397863
2077667075,3,0.699858,5.053758,8.354173
2077667085,3,0.767139,5.117392,8.308182
2077667095,3,0.836138,5.182208,8.259933
2077667105,3,0.906805,5.247552,8.209853
2077667115,3,0.979015,5.312594,8.158514
2077667125,3,1.052668,5.376496,8.106493
2077667135,3,1.127724,5.438436,8.054364
2077667145,3,1.204014,5.497634,8.002735
2077667155,3,1.281188,5.553622,7.952105
2077667165,3,1.358828,5.60608,7.902906
2077667175,3,1.436245,5.654677,7.855589
2077667185,3,1.512292,5.699122,7.810721
2077667195,3,1.585673,5.740063,7.768187
2077667206,3,1.655049,5.777575,7.728295
2077667216,3,1.720154,5.811815,7.691018
2077667226,3,1.781201,5.843705,7.655619
2077667236,3,1.839592,5.87333,7.621681
2077667246,3,1.89518,5.901267,7.588831
2077667256,3,1.946556,5.928826,7.556422
2077667266,3,1.993299,5.956546,7.524152
2077667276,3,2.035004,5.984696,7.49194
2077667286,3,2.071119,6.013195,7.460054
2077667296,3,2.101186,6.04173,7.428979
2077667306,3,2.124809,6.070757,7.398585
2077667316,3,2.141605,6.101112,7.368375
2077667326,3,2.15162,6.13338,7.337904
2077667337,3,2.155466,6.168325,7.306353
2077667347,3,2.154153,6.20677,7.272677
2077667357,3,2.148845,6.24948,7.235804
2077667367,3,2.140639,6.297176,7.194651
2077667377,3,2.130808,6.350681,7.147825
2077667387,3,2.121094,6.410626,7.093922
2077667397,3,2.113319,6.476696,7.032249
2077667407,3,2.107324,6.548667,6.962811
2077667417,3,2.102704,6.626651,6.885274
2077667427,3,2.098421,6.709962,6.80015
2077667437,3,2.092044,6.798699,6.707766
2077667447,3,2.083108,6.892512,6.608096
2077667457,3,2.072099,6.990247,6.501394
2077667468,3,2.059557,7.09165,6.386886
2077667478,3,2.046647,7.196161,6.264165
2077667488,3,2.034771,7.303281,6.133001
2077667498,3,2.024528,7.413172,5.992579
2077667508,3,2.016881,7.525563,5.842396
2077667518,3,2.012711,7.640017,5.682033
