icm4n607_gyro,iven_sense,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2077665180,3,-0.0213125,-0.012925,0.020075
2077665190,3,-0.0383625,-0.054449998,-0.02255
2077665200,3,-0.05115,-0.0672375,-0.049225
2077665211,3,-0.0628375,-0.0501875,-0.0523875
2077665221,3,-0.066,-0.0077,-0.0342375
2077665231,3,-0.056375,0.0286,-0.0108624995
2077665241,3,-0.0372625,0.037125,8.25E-4
2077665251,3,-0.0138875,0.018975,-0.0012375
2077665261,3,0.0064625,-0.0044,-0.0086624995
2077665271,3,0.0202125,-0.02255,-0.015125
2077665281,3,0.025575,-0.02475,-0.0182875
2077665291,3,0.0202125,-0.02145,-0.0257125
2077665301,3,0.0116875,-0.0108624995,-0.0375375
2077665311,3,0.0022,0.01155,-0.048125
2077665321,3,0.0031625,0.0391875,-0.0460625
2077665331,3,0.0116875,0.0638,-0.029975
2077665342,3,0.024475,0.0743875,-0.0066
2077665352,3,0.0309375,0.0638,0.01045
2077665362,3,0.0309375,0.0264,0.0083875
2077665372,3,0.027775,-0.028875,-0.0086624995
2077665382,3,0.0224125,-0.080025,-0.031075
2077665392,3,0.01815,-0.116325,-0.050325
2077665402,3,0.0202125,-0.12265,-0.0534875
2077665412,3,0.0298375,-0.100375,-0.0418
2077665422,3,0.041525,-0.05775,-0.02475
2077665432,3,0.052249998,-0.0077,-0.0119624995
2077665442,3,0.0543125,0.0391875,-0.0077
2077665452,3,0.05335,0.0721875,-0.012925
2077665462,3,0.044825,0.103125,-0.0290125
2077665473,3,0.0309375,0.14465,-0.048125
2077665483,3,0.0149875,0.19373749,-0.062975
2077665493,3,0.0011,0.24585,-0.064075
2077665503,3,-0.009625,0.306625,-0.049225
2077665513,3,-0.0127875,0.3427875,-0.031075
2077665523,3,-0.006325,0.32999998,-0.02145
2077665533,3,0.0031625,0.2864125,-0.02365
2077665543,3,0.007425,0.2278375,-0.033275
2077665553,3,0.0138875,0.1830125,-0.033275
2077665563,3,0.026675,0.156475,-0.0119624995
2077665573,3,0.0372625,0.14795,0.036025
2077665583,3,0.0352,0.153175,0.086075
2077665593,3,0.01705,0.14795,0.120175
2077665604,3,-0.0127875,0.1181125,0.1255375
2077665614,3,-0.05115,0.0754875,0.1084875
2077665624,3,-0.093775,0.0286,0.0903375
2077665634,3,-0.126775,-0.012925,0.07645
2077665644,3,-0.14905,-0.0416625,0.0732875
2077665654,3,-0.1640375,-0.049225,0.07755
2077665664,3,-0.1694,-0.0331375,0.0999625
2077665674,3,-0.1640375,-0.0055,0.124437496
2077665684,3,-0.1533125,0.0232375,0.1414875
2077665694,3,-0.1395625,0.0317625,0.1414875
2077665704,3,-0.123475,0.0221375,0.121275
2077665714,3,-0.109725,0.004125,0.0946
2077665724,3,-0.100099996,-0.0077,0.0636625
2077665735,3,-0.1023,-0.0171875,0.0317625
2077665745,3,-0.107525,-0.0108624995,-1.375E-4
2077665755,3,-0.1117875,-0.0023375,-0.0268125
2077665765,3,-0.1054625,0.0083875,-0.0460625
2077665775,3,-0.093775,0.01155,-0.0672375
2077665785,3,-0.076725,0.00935,-0.099275
2077665795,3,-0.0543125,0.013612499,-0.132275
2077665805,3,-0.023375,0.0243375,-0.1632125
2077665815,3,0.0202125,0.0413875,-0.182325
2077665825,3,0.0809875,0.053075,-0.18975
2077665835,3,0.1480875,0.053075,-0.19085
2077665845,3,0.212025,0.04675,-0.1876875
2077665855,3,0.260975,0.0297,-0.1876875
2077665865,3,0.28875,0.014712499,-0.19305
2077665876,3,0.2908125,0.0083875,-0.199375
2077665886,3,0.279125,0.0169125,-0.1962125
2077665896,3,0.2589125,0.054175,-0.17379999
2077665906,3,0.23333749,0.1010625,-0.1387375
2077665916,3,0.19607499,0.1436875,-0.1035375
2077665926,3,0.1375,0.171325,-0.0726
2077665936,3,0.069299996,0.1733875,-0.0512875
2077665946,3,0.007425,0.1351625,-0.049225
2077665956,3,-0.040425,0.0573375,-0.0545875
2077665966,3,-0.0776875,-0.0374,-0.0726
2077665976,3,-0.100099996,-0.1131625,-0.098175
2077665986,3,-0.108625,-0.147125,-0.1194875
2077665996,3,-0.11715,-0.13859999,-0.131175
2077666007,3,-0.1288375,-0.0950125,-0.1397
2077666017,3,-0.1353,-0.0407,-0.1419
2077666027,3,-0.126775,-0.012925,-0.1546875
2077666037,3,-0.1012,-0.0416625,-0.1865875
2077666047,3,-0.0554125,-0.1183875,-0.2399375
2077666057,3,-0.01485,-0.20253749,-0.3048375
2077666067,3,0.0138875,-0.2547875,-0.3667125
2077666077,3,0.041525,-0.251625,-0.401775
2077666087,3,0.058575,-0.1887875,-0.3964125
2077666097,3,0.0820875,-0.12595,-0.3793625
2077666107,3,0.11715,-0.117425,-0.3656125
2077666117,3,0.1640375,-0.17379999,-0.3656125
2077666127,3,0.21945,-0.29425,-0.3826625
2077666138,3,0.2717,-0.435875,-0.4114
2077666148,3,0.311025,-0.56155,-0.4466
2077666158,3,0.3271125,-0.6446,-0.471075
2077666168,3,0.3334375,-0.6829625,-0.484825
2077666178,3,0.3345375,-0.69905,-0.49445
2077666188,3,0.3388,-0.7203625,-0.5137
2077666198,3,0.3408625,-0.7277875,-0.5424375
2077666208,3,0.346225,-0.7415375,-0.5808
2077666218,3,0.3504875,-0.76285,-0.620125
2077666228,3,0.35475,-0.774675,-0.649
2077666238,3,0.35694999,-0.79805,-0.6777375
2077666248,3,0.3612125,-0.83105,-0.7170625
2077666258,3,0.35694999,-0.8523625,-0.7618875
2077666269,3,0.3430625,-0.86735,-0.8097375
2077666279,3,0.32175,-0.8597875,-0.8471375
2077666289,3,0.28655,-0.8204625,-0.875875
2077666299,3,0.243925,-0.7607875,-0.8886625
2077666309,3,0.2077625,-0.7033125,-0.8875625
2077666319,3,0.176825,-0.6595875,-0.8844
2077666329,3,0.15125,-0.6073375,-0.8864625
2077666339,3,0.1310375,-0.5445,-0.891825
2077666349,3,0.1214125,-0.4890875,-0.90035
2077666359,3,0.12045,-0.4444,-0.90035
2077666369,3,0.1247125,-0.400675,-0.8790375
2077666379,3,0.1310375,-0.3634125,-0.8449375
2077666389,3,0.1299375,-0.2963125,-0.8034125
2077666399,3,0.11935,-0.22385,-0.772475
2077666410,3,0.1054625,-0.167475,-0.7693125
2077666420,3,0.0895125,-0.12485,-0.78842497
2077666430,3,0.0713625,-0.102437496,-0.8151
2077666440,3,0.044825,-0.08965,-0.82362497
2077666450,3,0.010725,-0.097075,-0.8097375
2077666460,3,-0.0265375,-0.1013375,-0.7799
2077666470,3,-0.0702625,-0.082225,-0.741675
2077666480,3,-0.1203125,-0.049225,-0.6329125
2077666490,3,-0.1683,-0.0449625,-0.4433
2077666500,3,-0.192775,-0.1035375,-0.284625
2077666510,3,-0.2055625,-0.233475,-0.217525
2077666520,3,-0.2055625,-0.3804625,-0.2558875
2077666530,3,-0.2066625,-0.46035,-0.3432
2077666541,3,-0.1896125,-0.5339125,-0.4401375
2077666551,3,-0.141625,-0.637175,-0.5456
2077666561,3,-0.0457875,-0.771375,-0.6340125
2077666571,3,0.059675,-0.83105,-0.6862625
2077666581,3,0.1012,-0.71389997,-0.71073747
2077666591,3,0.094875,-0.520025,-0.7341125
2077666601,3,0.092675,-0.3889875,-0.76615
2077666611,3,0.1128875,-0.302775,-0.7778375
2077666621,3,0.108625,-0.15785,-0.755425
2077666631,3,0.0543125,0.004125,-0.7363125
2077666641,3,0.024475,-0.014025,-0.7704125
2077666651,3,0.0372625,-0.19085,-0.8523625
2077666661,3,0.069299996,-0.3964125,-0.9227625
2077666672,3,0.109725,-0.5509625,-0.9290875
2077666682,3,0.1577125,-0.6351125,-0.8864625
2077666692,3,0.2013,-0.6457,-0.8514
2077666702,3,0.2248125,-0.5850625,-0.8353125
2077666712,3,0.2706,-0.5839625,-0.8097375
2077666722,3,0.3697375,-0.63085,-0.7682125
2077666732,3,0.4538875,-0.59675,-0.76395
2077666742,3,0.5380375,-0.59675,-0.7448375
2077666752,3,0.617925,-0.637175,-0.6851625
2077666762,3,0.6945125,-0.722425,-0.5594875
2077666772,3,0.7627125,-0.76285,-0.40713748
2077666782,3,0.8160625,-0.7277875,-0.284625
2077666792,3,0.8564875,-0.7118375,-0.199375
2077666803,3,0.8778,-0.6766375,-0.1354375
2077666813,3,0.86817497,-0.6744375,-0.0353375
2077666823,3,0.8107,-0.6606875,0.1148125
2077666833,3,0.7308125,-0.639375,0.2608375
2077666843,3,0.649825,-0.637175,0.3876125
2077666853,3,0.5806625,-0.6573875,0.510125
2077666863,3,0.5284125,-0.6914875,0.6230125
2077666873,3,0.49115,-0.7192625,0.7220125
2077666883,3,0.4719,-0.7277875,0.8083625
2077666893,3,0.4772625,-0.7203625,0.88825
2077666903,3,0.499675,-0.6787,0.962775
2077666913,3,0.5528875,-0.637175,1.0267125
2077666923,3,0.62315,-0.588225,1.0714
2077666934,3,0.702075,-0.52745,1.09065
2077666944,3,0.7723375,-0.435875,1.0938125
2077666954,3,0.835175,-0.333575,1.0756625
2077666964,3,0.8789,-0.2611125,1.0426625
2077666974,3,0.8969125,-0.2228875,1.033175
2077666984,3,0.89375,-0.19195,1.05655
2077666994,3,0.8809625,-0.184525,1.1108625
2077667004,3,0.8724375,-0.2079,1.1886874
2077667014,3,0.8661125,-0.22495,1.2450625
2077667024,3,0.8586875,-0.2355375,1.268575
2077667034,3,0.8586875,-0.2611125,1.2643125
2077667044,3,0.86501247,-0.302775,1.234475
2077667054,3,0.88,-0.33467498,1.198175
2077667064,3,0.90227497,-0.36025,1.1620125
2077667075,3,0.919325,-0.36987498,1.12365
2077667085,3,0.920425,-0.3793625,1.0767624
2077667095,3,0.8809625,-0.3804625,1.015025
2077667105,3,0.787325,-0.3889875,0.929775
2077667115,3,0.6477625,-0.4252875,0.812625
2077667125,3,0.4794625,-0.451825,0.6815875
2077667135,3,0.3089625,-0.4316125,0.559075
2077667145,3,0.1651375,-0.3762,0.4610375
2077667155,3,0.058575,-0.3155625,0.388575
2077667165,3,0.0031625,-0.2462625,0.3333
2077667175,3,0.0042625,-0.12265,0.2981
2077667185,3,0.069299996,0.003025,0.270325
2077667195,3,0.1683,0.120175,0.28105
2077667206,3,0.246125,0.2193125,0.357775
2077667216,3,0.2919125,0.22453749,0.4855125
2077667226,3,0.3493875,0.1819125,0.608025
2077667236,3,0.4389,0.1915375,0.6804875
2077667246,3,0.56993747,0.1744875,0.6793875
2077667256,3,0.7115625,0.21175,0.61448747
2077667266,3,0.8468625,0.3108875,0.5016
2077667276,3,0.92895,0.41525,0.363
2077667286,3,0.90337497,0.4855125,0.2182125
2077667296,3,0.82981247,0.526075,0.1073875
2077667306,3,0.7990125,0.5878125,0.0732875
2077667316,3,0.835175,0.6571125,0.124437496
2077667326,3,0.953425,0.693275,0.198
