stk3a5x_als,sensortek,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2077665118,3,8181.0
2077665118,3,8181.0
2077665206,3,8209.0
2077665216,3,8209.0
2077665226,3,8209.0
2077665236,3,8209.0
2077665246,3,8209.0
2077665256,3,8209.0
2077665266,3,8237.0
2077665276,3,8237.0
2077665286,3,8237.0
2077665296,3,8237.0
2077665306,3,8237.0
2077665316,3,8237.0
2077665326,3,8237.0
2077665336,3,8237.0
2077665346,3,8237.0
2077665356,3,8237.0
2077665366,3,8219.0
2077665376,3,8219.0
2077665386,3,8219.0
2077665396,3,8219.0
2077665406,3,8219.0
2077665416,3,8219.0
2077665426,3,8206.0
2077665436,3,8206.0
2077665446,3,8206.0
2077665456,3,8206.0
2077665466,3,8206.0
2077665476,3,8180.0
2077665486,3,8180.0
2077665496,3,8180.0
2077665506,3,8180.0
2077665516,3,8180.0
2077665526,3,8076.0
2077665536,3,8076.0
2077665546,3,8076.0
2077665556,3,8076.0
2077665566,3,8076.0
2077665576,3,7918.0
2077665586,3,7918.0
2077665596,3,7918.0
2077665606,3,7918.0
2077665616,3,7918.0
2077665626,3,7817.0
2077665636,3,7817.0
2077665646,3,7817.0
2077665656,3,7817.0
2077665666,3,7817.0
2077665676,3,7831.0
2077665686,3,7831.0
2077665696,3,7831.0
2077665706,3,7831.0
2077665716,3,7831.0
2077665726,3,7831.0
2077665736,3,7898.0
2077665746,3,7898.0
2077665756,3,7898.0
2077665766,3,7898.0
2077665776,3,7898.0
2077665786,3,7994.0
2077665796,3,7994.0
2077665806,3,7994.0
2077665816,3,7994.0
2077665826,3,7994.0
2077665836,3,8012.0
2077665846,3,8012.0
2077665856,3,8012.0
2077665866,3,8012.0
2077665876,3,8012.0
2077665886,3,7905.0
2077665896,3,7905.0
2077665906,3,7905.0
2077665916,3,7905.0
2077665926,3,7905.0
2077665936,3,7729.0
2077665946,3,7729.0
2077665956,3,7729.0
2077665966,3,7729.0
2077665976,3,7729.0
2077665986,3,7617.0
2077665996,3,7617.0
2077666006,3,7617.0
2077666016,3,7617.0
2077666026,3,7617.0
2077666036,3,7660.0
2077666046,3,7660.0
2077666056,3,7660.0
2077666066,3,7660.0
2077666076,3,7660.0
2077666086,3,7660.0
2077666096,3,7691.0
2077666106,3,7691.0
2077666116,3,7691.0
2077666126,3,7691.0
2077666136,3,7691.0
2077666146,3,7645.0
2077666156,3,7645.0
2077666166,3,7645.0
2077666176,3,7645.0
2077666186,3,7645.0
2077666196,3,7520.0
2077666206,3,7520.0
2077666216,3,7520.0
2077666226,3,7520.0
2077666236,3,7520.0
2077666246,3,7284.0
2077666256,3,7284.0
2077666266,3,7284.0
2077666276,3,7284.0
2077666286,3,7284.0
2077666296,3,6855.0
2077666306,3,6855.0
2077666316,3,6855.0
2077666326,3,6855.0
2077666336,3,6855.0
2077666346,3,6221.0
2077666356,3,6221.0
2077666366,3,6221.0
2077666376,3,6221.0
2077666386,3,6221.0
2077666396,3,6221.0
2077666406,3,5622.0
2077666416,3,5622.0
2077666426,3,5622.0
2077666436,3,5622.0
2077666446,3,5622.0
2077666456,3,5210.0
