timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
256,2079541768,0.042625,0.0339625,0.07755,-3.07095,3.9180002,8.781,19.725,-8.118751,-29.456251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,2079541778,0.042625,0.0264,0.071225,-3.0619502,3.8940003,8.805,18.65625,-8.2875,-29.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,2079541788,0.050049998,0.0158125,0.0647625,-3.0660002,3.8740501,8.830951,18.65625,-8.2875,-29.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,2079541798,0.0661375,0.004125,0.051975,-3.0640502,3.8460002,8.778001,18.65625,-8.2875,-29.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,2079541808,0.08415,-0.0012375,0.04235,-3.0280502,3.8239503,8.656051,18.65625,-8.2875,-29.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,2079541818,0.100099996,0.003025,0.0328625,-2.9590502,3.86505,8.58195,19.875,-8.19375,-29.456251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,2079541829,0.108625,0.014712499,0.0275,-2.9160001,3.8410501,8.448,19.875,-8.19375,-29.456251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,2079541839,0.1150875,0.0297,0.021175,-2.868,3.8460002,8.38605,20.41875,-8.2875,-29.118752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,2079541849,0.1214125,0.038225,0.014712499,-2.8840501,3.8239503,8.37405,20.41875,-8.2875,-29.118752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,2079541859,0.1342,0.0413875,0.0072875,-2.904,3.8149502,8.356951,17.00625,-8.887501,-28.931252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,2079541869,0.1491875,0.0424875,-1.375E-4,-2.8990502,3.8410501,8.316,17.00625,-8.887501,-28.931252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,2079541879,0.1588125,0.045649998,-0.0055,-2.87295,3.8620503,8.23995,15.825001,-9.1875,-28.425001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,2079541889,0.15455,0.055275,-0.0119624995,-2.877,3.8860502,8.188951,15.825001,-9.1875,-28.425001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,2079541899,0.1353,0.0721875,-0.0171875,-2.8870502,3.9100502,8.14395,14.55,-9.0,-28.125002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,2079541909,0.108625,0.084975,-0.02255,-2.9160001,3.9150002,8.158051,14.55,-9.0,-28.125002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,2079541919,0.077825,0.091437496,-0.0290125,-2.94705,3.93405,8.200951,15.675,-9.1875,-28.125002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,2079541929,0.044825,0.086075,-0.0375375,-2.973,3.9220502,8.26095,15.675,-9.1875,-28.125002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,2079541939,0.0149875,0.071225,-0.049225,-3.0040503,3.9460502,8.352,15.993751,-9.28125,-28.312502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,2079541949,-0.0127875,0.0510125,-0.0609125,-3.0349503,3.9510002,8.42205,15.993751,-9.28125,-28.312502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
