gravity,mtk,2026-06-11_17-43-30.077_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2079541818,3,2.861288,3.987781,8.452169
2079541829,3,2.93972,3.870852,8.51733
2079541839,3,2.912677,3.9023,8.512266
2079541849,3,2.931443,3.888431,8.512175
2079541859,3,2.954663,3.883183,8.506538
2079541869,3,2.958853,3.918554,8.48884
2079541879,3,2.952597,3.967025,8.468477
2079541889,3,2.966436,4.005684,8.445415
2079541899,3,2.984428,4.041695,8.421887
2079541909,3,3.006602,4.038856,8.415365
2079541919,3,3.021781,4.035437,8.411567
2079541929,3,3.03173,4.001906,8.423994
2079541939,3,3.033133,3.984946,8.431528
2079541949,3,3.041817,3.961123,8.43962
2079541959,3,3.037063,3.97847,8.433172
2079541970,3,3.023644,4.01407,8.421112
2079541980,3,2.914023,4.025119,8.45438
2079541990,3,2.908391,4.025446,8.45612
2079542000,3,2.897216,4.025905,8.459583
2079542010,3,2.880632,4.026314,8.464735
2079542020,3,2.858816,4.026518,8.471524
2079542030,3,2.831952,4.026429,8.47987
2079542040,3,2.80022,4.026036,8.489667
2079542050,3,2.763767,4.025369,8.500803
2079542060,3,2.722703,4.024496,8.513166
2079542070,3,2.677054,4.023455,8.526681
2079542080,3,2.626817,4.022259,8.541289
2079542090,3,2.571967,4.020938,8.556933
2079542101,3,2.512487,4.019518,8.573553
2079542111,3,2.448303,4.018078,8.591074
2079542121,3,2.379348,4.016653,8.609445
2079542131,3,2.305537,4.015303,8.628595
2079542141,3,2.226801,4.01408,8.648458
2079542151,3,2.143106,4.012974,8.668984
2079542161,3,2.054454,4.011971,8.690128
2079542171,3,1.955138,4.011545,8.713616
2079542181,3,1.856706,4.010754,8.735805
2079542191,3,1.75915,4.009789,8.756662
2079542201,3,1.662487,4.008823,8.776154
2079542211,3,1.566721,4.007972,8.794283
2079542221,3,1.471825,4.007299,8.81109
2079542232,3,1.377792,4.006832,8.82663
2079542242,3,1.284625,4.006547,8.840975
2079542252,3,1.192384,4.006406,8.854197
2079542262,3,1.10113,4.006316,8.866381
2079542272,3,1.010995,4.00623,8.877577
2079542282,3,0.922101,4.006123,8.887815
2079542292,3,0.834563,4.005929,8.897147
