linear_acc,mtk,2026-06-11_17-43-30.077_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2079541829,3,-1.393401,-0.92256,0.400041
2079541839,3,-1.076542,-0.734984,0.268322
2079541849,3,-0.872917,-0.604523,0.203737
2079541859,3,-0.713592,-0.491598,0.14971
2079541869,3,-0.567681,-0.373167,0.087842
2079541879,3,-0.433651,-0.281168,0.00994
2079541889,3,-0.349921,-0.205846,-0.032972
2079541899,3,-0.28747,-0.145522,-0.062894
2079541909,3,-0.252449,-0.112076,-0.040422
2079541919,3,-0.226796,-0.074722,0.001376
2079541929,3,-0.202634,-0.068524,0.048534
2079541939,3,-0.186878,-0.036621,0.110784
2079541949,3,-0.174403,-0.024957,0.144745
2079541959,3,-0.151461,0.015341,0.154679
2079541970,3,-0.121552,0.05607,0.145385
2079541980,3,-0.104648,0.098167,0.155893
2079541990,3,-0.084165,0.079874,0.126565
2079542000,3,-0.069439,0.065815,0.105339
2079542010,3,-0.058616,0.054631,0.090847
2079542020,3,-0.050276,0.045109,0.081296
2079542030,3,-0.043924,0.036662,0.074232
2079542040,3,-0.038395,0.029329,0.069154
2079542050,3,-0.033078,0.022825,0.063942
2079542060,3,-0.027356,0.017366,0.058114
2079542070,3,-0.022268,0.012042,0.051981
2079542080,3,-0.017814,0.006186,0.046053
2079542090,3,-0.014187,1.6E-4,0.040802
2079542101,3,-0.011158,-0.006192,0.036409
2079542111,3,-0.009437,-0.011976,0.032192
2079542121,3,-0.008124,-0.0182,0.028627
2079542131,3,-0.007393,-0.023945,0.025198
2079542141,3,-0.00751,-0.028669,0.022457
2079542151,3,-0.008243,-0.03315,0.021158
2079542161,3,-0.009723,-0.037118,0.021523
2079542171,3,-0.011736,-0.040677,0.022645
2079542181,3,-0.013539,-0.042693,0.024053
2079542191,3,-0.015236,-0.043093,0.024861
2079542201,3,-0.016658,-0.042582,0.025252
2079542211,3,-0.017859,-0.041536,0.026394
2079542221,3,-0.018948,-0.040379,0.028265
2079542232,3,-0.02033,-0.038241,0.031551
2079542242,3,-0.021372,-0.035317,0.035137
2079542252,3,-0.021758,-0.031765,0.038004
2079542262,3,-0.021173,-0.028413,0.039597
2079542272,3,-0.020258,-0.023241,0.041574
2079542282,3,-0.018697,-0.020891,0.041112
2079542292,3,-0.017192,-0.021246,0.038827
2079542302,3,-0.014392,-0.022743,0.034638
2079542312,3,-0.011705,-0.024706,0.028859
2079542322,3,-0.009172,-0.026468,0.021682
2079542332,3,-0.006508,-0.027943,0.0146
2079542342,3,-0.00444,-0.029122,0.006956
2079542352,3,-0.003871,-0.029937,5.85E-4
2079542362,3,-0.00565,-0.0311,-0.00317
2079542373,3,-0.008734,-0.031839,-0.005154
2079542383,3,-0.013116,-0.031728,-0.005017
2079542393,3,-0.017963,-0.03049,-0.004141
2079542403,3,-0.022543,-0.028095,-0.002546
2079542413,3,-0.026206,-0.024647,-5.69E-4
2079542423,3,-0.029584,-0.019653,0.001587
2079542433,3,-0.032094,-0.014254,0.004909
2079542443,3,-0.033848,-0.008913,0.007502
2079542453,3,-0.033973,-0.003875,0.009003
2079542463,3,-0.032733,7.94E-4,0.009244
2079542473,3,-0.030591,0.004977,0.008481
2079542483,3,-0.027729,0.007685,0.007424
2079542493,3,-0.024482,0.008893,0.00562
2079542504,3,-0.020671,0.009094,0.003665
2079542514,3,-0.0166,0.008807,6.99E-4
2079542524,3,-0.013025,0.008194,-0.00276
2079542534,3,-0.009781,0.005854,-0.007507
2079542544,3,-0.007122,0.002193,-0.012198
2079542554,3,-0.005315,-0.002842,-0.016399
2079542564,3,-0.005273,-0.008211,-0.019439
2079542574,3,-0.006006,-0.013783,-0.021043
2079542584,3,-0.007423,-0.018496,-0.021303
2079542594,3,-0.008045,-0.021884,-0.021959
2079542604,3,-0.007905,-0.023572,-0.022802
2079542614,3,-0.00709,-0.023774,-0.024308
2079542624,3,-0.005863,-0.022978,-0.025128
2079542635,3,-0.005776,-0.022085,-0.024508
2079542645,3,-0.006217,-0.020477,-0.021394
2079542655,3,-0.006569,-0.018999,-0.016412
2079542665,3,-0.006469,-0.017051,-0.011343
2079542675,3,-0.004791,-0.014024,-0.005817
2079542685,3,-0.001662,-0.010708,-0.002994
2079542695,3,0.002309,-0.007736,-6.72E-4
2079542705,3,0.005997,-0.004912,9.93E-4
2079542715,3,0.009649,-0.003546,0.002008
2079542725,3,0.013593,-0.002837,0.002564
2079542735,3,0.018153,-0.00227,0.00237
2079542745,3,0.022886,-0.00156,0.001002
2079542755,3,0.027055,-5.46E-4,-0.002326
2079542766,3,0.030519,6.48E-4,-0.007096
2079542776,3,0.034247,0.002178,-0.012699
2079542786,3,0.035889,0.003402,-0.019098
2079542796,3,0.035862,0.003871,-0.025175
2079542806,3,0.03584,0.00399,-0.030547
2079542816,3,0.035503,0.004214,-0.03612
2079542826,3,0.035745,0.003945,-0.042623
2079542836,3,0.036257,0.003475,-0.049038
2079542846,3,0.036603,0.005653,-0.055383
2079542856,3,0.037136,0.009503,-0.061417
2079542866,3,0.037881,0.014816,-0.069437
2079542876,3,0.040903,0.022005,-0.080832
2079542886,3,0.045427,0.030053,-0.096077
2079542896,3,0.048728,0.038216,-0.112552
2079542907,3,0.05041,0.045704,-0.127902
2079542917,3,0.049075,0.050737,-0.140118
2079542927,3,0.042069,0.049719,-0.142293
2079542937,3,0.028995,0.045777,-0.126987
2079542947,3,0.009277,0.036622,-0.117678
2079542957,3,-0.017221,0.028403,-0.141451
2079542967,3,-0.049339,0.029681,-0.175729
2079542977,3,-0.09208,0.030513,-0.191852
2079542987,3,-0.133551,0.032071,-0.193768
2079542997,3,-0.172027,0.038745,-0.200919
2079543007,3,-0.204595,0.050086,-0.216792
2079543017,3,-0.227458,0.064968,-0.248643
2079543027,3,-0.239938,0.083706,-0.293725
2079543038,3,-0.249411,0.109676,-0.346709
2079543048,3,-0.259926,0.12241,-0.396056
2079543058,3,-0.266295,0.137256,-0.437895
2079543068,3,-0.275094,0.155582,-0.471814
2079543078,3,-0.28424,0.175797,-0.499523
2079543088,3,-0.293408,0.191458,-0.523223
2079543098,3,-0.30419,0.202647,-0.543269
2079543108,3,-0.318945,0.208341,-0.56371
2079543118,3,-0.338602,0.210279,-0.582553
2079543128,3,-0.363202,0.211766,-0.601969
