location due to GPS and WiFi+Cell,2026-06-11_17-43-30.077_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2079542177,network,55.6185935,37.5070373,1,11.474,1,289.6000061035156,0,0.0,0,0.0,1781189008242,2079536891000000
2079542185,network,55.6185935,37.5070373,1,48.525,1,289.6000061035156,0,0.0,0,0.0,1781189013758,2079542184216295
2079561866,network,55.618591,37.507056,1,12.775,1,289.6000061035156,0,0.0,0,0.0,1781189017833,2079546482000000
2079580709,gps,55.61857499999999,37.50691833333334,1,8.9,1,297.90000000000003,1,81.5,1,0.0,1781189052000,2079580650398144
2079581705,gps,55.618615,37.50697,1,7.5,1,295.40000000000003,1,81.5,1,0.0,1781189053000,2079581650429605
2079581873,network,55.6185652,37.5070719,1,12.495,1,284.70001220703125,0,0.0,0,0.0,1781189048262,2079576911000000
2079582708,gps,55.618610000000004,37.506965,1,6.4,1,296.1,1,81.5,1,0.0,1781189054000,2079582649961221
2079583701,gps,55.61855166666666,37.506978333333336,1,4.5,1,298.40000000000003,1,81.5,1,0.0,1781189055000,2079583649785298
2079584704,gps,55.618545,37.506985,1,4.1,1,297.8,1,81.5,1,0.0,1781189056000,2079584646732067
2079585715,gps,55.618559999999995,37.50698833333333,1,3.8,1,296.70000000000005,1,81.5,1,0.0,1781189057000,2079585649893221
2079586705,gps,55.61856666666666,37.50698166666667,1,3.6,1,296.6,1,81.5,1,0.0,1781189058000,2079586649125836
2079587706,gps,55.61856666666666,37.50697666666667,1,3.5,1,296.3,1,81.5,1,0.0,1781189059000,2079587648803759
2079588701,gps,55.618561666666665,37.506973333333335,1,3.4,1,296.1,1,81.5,1,0.0,1781189060000,2079588649338529
2079589711,gps,55.61855666666667,37.506975000000004,1,3.4,1,295.40000000000003,1,81.5,1,0.0,1781189061000,2079589651370760
2079590707,gps,55.61854666666667,37.506971666666665,1,3.3,1,294.5,1,81.5,1,0.0,1781189062000,2079590650378144
2079591709,gps,55.61853333333333,37.50701,1,3.2,1,292.40000000000003,1,81.5,1,0.0,1781189063000,2079591651998221
2079592705,gps,55.61852333333333,37.50702833333333,1,3.2,1,291.6,1,81.5,1,0.0,1781189064000,2079592647690837
2079593704,gps,55.618514999999995,37.507036666666664,1,3.2,1,291.3,1,81.5,1,0.0,1781189065000,2079593651036375
2079594706,gps,55.618505000000006,37.50705166666667,1,3.1,1,291.0,1,81.5,1,0.0,1781189066000,2079594651440991
2079595782,gps,55.61850666666666,37.507075,1,3.1,1,290.3,1,81.5,1,0.0,1781189067000,2079595651847068
2079596703,gps,55.61850166666667,37.50708833333333,1,3.0,1,290.1,1,81.5,1,0.0,1781189068000,2079596650822145
2079597706,gps,55.61850333333334,37.50708833333333,1,3.0,1,290.3,1,81.5,1,0.0,1781189069000,2079597654408068
2079598696,gps,55.61850666666666,37.50708833333333,1,3.0,1,290.40000000000003,1,81.5,1,0.0,1781189070000,2079598650371760
2079599715,gps,55.61851,37.507081666666664,1,3.0,1,290.8,1,81.5,1,0.0,1781189071000,2079599650124068
