qmc6308,qst,2026-06-11_17-43-30.077_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
2079541717,3,16.81875,-9.28125,-30.91875
2079541737,3,17.41875,-8.56875,-30.150002
2079541757,3,19.725,-8.118751,-29.456251
2079541777,3,18.65625,-8.2875,-29.325
2079541810,3,19.875,-8.19375,-29.456251
2079541830,3,20.41875,-8.2875,-29.118752
2079541850,3,17.00625,-8.887501,-28.931252
2079541870,3,15.825001,-9.1875,-28.425001
2079541890,3,14.55,-9.0,-28.125002
2079541910,3,15.675,-9.1875,-28.125002
2079541930,3,15.993751,-9.28125,-28.312502
2079541950,3,15.225,-9.5625,-27.712502
2079541970,3,15.187501,-9.5625,-28.0125
2079541990,3,15.1125,-9.5625,-28.031252
2079542010,3,15.056251,-9.543751,-28.0125
2079542030,3,15.000001,-9.50625,-28.0125
2079542050,3,14.962501,-9.46875,-28.031252
2079542070,3,14.887501,-9.450001,-28.031252
2079542090,3,14.7375,-9.4125,-28.050001
2079542110,3,14.718751,-9.337501,-28.050001
2079542130,3,14.812501,-9.225,-28.06875
2079542150,3,14.906251,-9.1125,-28.10625
2079542170,3,15.075001,-9.0,-28.181252
2079542190,3,15.262501,-8.868751,-28.218752
2079542210,3,15.337501,-8.75625,-28.237501
2079542230,3,15.3,-8.681251,-28.218752
2079542250,3,15.281251,-8.587501,-28.218752
2079542270,3,15.281251,-8.512501,-28.237501
2079542290,3,15.356251,-8.4375,-28.218752
2079542310,3,15.431251,-8.3625,-28.218752
2079542330,3,15.468751,-8.306251,-28.218752
2079542350,3,15.468751,-8.231251,-28.181252
2079542370,3,15.50625,-8.15625,-28.1625
2079542390,3,15.637501,-8.118751,-28.125002
2079542410,3,15.656251,-8.08125,-28.10625
2079542430,3,15.543751,-8.08125,-28.087502
2079542450,3,15.450001,-8.0625,-28.06875
2079542470,3,15.281251,-8.08125,-27.993752
2079542490,3,15.075001,-8.118751,-27.937502
2079542510,3,14.981251,-8.137501,-27.91875
2079542530,3,15.000001,-8.118751,-27.956251
2079542550,3,15.01875,-8.1,-27.937502
2079542570,3,15.01875,-8.1,-27.91875
2079542590,3,15.000001,-8.1,-27.900002
2079542610,3,14.962501,-8.08125,-27.900002
2079542630,3,14.962501,-8.08125,-27.937502
2079542650,3,14.962501,-8.1,-27.937502
2079542670,3,15.01875,-8.118751,-28.031252
2079542690,3,15.075001,-8.118751,-28.143751
