orientation,mtk,2026-06-11_17-43-30.077_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2079541879,3,115.71596,-25.105915,-17.521889
2079541889,3,138.98285,-25.379622,-17.608883
2079541899,3,162.26788,-25.640848,-17.719538
2079541909,3,185.4651,-25.637945,-17.85604
2079541919,3,208.59253,-25.629128,-17.948471
2079541929,3,231.66081,-25.406666,-18.009066
2079541939,3,254.6744,-25.294727,-18.016766
2079541949,3,277.93954,-25.140305,-18.070974
2079541959,3,277.81058,-25.258432,-18.040234
2079541970,3,277.6281,-25.489576,-17.95696
2079541980,3,277.46295,-25.724306,-17.877453
2079541990,3,277.35938,-25.727356,-17.875547
2079542000,3,277.29364,-25.726992,-17.879997
2079542010,3,277.25754,-25.718914,-17.88598
2079542020,3,277.25156,-25.700281,-17.890623
2079542030,3,277.299,-25.674189,-17.89708
2079542040,3,277.3991,-25.642397,-17.899883
2079542050,3,277.46585,-25.610088,-17.899487
2079542060,3,277.47784,-25.581486,-17.892635
2079542070,3,277.48813,-25.551197,-17.886133
2079542080,3,277.49612,-25.513453,-17.880556
2079542090,3,277.50323,-25.46831,-17.87681
2079542101,3,277.51175,-25.413431,-17.87401
2079542111,3,277.52127,-25.356068,-17.878002
2079542121,3,277.53094,-25.288498,-17.884283
2079542131,3,277.54297,-25.21756,-17.89457
2079542141,3,277.55597,-25.145714,-17.909712
2079542151,3,277.5686,-25.066225,-17.928043
2079542161,3,277.583,-24.979656,-17.949972
2079542171,3,277.59778,-24.887846,-17.976183
2079542181,3,277.61502,-24.800097,-18.001858
2079542191,3,277.63574,-24.721624,-18.028719
2079542201,3,277.66058,-24.649633,-18.055714
2079542211,3,277.68533,-24.579435,-18.080841
2079542221,3,277.7093,-24.508484,-18.104568
2079542232,3,277.7331,-24.440325,-18.126978
2079542242,3,277.75595,-24.377575,-18.145855
2079542252,3,277.7892,-24.32319,-18.160557
2079542262,3,277.82285,-24.274542,-18.170147
2079542272,3,277.85727,-24.240759,-18.17302
2079542282,3,277.88953,-24.201143,-18.176035
2079542292,3,277.92017,-24.152262,-18.183195
2079542302,3,277.94724,-24.102356,-18.185465
2079542312,3,277.97504,-24.054625,-18.190302
2079542322,3,278.0028,-24.013308,-18.197872
2079542332,3,278.0212,-23.975563,-18.203922
2079542342,3,278.03738,-23.943766,-18.214409
2079542352,3,278.04932,-23.91355,-18.232613
2079542362,3,278.0609,-23.875725,-18.263636
2079542373,3,278.072,-23.83607,-18.303629
2079542383,3,278.08105,-23.795961,-18.3524
2079542393,3,278.08472,-23.761381,-18.407595
2079542403,3,278.08414,-23.733711,-18.464405
2079542413,3,278.07962,-23.714417,-18.518341
2079542423,3,278.07193,-23.70871,-18.572025
2079542433,3,278.0636,-23.707823,-18.619778
2079542443,3,278.0569,-23.714117,-18.66494
2079542453,3,278.05133,-23.727365,-18.701965
2079542463,3,278.05057,-23.747847,-18.73137
2079542473,3,278.05322,-23.774242,-18.754627
2079542483,3,278.05734,-23.797602,-18.77169
2079542493,3,278.06082,-23.817303,-18.785202
2079542504,3,278.06613,-23.833311,-18.792368
2079542514,3,278.0724,-23.850502,-18.796034
2079542524,3,278.07898,-23.868366,-18.80018
2079542534,3,278.08887,-23.879587,-18.807592
2079542544,3,278.1007,-23.881306,-18.818108
2079542554,3,278.1119,-23.86997,-18.833666
2079542564,3,278.12073,-23.848454,-18.85924
2079542574,3,278.12582,-23.815624,-18.889444
2079542584,3,278.12543,-23.777876,-18.923359
2079542594,3,278.1181,-23.744047,-18.954468
2079542604,3,278.10483,-23.718147,-18.981054
2079542614,3,278.0857,-23.702633,-19.003641
2079542624,3,278.06274,-23.692533,-19.02069
2079542635,3,278.0373,-23.680317,-19.040829
2079542645,3,278.01224,-23.666325,-19.058022
2079542655,3,277.98892,-23.646114,-19.06972
2079542665,3,277.96802,-23.627918,-19.075808
2079542675,3,277.95215,-23.615429,-19.066635
2079542685,3,277.94293,-23.613943,-19.048004
2079542695,3,277.93903,-23.614473,-19.019053
2079542705,3,277.93723,-23.618668,-18.986656
2079542715,3,277.9419,-23.617645,-18.951035
2079542725,3,277.95248,-23.61476,-18.909426
2079542735,3,277.96857,-23.61379,-18.859678
2079542745,3,277.9898,-23.618254,-18.804897
2079542755,3,278.01587,-23.632544,-18.751766
2079542766,3,278.04376,-23.655863,-18.70177
2079542776,3,278.0775,-23.68859,-18.648409
2079542786,3,278.1201,-23.727192,-18.608034
2079542796,3,278.16943,-23.765253,-18.579123
2079542806,3,278.22702,-23.803192,-18.551432
2079542816,3,278.29358,-23.846018,-18.528378
2079542826,3,278.3673,-23.892141,-18.506447
2079542836,3,278.44196,-23.940386,-18.485008
2079542846,3,278.51843,-24.010336,-18.464073
2079542856,3,278.59668,-24.098207,-18.441307
2079542866,3,278.68015,-24.211996,-18.420801
2079542876,3,278.7749,-24.362516,-18.391018
2079542886,3,278.88037,-24.54944,-18.356983
2079542896,3,278.9966,-24.763458,-18.332047
2079542907,3,279.12488,-24.992836,-18.316982
2079542917,3,279.2651,-25.217,-18.321142
2079542927,3,279.40167,-25.381868,-18.35587
2079542937,3,279.5163,-25.468292,-18.41039
2079542947,3,279.5966,-25.52246,-18.542461
2079542957,3,279.64127,-25.67665,-18.818705
2079542967,3,279.6517,-25.941498,-19.199734
2079542977,3,279.61493,-26.169083,-19.679607
2079542987,3,279.52026,-26.366674,-20.186934
2079542997,3,279.37213,-26.625444,-20.739647
2079543007,3,279.1904,-26.96738,-21.323328
2079543017,3,278.99368,-27.4273,-21.926588
2079543027,3,278.80118,-28.020002,-22.53325
2079543038,3,278.61676,-28.772623,-23.16964
2079543048,3,278.43036,-29.512264,-23.8627
2079543058,3,278.25446,-30.31559,-24.546877
2079543068,3,278.09964,-31.189306,-25.252916
2079543078,3,277.96594,-32.128407,-25.969032
2079543088,3,277.84225,-33.093254,-26.705553
2079543098,3,277.72208,-34.076492,-27.473577
2079543108,3,277.58948,-35.082077,-28.30596
2079543118,3,277.43274,-36.107258,-29.207672
2079543128,3,277.2575,-37.183346,-30.184975
2079543138,3,277.06607,-38.32433,-31.226917
2079543148,3,276.85895,-39.537716,-32.364437
2079543158,3,276.63403,-40.832504,-33.627224
2079543169,3,276.39166,-42.189644,-34.98962
2079543179,3,276.13004,-43.598637,-36.456238
2079543189,3,275.8513,-45.026943,-38.016964
2079543199,3,275.55783,-46.505047,-39.656075
2079543209,3,275.2486,-48.09198,-41.354095
2079543219,3,274.9242,-49.850136,-43.092236
2079543229,3,274.58957,-51.81465,-44.85168
2079543239,3,274.25433,-54.112576,-46.570488
2079543249,3,273.91956,-56.63327,-48.125423
2079543259,3,273.56815,-59.0609,-49.503174
2079543269,3,273.19,-61.44899,-50.775093
2079543279,3,272.77704,-64.13217,-51.898087
2079543289,3,272.3249,-67.12851,-52.941387
2079543299,3,271.81964,-70.242,-53.901176
2079543310,3,271.22775,-73.328896,-54.750687
2079543320,3,270.50113,-76.24293,-55.499195
2079543330,3,269.5902,-78.94627,-56.164608
2079543340,3,268.46652,-81.49505,-56.79108
2079543350,3,267.1008,-84.05226,-57.277336
2079543360,3,265.45163,-86.62777,-57.72809
2079543370,3,263.4861,-89.238266,-58.140667
2079543380,3,261.17517,-91.898544,-58.517494
2079543390,3,258.51962,-94.63326,-58.814655
2079543400,3,255.52312,-97.38912,-59.01426
2079543410,3,252.2291,-100.11736,-59.122868
2079543420,3,248.6983,-102.8331,-59.137936
2079543430,3,245.00053,-105.50367,-59.074852
2079543441,3,241.2258,-108.15912,-58.925556
2079543451,3,237.47328,-110.80012,-58.690857
2079543461,3,233.8659,-113.42829,-58.355206
2079543471,3,230.52515,-116.10017,-57.91783
2079543481,3,227.5362,-118.70335,-57.397343
2079543491,3,224.94699,-121.15587,-56.766895
2079543501,3,222.82501,-123.69326,-55.982132
2079543511,3,221.26045,-126.4505,-55.007133
2079543521,3,220.2475,-129.14459,-53.821884
2079543531,3,219.79956,-131.96692,-52.303696
2079543541,3,219.88016,-134.88667,-50.488884
2079543551,3,220.31783,-137.45265,-48.463642
2079543561,3,220.94107,-139.5752,-46.010254
2079543572,3,221.59361,-141.4622,-42.88179
2079543582,3,222.07915,-143.29129,-38.897484
2079543592,3,221.01025,-144.66837,-34.107483
2079543602,3,218.38853,-145.76877,-27.870054
2079543612,3,212.99886,-146.7656,-18.800587
2079543622,3,203.72997,-147.9378,-4.574852
2079543632,3,191.22229,-150.10117,16.896206
2079543642,3,176.84274,-154.41786,41.962936
2079543652,3,160.96155,-162.98772,61.66354
2079543662,3,143.41983,-178.83876,73.13813
2079543672,3,125.631805,156.07375,78.37612
2079543682,3,108.1741,129.99847,79.38563
2079543692,3,92.74607,112.581985,78.62007
2079543702,3,80.75272,102.5913,77.47861
2079543713,3,71.82023,96.679504,76.43983
2079543723,3,64.81747,93.111176,75.547035
2079543733,3,59.547207,90.71607,74.82087
2079543743,3,56.308857,88.83526,74.26654
2079543753,3,54.96391,87.153336,73.892815
2079543763,3,54.901535,85.61896,73.64843
2079543773,3,55.566254,84.18623,73.450134
2079543783,3,56.622612,82.90902,73.2032
2079543793,3,57.87997,81.865,72.977104
2079543803,3,59.18978,80.56556,72.96194
2079543813,3,60.449905,78.75037,73.03341
2079543823,3,61.616318,76.918045,73.10303
2079543833,3,62.648335,74.9531,73.19965
2079543844,3,63.51574,73.12171,73.3451
2079543854,3,64.2408,72.237335,73.54049
2079543864,3,64.85119,72.309525,73.766365
2079543874,3,65.364655,73.11885,74.00616
2079543884,3,65.84197,74.572655,74.26951
2079543894,3,66.3811,77.12834,74.58933
2079543904,3,67.05563,80.55476,74.92734
2079543914,3,67.9414,84.63041,75.186554
2079543924,3,69.086716,88.987175,75.326706
2079543934,3,70.46781,93.27524,75.39616
2079543944,3,72.02602,97.1644,75.45067
2079543954,3,73.70656,100.42835,75.52379
2079543964,3,75.44708,103.1074,75.60917
2079543975,3,77.181915,105.43301,75.69892
2079543985,3,78.82929,107.25025,75.792694
2079543995,3,80.31432,108.567116,75.86519
2079544005,3,81.61585,109.743324,75.89616
2079544015,3,82.72637,110.68249,75.87028
2079544025,3,83.65508,111.29634,75.81463
2079544035,3,84.43438,111.75555,75.72948
2079544045,3,85.09012,112.04531,75.58219
2079544055,3,85.63652,112.241035,75.34629
2079544065,3,86.09677,112.27783,75.05788
2079544075,3,86.50009,112.220474,74.74735
2079544085,3,86.86932,112.39817,74.50582
2079544095,3,87.22429,112.6776,74.293015
2079544106,3,87.57373,112.797714,73.969345
2079544116,3,87.92769,112.91583,73.60542
2079544126,3,88.29552,113.01014,73.28109
2079544136,3,88.673065,113.05429,72.99203
2079544146,3,89.06419,113.04885,72.718475
2079544156,3,89.47094,112.968216,72.47234
2079544166,3,89.86634,112.805145,72.25288
2079544176,3,90.24056,112.63022,72.0275
2079544186,3,90.612915,112.57855,71.83804
2079544196,3,91.00097,112.80929,71.64733
2079544206,3,91.41865,113.231026,71.46669
2079544216,3,91.88313,113.808975,71.288864
2079544226,3,92.40143,114.419655,71.14863
2079544236,3,92.97685,115.063446,71.0388
2079544247,3,93.61908,115.70573,70.962395
2079544257,3,94.31887,116.237755,70.92772
2079544267,3,95.05042,116.60297,70.94751
2079544277,3,95.773895,116.84784,71.02925
2079544287,3,96.47984,117.108894,71.176155
2079544297,3,97.168015,117.463005,71.37703
2079544307,3,97.81895,117.66366,71.63881
2079544317,3,98.426865,117.81467,71.959625
2079544327,3,98.97594,117.87286,72.33509
2079544337,3,99.46579,117.82405,72.73176
2079544347,3,99.90513,117.70198,73.15359
2079544357,3,100.305534,117.57256,73.58966
2079544367,3,100.66309,117.506325,74.023865
2079544378,3,100.97383,117.542694,74.502846
2079544388,3,101.24727,117.51415,74.987045
2079544398,3,101.49089,117.52272,75.444725
2079544408,3,101.703835,117.441765,75.81573
2079544418,3,101.891396,117.39345,76.08127
2079544428,3,102.05745,117.359146,76.25302
2079544438,3,102.20482,117.288826,76.38644
2079544448,3,102.32882,117.246025,76.50909
2079544458,3,102.416245,117.22067,76.63904
2079544468,3,102.4695,117.174805,76.803764
