rot_vec,mtk,2026-06-11_17-43-30.077_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
2079541829,3,0.255071,-0.026642,0.501281,0.826405,0.0
2079541839,3,0.25576,-0.024358,0.501686,0.826016,0.0
2079541849,3,0.255212,-0.029433,0.489762,0.833146,0.0
2079541859,3,0.254611,-0.038412,0.464035,0.847566,0.0
2079541869,3,0.256587,-0.037404,0.464541,0.846738,0.0
2079541879,3,0.258103,-0.040776,0.448124,0.854929,0.0
2079541889,3,0.258922,-0.049214,0.419142,0.868824,0.0
2079541899,3,0.259767,-0.056429,0.394909,0.879421,0.0
2079541909,3,0.26094,-0.05348,0.408783,0.872894,0.0
2079541919,3,0.262588,-0.046759,0.433602,0.860726,0.0
2079541929,3,0.261129,-0.047679,0.434935,0.860446,0.0
2079541939,3,0.260928,-0.044829,0.445777,0.855096,0.0
2079541949,3,0.260482,-0.042743,0.456014,0.849924,0.0
2079541959,3,0.261144,-0.04301,0.45266,0.8515,0.0
2079541970,3,0.262121,-0.044346,0.443159,0.856116,0.0
2079541980,3,0.262868,-0.026125,0.445779,0.855276,0.0
2079541990,3,0.262611,-0.009389,0.447304,0.854907,0.0
2079542000,3,0.26156,0.006142,0.448322,0.854725,0.0
2079542010,3,0.259857,0.020578,0.449096,0.854613,0.0
2079542020,3,0.257685,0.033905,0.449495,0.854636,0.0
2079542030,3,0.255072,0.046144,0.449618,0.854781,0.0
2079542040,3,0.252229,0.057435,0.449543,0.85498,0.0
2079542050,3,0.249234,0.067861,0.449267,0.855239,0.0
2079542060,3,0.246202,0.077574,0.448866,0.855502,0.0
2079542070,3,0.243084,0.086709,0.448351,0.855787,0.0
2079542080,3,0.239689,0.095059,0.447603,0.856249,0.0
2079542090,3,0.235892,0.102451,0.446586,0.856982,0.0
2079542101,3,0.232104,0.109585,0.445649,0.857621,0.0
2079542111,3,0.228512,0.116852,0.444884,0.858023,0.0
2079542121,3,0.224838,0.1238,0.444108,0.858422,0.0
2079542131,3,0.221168,0.130588,0.443389,0.858741,0.0
2079542141,3,0.217668,0.13748,0.442816,0.858855,0.0
2079542151,3,0.214049,0.143914,0.442112,0.859073,0.0
2079542161,3,0.210247,0.149741,0.441283,0.859443,0.0
2079542171,3,0.206495,0.155354,0.440486,0.859765,0.0
2079542181,3,0.20293,0.160792,0.439766,0.859983,0.0
2079542191,3,0.199514,0.165928,0.43903,0.860182,0.0
2079542201,3,0.196251,0.17085,0.438347,0.860318,0.0
2079542211,3,0.192917,0.175091,0.437565,0.860617,0.0
2079542221,3,0.189547,0.178782,0.436755,0.861018,0.0
2079542232,3,0.186196,0.181919,0.435901,0.861525,0.0
2079542242,3,0.183006,0.184753,0.435073,0.862024,0.0
2079542252,3,0.180045,0.187345,0.434284,0.862485,0.0
