icm4n607_acc,iven_sense,2026-06-11_17-50-21.438_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2079953051,3,-0.68205005,3.6469502,9.240001,1781189424628
2079953061,3,-0.64095,3.6469502,9.252001,1781189424639
2079953071,3,-0.65505004,3.6210003,9.24495,1781189424649
2079953081,3,-0.66705,3.5989501,9.243,1781189424659
2079953092,3,-0.651,3.6109502,9.26895,1781189424669
2079953102,3,-0.624,3.6370502,9.255,1781189424680
2079953112,3,-0.6,3.6349502,9.21405,1781189424689
2079953122,3,-0.58605003,3.62505,9.17595,1781189424698
2079953132,3,-0.57900006,3.6450002,9.142051,1781189424708
2079953142,3,-0.57900006,3.6330001,9.142051,1781189424718
2079953152,3,-0.57600003,3.6420002,9.160951,1781189424728
2079953162,3,-0.57405,3.6420002,9.19995,1781189424738
2079953172,3,-0.588,3.6180003,9.252001,1781189424748
2079953182,3,-0.59805006,3.6010501,9.26895,1781189424758
2079953192,3,-0.61200005,3.5730002,9.286051,1781189424768
2079953202,3,-0.624,3.55605,9.288,1781189424779
2079953212,3,-0.651,3.561,9.286051,1781189424789
2079953223,3,-0.66300005,3.5749502,9.25695,1781189424800
2079953233,3,-0.65295005,3.6109502,9.24495,1781189424810
2079953243,3,-0.63600004,3.6160502,9.20205,1781189424819
2079953253,3,-0.63405,3.6010501,9.1710005,1781189424830
2079953263,3,-0.62700003,3.6060002,9.15705,1781189424840
2079953273,3,-0.62205005,3.5989501,9.18105,1781189424851
2079953283,3,-0.61695004,3.6090002,9.21195,1781189424860
2079953293,3,-0.61200005,3.62505,9.20505,1781189424872
2079953303,3,-0.61995006,3.6450002,9.20895,1781189424880
2079953313,3,-0.62205005,3.6540003,9.17805,1781189424890
2079953323,3,-0.63405,3.66105,9.159,1781189424901
2079953333,3,-0.63900006,3.66405,9.159,1781189424910
2079953343,3,-0.64095,3.66405,9.19305,1781189424920
2079953354,3,-0.64395005,3.657,9.229051,1781189424931
2079953364,3,-0.63195,3.63,9.255,1781189424941
2079953374,3,-0.63600004,3.62295,9.247951,1781189424952
2079953384,3,-0.62700003,3.62505,9.252001,1781189424961
2079953394,3,-0.64395005,3.6400502,9.20895,1781189424971
2079953404,3,-0.64605004,3.6349502,9.1710005,1781189424982
2079953414,3,-0.64095,3.6709502,9.16395,1781189424991
2079953424,3,-0.63600004,3.6829503,9.166051,1781189425002
2079953434,3,-0.624,3.69,9.159,1781189425011
2079953444,3,-0.624,3.6660001,9.18105,1781189425021
2079953454,3,-0.62700003,3.6210003,9.16905,1781189425032
2079953464,3,-0.61695004,3.6060002,9.172951,1781189425042
