icm4n607_gyro,iven_sense,2026-06-11_17-50-21.438_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2079953122,3,0.026675,-0.029975,-0.0108624995
2079953132,3,0.0202125,-0.0257125,-0.0119624995
2079953142,3,0.009625,-0.012925,-0.015125
2079953152,3,-0.006325,-0.0012375,-0.014025
2079953162,3,-0.0180125,0.0072875,-0.0119624995
2079953172,3,-0.024475,0.01045,-0.0119624995
2079953182,3,-0.0265375,0.01045,-0.0119624995
2079953192,3,-0.0191125,0.0050875,-0.0119624995
2079953202,3,-0.007425,-0.0023375,-0.014025
2079953212,3,0.0031625,-0.0086624995,-0.016224999
2079953223,3,0.0138875,-0.014025,-0.0171875
2079953233,3,0.0235125,-0.014025,-0.016224999
2079953243,3,0.0287375,-0.0108624995,-0.016224999
2079953253,3,0.026675,-0.0034375,-0.014025
2079953263,3,0.01925,0.0072875,-0.014025
2079953273,3,0.0116875,0.01155,-0.014025
2079953283,3,0.009625,0.013612499,-0.0171875
2079953293,3,0.0127875,0.0083875,-0.0171875
2079953303,3,0.01705,-1.375E-4,-0.0204875
2079953313,3,0.01925,-0.0044,-0.02255
2079953323,3,0.0149875,-0.0044,-0.02255
2079953333,3,0.0053625,-0.0044,-0.02255
2079953343,3,-0.007425,-0.0044,-0.02255
2079953354,3,-0.0138875,-0.0066,-0.02145
2079953364,3,-0.0180125,-0.0086624995,-0.0182875
2079953374,3,-0.0180125,-0.0097624995,-0.016224999
2079953384,3,-0.01705,-0.0108624995,-0.0204875
2079953394,3,-0.0138875,-0.0097624995,-0.0257125
2079953404,3,-0.0127875,-0.0055,-0.0279125
2079953414,3,-0.01595,0.001925,-0.029975
2079953424,3,-0.0202125,0.0050875,-0.0290125
2079953434,3,-0.023375,0.003025,-0.0279125
2079953444,3,-0.0265375,0.001925,-0.0257125
2079953454,3,-0.024475,-0.0034375,-0.0257125
2079953464,3,-0.023375,-0.0077,-0.02475
2079953474,3,-0.023375,-0.0108624995,-0.02475
2079953484,3,-0.0265375,-0.015125,-0.02365
2079953495,3,-0.0298375,-0.0182875,-0.02255
2079953505,3,-0.0298375,-0.0257125,-0.0204875
2079953515,3,-0.0298375,-0.0353375,-0.016224999
2079953525,3,-0.0287375,-0.0427625,-0.015125
2079953535,3,-0.0319,-0.048125,-0.015125
2079953545,3,-0.0383625,-0.045925,-0.0171875
2079953555,3,-0.0468875,-0.045925,-0.0182875
2079953565,3,-0.0532125,-0.0407,-0.014025
2079953575,3,-0.056375,-0.0374,-0.012925
2079953585,3,-0.056375,-0.0353375,-0.0119624995
2079953595,3,-0.04895,-0.0364375,-0.015125
2079953605,3,-0.042625,-0.0407,-0.0193875
2079953615,3,-0.0341,-0.0449625,-0.02475
2079953626,3,-0.0341,-0.049225,-0.0279125
2079953636,3,-0.041525,-0.0534875,-0.031075
2079953646,3,-0.058575,-0.056649998,-0.032175
2079953656,3,-0.0776875,-0.066275,-0.029975
2079953666,3,-0.095837496,-0.0875875,-0.0257125
2079953676,3,-0.1139875,-0.116325,-0.02475
2079953686,3,-0.1310375,-0.1599125,-0.02365
2079953696,3,-0.15235,-0.218625,-0.02475
2079953706,3,-0.18535,-0.2952125,-0.02255
2079953716,3,-0.2311375,-0.403975,-0.0204875
2079953726,3,-0.293975,-0.52965,-0.0204875
2079953736,3,-0.377025,-0.66275,-0.02475
2079953746,3,-0.4739625,-0.79695,-0.0438625
2079953757,3,-0.5784625,-0.9802375,-0.0864875
2079953767,3,-0.683925,-1.1357499,-0.117425
2079953777,3,-0.7893875,-1.2475375,-0.116325
2079953787,3,-0.8787625,-1.3360875,-0.1035375
2079953797,3,-0.9576875,-1.37115,-0.0757625
2079953807,3,-1.0225875,-1.3008875,-0.0427625
2079953817,3,-1.0833625,-1.27215,8.25E-4
2079953827,3,-1.1345125,-1.3552,0.0275
2079953837,3,-1.16105,-1.33815,0.045649998
2079953847,3,-1.16325,-1.263625,0.0732875
2079953857,3,-1.169575,-1.2199,0.102025
2079953867,3,-1.1823624,-1.2412125,0.1148125
2079953877,3,-1.1845624,-1.2753125,0.105325
2079953887,3,-1.1845624,-1.3072125,0.0807125
2079953898,3,-1.1908875,-1.3615249,0.051975
2079953908,3,-1.1941875,-1.4510375,0.034925
2079953918,3,-1.186625,-1.5681875,0.0339625
2079953928,3,-1.16105,-1.7290624,0.0573375
2079953938,3,-1.111,-1.868625,0.1062875
2079953948,3,-1.0663126,-1.952775,0.1425875
2079953958,3,-1.0258875,-2.0274374,0.1670625
2079953968,3,-0.9832625,-2.0976999,0.186175
2079953978,3,-0.9469625,-2.1520126,0.1969
2079953988,3,-0.9128625,-2.2031624,0.1969
2079953998,3,-0.8212875,-2.2873125,0.1639
2079954008,3,-0.6689375,-2.407625,0.1148125
2079954018,3,-0.506,-2.51845,0.0616
2079954029,3,-0.329175,-2.610025,0.013612499
2079954039,3,-0.1566125,-2.6665375,-0.0182875
2079954049,3,0.0031625,-2.6728625,-0.0449625
2079954059,3,0.13213749,-2.628175,-0.062975
2079954069,3,0.2024,-2.5590124,-0.0609125
2079954079,3,0.21945,-2.476925,-0.0375375
2079954089,3,0.2035,-2.4013,-0.0012375
2079954099,3,0.1555125,-2.3299375,0.04235
2079954109,3,0.1012,-2.290475,0.087175
2079954119,3,0.1012,-2.3362625,0.122375
2079954129,3,0.2162875,-2.5014,0.1414875
2079954139,3,0.45485,-2.772,0.136125
2079954149,3,0.75528747,-3.0852249,0.11165
2079954160,3,1.020525,-3.372875,0.07975
2079954170,3,1.222925,-3.5932875,0.050875
2079954180,3,1.3294874,-3.6785374,0.0306625
2079954190,3,1.4179,-3.809575,0.0286
2079954200,3,1.6011875,-4.0770125,0.0072875
2079954210,3,1.7897,-4.3294625,-0.0204875
2079954220,3,1.931325,-4.54465,-0.0268125
2079954230,3,2.016575,-4.7086873,-0.0193875
2079954240,3,2.04215,-4.805625,-0.0097624995
2079954250,3,2.0197375,-4.8417873,8.25E-4
2079954260,3,1.967625,-4.820475,0.020075
2079954270,3,1.90685,-4.7427874,0.053075
2079954280,3,1.8451124,-4.6308627,0.1073875
2079954290,3,1.782275,-4.4870377,0.1755875
2079954301,3,1.697025,-4.282575,0.223575
2079954311,3,1.5850999,-4.0577626,0.270325
2079954321,3,1.4509,-3.809575,0.339625
2079954331,3,1.292225,-3.5475,0.42061248
2079954341,3,1.1089375,-3.2555876,0.4962375
2079954351,3,0.89375,-2.9701376,0.576125
2079954361,3,0.652025,-2.6846874,0.661375
2079954371,3,0.38995,-2.3981376,0.7561125
2079954381,3,0.1247125,-2.1104875,0.85525
2079954391,3,-0.142725,-1.8217375,0.94682497
2079954401,3,-0.39627498,-1.5459125,1.0170875
2079954411,3,-0.62315,-1.296625,1.0841875
2079954421,3,-0.8127625,-1.0654875,1.1545875
2079954432,3,-0.97789997,-0.841775,1.22375
2079954442,3,-1.120625,-0.6276875,1.29305
2079954452,3,-1.2431375,-0.4252875,1.3410375
2079954462,3,-1.3443375,-0.2473625,1.35905
2079954472,3,-1.4136375,-0.102437496,1.3655125
2079954482,3,-1.43385,0.020075,1.352725
2079954492,3,-1.39755,0.120175,1.3132625
2079954502,3,-1.3124375,0.1841125,1.25675
