stk3a5x_als,sensortek,2026-06-11_17-50-21.438_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2079952934,3,2518.0
2079952934,3,2518.0
2079953140,3,10057.0
2079953150,3,10057.0
2079953159,3,10057.0
2079953169,3,10057.0
2079953179,3,10057.0
2079953189,3,10057.0
2079953199,3,2497.0
2079953209,3,2497.0
2079953219,3,2497.0
2079953229,3,2497.0
2079953239,3,2497.0
2079953249,3,2506.0
2079953259,3,2506.0
2079953269,3,2506.0
2079953279,3,2506.0
2079953289,3,2506.0
2079953299,3,2487.0
2079953309,3,2487.0
2079953319,3,2487.0
2079953329,3,2487.0
2079953339,3,2487.0
2079953349,3,2478.0
2079953359,3,2478.0
2079953369,3,2478.0
2079953379,3,2478.0
2079953389,3,2478.0
2079953399,3,2486.0
2079953409,3,2486.0
2079953419,3,2486.0
2079953429,3,2486.0
2079953439,3,2486.0
2079953449,3,2501.0
2079953459,3,2501.0
2079953469,3,2501.0
2079953479,3,2501.0
2079953489,3,2501.0
2079953499,3,2501.0
2079953509,3,2527.0
2079953519,3,2527.0
2079953529,3,2527.0
2079953539,3,2527.0
2079953549,3,2527.0
2079953559,3,2548.0
2079953569,3,2548.0
2079953579,3,2548.0
2079953589,3,2548.0
2079953599,3,2548.0
2079953609,3,2574.0
2079953619,3,2574.0
2079953629,3,2574.0
2079953639,3,2574.0
2079953649,3,2574.0
2079953659,3,2597.0
2079953669,3,2597.0
2079953679,3,2597.0
2079953689,3,2597.0
2079953699,3,2597.0
2079953709,3,2640.0
2079953719,3,2640.0
2079953729,3,2640.0
2079953739,3,2640.0
2079953749,3,2640.0
2079953759,3,2721.0
2079953769,3,2721.0
2079953779,3,2721.0
2079953789,3,2721.0
2079953799,3,2721.0
2079953809,3,3014.0
2079953819,3,3014.0
2079953829,3,3014.0
2079953839,3,3014.0
2079953849,3,3014.0
2079953860,3,3014.0
2079953869,3,3801.0
2079953879,3,3801.0
2079953889,3,3801.0
2079953899,3,3801.0
2079953909,3,3801.0
2079953919,3,5013.0
2079953929,3,5013.0
2079953939,3,5013.0
2079953949,3,5013.0
2079953959,3,5013.0
2079953969,3,5839.0
2079953979,3,5839.0
2079953989,3,5839.0
2079953999,3,5839.0
2079954009,3,5839.0
2079954019,3,5836.0
2079954029,3,5836.0
2079954039,3,5836.0
2079954049,3,5836.0
2079954059,3,5836.0
2079954069,3,4429.0
2079954079,3,4429.0
2079954089,3,4429.0
2079954099,3,4429.0
2079954109,3,4429.0
2079954119,3,2504.0
2079954129,3,2504.0
2079954139,3,2504.0
2079954149,3,2504.0
2079954159,3,2504.0
2079954169,3,1493.0
2079954179,3,1493.0
2079954189,3,1493.0
2079954199,3,1493.0
2079954209,3,1493.0
2079954219,3,1493.0
2079954229,3,1026.0
2079954239,3,1026.0
2079954249,3,1026.0
2079954259,3,1026.0
2079954269,3,1026.0
2079954279,3,715.0
2079954289,3,715.0
2079954299,3,715.0
2079954309,3,715.0
2079954319,3,715.0
2079954329,3,462.0
2079954339,3,115.0
2079954349,3,115.0
2079954359,3,115.0
2079954369,3,115.0
2079954379,3,115.0
2079954389,3,546.0
2079954399,3,546.0
2079954409,3,546.0
2079954419,3,546.0
2079954429,3,546.0
2079954439,3,516.0
2079954449,3,516.0
2079954459,3,516.0
2079954469,3,516.0
2079954479,3,516.0
2079954489,3,521.0
2079954499,3,521.0
2079954509,3,521.0
2079954519,3,521.0
2079954529,3,521.0
2079954539,3,534.0
2079954549,3,534.0
2079954559,3,534.0
2079954569,3,534.0
2079954579,3,534.0
2079954589,3,529.0
2079954599,3,529.0
2079954609,3,529.0
2079954619,3,529.0
2079954629,3,529.0
2079954639,3,529.0
2079954649,3,523.0
2079954659,3,523.0
2079954669,3,523.0
2079954679,3,523.0
2079954689,3,523.0
2079954699,3,517.0
2079954709,3,517.0
2079954719,3,517.0
2079954729,3,517.0
2079954739,3,517.0
2079954749,3,515.0
2079954759,3,515.0
2079954769,3,515.0
2079954779,3,515.0
2079954789,3,515.0
2079954799,3,507.0
2079954809,3,507.0
2079954819,3,507.0
2079954829,3,507.0
2079954839,3,507.0
2079954849,3,495.0
2079954859,3,495.0
2079954869,3,495.0
2079954879,3,495.0
2079954889,3,495.0
2079954899,3,483.0
2079954909,3,483.0
2079954919,3,483.0
2079954929,3,483.0
2079954939,3,483.0
2079954949,3,483.0
2079954959,3,466.0
2079954969,3,466.0
2079954979,3,466.0
2079954989,3,466.0
2079954999,3,466.0
2079955009,3,450.0
2079955019,3,450.0
2079955029,3,450.0
2079955039,3,450.0
2079955049,3,450.0
2079955059,3,455.0
2079955069,3,455.0
2079955079,3,455.0
2079955089,3,455.0
2079955099,3,455.0
2079955109,3,476.0
2079955119,3,476.0
2079955129,3,476.0
2079955139,3,476.0
2079955149,3,476.0
2079955159,3,496.0
2079955169,3,496.0
2079955179,3,496.0
2079955189,3,496.0
2079955200,3,496.0
2079955209,3,492.0
2079955219,3,492.0
2079955229,3,492.0
2079955239,3,492.0
2079955249,3,492.0
2079955259,3,492.0
2079955269,3,477.0
2079955279,3,477.0
2079955289,3,477.0
2079955299,3,477.0
2079955309,3,477.0
2079955319,3,467.0
2079955329,3,467.0
2079955339,3,467.0
2079955349,3,467.0
2079955359,3,467.0
2079955369,3,471.0
2079955379,3,471.0
2079955389,3,471.0
2079955399,3,471.0
2079955409,3,471.0
2079955419,3,485.0
2079955429,3,485.0
2079955439,3,485.0
2079955449,3,485.0
2079955459,3,485.0
2079955469,3,497.0
2079955479,3,497.0
2079955489,3,497.0
2079955499,3,497.0
2079955509,3,497.0
2079955519,3,500.0
2079955529,3,500.0
2079955539,3,500.0
2079955549,3,500.0
2079955559,3,500.0
2079955569,3,495.0
2079955579,3,495.0
2079955589,3,495.0
2079955599,3,495.0
2079955609,3,495.0
2079955619,3,495.0
2079955629,3,504.0
2079955639,3,504.0
2079955649,3,504.0
2079955659,3,504.0
2079955669,3,504.0
2079955679,3,511.0
2079955689,3,511.0
2079955699,3,511.0
2079955709,3,511.0
2079955719,3,511.0
2079955729,3,516.0
2079955739,3,516.0
2079955749,3,516.0
2079955759,3,516.0
2079955769,3,516.0
2079955779,3,520.0
2079955789,3,520.0
2079955799,3,520.0
2079955809,3,520.0
2079955819,3,520.0
2079955829,3,519.0
2079955839,3,519.0
2079955849,3,519.0
2079955859,3,519.0
2079955869,3,519.0
2079955879,3,514.0
2079955889,3,514.0
2079955899,3,514.0
2079955909,3,514.0
2079955919,3,514.0
2079955929,3,514.0
2079955939,3,504.0
2079955949,3,504.0
2079955959,3,504.0
2079955969,3,504.0
2079955979,3,504.0
2079955989,3,507.0
2079955999,3,507.0
2079956009,3,507.0
2079956019,3,507.0
2079956029,3,507.0
2079956039,3,512.0
2079956049,3,512.0
2079956059,3,512.0
2079956069,3,512.0
2079956079,3,512.0
2079956089,3,506.0
2079956099,3,506.0
2079956109,3,506.0
2079956119,3,506.0
2079956129,3,506.0
2079956139,3,494.0
2079956149,3,494.0
2079956159,3,494.0
2079956169,3,494.0
2079956179,3,494.0
2079956189,3,485.0
2079956199,3,485.0
2079956209,3,485.0
2079956219,3,485.0
2079956229,3,485.0
2079956239,3,485.0
2079956249,3,479.0
2079956259,3,479.0
2079956269,3,479.0
2079956279,3,479.0
2079956289,3,479.0
2079956299,3,477.0
2079956309,3,477.0
2079956319,3,477.0
2079956329,3,477.0
2079956339,3,477.0
2079956349,3,474.0
2079956359,3,474.0
2079956369,3,474.0
2079956379,3,474.0
2079956389,3,474.0
2079956399,3,473.0
2079956409,3,473.0
2079956419,3,473.0
2079956429,3,473.0
2079956439,3,473.0
2079956449,3,471.0
2079956459,3,471.0
2079956469,3,471.0
2079956479,3,471.0
2079956489,3,471.0
2079956499,3,464.0
2079956509,3,464.0
2079956519,3,464.0
2079956529,3,464.0
2079956539,3,464.0
2079956550,3,464.0
2079956559,3,461.0
2079956569,3,461.0
2079956579,3,461.0
2079956589,3,461.0
2079956599,3,461.0
2079956609,3,450.0
2079956619,3,450.0
2079956629,3,450.0
