spl07,goermicro,2026-06-11_17-50-21.438_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
2079953229,3,983.5
2079953329,3,983.5
2079953429,3,983.5
2079953529,3,983.49
2079953629,3,983.49
2079953729,3,983.45996
2079953828,3,983.44
2079953928,3,983.47
2079954029,3,983.42
2079954129,3,983.27997
2079954229,3,983.17
2079954329,3,983.16
2079954429,3,983.13995
2079954529,3,983.16
2079954629,3,983.19
2079954729,3,983.22
2079954829,3,983.25
2079954929,3,983.27997
2079955029,3,983.31
2079955128,3,983.33997
2079955228,3,983.35
2079955329,3,983.37
2079955429,3,983.37
2079955529,3,983.38
2079955629,3,983.42
2079955729,3,983.44
2079955829,3,983.42
2079955929,3,983.45996
2079956029,3,983.47
2079956129,3,983.45996
2079956229,3,983.47
2079956329,3,983.48
2079956429,3,983.48
2079956528,3,983.48
2079956628,3,983.5
2079956729,3,983.5
2079956829,3,983.5
2079956929,3,983.51996
2079957029,3,983.51996
2079957129,3,983.50995
2079957229,3,983.50995
2079957329,3,983.52997
2079957429,3,983.52997
2079957529,3,983.52997
2079957629,3,983.52997
2079957729,3,983.52997
2079957828,3,983.50995
2079957928,3,983.52997
2079958029,3,983.52997
2079958129,3,983.54
2079958229,3,983.54
2079958328,3,983.54
2079958428,3,983.54
2079958528,3,983.54
2079958628,3,983.55
2079958728,3,983.55
2079958828,3,983.55
2079958928,3,983.55
2079959028,3,983.55
2079959128,3,983.55
2079959228,3,983.56
2079959328,3,983.56
2079959428,3,983.56
2079959528,3,983.55
2079959628,3,983.56
2079959728,3,983.56
2079959828,3,983.56995
2079959928,3,983.56995
2079960028,3,983.56
2079960128,3,983.56995
2079960228,3,983.57996
2079960328,3,983.57996
2079960428,3,983.57996
2079960528,3,983.58997
2079960628,3,983.58997
2079960728,3,983.58997
2079960828,3,983.58997
2079960928,3,983.58997
2079961028,3,983.6
2079961128,3,983.6
2079961228,3,983.6
2079961328,3,983.61
2079961428,3,983.61
2079961528,3,983.61
2079961628,3,983.62
2079961728,3,983.62
2079961828,3,983.62
2079961928,3,983.63
2079962028,3,983.63
2079962128,3,983.63
2079962228,3,983.63
2079962328,3,983.63
2079962428,3,983.63995
2079962528,3,983.64996
2079962628,3,983.64996
2079962728,3,983.64996
2079962828,3,983.66
2079962928,3,983.66
2079963028,3,983.66
2079963128,3,983.67
2079963228,3,983.67
2079963328,3,983.67
2079963428,3,983.67
2079963528,3,983.68
2079963628,3,983.68
2079963728,3,983.68
2079963828,3,983.69
2079963928,3,983.69
2079964028,3,983.69
2079964128,3,983.69995
2079964228,3,983.69995
2079964328,3,983.70996
2079964428,3,983.70996
2079964528,3,983.70996
2079964628,3,983.70996
2079964728,3,983.72
2079964828,3,983.72
2079964928,3,983.72
2079965028,3,983.73
2079965128,3,983.73
2079965228,3,983.73
2079965328,3,983.74
2079965428,3,983.74
2079965528,3,983.74
2079965628,3,983.75
2079965728,3,983.75
2079965828,3,983.75
2079965928,3,983.75
2079966028,3,983.75
2079966128,3,983.75995
2079966228,3,983.75995
2079966328,3,983.75995
2079966428,3,983.76996
2079966528,3,983.76996
2079966628,3,983.76996
2079966728,3,983.77997
2079966828,3,983.77997
2079966928,3,983.79
2079967028,3,983.79
2079967128,3,983.79
2079967228,3,983.79
2079967328,3,983.8
2079967428,3,983.8
2079967528,3,983.8
2079967628,3,983.81
2079967728,3,983.81
2079967828,3,983.81
2079967928,3,983.81
2079968028,3,983.81995
2079968128,3,983.81995
2079968228,3,983.81995
2079968328,3,983.82996
2079968428,3,983.82996
2079968528,3,983.83997
2079968628,3,983.83997
2079968728,3,983.83997
2079968828,3,983.83997
2079968928,3,983.85
2079969028,3,983.85
2079969128,3,983.85
2079969228,3,983.85
2079969328,3,983.86
2079969428,3,983.86
2079969528,3,983.86
2079969628,3,983.87
2079969728,3,983.87
2079969828,3,983.87
2079969928,3,983.87
2079970028,3,983.88
2079970128,3,983.88
2079970228,3,983.88
2079970328,3,983.88995
2079970428,3,983.88995
2079970528,3,983.88995
2079970628,3,983.88995
2079970728,3,983.89996
2079970828,3,983.89996
2079970928,3,983.89996
2079971028,3,983.91
2079971128,3,983.91
2079971228,3,983.92
2079971328,3,983.92
2079971428,3,983.92
2079971528,3,983.93
2079971628,3,983.93
2079971728,3,983.93
2079971828,3,983.93
2079971928,3,983.93
2079972028,3,983.94
2079972128,3,983.94
2079972228,3,983.94995
2079972328,3,983.94995
2079972428,3,983.94995
2079972528,3,983.94995
2079972628,3,983.94995
2079972728,3,983.95996
2079972828,3,983.95996
2079972928,3,983.95996
2079973028,3,983.97
2079973128,3,983.97
2079973228,3,983.97
2079973328,3,983.97
2079973428,3,983.98
2079973528,3,983.98
2079973628,3,983.98
2079973728,3,983.99
2079973828,3,983.99
2079973928,3,984.0
2079974028,3,983.99
2079974128,3,984.0
2079974228,3,984.0
2079974328,3,984.0
2079974428,3,984.00995
2079974528,3,984.00995
2079974628,3,984.00995
2079974728,3,984.00995
2079974828,3,984.01996
2079974928,3,984.02997
2079975028,3,984.02997
2079975128,3,984.02997
2079975228,3,984.02997
2079975328,3,984.04
2079975428,3,984.04
2079975528,3,984.04
2079975628,3,984.05
2079975728,3,984.05
2079975828,3,984.06
2079975928,3,984.06
2079976028,3,984.06
2079976128,3,984.06995
2079976228,3,984.06995
2079976328,3,984.06995
2079976428,3,984.07996
2079976528,3,984.06995
2079976628,3,984.07996
2079976728,3,984.07996
2079976828,3,984.08997
2079976928,3,984.08997
2079977028,3,984.08997
2079977128,3,984.1
