icm4n607_acc,iven_sense,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
883069182,3,0.37095,0.693,9.910951,1779992540759
883069192,3,0.36795002,0.633,9.66195,1779992540769
883069202,3,0.35895002,0.71895003,9.70995,1779992540779
883069212,3,0.38505003,0.62505,9.87495,1779992540789
883069222,3,0.49995002,0.58500004,9.71205,1779992540800
883069232,3,0.58395004,0.51105005,9.760051,1779992540809
883069242,3,0.59295005,0.46500003,9.81,1779992540819
883069252,3,0.56205004,0.46005002,9.703051,1779992540832
883069262,3,0.72300005,0.36705002,9.946951,1779992540839
883069272,3,0.81405,0.23505001,9.868051,1779992540849
883069283,3,0.73005,0.25005,9.604051,1779992540859
883069293,3,0.79200006,0.11100001,9.798,1779992540869
883069303,3,0.90495,0.112950005,9.8220005,1779992540879
883069313,3,0.78495,0.09900001,9.757951,1779992540889
883069323,3,0.76305,0.010050001,9.66705,1779992540899
883069333,3,0.81600004,0.08205,9.63105,1779992540910
883069343,3,0.64095,0.072000004,9.846001,1779992540920
883069353,3,0.60795003,0.043950003,9.74295,1779992540929
883069363,3,0.57705003,0.14205001,9.772051,1779992540940
883069373,3,0.30600002,0.135,9.931951,1779992540950
883069383,3,0.423,0.076950006,9.925051,1779992540961
883069393,3,0.45195,0.10605001,9.79605,1779992540969
883069403,3,0.33495003,0.075,9.549001,1779992540981
883069413,3,0.36105,0.04095,9.66195,1779992540990
883069424,3,0.30600002,0.16305001,9.913051,1779992541000
883069434,3,0.282,0.112950005,9.955951,1779992541010
883069444,3,0.34905002,0.094050005,9.585,1779992541020
883069454,3,0.45900002,0.17805001,9.636001,1779992541030
883069464,3,0.43500003,0.14400001,9.84105,1779992541040
883069474,3,0.44700003,0.16305001,10.05195,1779992541050
883069484,3,0.53805,0.27600002,9.585,1779992541060
883069494,3,0.56205004,0.087000005,9.765,1779992541070
883069504,3,0.651,0.08205,9.868051,1779992541080
883069514,3,0.76605004,0.11100001,9.87705,1779992541091
883069524,3,0.74700004,0.01995,9.70005,1779992541101
883069534,3,0.73005,0.025050001,9.681001,1779992541112
883069544,3,0.87105006,0.094050005,9.817051,1779992541121
883069554,3,0.85905004,0.052950002,9.834001,1779992541131
883069565,3,0.73905003,0.10395,9.612,1779992541141
883069575,3,0.76305,0.19500001,9.670951,1779992541151
883069585,3,0.70095,0.19905001,9.786,1779992541161
883069595,3,0.61200005,0.321,9.83205,1779992541171
883069605,3,0.48600003,0.40005,9.96105,1779992541181
883069615,3,0.48105,0.37905002,9.86295,1779992541191
883069625,3,0.44700003,0.42900002,9.625951,1779992541201
883069635,3,0.52905005,0.45495003,9.691051,1779992541211
883069645,3,0.45705003,0.47700003,9.858001,1779992541221
883069655,3,0.19605,0.513,9.858001,1779992541231
883069665,3,0.39000002,0.56100005,9.68805,1779992541241
883069675,3,0.45705003,0.50100005,9.802951,1779992541251
883069685,3,0.342,0.582,9.715051,1779992541261
883069696,3,0.282,0.55095005,9.8560505,1779992541271
883069706,3,0.48795003,0.47895002,9.753,1779992541281
883069716,3,0.44700003,0.47895002,9.646951,1779992541291
883069726,3,0.50895,0.54195005,9.86295,1779992541302
883069736,3,0.51405,0.42405003,9.83205,1779992541312
883069746,3,0.531,0.37605003,9.67905,1779992541322
883069756,3,0.67695004,0.38805002,9.798,1779992541332
883069766,3,0.72705,0.29505002,9.943951,1779992541342
883069776,3,0.67005,0.25395,9.66195,1779992541352
883069786,3,0.708,0.22095,9.705001,1779992541362
883069796,3,0.81795,0.123,9.96405,1779992541373
