timestamp_global[ms],timestampImu[ms],ang_vel_uncal_x[rad/s],ang_vel_uncal_y[rad/s],ang_vel_uncal_z[rad/s],acc_uncal_x[m/s^2],acc_uncal_y[m/s^2],acc_uncal_z[m/s^2],mfield_uncal_x[uT],mfield_uncal_y[uT],mfield_uncal_z[uT],ang_vel_drift_x[rad/s],ang_vel_drift_y[rad/s],ang_vel_drift_z[rad/s],acc_bias_x[m/s^2],acc_bias_y[m/s^2],acc_bias_z[m/s^2],mfield_bias_x[uT],mfield_bias_y[uT],mfield_bias_z[uT]
320,883069242,0.0053625,0.058025,0.0523875,0.59295005,0.46500003,9.81,15.31875,25.425001,-38.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,883069252,0.0042625,0.0441375,0.050325,0.56205004,0.46005002,9.703051,15.31875,25.425001,-38.9625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,883069262,0.0022,0.0378125,0.0449625,0.72300005,0.36705002,9.946951,13.931251,25.125002,-37.331253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,883069272,-0.0031625,0.0303875,0.0342375,0.81405,0.23505001,9.868051,13.931251,25.125002,-37.331253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,883069283,-0.005225,0.022824999,0.02255,0.73005,0.25005,9.604051,17.75625,25.518751,-36.318752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,883069293,-0.0020625,0.0218625,0.0108624995,0.79200006,0.11100001,9.798,17.75625,25.518751,-36.318752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,883069303,-0.005225,0.0154,-0.0050875,0.90495,0.112950005,9.8220005,17.75625,25.518751,-36.318752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,883069313,-0.005225,0.0154,-0.016775,0.78495,0.09900001,9.757951,17.75625,25.518751,-36.318752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,883069323,-9.625E-4,0.0207625,-0.0295625,0.76305,0.010050001,9.66705,17.400002,25.312502,-36.675003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,883069333,0.0033,0.025024999,-0.0402875,0.81600004,0.08205,9.63105,17.400002,25.312502,-36.675003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,883069343,0.0053625,0.034649998,-0.0477125,0.64095,0.072000004,9.846001,18.5625,26.1,-36.581253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,883069353,0.0075625,0.040975,-0.053075,0.60795003,0.043950003,9.74295,18.5625,26.1,-36.581253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,883069363,0.008525,0.0356125,-0.054175,0.57705003,0.14205001,9.772051,15.39375,25.5375,-36.581253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,883069373,-0.0020625,0.0165,-0.0477125,0.30600002,0.135,9.931951,15.39375,25.5375,-36.581253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,883069383,-0.005225,-0.0059125,-0.043449998,0.423,0.076950006,9.925051,15.750001,25.218752,-36.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,883069393,-0.008525,-0.00275,-0.034925,0.45195,0.10605001,9.79605,15.750001,25.218752,-36.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,883069403,-0.0020625,0.0122375,-0.0243375,0.33495003,0.075,9.549001,15.95625,25.218752,-36.393753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,883069413,0.0064625,0.025024999,-0.01155,0.36105,0.04095,9.66195,15.95625,25.218752,-36.393753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,883069424,0.0033,0.0218625,-8.25E-4,0.30600002,0.16305001,9.913051,16.331251,25.425001,-36.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,883069434,-9.625E-4,-0.0059125,0.013062499,0.282,0.112950005,9.955951,16.331251,25.425001,-36.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,883069444,-0.005225,0.0015125,0.0257125,0.34905002,0.094050005,9.585,19.0125,25.9125,-36.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,883069454,0.0064625,0.009075,0.0342375,0.45900002,0.17805001,9.636001,19.0125,25.9125,-36.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,883069464,0.0053625,0.0165,0.0418,0.43500003,0.14400001,9.84105,19.837502,26.41875,-36.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,883069474,0.0033,0.0133375,0.0449625,0.44700003,0.16305001,10.05195,19.837502,26.41875,-36.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
