gravity,mtk,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
883069323,3,-0.307777,0.019307,9.530031
883069333,3,-0.825509,0.079996,9.771498
883069343,3,-0.647214,0.072992,9.78491
883069353,3,-0.612206,0.045908,9.787412
883069363,3,-0.579616,0.137681,9.788511
883069373,3,-0.316189,0.133816,9.800453
883069383,3,-0.41251,0.079576,9.797607
883069393,3,-0.450769,0.104939,9.795715
883069403,3,-0.349426,0.07876,9.800075
883069413,3,-0.365544,0.044162,9.79973
883069424,3,-0.306145,0.156075,9.800583
883069434,3,-0.279369,0.114384,9.801992
883069444,3,-0.353416,0.097319,9.799783
883069454,3,-0.461746,0.176939,9.794129
883069464,3,-0.435407,0.145895,9.795886
883069474,3,-0.436145,0.158972,9.795656
883069484,3,-0.54433,0.276129,9.787569
883069494,3,-0.524212,0.278712,9.788661
883069504,3,-0.522778,0.278532,9.78874
883069514,3,-0.519809,0.278186,9.7889
883069524,3,-0.515309,0.277563,9.789137
883069534,3,-0.509306,0.276689,9.789444
883069544,3,-0.501692,0.275642,9.789821
883069554,3,-0.492526,0.27437,9.790258
883069565,3,-0.481966,0.272965,9.790747
883069575,3,-0.470057,0.271531,9.791276
883069585,3,-0.456908,0.270074,9.791841
883069595,3,-0.442646,0.268732,9.79243
883069605,3,-0.427357,0.267524,9.79304
883069615,3,-0.410892,0.26641,9.793673
883069625,3,-0.393339,0.265432,9.794322
883069635,3,-0.374701,0.264666,9.794984
883069645,3,-0.355159,0.264127,9.795652
883069655,3,-0.334911,0.263827,9.796324
883069665,3,-0.313662,0.263808,9.796997
883069675,3,-0.291453,0.264009,9.797673
883069685,3,-0.267119,0.264348,9.798426
883069696,3,-0.243359,0.265135,9.799094
883069706,3,-0.220005,0.266278,9.799683
883069716,3,-0.197308,0.267784,9.800186
883069726,3,-0.175242,0.269832,9.800604
883069736,3,-0.15372,0.272259,9.800945
883069746,3,-0.13283,0.274932,9.801213
883069756,3,-0.112414,0.277928,9.801408
883069766,3,-0.092276,0.281039,9.801544
883069776,3,-0.072419,0.284119,9.80163
883069786,3,-0.052692,0.287131,9.801671
883069796,3,-0.032847,0.289817,9.801674
883069806,3,-0.01285,0.292128,9.801643
883069816,3,0.007168,0.294099,9.801575
883069826,3,0.027245,0.295632,9.801473
883069837,3,0.047279,0.296735,9.80134
883069847,3,0.067331,0.297406,9.80118
883069857,3,0.087434,0.297644,9.801003
883069867,3,0.107201,0.297466,9.800806
883069877,3,0.126583,0.296848,9.800596
883069887,3,0.145937,0.295679,9.800371
883069897,3,0.165259,0.293958,9.800134
883069907,3,0.184184,0.291749,9.799883
883069917,3,0.202778,0.28913,9.799622
883069927,3,0.22097,0.286109,9.799354
883069937,3,0.238595,0.282729,9.799082
883069947,3,0.255949,0.279104,9.798793
883069957,3,0.272905,0.275223,9.79849
883069967,3,0.289407,0.271236,9.798168
883069978,3,0.305484,0.267251,9.797831
883069988,3,0.321122,0.26336,9.797474
883069998,3,0.336123,0.259579,9.797104
883070008,3,0.350841,0.255965,9.796705
883070018,3,0.36525,0.25246,9.796282
883070028,3,0.379471,0.249161,9.795828
883070038,3,0.393577,0.246001,9.795346
883070048,3,0.407701,0.243031,9.79483
883070058,3,0.421894,0.240299,9.794283
883070068,3,0.436152,0.237859,9.793704
883070078,3,0.450408,0.235799,9.7931
883070088,3,0.464475,0.234247,9.792473
883070098,3,0.478371,0.233261,9.79182
883070108,3,0.492315,0.232784,9.791132
883070119,3,0.506242,0.232783,9.790418
883070129,3,0.520113,0.233246,9.789681
