icm4n607_gyro,iven_sense,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
883069242,3,0.0053625,0.058025,0.0523875
883069252,3,0.0042625,0.0441375,0.050325
883069262,3,0.0022,0.0378125,0.0449625
883069272,3,-0.0031625,0.0303875,0.0342375
883069283,3,-0.005225,0.022824999,0.02255
883069293,3,-0.0020625,0.0218625,0.0108624995
883069303,3,-0.005225,0.0154,-0.0050875
883069313,3,-0.005225,0.0154,-0.016775
883069323,3,-9.625E-4,0.0207625,-0.0295625
883069333,3,0.0033,0.025024999,-0.0402875
883069343,3,0.0053625,0.034649998,-0.0477125
883069353,3,0.0075625,0.040975,-0.053075
883069363,3,0.008525,0.0356125,-0.054175
883069373,3,-0.0020625,0.0165,-0.0477125
883069383,3,-0.005225,-0.0059125,-0.043449998
883069393,3,-0.008525,-0.00275,-0.034925
883069403,3,-0.0020625,0.0122375,-0.0243375
883069413,3,0.0064625,0.025024999,-0.01155
883069424,3,0.0033,0.0218625,-8.25E-4
883069434,3,-9.625E-4,-0.0059125,0.013062499
883069444,3,-0.005225,0.0015125,0.0257125
883069454,3,0.0064625,0.009075,0.0342375
883069464,3,0.0053625,0.0165,0.0418
883069474,3,0.0033,0.0133375,0.0449625
883069484,3,0.0022,-0.0037125,0.048125
883069494,3,-0.0020625,-0.0048125,0.049225
883069504,3,0.0,-0.009075,0.0449625
883069514,3,-0.0031625,-0.0122375,0.0385
883069524,3,-0.007425,-0.0187,0.0290125
883069534,3,-0.0031625,-0.0229625,0.015125
883069544,3,-0.0020625,-0.0240625,0.0034375
883069554,3,-0.0042625,-0.0218625,-0.01155
883069565,3,0.0033,-0.0165,-0.0221375
883069575,3,0.0053625,-0.009075,-0.0328625
883069585,3,0.0064625,-0.0070125,-0.0391875
883069595,3,0.009625,-0.0048125,-0.0466125
883069605,3,-9.625E-4,-0.0187,-0.045649998
883069615,3,-0.005225,-0.0528,-0.043449998
883069625,3,-0.008525,-0.044275,-0.0413875
