stk3a5x_als,sensortek,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
883069108,3,11.0
883069108,3,11.0
883069285,3,11.0
883069295,3,2.0
883069305,3,2.0
883069315,3,11.0
883069325,3,2.0
883069335,3,2.0
883069344,3,2.0
883069354,3,2.0
883069364,3,11.0
883069374,3,2.0
883069384,3,2.0
883069394,3,2.0
883069404,3,2.0
883069414,3,2.0
883069424,3,11.0
883069435,3,2.0
883069444,3,2.0
883069454,3,2.0
883069464,3,2.0
883069474,3,11.0
883069484,3,2.0
883069495,3,2.0
883069505,3,2.0
883069515,3,2.0
883069525,3,11.0
883069535,3,2.0
883069545,3,2.0
883069555,3,2.0
883069565,3,2.0
883069575,3,11.0
883069585,3,2.0
883069595,3,2.0
883069605,3,2.0
883069615,3,2.0
883069625,3,11.0
883069635,3,2.0
883069645,3,2.0
883069655,3,2.0
883069665,3,2.0
883069675,3,11.0
883069685,3,2.0
883069695,3,2.0
883069705,3,2.0
883069715,3,2.0
883069725,3,2.0
883069735,3,11.0
883069745,3,2.0
883069755,3,2.0
883069765,3,2.0
883069775,3,2.0
883069785,3,11.0
883069795,3,2.0
883069805,3,2.0
883069815,3,2.0
883069825,3,2.0
883069835,3,11.0
883069845,3,2.0
883069855,3,2.0
883069865,3,2.0
883069875,3,2.0
883069885,3,11.0
883069895,3,2.0
883069905,3,2.0
883069915,3,2.0
883069925,3,2.0
883069935,3,11.0
883069945,3,2.0
883069955,3,2.0
883069965,3,2.0
883069975,3,2.0
883069985,3,11.0
883069995,3,2.0
883070005,3,2.0
883070015,3,2.0
883070025,3,2.0
883070035,3,11.0
883070045,3,2.0
883070055,3,2.0
883070065,3,2.0
883070075,3,2.0
883070085,3,2.0
883070095,3,11.0
883070105,3,2.0
883070115,3,2.0
883070125,3,2.0
883070135,3,2.0
883070145,3,11.0
883070155,3,2.0
883070165,3,2.0
883070175,3,2.0
883070185,3,2.0
883070195,3,11.0
883070205,3,2.0
883070215,3,2.0
883070225,3,2.0
883070235,3,2.0
883070245,3,11.0
883070255,3,2.0
883070265,3,2.0
883070275,3,2.0
883070285,3,2.0
883070295,3,11.0
883070305,3,2.0
883070315,3,2.0
883070325,3,2.0
883070335,3,2.0
883070345,3,11.0
883070355,3,2.0
883070365,3,2.0
883070375,3,2.0
883070385,3,2.0
883070395,3,2.0
883070405,3,11.0
883070415,3,2.0
883070425,3,2.0
883070435,3,2.0
883070445,3,2.0
883070455,3,11.0
883070465,3,2.0
883070475,3,2.0
883070485,3,2.0
883070495,3,2.0
883070505,3,11.0
883070515,3,2.0
