linear_acc,mtk,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
883069333,3,0.281128,-1.301548,0.080518
883069343,3,0.091147,-1.046729,0.23009
883069353,3,0.042335,-0.859857,0.110209
883069363,3,0.008904,-0.612739,0.107635
883069373,3,-0.202927,-0.493128,0.210928
883069383,3,-0.078832,-0.43913,0.167463
883069393,3,-0.037719,-0.330618,0.033797
883069403,3,-0.120133,-0.287798,-0.167114
883069413,3,-0.078868,-0.25699,-0.053245
883069424,3,-0.104977,-0.112058,0.154813
883069434,3,-0.103965,-0.125272,0.16388
883069444,3,-0.031968,-0.11637,-0.154729
883069454,3,0.061382,-0.028804,-0.094798
883069464,3,0.033527,-0.04673,0.084733
883069474,3,0.035441,-0.023465,0.236207
883069484,3,0.099029,0.068759,-0.166457
883069494,3,0.100165,-0.088261,-0.006751
883069504,3,0.082494,-0.070736,-0.002656
883069514,3,0.071422,-0.055951,8.75E-4
883069524,3,0.062054,-0.046548,-0.001023
883069534,3,0.054112,-0.038898,-0.003053
883069544,3,0.051525,-0.030927,-0.001037
883069554,3,0.049137,-0.025635,0.00102
883069565,3,0.044034,-0.020061,-0.00327
883069575,3,0.04059,-0.013176,-0.005105
883069585,3,0.036175,-0.00754,-0.00351
883069595,3,0.030281,2.24E-4,-0.00102
883069605,3,0.022181,0.008543,0.004419
883069615,3,0.015574,0.014623,0.006153
883069625,3,0.009395,0.020828,0.001218
883069635,3,0.006622,0.026495,-0.001005
883069645,3,0.002488,0.031603,0.001686
883069655,3,-0.007777,0.036646,0.003839
883069665,3,-0.010818,0.041958,0.001028
883069675,3,-0.011464,0.044612,0.001843
883069685,3,-0.015045,0.048905,1.34E-4
883069696,3,-0.019506,0.05151,0.002532
883069706,3,-0.017584,0.051679,0.001708
883069716,3,-0.017131,0.051814,-0.001761
883069726,3,-0.01511,0.053581,0.001208
883069736,3,-0.013364,0.051867,0.002755
883069746,3,-0.011521,0.049219,-9.5E-5
883069756,3,-0.006152,0.04742,8.18E-4
883069766,3,-5.17E-4,0.04349,0.005442
883069776,3,0.002459,0.039261,0.001607
883069786,3,0.0065,0.02994,0.004478
883069796,3,0.012031,0.02491,0.008881
883069806,3,0.012243,0.020758,0.005445
883069816,3,0.009794,0.015904,-0.001006
883069826,3,0.007516,0.012915,5.35E-4
883069837,3,0.005374,0.011928,0.001321
