location due to GPS and WiFi+Cell,2026-05-28_21-22-17.484_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
883069401,network,55.5247137,37.5106693,1,18.978,1,204.90000915527344,0,0.0,0,0.0,1779992537739,883066381000000
883069461,network,55.5247137,37.5106693,1,40.496002,1,204.90000915527344,0,0.0,0,0.0,1779992541029,883069455394255
883069464,network,55.5247137,37.5106693,1,40.552002,1,204.90000915527344,0,0.0,0,0.0,1779992541038,883069463888794
883080972,gps,55.52477833333334,37.51060833333334,1,3.4,1,199.0,1,284.64,1,1.1457716,1779992552261,883080910135871
883082728,gps,55.524766666666665,37.51061666666667,1,2.6,1,197.4,1,147.96,1,0.4519261,1779992554000,883082657780794
883083703,gps,55.52474666666667,37.510625,1,2.1,1,195.9,1,336.68,1,0.3005978,1779992555000,883083649789641
883084708,gps,55.52474,37.510623333333335,1,1.9,1,195.6,1,324.37,1,0.22390416,1779992556000,883084651926872
883085709,gps,55.52473666666666,37.510625,1,1.9,1,195.29999999999998,1,344.4,1,0.0787525,1779992557000,883085650487487
883086714,gps,55.52472666666666,37.51062666666667,1,1.7,1,194.5,1,319.49,1,0.10809167,1779992558000,883086655241025
883087720,gps,55.524723333333334,37.51062666666667,1,1.7,1,194.2,1,144.9,1,0.107576944,1779992559000,883087657877949
883088716,gps,55.524725000000004,37.510625,1,1.7,1,194.2,1,334.67,1,0.12610695,1779992560000,883088652485718
883089380,network,55.5246958,37.5105177,1,16.514,1,204.00001525878906,0,0.0,0,0.0,1779992545159,883073801000000
883089717,gps,55.524719999999995,37.510621666666665,1,1.6,1,193.4,1,218.0,1,0.050442778,1779992561000,883089651504795
883090717,gps,55.524715,37.51061666666667,1,1.6,1,192.9,1,196.78,1,0.12765111,1779992562000,883090652297103
883091708,gps,55.52471333333333,37.51061333333334,1,1.6,1,192.4,1,255.04,1,0.1621375,1779992563000,883091650406333
883092705,gps,55.524708333333336,37.51061,1,1.6,1,191.79999999999998,1,190.87,1,0.1780939,1779992564000,883092652111795
883093706,gps,55.52470666666667,37.51060666666667,1,1.6,1,191.29999999999998,1,217.36,1,0.16985834,1779992565000,883093652755180
883094711,gps,55.524708333333336,37.510605000000005,1,1.6,1,190.79999999999998,1,198.08,1,0.056619443,1779992566000,883094652995564
883095710,gps,55.524705,37.510601666666666,1,1.6,1,190.29999999999998,1,168.85,1,0.35824665,1779992567000,883095651906564
883096711,gps,55.524710000000006,37.510598333333334,1,1.6,1,190.0,1,289.2,1,0.29545057,1779992568000,883096650977334
883097719,gps,55.524710000000006,37.51059333333333,1,1.6,1,189.79999999999998,1,174.1,1,0.17088778,1779992569000,883097651372795
883098717,gps,55.524710000000006,37.510594999999995,1,1.5,1,189.2,1,165.44,1,0.15853444,1779992570000,883098653833334
883099722,gps,55.52471333333333,37.51059333333333,1,1.5,1,188.9,1,304.89,1,0.65009415,1779992571000,883099657312488
883100713,gps,55.52471333333333,37.510594999999995,1,1.5,1,188.6,1,138.36,1,0.231625,1779992572000,883100654613949
883101714,gps,55.52471666666667,37.510601666666666,1,1.5,1,188.1,1,339.68,1,0.25839055,1779992573000,883101649253103
883102718,gps,55.52471833333334,37.510598333333334,1,1.4,1,188.0,1,336.75,1,0.26662612,1779992574000,883102657720488
883103718,gps,55.524719999999995,37.510598333333334,1,1.4,1,187.9,1,7.05,1,0.25066972,1779992575000,883103648908103
883104713,gps,55.524719999999995,37.510598333333334,1,1.4,1,187.9,1,337.73,1,0.24758139,1779992576000,883104653738873
883105714,gps,55.524719999999995,37.510596666666665,1,1.4,1,187.79999999999998,1,310.0,1,0.22184528,1779992577000,883105653657719
883106713,gps,55.524721666666665,37.510596666666665,1,1.4,1,187.79999999999998,1,327.24,1,0.20537417,1779992578000,883106653426257
883107719,gps,55.524723333333334,37.510594999999995,1,1.4,1,187.9,1,0.55,1,0.21463917,1779992579000,883107654012719
883108717,gps,55.524723333333334,37.510598333333334,1,1.4,1,187.79999999999998,1,99.32,1,0.21721278,1779992580000,883108653063488
