qmc6308,qst,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),mfield_x[uT],mfield_y[uT],mfield_z[uT]
883069199,0,12.31875,24.6375,-38.7
883069219,0,13.89375,25.125002,-38.5875
883069239,0,15.31875,25.425001,-38.9625
883069259,0,13.931251,25.125002,-37.331253
883069279,0,17.75625,25.518751,-36.318752
883069318,0,17.400002,25.312502,-36.675003
883069338,0,18.5625,26.1,-36.581253
883069358,0,15.39375,25.5375,-36.581253
883069378,0,15.750001,25.218752,-36.375
883069398,0,15.95625,25.218752,-36.393753
883069418,0,16.331251,25.425001,-36.28125
883069438,0,19.0125,25.9125,-36.28125
883069458,0,19.837502,26.41875,-36.375
883069478,0,20.493752,26.025002,-36.300003
883069498,0,19.21875,25.556252,-36.46875
883069518,0,19.050001,25.556252,-36.506252
883069538,0,18.91875,25.5375,-36.487503
883069558,0,18.91875,25.593752,-36.45
883069578,0,18.84375,25.612501,-36.43125
883069598,0,18.712502,25.593752,-36.375
883069618,0,18.375,25.556252,-36.3375
883069638,0,17.962502,25.518751,-36.28125
883069658,0,17.643751,25.48125,-36.225002
883069678,0,17.325,25.462502,-36.206253
883069698,0,16.987501,25.425001,-36.16875
883069718,0,16.725,25.3875,-36.1875
883069738,0,16.368752,25.35,-36.131252
883069758,0,15.918751,25.29375,-36.05625
883069778,0,15.431251,25.237501,-35.98125
883069798,0,15.0375,25.2,-35.925003
883069818,0,14.775001,25.143751,-35.831253
883069838,0,14.418751,25.087502,-35.775
883069858,0,13.968751,24.993752,-35.775
883069878,0,13.63125,24.91875,-35.756252
883069898,0,13.25625,24.900002,-35.737503
883069918,0,13.14375,24.88125,-35.71875
883069938,0,13.14375,24.900002,-35.737503
883069958,0,13.05,24.900002,-35.737503
883069978,0,12.937501,24.88125,-35.71875
883069998,0,12.843751,24.862501,-35.7
883070018,0,12.675,24.843752,-35.662502
883070038,0,12.58125,24.843752,-35.68125
883070058,0,12.6,24.843752,-35.71875
883070078,0,12.58125,24.843752,-35.79375
883070098,0,12.4875,24.862501,-35.8125
883070118,0,12.4875,24.88125,-35.86875
883070138,0,12.618751,24.900002,-35.98125
883070158,0,12.58125,24.900002,-36.075
883070178,0,12.525001,24.91875,-36.225002
883070198,0,12.525001,24.900002,-36.375
883070218,0,12.450001,24.900002,-36.525
883070238,0,12.356251,24.900002,-36.65625
883070258,0,12.3,24.862501,-36.787502
883070278,0,12.225,24.862501,-36.9375
883070298,0,12.093751,24.843752,-37.050003
883070318,0,11.83125,24.825,-37.125
883070338,0,11.681251,24.806252,-37.237503
883070358,0,11.606251,24.768751,-37.331253
883070378,0,11.475,24.768751,-37.425003
883070398,0,11.34375,24.750002,-37.537502
883070418,0,11.231251,24.750002,-37.612503
883070438,0,11.043751,24.750002,-37.66875
883070458,0,10.931251,24.73125,-37.6875
883070478,0,10.743751,24.73125,-37.631252
883070498,0,10.51875,24.712502,-37.55625
883070518,0,10.33125,24.675001,-37.4625
883070538,0,10.14375,24.675001,-37.425003
883070558,0,9.9375,24.675001,-37.3875
883070578,0,9.84375,24.675001,-37.350002
883070598,0,9.731251,24.675001,-37.331253
883070618,0,9.75,24.675001,-37.3875
883070638,0,9.731251,24.69375,-37.40625
883070658,0,9.6,24.73125,-37.443752
883070678,0,9.543751,24.73125,-37.443752
883070698,0,9.525001,24.712502,-37.443752
883070718,0,9.450001,24.712502,-37.443752
883070738,0,9.39375,24.712502,-37.40625
883070758,0,9.356251,24.712502,-37.36875
883070778,0,9.356251,24.712502,-37.3125
883070798,0,9.525001,24.73125,-37.256252
883070818,0,9.618751,24.768751,-37.256252
883070838,0,9.69375,24.768751,-37.162502
883070858,0,9.7875,24.7875,-37.0875
883070878,0,9.918751,24.806252,-37.068752
883070898,0,10.181251,24.843752,-37.050003
883070918,0,10.3125,24.88125,-36.956253
883070938,0,10.387501,24.88125,-36.862503
883070958,0,10.5375,24.88125,-36.787502
883070978,0,10.6125,24.91875,-36.693752
883070998,0,10.63125,24.900002,-36.581253
883071018,0,10.63125,24.900002,-36.43125
883071038,0,10.63125,24.91875,-36.35625
883071058,0,10.650001,24.91875,-36.2625
883071078,0,10.725,24.937502,-36.2625
883071098,0,10.762501,24.937502,-36.300003
883071118,0,10.837501,24.937502,-36.28125
883071138,0,10.875,24.956251,-36.300003
883071158,0,10.89375,24.937502,-36.318752
883071178,0,10.89375,24.937502,-36.2625
883071198,0,10.837501,24.91875,-36.1875
883071218,0,10.8,24.88125,-36.131252
883071238,0,10.725,24.88125,-36.05625
883071258,0,10.63125,24.862501,-36.018753
883071278,0,10.63125,24.843752,-35.98125
883071298,0,10.6875,24.843752,-35.98125
883071318,0,10.837501,24.843752,-36.0
883071338,0,10.96875,24.825,-35.943752
883071358,0,10.950001,24.806252,-35.90625
883071378,0,10.96875,24.806252,-35.850002
883071398,0,11.025001,24.825,-35.8125
883071418,0,11.08125,24.825,-35.756252
883071438,0,11.212501,24.806252,-35.7
883071458,0,11.26875,24.806252,-35.662502
883071478,0,11.325001,24.806252,-35.625
883071498,0,11.418751,24.806252,-35.60625
883071518,0,11.53125,24.825,-35.568752
883071538,0,11.7375,24.806252,-35.550003
883071558,0,11.90625,24.825,-35.5125
883071578,0,11.962501,24.825,-35.456253
883071598,0,12.056251,24.843752,-35.41875
883071618,0,12.0375,24.88125,-35.49375
883071638,0,12.1125,24.900002,-35.550003
883071658,0,12.3,24.900002,-35.625
883071678,0,12.431251,24.900002,-35.737503
883071698,0,12.4875,24.900002,-35.8125
883071718,0,12.543751,24.91875,-35.943752
883071738,0,12.50625,24.91875,-36.018753
883071758,0,12.6,24.91875,-36.15
883071778,0,12.562501,24.91875,-36.300003
883071798,0,12.4875,24.88125,-36.412502
883071818,0,12.39375,24.862501,-36.525
883071838,0,12.337501,24.88125,-36.675003
883071858,0,12.4125,24.862501,-36.80625
883071878,0,12.431251,24.88125,-36.956253
883071898,0,12.337501,24.843752,-37.068752
883071918,0,12.337501,24.806252,-37.0875
883071938,0,12.281251,24.825,-37.143753
883071958,0,12.281251,24.806252,-37.21875
883071978,0,12.337501,24.806252,-37.256252
883071998,0,12.375001,24.806252,-37.237503
883072018,0,12.375001,24.768751,-37.21875
883072038,0,12.468751,24.7875,-37.256252
883072058,0,12.450001,24.7875,-37.21875
883072078,0,12.562501,24.7875,-37.2
883072098,0,12.6,24.806252,-37.21875
883072118,0,12.750001,24.825,-37.256252
883072138,0,12.843751,24.825,-37.275
883072158,0,12.8625,24.843752,-37.21875
883072178,0,12.918751,24.825,-37.18125
883072198,0,12.993751,24.825,-37.18125
883072218,0,12.993751,24.825,-37.21875
883072238,0,13.106251,24.825,-37.21875
883072258,0,13.012501,24.806252,-37.143753
883072278,0,12.95625,24.806252,-37.0125
883072298,0,12.918751,24.7875,-36.91875
883072318,0,12.8625,24.7875,-36.84375
883072338,0,12.843751,24.768751,-36.7125
883072358,0,12.8625,24.7875,-36.6375
883072378,0,12.825001,24.768751,-36.525
883072398,0,12.8625,24.768751,-36.412502
883072418,0,12.7875,24.768751,-36.28125
883072438,0,12.76875,24.768751,-36.1875
883072458,0,12.731251,24.7875,-36.112503
883072478,0,12.825001,24.7875,-36.09375
883072498,0,12.975,24.825,-36.018753
883072518,0,13.106251,24.843752,-35.98125
883072538,0,13.106251,24.843752,-35.90625
883072558,0,13.25625,24.88125,-35.943752
883072578,0,13.218751,24.88125,-35.9625
883072598,0,13.200001,24.88125,-35.98125
883072618,0,13.14375,24.88125,-35.9625
883072638,0,13.012501,24.88125,-35.9625
883072658,0,12.918751,24.88125,-35.943752
883072678,0,12.806251,24.88125,-35.943752
883072698,0,12.750001,24.88125,-35.943752
883072718,0,12.69375,24.900002,-35.925003
883072738,0,12.543751,24.88125,-35.90625
883072758,0,12.4875,24.843752,-35.90625
883072778,0,12.262501,24.843752,-35.831253
883072798,0,12.056251,24.825,-35.79375
883072818,0,11.962501,24.7875,-35.737503
883072838,0,11.775001,24.7875,-35.662502
883072858,0,11.493751,24.750002,-35.550003
883072878,0,11.3625,24.750002,-35.5125
883072898,0,11.231251,24.750002,-35.49375
883072918,0,11.306251,24.768751,-35.5125
883072938,0,11.475,24.806252,-35.5125
883072958,0,11.8125,24.88125,-35.568752
883072978,0,12.20625,24.937502,-35.568752
883072998,0,12.4125,25.0125,-35.5875
883073018,0,12.543751,25.031252,-35.60625
883073038,0,12.58125,25.050001,-35.60625
883073058,0,12.468751,25.06875,-35.5875
883073078,0,12.4875,25.06875,-35.5875
883073098,0,12.525001,25.087502,-35.60625
883073118,0,12.525001,25.087502,-35.643753
883073138,0,12.69375,25.10625,-35.662502
883073158,0,12.918751,25.1625,-35.737503
883073178,0,13.012501,25.1625,-35.86875
883073198,0,13.087501,25.181252,-35.9625
883073218,0,13.012501,25.181252,-36.075
883073238,0,12.900001,25.125002,-36.24375
883073258,0,12.450001,25.06875,-36.300003
883073278,0,11.887501,24.975,-36.35625
883073298,0,11.55,24.91875,-36.43125
883073318,0,11.3625,24.900002,-36.487503
883073338,0,11.325001,24.862501,-36.54375
883073358,0,11.25,24.88125,-36.65625
883073378,0,11.15625,24.843752,-36.768753
883073398,0,11.025001,24.843752,-36.84375
883073418,0,10.931251,24.862501,-36.956253
883073438,0,10.8,24.843752,-37.0875
883073458,0,10.762501,24.825,-37.18125
883073478,0,10.70625,24.806252,-37.21875
883073498,0,10.650001,24.768751,-37.21875
883073518,0,10.63125,24.768751,-37.21875
883073538,0,10.59375,24.768751,-37.18125
883073558,0,10.6875,24.768751,-37.2
883073578,0,10.837501,24.750002,-37.237503
883073598,0,10.950001,24.768751,-37.29375
883073618,0,11.00625,24.7875,-37.36875
883073638,0,11.0625,24.7875,-37.443752
883073658,0,11.118751,24.768751,-37.443752
883073678,0,11.175,24.768751,-37.4625
883073698,0,11.175,24.7875,-37.537502
883073718,0,11.15625,24.768751,-37.5
883073738,0,11.1,24.768751,-37.48125
883073758,0,11.043751,24.768751,-37.443752
883073778,0,11.08125,24.768751,-37.331253
