orientation,mtk,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
883069403,0,352.64423,-0.457708,2.031896
883069413,0,349.12848,-0.254588,2.138459
883069424,0,165.34282,-0.92445,1.78254
883069434,0,206.39204,-0.663561,1.630072
883069444,0,247.14969,-0.567744,2.072392
883069454,0,288.06015,-1.043447,2.709553
883069464,0,328.80676,-0.849715,2.541286
883069474,0,328.0406,-0.931117,2.549364
883069484,0,327.4958,-1.626784,3.192054
883069494,0,326.83667,-0.549465,3.294782
883069504,0,326.4502,-0.548335,3.310899
883069514,0,326.2458,-0.552806,3.349288
883069524,0,326.35638,-0.539817,3.385964
883069534,0,326.3385,-0.527793,3.419611
883069544,0,326.4964,-0.529103,3.479191
883069554,0,326.7956,-0.522423,3.536214
883069565,0,326.99487,-0.525976,3.57259
883069575,0,327.10254,-0.54723,3.612923
883069585,0,327.22162,-0.569211,3.639713
883069595,0,327.33832,-0.614988,3.64865
883069605,0,327.45013,-0.675898,3.631248
883069615,0,327.56696,-0.732761,3.614143
883069625,0,327.70816,-0.800054,3.593411
883069635,0,327.88617,-0.872368,3.587723
883069645,0,328.09726,-0.948389,3.565989
883069655,0,328.32425,-1.031376,3.493437
883069665,0,328.56705,-1.124312,3.460663
883069675,0,328.82956,-1.205116,3.439595
883069685,0,329.1075,-1.302193,3.397147
883069696,0,329.39133,-1.392542,3.341412
883069706,0,329.66873,-1.469314,3.32698
883069716,0,329.92725,-1.546643,3.305798
883069726,0,330.1788,-1.634997,3.294292
883069736,0,330.43558,-1.700554,3.284106
883069746,0,330.70343,-1.757647,3.278908
883069756,0,330.9891,-1.816366,3.300812
883069766,0,331.29257,-1.855911,3.330876
883069776,0,331.61078,-1.889285,3.352955
883069786,0,331.95386,-1.877767,3.38469
883069796,0,332.3173,-1.8835,3.432206
883069806,0,332.69214,-1.889971,3.45201
883069816,0,333.06128,-1.886126,3.454379
883069826,0,333.41138,-1.887205,3.451458
883069837,0,333.73456,-1.89867,3.446384
883069847,0,334.04944,-1.892032,3.408401
883069857,0,334.35315,-1.894002,3.351982
883069867,0,334.6379,-1.891217,3.303183
883069877,0,334.8928,-1.862105,3.218919
883069887,0,335.13156,-1.836691,3.157152
883069897,0,335.37598,-1.77756,3.122009
883069907,0,335.6313,-1.696216,3.104957
883069917,0,335.8726,-1.626737,3.080966
883069927,0,336.06848,-1.560291,3.069855
883069937,0,336.20465,-1.474376,2.99876
883069947,0,336.30487,-1.403271,2.991751
883069957,0,336.39587,-1.326333,3.041922
883069967,0,336.47437,-1.237827,3.060452
883069978,0,336.5273,-1.174057,3.073784
883069988,0,336.56082,-1.102171,3.123978
883069998,0,336.58533,-1.021158,3.161513
883070008,0,336.63214,-0.964006,3.196934
883070018,0,336.72446,-0.901048,3.240938
883070028,0,336.83704,-0.827814,3.288881
883070038,0,336.95593,-0.782236,3.336021
883070048,0,337.07883,-0.751604,3.392287
883070058,0,337.19446,-0.726121,3.412927
883070068,0,337.29593,-0.736625,3.417489
883070078,0,337.38977,-0.753215,3.408381
883070088,0,337.47195,-0.808354,3.385587
883070098,0,337.53662,-0.887839,3.317979
883070108,0,337.5931,-0.958651,3.283245
883070119,0,337.63562,-1.042197,3.229596
883070129,0,337.6588,-1.14351,3.183659
883070139,0,337.66455,-1.240724,3.105657
883070149,0,337.6516,-1.34604,3.043536
883070159,0,337.64,-1.441706,3.016653
883070169,0,337.63547,-1.537355,2.990621
883070179,0,337.64246,-1.625449,2.982944
883070189,0,337.6449,-1.707457,2.983546
883070199,0,337.6486,-1.789201,2.981741
883070209,0,337.66235,-1.875422,2.972944
883070219,0,337.70856,-1.94318,2.994438
883070229,0,337.78934,-1.980107,3.010976
883070239,0,337.89923,-2.026285,3.081941
883070249,0,338.01108,-2.045682,3.11486
883070260,0,338.11563,-2.038311,3.142685
883070270,0,338.2226,-2.016405,3.17414
883070280,0,338.35278,-1.976145,3.216245
883070290,0,338.47385,-1.906257,3.235604
883070300,0,338.61688,-1.859877,3.300051
883070310,0,338.76755,-1.798721,3.319979
883070320,0,338.92798,-1.735041,3.332172
883070330,0,339.09317,-1.686473,3.321751
883070340,0,339.24112,-1.64687,3.300238
883070350,0,339.38177,-1.605127,3.236197
883070360,0,339.49872,-1.577165,3.170183
883070370,0,339.6257,-1.538999,3.115085
883070380,0,339.7152,-1.502477,3.068397
883070391,0,339.77316,-1.443465,3.038577
883070401,0,339.82147,-1.374672,3.021696
883070411,0,339.85236,-1.341412,2.975378
883070421,0,339.89417,-1.298503,2.930154
883070431,0,339.94528,-1.241337,2.907176
883070441,0,340.02264,-1.186007,2.919506
883070451,0,340.11215,-1.142391,2.930702
883070461,0,340.1976,-1.090089,2.913956
883070471,0,340.30542,-1.042819,2.93031
883070481,0,340.4217,-1.002442,2.97116
883070491,0,340.56683,-0.961497,3.004375
883070501,0,340.73764,-0.942214,3.032137
883070511,0,340.92123,-0.908638,3.082222
883070521,0,341.10696,-0.879512,3.121497
883070532,0,341.2993,-0.871983,3.162069
883070542,0,341.5254,-0.863561,3.205271
883070552,0,341.77014,-0.863474,3.235192
883070562,0,342.01135,-0.902373,3.256266
883070572,0,342.24066,-0.95183,3.270227
883070582,0,342.44955,-1.01403,3.256107
883070592,0,342.65,-1.115753,3.23788
883070602,0,342.8306,-1.216718,3.182759
883070612,0,342.98138,-1.323509,3.111914
883070622,0,343.0901,-1.43958,3.070345
883070632,0,343.15738,-1.540267,3.020916
883070642,0,343.20813,-1.629941,2.982596
883070652,0,343.25696,-1.721097,2.933115
883070662,0,343.30923,-1.786255,2.919158
883070673,0,343.35693,-1.844791,2.906208
883070683,0,343.39935,-1.908494,2.899894
883070693,0,343.44122,-1.942751,2.86522
883070703,0,343.49457,-1.987075,2.87139
883070713,0,343.56436,-1.99208,2.889575
883070723,0,343.64215,-1.998937,2.924125
883070733,0,343.71237,-1.997299,2.922856
883070743,0,343.76697,-1.969162,2.906563
883070753,0,343.7959,-1.908478,2.853974
883070763,0,343.81558,-1.852148,2.771831
883070773,0,343.81763,-1.774504,2.647251
883070783,0,343.78723,-1.699325,2.52376
883070793,0,343.70584,-1.626855,2.403124
883070803,0,343.5571,-1.556345,2.283491
883070814,0,343.36392,-1.506843,2.170442
883070824,0,343.14444,-1.470472,2.06698
883070834,0,342.90738,-1.438452,1.961811
883070844,0,342.64557,-1.419425,1.849064
883070854,0,342.37625,-1.403657,1.751253
883070864,0,342.11264,-1.378558,1.684266
883070874,0,341.86316,-1.355044,1.596031
883070884,0,341.62924,-1.333584,1.524479
883070894,0,341.38773,-1.303367,1.462765
883070904,0,341.1357,-1.274056,1.427826
883070914,0,340.8908,-1.24748,1.423013
883070924,0,340.66028,-1.219794,1.396765
883070934,0,340.45105,-1.192215,1.395371
883070945,0,340.25125,-1.15518,1.409899
883070955,0,340.06442,-1.118874,1.474261
883070965,0,339.90204,-1.072369,1.525439
883070975,0,339.774,-1.02738,1.582157
883070985,0,339.68637,-0.979719,1.64465
883070995,0,339.63318,-0.946546,1.749084
883071005,0,339.60226,-0.909933,1.821359
883071015,0,339.5883,-0.897886,1.881228
883071025,0,339.59958,-0.890377,1.951563
883071035,0,339.6392,-0.90635,2.021912
883071045,0,339.69537,-0.947361,2.088383
883071055,0,339.77997,-1.017184,2.186607
883071065,0,339.88034,-1.124131,2.301631
883071075,0,339.9816,-1.220641,2.407614
883071086,0,340.09637,-1.323031,2.532312
883071096,0,340.22455,-1.442441,2.632767
883071106,0,340.35223,-1.548541,2.711506
883071116,0,340.46915,-1.640458,2.758438
883071126,0,340.57916,-1.730364,2.80568
883071136,0,340.67444,-1.797143,2.841256
883071146,0,340.75296,-1.862288,2.859761
883071156,0,340.8227,-1.922383,2.888102
883071166,0,340.87274,-1.957801,2.893808
883071176,0,340.90836,-1.990939,2.931899
883071186,0,340.93945,-2.01554,2.955636
883071196,0,340.97968,-2.013963,2.998613
883071206,0,341.03253,-1.990157,3.053258
883071216,0,341.08667,-1.948194,3.097723
883071227,0,341.14163,-1.882257,3.145815
883071237,0,341.20877,-1.817226,3.213297
883071247,0,341.28964,-1.740956,3.258046
883071257,0,341.3769,-1.659371,3.300871
883071267,0,341.46716,-1.585186,3.331957
883071277,0,341.54858,-1.517977,3.366628
883071287,0,341.60767,-1.45061,3.371153
883071297,0,341.6461,-1.405656,3.348106
883071307,0,341.66943,-1.377889,3.314698
883071317,0,341.65497,-1.355051,3.261852
883071327,0,341.5878,-1.334221,3.185327
883071337,0,341.4738,-1.314575,3.137305
883071347,0,341.33105,-1.284373,3.09633
883071357,0,341.17685,-1.251594,3.056658
883071368,0,341.02582,-1.223566,3.021351
883071378,0,340.8828,-1.192462,3.002659
883071388,0,340.74072,-1.168933,2.976688
883071398,0,340.60724,-1.140839,2.971369
883071408,0,340.51364,-1.119409,2.99317
883071418,0,340.43933,-1.108974,2.951566
883071428,0,340.38107,-1.0819,2.995632
883071438,0,340.31912,-1.064858,3.038417
883071448,0,340.24695,-1.047096,3.052544
883071458,0,340.17715,-1.038208,3.10947
883071468,0,340.1211,-1.025168,3.16611
883071478,0,340.0756,-1.024299,3.219032
883071488,0,340.0293,-1.018493,3.249215
883071499,0,339.99817,-1.026989,3.299347
883071509,0,339.9654,-1.042282,3.339906
883071519,0,339.94345,-1.080823,3.372669
883071529,0,339.92072,-1.145279,3.368039
883071539,0,339.8738,-1.20975,3.346296
883071549,0,339.7992,-1.302502,3.324645
883071559,0,339.70612,-1.396627,3.289647
883071569,0,339.59653,-1.498049,3.253525
883071579,0,339.47153,-1.595239,3.196404
883071589,0,339.3427,-1.686472,3.15072
883071599,0,339.19968,-1.774105,3.08873
883071609,0,339.06003,-1.847485,3.03136
883071619,0,338.94623,-1.886445,3.029224
883071629,0,338.86783,-1.91643,3.030585
883071640,0,338.80634,-1.948262,3.003743
883071650,0,338.74756,-1.969914,2.971491
883071660,0,338.6829,-1.978205,2.978294
883071670,0,338.5856,-1.941646,3.001478
883071680,0,338.50616,-1.936828,3.053134
883071690,0,338.43893,-1.91563,3.072874
883071700,0,338.35696,-1.871708,3.088215
883071710,0,338.25644,-1.806479,3.116704
883071720,0,338.17654,-1.7251,3.234255
883071730,0,338.12106,-1.646611,3.255913
883071740,0,338.08566,-1.55886,3.303566
883071750,0,338.08688,-1.464065,3.398573
883071760,0,338.07376,-1.368348,3.420107
883071770,0,338.06265,-1.290517,3.447118
883071781,0,338.06787,-1.220426,3.457619
883071791,0,338.0824,-1.169392,3.476483
883071801,0,338.0952,-1.127006,3.448128
883071811,0,338.0956,-1.108071,3.400407
883071821,0,338.09705,-1.097481,3.334208
883071831,0,338.10742,-1.097526,3.299418
883071841,0,338.13287,-1.094351,3.267565
883071851,0,338.14163,-1.088642,3.219708
883071861,0,338.12552,-1.091592,3.154919
883071871,0,338.09924,-1.103258,3.117257
883071881,0,338.06393,-1.113868,3.084642
883071891,0,338.04135,-1.134302,3.048889
883071901,0,338.0206,-1.143831,3.05124
883071911,0,337.9991,-1.139707,3.079747
883071922,0,337.97314,-1.164756,3.070829
883071932,0,337.96887,-1.188163,3.065045
883071942,0,338.00003,-1.192854,3.097702
883071952,0,338.0561,-1.202573,3.156269
883071962,0,338.11075,-1.225823,3.178021
883071972,0,338.15704,-1.259382,3.197806
883071982,0,338.18906,-1.266859,3.219909
883071992,0,338.2183,-1.277922,3.263759
883072002,0,338.25714,-1.299804,3.294327
883072012,0,338.29272,-1.328957,3.30522
883072022,0,338.31174,-1.371794,3.310149
883072032,0,338.29956,-1.428716,3.300099
883072042,0,338.27863,-1.494504,3.251373
883072053,0,338.25458,-1.569085,3.19692
883072063,0,338.2379,-1.642816,3.148729
883072073,0,338.20563,-1.719447,3.082787
883072083,0,338.14642,-1.789436,3.00758
883072093,0,338.0688,-1.842215,2.956158
883072103,0,337.98856,-1.886237,2.902486
