spl07,goermicro,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),pressure[millibar]
883069379,3,981.0
883069479,3,981.0
883069579,3,981.0
883069679,3,981.0
883069779,3,981.0
883069879,3,981.0
883069979,3,981.0
883070079,3,981.0
883070179,3,981.0
883070279,3,981.0
883070379,3,981.0
883070479,3,981.0
883070579,3,981.0
883070679,3,981.0
883070779,3,981.0
883070879,3,981.0
883070979,3,981.0
883071079,3,981.0
883071179,3,981.0
883071279,3,981.00995
883071379,3,981.0
883071479,3,981.00995
883071579,3,981.0
883071679,3,981.0
883071779,3,981.0
883071879,3,981.0
883071979,3,981.0
883072079,3,981.0
883072179,3,981.0
883072279,3,981.00995
883072379,3,981.01996
883072479,3,981.0
883072579,3,981.0
883072679,3,980.99
883072779,3,981.19
883072879,3,981.45996
883072979,3,980.98
883073079,3,980.99
883073179,3,980.99
883073279,3,980.99
883073379,3,980.99
883073479,3,981.0
883073579,3,981.0
883073679,3,981.0
883073779,3,981.0
883073879,3,981.0
883073979,3,981.0
883074079,3,981.0
883074179,3,981.0
883074279,3,981.0
883074379,3,981.0
883074479,3,981.0
883074579,3,981.00995
883074679,3,981.0
883074779,3,981.0
883074879,3,981.0
883074979,3,981.0
883075079,3,981.00995
883075179,3,981.00995
883075279,3,981.00995
883075379,3,981.00995
883075479,3,981.0
883075579,3,981.0
883075679,3,981.0
883075779,3,981.0
883075879,3,981.0
883075979,3,981.0
883076079,3,981.0
883076179,3,981.0
883076279,3,981.0
883076379,3,981.0
883076479,3,981.0
883076579,3,981.0
883076679,3,981.0
883076779,3,981.00995
883076879,3,981.00995
883076979,3,981.00995
883077079,3,981.00995
883077179,3,981.00995
883077279,3,981.00995
883077379,3,981.00995
883077479,3,981.00995
883077579,3,981.00995
883077679,3,981.00995
883077779,3,981.00995
883077879,3,981.00995
883077979,3,981.00995
883078079,3,981.00995
883078179,3,981.00995
883078279,3,981.00995
883078379,3,981.00995
883078479,3,981.01996
883078579,3,981.00995
883078679,3,981.01996
883078779,3,981.00995
883078879,3,981.00995
883078979,3,981.00995
883079079,3,981.00995
883079179,3,980.99
883079279,3,981.0
883079379,3,981.00995
883079479,3,981.00995
883079579,3,981.00995
883079679,3,981.00995
883079779,3,981.00995
883079879,3,981.00995
883079979,3,981.00995
