icm4n607_acc,iven_sense,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2013220106,3,-0.80895007,3.4290001,9.33405,1781122691682
2013220116,3,-0.79395,3.4080002,9.31005,1781122691691
2013220126,3,-0.79200006,3.38595,9.250051,1781122691703
2013220136,3,-0.81405,3.39105,9.22395,1781122691713
2013220146,3,-0.82500005,3.4120502,9.196951,1781122691723
2013220156,3,-0.84195006,3.4510503,9.20505,1781122691733
2013220166,3,-0.81795,3.4699502,9.231001,1781122691743
2013220176,3,-0.79905003,3.4360502,9.25695,1781122691753
2013220186,3,-0.77805007,3.4000502,9.26895,1781122691763
2013220196,3,-0.79695004,3.38805,9.267,1781122691773
2013220206,3,-0.81405,3.38595,9.250051,1781122691782
2013220216,3,-0.83505005,3.3760502,9.24495,1781122691797
2013220226,3,-0.85200006,3.3960001,9.255,1781122691803
2013220236,3,-0.84705,3.42195,9.23295,1781122691812
2013220247,3,-0.85695004,3.4390502,9.255,1781122691822
2013220257,3,-0.88095003,3.4410002,9.291,1781122691833
2013220267,3,-0.90705,3.4390502,9.315001,1781122691843
2013220277,3,-0.924,3.417,9.331051,1781122691854
2013220287,3,-0.91605,3.3930001,9.324,1781122691863
2013220297,3,-0.90705,3.3760502,9.303,1781122691875
2013220307,3,-0.91200006,3.3739502,9.26895,1781122691884
2013220317,3,-0.897,3.3690002,9.250051,1781122691894
2013220327,3,-0.90000004,3.39105,9.25695,1781122691904
2013220337,3,-0.90195006,3.4000502,9.288,1781122691915
2013220347,3,-0.933,3.4000502,9.315001,1781122691924
2013220357,3,-0.933,3.3979502,9.35805,1781122691934
2013220367,3,-0.924,3.4080002,9.36495,1781122691943
2013220377,3,-0.93105006,3.4000502,9.327001,1781122691954
2013220388,3,-0.90705,3.4120502,9.26895,1781122691965
2013220398,3,-0.90000004,3.4150503,9.231001,1781122691978
2013220408,3,-0.90900004,3.4339502,9.247951,1781122691985
2013220418,3,-0.90900004,3.4000502,9.292951,1781122691995
2013220428,3,-0.90900004,3.3690002,9.327001,1781122692005
2013220438,3,-0.90195006,3.34995,9.327001,1781122692015
2013220448,3,-0.87600005,3.3289502,9.304951,1781122692025
2013220458,3,-0.87795,3.3450003,9.259951,1781122692035
2013220468,3,-0.8880001,3.348,9.264001,1781122692045
2013220478,3,-0.86895007,3.3360002,9.255,1781122692056
2013220488,3,-0.89295006,3.31395,9.271951,1781122692065
2013220498,3,-0.87600005,3.3090003,9.279,1781122692077
2013220508,3,-0.89505005,3.31695,9.31005,1781122692087
2013220519,3,-0.88500005,3.3070502,9.304951,1781122692096
2013220529,3,-0.88095003,3.3070502,9.3,1781122692107
2013220539,3,-0.88305,3.3259501,9.264001,1781122692116
2013220549,3,-0.87795,3.3330002,9.23295,1781122692127
2013220559,3,-0.873,3.3640501,9.20205,1781122692137
2013220569,3,-0.87795,3.4000502,9.19995,1781122692147
2013220579,3,-0.87600005,3.38595,9.22605,1781122692156
2013220589,3,-0.87795,3.38595,9.295951,1781122692167
2013220599,3,-0.88500005,3.38595,9.31005,1781122692176
2013220609,3,-0.90195006,3.3930001,9.32205,1781122692187
2013220619,3,-0.91395,3.3760502,9.360001,1781122692197
2013220629,3,-0.92805004,3.3670502,9.387,1781122692207
2013220639,3,-0.91905004,3.357,9.36495,1781122692217
2013220649,3,-0.92100006,3.35205,9.34605,1781122692226
2013220660,3,-0.92100006,3.348,9.351001,1781122692237
2013220670,3,-0.94305,3.34995,9.360001,1781122692247
2013220680,3,-0.96000004,3.3600001,9.348001,1781122692258
2013220690,3,-0.957,3.3790503,9.35505,1781122692268
2013220700,3,-0.93600005,3.381,9.372001,1781122692278
2013220710,3,-0.91200006,3.34995,9.384001,1781122692288
2013220720,3,-0.88500005,3.3360002,9.396001,1781122692299
2013220730,3,-0.86595005,3.3409503,9.394051,1781122692309
2013220740,3,-0.87105006,3.31395,9.387,1781122692319
2013220750,3,-0.87105006,3.3070502,9.360001,1781122692329
2013220760,3,-0.88500005,3.3000002,9.33405,1781122692339
2013220770,3,-0.88500005,3.3070502,9.30795,1781122692349
2013220780,3,-0.87105006,3.3049502,9.280951,1781122692359
2013220791,3,-0.86100006,3.3310502,9.255,1781122692369
2013220801,3,-0.86895007,3.3690002,9.23295,1781122692379
2013220811,3,-0.88305,3.3760502,9.20205,1781122692389
2013220821,3,-0.88995004,3.348,9.17595,1781122692399
2013220831,3,-0.89505005,3.3240001,9.17595,1781122692409
2013220841,3,-0.88095003,3.2929502,9.17805,1781122692419
2013220851,3,-0.88095003,3.27795,9.15705,1781122692429
2013220861,3,-0.86595005,3.288,9.160951,1781122692438
2013220871,3,-0.873,3.2929502,9.097051,1781122692449
2013220881,3,-0.86895007,3.3049502,9.007951,1781122692458
2013220891,3,-0.85200006,3.3090003,8.920051,1781122692469
2013220901,3,-0.83505005,3.3000002,8.842951,1781122692479
2013220911,3,-0.79200006,3.2970002,8.72805,1781122692489
2013220921,3,-0.76095,3.3120003,8.623051,1781122692499
2013220932,3,-0.74205005,3.35505,8.472,1781122692509
2013220942,3,-0.70605004,3.3979502,8.34,1781122692518
2013220952,3,-0.70605004,3.4309502,8.20905,1781122692529
2013220962,3,-0.648,3.48705,8.08905,1781122692539
2013220972,3,-0.555,3.5320501,8.002951,1781122692548
2013220982,3,-0.41805002,3.5419502,7.9260006,1781122692560
2013220992,3,-0.24105,3.6400502,7.8490505,1781122692569
2013221002,3,-0.093,3.7549503,7.76805,1781122692580
2013221012,3,-0.028050002,3.8460002,7.7820005,1781122692590
2013221022,3,-0.0139500005,3.72795,7.8610506,1781122692601
2013221032,3,-0.102000006,3.5779502,7.9879503,1781122692610
2013221042,3,-0.27195,3.39105,8.175,1781122692620
2013221052,3,-0.58095,3.147,8.496,1781122692630
2013221063,3,-1.04595,3.01005,8.805,1781122692640
2013221073,3,-1.4929501,3.3289502,9.18105,1781122692650
2013221083,3,-1.8379501,3.522,9.769951,1781122692660
2013221093,3,-2.04405,3.4290001,10.45695,1781122692671
2013221103,3,-2.19,3.1320002,10.61505,1781122692681
2013221113,3,-2.32695,2.907,10.549951,1781122692691
2013221123,3,-2.49705,2.77305,10.61205,1781122692701
2013221133,3,-2.7580502,2.673,10.9789505,1781122692711
2013221143,3,-3.07395,2.6560502,11.491051,1781122692721
2013221153,3,-3.3630002,2.59395,12.1039505,1781122692731
2013221163,3,-3.6100502,2.7559502,12.339001,1781122692741
2013221173,3,-3.8089502,2.7250502,12.56595,1781122692751
2013221183,3,-4.0150504,2.6839502,12.961051,1781122692761
2013221193,3,-4.1130004,2.505,13.64595,1781122692772
2013221204,3,-4.19205,2.94105,13.81305,1781122692782
2013221214,3,-4.26405,3.5419502,13.840051,1781122692792
2013221224,3,-4.29705,4.056,13.63395,1781122692802
2013221234,3,-4.17495,4.3770003,12.8560505,1781122692811
2013221244,3,-4.35195,4.629,11.979001,1781122692822
2013221254,3,-4.1340003,4.1950502,11.886001,1781122692832
2013221264,3,-4.1509504,4.1470504,11.509951,1781122692842
2013221274,3,-4.5870004,3.8719501,10.83495,1781122692852
2013221284,3,-4.584,3.9510002,10.561951,1781122692862
2013221294,3,-4.42395,4.011,10.143001,1781122692872
2013221304,3,-4.13205,3.9610503,10.011001,1781122692882
2013221314,3,-3.801,3.9580503,9.78195,1781122692892
2013221324,3,-3.519,3.93705,9.42195,1781122692902
2013221334,3,-3.25605,3.96495,9.292951,1781122692912
2013221345,3,-3.2010002,3.9940503,9.15705,1781122692923
2013221355,3,-3.1000502,3.9180002,8.920051,1781122692933
2013221365,3,-3.0570002,4.0279503,8.69205,1781122692942
2013221375,3,-3.1600502,4.1520004,8.27595,1781122692953
2013221385,3,-3.2359502,4.28595,7.66305,1781122692963
2013221395,3,-3.1330502,4.293,7.143,1781122692973
2013221405,3,-2.90595,4.23105,6.8890505,1781122692982
2013221450,3,-2.4769502,3.62505,6.0990005,1781122693027
2013221460,3,-2.4820502,3.7450502,5.9599504,1781122693037
2013221470,3,-2.4420002,3.89595,5.8120503,1781122693047
2013221481,3,-2.331,3.8860502,5.5339503,1781122693057
2013221491,3,-2.1019502,3.72795,5.1660004,1781122693066
2013221501,3,-1.9099501,3.4339502,4.689,1781122693078
2013221511,3,-1.7380501,3.1420503,4.32495,1781122693088
2013221521,3,-1.52505,2.811,4.2340503,1781122693098
