icm4n607_gyro,iven_sense,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2013220186,3,5.5E-4,0.013612499,-0.00275
2013220196,3,5.5E-4,0.01045,-0.0081124995
2013220206,3,-0.0037125,0.00825,-0.010175
2013220216,3,-0.0122375,0.00935,-0.0144375
2013220226,3,-0.0196625,0.01045,-0.0177375
2013220236,3,-0.0281875,0.00935,-0.0209
2013220247,3,-0.03355,0.013612499,-0.0229625
2013220257,3,-0.032449998,0.014712499,-0.022
2013220267,3,-0.0259875,0.0125124995,-0.0198
2013220277,3,-0.0165,0.01045,-0.0177375
2013220287,3,-0.007975,0.00715,-0.0166375
2013220297,3,-0.0015125,0.0050875,-0.0177375
2013220307,3,-0.0015125,0.00715,-0.0198
2013220317,3,-0.005775,0.00935,-0.0229625
2013220327,3,-0.0100375,0.0125124995,-0.0262625
2013220337,3,-0.0154,0.014712499,-0.0251625
2013220347,3,-0.0174625,0.013612499,-0.0229625
2013220357,3,-0.0154,0.0061875,-0.0198
2013220367,3,-0.0165,-0.0012375,-0.0187
2013220377,3,-0.0143,-0.0108624995,-0.0187
2013220388,3,-0.0154,-0.015125,-0.0177375
2013220398,3,-0.0165,-0.0119624995,-0.0177375
2013220408,3,-0.0174625,-0.0055,-0.0144375
2013220418,3,-0.0154,-0.0023375,-0.0081124995
2013220428,3,-0.0122375,-0.0045375,-0.00275
2013220438,3,-0.0100375,-0.0066,4.125E-4
2013220448,3,-0.007975,-0.0108624995,-0.00275
2013220458,3,-0.0089375,-0.0119624995,-0.0059125
2013220468,3,-0.0132,-0.0088,-0.0092124995
2013220478,3,-0.0207625,-0.0055,-0.012375
2013220488,3,-0.0259875,-2.75E-4,-0.0144375
2013220498,3,-0.0281875,0.001925,-0.0155375
2013220508,3,-0.0270875,0.001925,-0.0144375
2013220519,3,-0.0207625,-0.0012375,-0.0155375
2013220529,3,-0.0100375,-0.0045375,-0.0166375
2013220539,3,-0.004675,-0.0088,-0.0187
2013220549,3,-0.004675,-0.0077,-0.022
2013220559,3,-0.007975,-0.0012375,-0.0209
2013220569,3,-0.0143,0.01045,-0.0177375
2013220579,3,-0.021724999,0.0210375,-0.012375
2013220589,3,-0.0270875,0.0253,-0.0070125
2013220599,3,-0.0281875,0.0221375,-0.00275
2013220609,3,-0.0259875,0.018975,-6.875E-4
2013220619,3,-0.0259875,0.0114124995,0.003575
2013220629,3,-0.0270875,8.25E-4,0.003575
2013220639,3,-0.0292875,-0.0066,0.0015125
2013220649,3,-0.03135,-0.0097624995,4.125E-4
2013220660,3,-0.03355,-0.0097624995,-0.00275
2013220670,3,-0.032449998,-0.0119624995,-0.0059125
2013220680,3,-0.032449998,-0.0119624995,-0.0092124995
2013220690,3,-0.03355,-0.014025,-0.0070125
2013220700,3,-0.03355,-0.014025,-0.00385
2013220710,3,-0.032449998,-0.016224999,-0.00275
2013220720,3,-0.0281875,-0.0193875,-0.00385
2013220730,3,-0.021724999,-0.02255,-0.0059125
2013220740,3,-0.0174625,-0.02365,-0.0059125
2013220750,3,-0.007975,-0.02475,-0.00385
2013220760,3,-0.0015125,-0.02255,-0.00385
2013220770,3,0.00385,-0.0193875,-0.00385
2013220780,3,0.0081124995,-0.0119624995,-0.00495
2013220791,3,0.010175,-0.0055,-0.0070125
2013220801,3,0.009075,0.001925,-0.0081124995
2013220811,3,0.0081124995,0.01045,-0.00275
2013220821,3,0.0059125,0.0199375,0.0015125
2013220831,3,0.0081124995,0.0275,0.003575
2013220841,3,0.0059125,0.0306625,0.005775
2013220851,3,0.0048125,0.0284625,0.004675
2013220861,3,0.00165,0.0242,0.003575
2013220871,3,-0.0037125,0.017875,0.0026125
2013220881,3,-0.007975,0.013612499,0.003575
2013220891,3,-0.0132,0.014712499,0.006875
2013220901,3,-0.021724999,0.0210375,0.0100375
2013220911,3,-0.03025,0.0295625,0.0111375
2013220921,3,-0.0367125,0.0455125,0.0078375
2013220932,3,-0.042075,0.067925,0.006875
2013220942,3,-0.0484,0.100925,0.0089375
2013220952,3,-0.0537625,0.14355,0.0143
2013220962,3,-0.0589875,0.1947,0.0259875
2013220972,3,-0.06325,0.25547498,0.039875
2013220982,3,-0.06435,0.319275,0.0462
2013220992,3,-0.0622875,0.388575,0.0451
2013221002,3,-0.054725,0.4653,0.0473
2013221012,3,-0.0504625,0.54725,0.0515625
2013221022,3,-0.0611875,0.6293375,0.070675
2013221032,3,-0.089925,0.7038625,0.091025
2013221042,3,-0.13365,0.7678,0.1027125
2013221052,3,-0.18053749,0.811525,0.09735
2013221063,3,-0.225225,0.8317375,0.0664125
2013221073,3,-0.259325,0.845625,0.0493625
2013221083,3,-0.3040125,0.8306375,0.06545
2013221093,3,-0.36905,0.7678,0.087725
2013221103,3,-0.43408749,0.6901125,0.09955
2013221113,3,-0.4670875,0.641025,0.09955
2013221123,3,-0.459525,0.623975,0.09735
2013221133,3,-0.409475,0.6122875,0.0952875
2013221143,3,-0.3243625,0.5856125,0.091025
2013221153,3,-0.2294875,0.5259375,0.089925
2013221163,3,-0.1293875,0.4673625,0.104775
2013221173,3,-0.0259875,0.420475,0.1293875
2013221183,3,0.0847,0.3746875,0.1601875
2013221193,3,0.195525,0.2853125,0.1804
2013221204,3,0.3020875,0.152075,0.2145
2013221214,3,0.430925,0.01045,0.2795375
2013221224,3,0.57475,-0.12595,0.376475
2013221234,3,0.6994625,-0.1876875,0.4882625
2013221244,3,0.784575,-0.1205875,0.6150375
2013221254,3,0.8325625,-0.048125,0.711975
2013221264,3,0.868725,8.25E-4,0.7577625
2013221274,3,0.872025,0.0477125,0.8463125
2013221284,3,0.8646,0.0999625,0.9560375
2013221294,3,0.868725,0.1744875,1.0604
2013221304,3,0.88577497,0.2629,1.134925
2013221314,3,0.9156125,0.34485,1.184975
2013221324,3,0.95507497,0.4301,1.2073874
2013221334,3,0.9945375,0.4983,1.220175
2013221345,3,1.022175,0.5185125,1.238325
2013221355,3,1.0445875,0.4983,1.2478125
2013221365,3,1.0659,0.4439875,1.2585375
2013221375,3,1.0935374,0.3865125,1.27875
2013221385,3,1.11375,0.3331625,1.3096875
2013221395,3,1.11485,0.28105,1.3523124
2013221405,3,1.07965,0.221375,1.406625
2013221501,3,0.5374875,-0.1546875,1.8731625
2013221511,3,0.501325,-0.115225,1.9647375
2013221521,3,0.4544375,-0.084425,2.029775
2013221531,3,0.400125,-0.068475,2.062775
2013221541,3,0.33825,-0.067375,2.0744624
2013221551,3,0.2531375,-0.0961125,2.0766625
2013221561,3,0.1486375,-0.1131625,2.0574124
2013221571,3,0.0144375,-0.1131625,2.0266125
2013221581,3,-0.158125,-0.0875875,2.0042
2013221591,3,-0.3711125,-0.033275,1.9903125
2013221601,3,-0.6194375,8.25E-4,1.98715
2013221612,3,-0.598125,-0.1749,1.995675
2013221622,3,-0.749375,-0.015125,2.0010376
2013221632,3,-1.457775,0.8349,1.9839875
2013221642,3,-2.5091,2.13565,1.9306375
2013221652,3,-2.8925874,2.345475,1.8464875
2013221662,3,-3.092925,2.834425,1.7122875
2013221672,3,-3.1536999,3.04425,1.5428874
2013221682,3,-3.06845,2.748075,1.404425
2013221692,3,-2.7828624,2.1473374,1.31395
2013221702,3,-2.333375,1.434675,1.2733876
2013221712,3,-1.8720624,0.778525,1.268025
2013221722,3,-1.5558125,0.4087875,1.269125
2013221732,3,-1.439625,0.44935,1.268025
2013221742,3,-1.457775,0.7112875,1.2606
2013221753,3,-1.488575,0.91905,1.252075
2013221763,3,-1.4652,0.94888747,1.24465
2013221773,3,-1.3745875,0.8380625,1.2563375
2013221783,3,-1.239425,0.6560125,1.2744875
2013221793,3,-1.0880375,0.490875,1.288375
2013221803,3,-0.94325,0.4035625,1.2978625
2013221813,3,-0.8196375,0.3779875,1.2969
2013221823,3,-0.697125,0.3587375,1.2819124
2013221833,3,-0.5671875,0.3183125,1.253175
2013221843,3,-0.43505,0.2682625,1.2276
2013221853,3,-0.30195,0.2299,1.204225
2013221863,3,-0.190025,0.1670625,1.200925
2013221873,3,-0.089925,0.0935,1.1881375
2013221884,3,0.012375,0.0562375,1.1594
2013221894,3,0.1082125,0.032725,1.1306624
2013221904,3,0.1901625,0.0221375,1.0922999
2013221914,3,0.2668875,0.032725,1.04225
2013221924,3,0.350075,0.0647625,0.99
2013221934,3,0.430925,0.1159125,0.9367875
2013221944,3,0.50655,0.1819125,0.8856375
2013221954,3,0.568425,0.269225,0.83985
2013221964,3,0.6120125,0.35021248,0.8036875
2013221974,3,0.6375875,0.42473748,0.77055
2013221984,3,0.64515,0.4994,0.7525375
2013221994,3,0.636625,0.5600375,0.74085
2013222004,3,0.6205375,0.5963375,0.732325
2013222014,3,0.594,0.623975,0.7269625
2013222025,3,0.5577,0.6367625,0.7216
2013222035,3,0.51301247,0.6389625,0.7205
2013222045,3,0.466125,0.61861247,0.7227
2013222055,3,0.41387498,0.5889125,0.7280625
2013222065,3,0.348975,0.57928747,0.731225
2013222075,3,0.2754125,0.5952375,0.7247625
2013222085,3,0.211475,0.6017,0.715275
2013222095,3,0.15619999,0.5878125,0.6843375
2013222105,3,0.1263625,0.5600375,0.63965
2013222115,3,0.121,0.5270375,0.5852
2013222125,3,0.1401125,0.5005,0.526625
2013222135,3,0.17215,0.48235,0.46915
2013222145,3,0.20625,0.4972,0.4126375
2013222155,3,0.23815,0.538725,0.3636875
2013222166,3,0.27225,0.5963375,0.3157
2013222176,3,0.3020875,0.6623375,0.274175
2013222186,3,0.3265625,0.72833747,0.243375
2013222196,3,0.3425125,0.7550125,0.226325
2013222206,3,0.346775,0.7486875,0.2156
2013222216,3,0.3350875,0.7145875,0.2135375
2013222226,3,0.30525,0.658075,0.2102375
2013222236,3,0.264825,0.5941375,0.2124375
2013222246,3,0.2179375,0.5429875,0.2156
2013222256,3,0.1731125,0.4983,0.2028125
2013222266,3,0.1423125,0.44288749,0.1804
2013222276,3,0.1241625,0.38005,0.1590875
2013222286,3,0.115637496,0.320375,0.1293875
2013222297,3,0.117837496,0.2745875,0.1038125
2013222307,3,0.1252625,0.24695,0.091025
2013222317,3,0.1412125,0.235125,0.0856625
2013222327,3,0.15619999,0.24695,0.09955
2013222337,3,0.16995,0.2756875,0.1442375
2013222347,3,0.1838375,0.3257375,0.21779999
2013222357,3,0.1892,0.3832125,0.30827498
2013222367,3,0.177375,0.429,0.3955875
2013222377,3,0.145475,0.454575,0.46695
2013222387,3,0.0985875,0.4536125,0.5181
2013222397,3,0.044275,0.421575,0.544775
2013222407,3,-0.0089375,0.3672625,0.5405125
2013222417,3,-0.056925,0.2959,0.50105
2013222427,3,-0.1016125,0.21285,0.444675
2013222438,3,-0.13145,0.124437496,0.36905
2013222448,3,-0.1527625,0.0391875,0.2816
2013222458,3,-0.16665,-0.0449625,0.1964875
2013222468,3,-0.1720125,-0.1227875,0.125125
2013222478,3,-0.1709125,-0.186725,0.054725
2013222488,3,-0.16665,-0.2410375,-0.0059125
2013222498,3,-0.155925,-0.287925,-0.062425
2013222508,3,-0.1357125,-0.3218875,-0.1199
2013222518,3,-0.1038125,-0.337975,-0.17847499
2013222528,3,-0.0600875,-0.3400375,-0.2360875
2013222538,3,-0.006875,-0.3144625,-0.3020875
2013222548,3,0.046475,-0.267575,-0.3777125
2013222558,3,0.0985875,-0.2121625,-0.4598
2013222569,3,0.146575,-0.151525,-0.5407875
2013222579,3,0.1923625,-0.09185,-0.618475
2013222589,3,0.228525,-0.0407,-0.6887375
2013222599,3,0.2594625,-2.75E-4,-0.74635
2013222609,3,0.2828375,0.016775,-0.788975
2013222619,3,0.30415,0.0061875,-0.81345
2013222629,3,0.3180375,-0.0279125,-0.821975
2013222639,3,0.31913748,-0.0716375,-0.802725
2013222649,3,0.3095125,-0.1194875,-0.7602375
2013222659,3,0.2935625,-0.1654125,-0.69519997
2013222669,3,0.2743125,-0.2132625,-0.6067875
2013222679,3,0.2520375,-0.2558875,-0.5119125
2013222689,3,0.2264625,-0.2921875,-0.4129125
2013222699,3,0.1986875,-0.32945,-0.31707498
2013222710,3,0.1656875,-0.36781248,-0.2371875
2013222720,3,0.128425,-0.40713748,-0.17105
2013222730,3,0.088,-0.4466,-0.121
2013222740,3,0.0422125,-0.4818,-0.0891
2013222750,3,0.0081124995,-0.5126,-0.07095
2013222760,3,-0.0122375,-0.5446375,-0.060225
2013222770,3,-0.022824999,-0.5819,-0.0496375
2013222780,3,-0.03135,-0.621225,-0.029424999
2013222790,3,-0.0452375,-0.6595875,0.0143
2013222800,3,-0.0708125,-0.6873625,0.0792
2013222810,3,-0.105875,-0.7055125,0.1496
2013222820,3,-0.1379125,-0.7299875,0.21133749
2013222830,3,-0.1612875,-0.7726125,0.241175
2013222841,3,-0.18259999,-0.8119375,0.2454375
2013222851,3,-0.2039125,-0.840675,0.2167
2013222861,3,-0.210375,-0.86625,0.1601875
2013222871,3,-0.19965,-0.8844,0.0867625
2013222881,3,-0.18053749,-0.89402497,0.005775
2013222891,3,-0.16555,-0.8897625,-0.080575
2013222901,3,-0.1634875,-0.8812375,-0.161425
2013222911,3,-0.1837,-0.861025,-0.24035
2013222921,3,-0.210375,-0.857725,-0.313775
2013222931,3,-0.2156,-0.8812375,-0.3905
2013222941,3,-0.18259999,-0.9323875,-0.468325
2013222951,3,-0.117699996,-0.9802375,-0.5407875
2013222961,3,-0.0259875,-1.011175,-0.601425
2013222971,3,0.0719125,-1.0080125,-0.6505125
2013222982,3,0.1678875,-0.962225,-0.67925
2013222992,3,0.2574,-0.8875625,-0.6824125
2013223002,3,0.3425125,-0.791725,-0.6642625
2013223012,3,0.4203375,-0.682,-0.634425
2013223022,3,0.4852375,-0.5605875,-0.5897375
2013223032,3,0.5289625,-0.438075,-0.54395
2013223042,3,0.54821247,-0.3166625,-0.502425
2013223052,3,0.54065,-0.20693749,-0.4725875
2013223062,3,0.5044875,-0.117425,-0.467225
2013223072,3,0.451275,-0.0556875,-0.482075
2013223082,3,0.3916,-0.017324999,-0.5215375
2013223092,3,0.3234,0.0061875,-0.5790125
2013223102,3,0.2541,0.017875,-0.6483125
2013223112,3,0.1881,0.0275,-0.7261375
2013223123,3,0.117837496,0.0402875,-0.7942
2013223133,3,0.045375,0.0583,-0.857175
2013223143,3,-0.03025,0.0796125,-0.903925
2013223153,3,-0.106975,0.1051875,-0.9370625
2013223163,3,-0.1868625,0.135025,-0.94875
2013223173,3,-0.26785,0.1648625,-0.9359625
2013223183,3,-0.3498,0.18727499,-0.9018625
2013223193,3,-0.43408749,0.1989625,-0.84755
2013223203,3,-0.5225,0.1947,-0.7739875
2013223213,3,-0.6087125,0.17985,-0.684475
2013223223,3,-0.6865375,0.15853749,-0.5801125
2013223233,3,-0.7514375,0.1329625,-0.4714875
2013223243,3,-0.7887,0.1062875,-0.3575
2013223254,3,-0.798325,0.0946,-0.2435125
2013223264,3,-0.782375,0.0988625,-0.128425
2013223274,3,-0.7462125,0.120175,-0.010175
