stk3a5x_als,sensortek,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
2013220082,3,0.0
2013220082,3,0.0
2013220221,3,0.0
2013220231,3,0.0
2013220241,3,0.0
2013220251,3,0.0
2013220261,3,0.0
2013220271,3,0.0
2013220281,3,0.0
2013220291,3,0.0
2013220301,3,0.0
2013220311,3,0.0
2013220321,3,0.0
2013220331,3,0.0
2013220341,3,0.0
2013220351,3,0.0
2013220361,3,0.0
2013220371,3,0.0
2013220381,3,0.0
2013220391,3,0.0
2013220401,3,0.0
2013220411,3,0.0
2013220421,3,0.0
2013220431,3,0.0
2013220441,3,0.0
2013220451,3,0.0
2013220461,3,0.0
2013220471,3,0.0
2013220481,3,0.0
2013220491,3,0.0
2013220501,3,0.0
2013220511,3,0.0
2013220521,3,0.0
2013220531,3,0.0
2013220541,3,0.0
2013220551,3,0.0
2013220561,3,0.0
2013220571,3,0.0
2013220581,3,0.0
2013220591,3,0.0
2013220601,3,0.0
2013220611,3,0.0
2013220621,3,0.0
2013220631,3,0.0
2013220641,3,0.0
2013220651,3,0.0
2013220661,3,0.0
2013220671,3,0.0
2013220681,3,0.0
2013220691,3,0.0
2013220701,3,0.0
2013220711,3,0.0
2013220721,3,0.0
2013220731,3,0.0
2013220741,3,0.0
2013220751,3,0.0
2013220761,3,0.0
2013220771,3,0.0
2013220781,3,0.0
2013220791,3,0.0
2013220801,3,0.0
2013220811,3,0.0
2013220821,3,0.0
2013220831,3,0.0
2013220841,3,0.0
2013220851,3,0.0
2013220861,3,0.0
2013220871,3,0.0
2013220881,3,0.0
2013220891,3,0.0
2013220901,3,0.0
2013220911,3,0.0
2013220921,3,0.0
2013220931,3,0.0
2013220941,3,0.0
2013220951,3,0.0
2013220961,3,0.0
2013220971,3,0.0
2013220981,3,0.0
2013220991,3,0.0
2013221001,3,0.0
2013221011,3,0.0
2013221021,3,0.0
2013221031,3,0.0
2013221041,3,0.0
2013221051,3,0.0
2013221061,3,0.0
2013221071,3,0.0
2013221081,3,0.0
2013221091,3,0.0
2013221101,3,0.0
2013221111,3,0.0
2013221121,3,0.0
2013221131,3,0.0
2013221141,3,0.0
2013221151,3,0.0
2013221161,3,0.0
2013221171,3,0.0
2013221181,3,0.0
2013221191,3,0.0
2013221201,3,0.0
2013221211,3,0.0
2013221221,3,0.0
2013221231,3,0.0
2013221241,3,0.0
2013221251,3,0.0
2013221261,3,0.0
2013221271,3,0.0
2013221281,3,0.0
2013221291,3,0.0
2013221301,3,0.0
2013221311,3,0.0
2013221321,3,0.0
