location due to GPS and WiFi+Cell,2026-06-10_23-18-08.487_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2013220373,network,55.5353755,37.5129253,1,104.1,1,177.70001220703125,0,0.0,0,0.0,1781122689246,2013217889000000
2013220446,network,55.5353755,37.5129253,1,121.978,1,177.70001220703125,0,0.0,0,0.0,1781122692017,2013220443069604
2013220462,network,55.5353755,37.5129253,1,122.09,1,177.70001220703125,0,0.0,0,0.0,1781122692033,2013220459501604
2013220938,gps,55.53633333333334,37.511086666666664,1,4.7,1,206.0,1,77.93,1,1.5029889,1781122692221,2013220868278835
2013221424,gps,55.53632833333333,37.511125,1,2.7,1,199.0,1,110.46,1,1.0335622,1781122692721,2013221367106835
2013222209,gps,55.53630166666667,37.511134999999996,1,2.2,1,187.1,1,104.91,1,0.84826225,1781122693500,2013222151654143
2013222708,gps,55.5363,37.51114166666667,1,2.0,1,184.29999999999998,1,107.22,1,0.5687681,1781122694000,2013222645820912
2013223206,gps,55.53630166666667,37.51114,1,1.9,1,183.0,1,144.92,1,0.5847244,1781122694500,2013223154016297
2013223718,gps,55.536303333333336,37.511136666666665,1,1.8,1,182.1,1,147.04,1,0.5219283,1781122695000,2013223651418220
2013224715,gps,55.53629666666667,37.51115,1,1.8,1,181.9,1,130.19,1,0.48795667,1781122696000,2013224653673835
2013225718,gps,55.53628666666667,37.511163333333336,1,1.8,1,181.6,1,66.07,1,0.66708,1781122697000,2013225652787451
2013226720,gps,55.536278333333335,37.511175,1,1.7,1,181.29999999999998,1,137.82,1,0.52656084,1781122698000,2013226653423682
2013227715,gps,55.53626666666667,37.511175,1,1.6,1,181.1,1,170.34,1,0.75612694,1781122699000,2013227653537528
2013228714,gps,55.53625666666667,37.511176666666664,1,1.6,1,180.9,1,163.3,1,0.6161225,1781122700000,2013228651533528
2013229715,gps,55.53624833333333,37.511176666666664,1,1.6,1,180.79999999999998,1,163.67,1,0.6691389,1781122701000,2013229652314528
2013230709,gps,55.53623833333333,37.51118333333333,1,1.5,1,180.79999999999998,1,155.92,1,0.76384777,1781122702000,2013230647701297
2013231708,gps,55.536229999999996,37.51119166666667,1,1.5,1,180.79999999999998,1,146.43,1,0.66862416,1781122703000,2013231649243990
2013232715,gps,55.53622166666667,37.511201666666665,1,1.5,1,180.9,1,141.79,1,0.7736275,1781122704000,2013232672488913
2013233710,gps,55.536213333333336,37.51121166666667,1,1.5,1,181.0,1,136.43,1,0.917235,1781122705000,2013233648976682
2013234703,gps,55.53620666666667,37.511223333333334,1,1.5,1,181.1,1,124.12,1,0.71700805,1781122706000,2013234649566528
2013235709,gps,55.53620166666666,37.51123166666666,1,1.5,1,181.0,1,120.68,1,0.7267878,1781122707000,2013235647127144
2013236712,gps,55.536195,37.51124166666667,1,1.5,1,181.1,1,132.2,1,0.78392196,1781122708000,2013236647998144
2013237715,gps,55.536190000000005,37.511253333333336,1,1.5,1,181.29999999999998,1,125.5,1,0.731935,1781122709000,2013237649804605
2013238715,gps,55.536184999999996,37.511268333333334,1,1.5,1,181.6,1,108.01,1,0.93833864,1781122710000,2013238648975990
2013239714,gps,55.536179999999995,37.51128166666667,1,1.5,1,181.79999999999998,1,132.22,1,0.4097189,1781122711000,2013239652772990
2013240305,network,55.5355435,37.5132422,1,122.4,1,184.20001220703125,0,0.0,0,0.0,1781122696813,2013225456000000
2013240708,gps,55.53617666666667,37.51129,1,1.4,1,181.6,1,114.11,1,0.7247289,1781122712000,2013240649001836
2013241713,gps,55.53617666666667,37.51129666666667,1,1.4,1,181.5,1,94.8,1,0.71289027,1781122713000,2013241651306836
2013242697,gps,55.53617666666667,37.51130666666666,1,1.4,1,181.5,1,97.95,1,0.69436026,1781122714000,2013242647932375
2013243718,gps,55.53617333333333,37.51132166666666,1,1.4,1,181.5,1,102.01,1,0.6655358,1781122715000,2013243653272298
2013244711,gps,55.53616999999999,37.51133333333333,1,1.4,1,181.5,1,105.6,1,0.65627086,1781122716000,2013244652006452
