orientation,mtk,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2013220377,0,244.03818,-20.03158,-5.357168
2013220388,0,237.8709,-20.206211,-5.252142
2013220398,0,230.86201,-20.29932,-5.226346
2013220408,0,223.5738,-20.370554,-5.267511
2013220418,0,216.227,-20.10838,-5.253044
2013220428,0,208.90195,-19.871704,-5.241872
2013220438,0,201.18755,-19.7632,-5.204997
2013220448,0,201.14891,-19.686916,-5.071294
2013220458,0,201.0929,-19.85935,-5.098455
2013220468,0,200.89677,-19.86891,-5.15032
2013220478,0,200.75864,-19.867355,-5.146863
2013220488,0,200.81767,-19.860773,-5.147864
2013220498,0,200.8474,-19.85284,-5.145553
2013220508,0,200.79185,-19.844168,-5.146375
2013220519,0,200.67662,-19.83407,-5.145491
2013220529,0,200.62863,-19.824284,-5.143764
2013220539,0,200.57457,-19.82036,-5.14297
2013220549,0,200.5334,-19.819788,-5.141719
2013220559,0,200.48558,-19.826933,-5.139871
2013220569,0,200.43431,-19.840796,-5.138772
2013220579,0,200.3816,-19.850302,-5.136866
2013220589,0,200.32854,-19.85524,-5.134293
2013220599,0,200.27457,-19.85923,-5.132869
2013220609,0,200.22156,-19.863737,-5.134429
2013220619,0,200.17067,-19.862667,-5.137768
2013220629,0,200.12053,-19.858122,-5.143492
2013220639,0,200.06895,-19.853252,-5.147778
2013220649,0,200.01501,-19.848772,-5.152862
2013220660,0,199.95459,-19.843113,-5.157892
2013220670,0,199.89487,-19.83726,-5.166885
2013220680,0,199.83795,-19.833935,-5.179225
2013220690,0,199.78374,-19.83363,-5.190868
2013220700,0,199.72859,-19.832657,-5.198083
2013220710,0,199.67184,-19.825245,-5.200693
2013220720,0,199.61258,-19.814445,-5.198146
2013220730,0,199.54991,-19.804682,-5.191944
2013220740,0,199.4907,-19.790613,-5.186935
2013220750,0,199.4286,-19.776974,-5.182404
2013220760,0,199.36594,-19.763872,-5.182833
2013220770,0,199.29819,-19.753675,-5.18191
2013220780,0,199.22722,-19.746311,-5.182121
2013220791,0,199.15868,-19.750444,-5.176342
2013220801,0,199.09831,-19.764277,-5.175359
2013220811,0,199.04726,-19.782167,-5.174474
2013220821,0,199.00623,-19.798002,-5.177261
2013220831,0,198.9755,-19.80919,-5.181946
2013220841,0,198.9491,-19.80874,-5.183093
2013220851,0,198.92805,-19.80375,-5.185129
2013220861,0,198.91312,-19.79248,-5.18487
2013220871,0,198.90277,-19.779627,-5.186271
2013220881,0,198.89412,-19.779068,-5.188944
2013220891,0,198.88814,-19.789743,-5.190508
2013220901,0,198.88348,-19.804678,-5.189022
2013220911,0,198.87787,-19.826271,-5.178136
2013220921,0,198.87598,-19.863161,-5.16105
2013220932,0,198.88177,-19.921701,-5.139974
2013220942,0,198.8977,-19.997675,-5.115132
2013220952,0,198.92076,-20.088825,-5.09126
2013220962,0,198.94872,-20.200218,-5.057611
2013220972,0,198.982,-20.3271,-5.002341
2013220982,0,199.01811,-20.459549,-4.9173
2013220992,0,199.0538,-20.61388,-4.797565
2013221002,0,199.08167,-20.79781,-4.652136
2013221012,0,199.10013,-21.006372,-4.496291
2013221022,0,199.1056,-21.192482,-4.340893
2013221032,0,199.10052,-21.341133,-4.204862
2013221042,0,199.0882,-21.445995,-4.099448
2013221052,0,199.07397,-21.480219,-4.052901
2013221063,0,199.07222,-21.46462,-4.094425
2013221073,0,199.1126,-21.478312,-4.22057
2013221083,0,199.21745,-21.483221,-4.410126
2013221093,0,199.38647,-21.411844,-4.632524
2013221103,0,199.62025,-21.264133,-4.880257
2013221113,0,199.91931,-21.076159,-5.152327
2013221123,0,200.28612,-20.863346,-5.453777
2013221133,0,200.71927,-20.611835,-5.797108
2013221143,0,201.21225,-20.330132,-6.191405
2013221153,0,201.74478,-20.000248,-6.623201
2013221163,0,202.30327,-19.68921,-7.090553
2013221173,0,202.88957,-19.358723,-7.577739
2013221183,0,203.50435,-18.995264,-8.08144
2013221193,0,204.13272,-18.560543,-8.574304
2013221204,0,204.7651,-18.20244,-9.05859
2013221214,0,205.40091,-17.95225,-9.537922
2013221224,0,206.03618,-17.801367,-10.010445
2013221234,0,206.66684,-17.736097,-10.465549
2013221244,0,207.2952,-17.747269,-10.96407
2013221254,0,207.90414,-17.678854,-11.416549
2013221264,0,208.49524,-17.608425,-11.879231
2013221274,0,209.08846,-17.517544,-12.440389
2013221284,0,209.68823,-17.449326,-13.017589
2013221294,0,210.28577,-17.393217,-13.598872
2013221304,0,210.87012,-17.31402,-14.150864
2013221314,0,211.43167,-17.233038,-14.662494
2013221324,0,211.9614,-17.189463,-15.141015
2013221334,0,212.46785,-17.186975,-15.567538
2013221345,0,212.94627,-17.233988,-15.965503
2013221355,0,213.38481,-17.334082,-16.318956
2013221365,0,213.78119,-17.498667,-16.613197
2013221375,0,214.13107,-17.672203,-16.89146
2013221385,0,214.44687,-17.897694,-17.183414
2013221395,0,214.74591,-18.203815,-17.483576
2013221405,0,215.02725,-18.574387,-17.745861
2013221501,0,215.64917,-26.079273,-19.344028
2013221511,0,216.28181,-27.137812,-19.436197
2013221521,0,216.9194,-28.21939,-19.425253
2013221531,0,217.50711,-29.216085,-19.032759
2013221541,0,218.04514,-30.142828,-18.66235
2013221551,0,218.54588,-31.056131,-18.46698
2013221561,0,219.02878,-31.984062,-18.471443
2013221571,0,219.51273,-32.996197,-18.530815
2013221581,0,219.61641,-33.91205,-18.486607
2013221591,0,219.65355,-34.700436,-18.443249
2013221601,0,219.63316,-35.437317,-18.440458
2013221612,0,219.25044,-34.440548,-17.712053
2013221622,0,218.73143,-34.77797,-17.208538
2013221632,0,218.29456,-36.69594,-16.791206
2013221642,0,217.39638,-36.690887,-15.065013
2013221652,0,214.9241,-30.475733,-11.321592
2013221662,0,211.65576,-27.58479,-8.808447
2013221672,0,207.85814,-25.039186,-7.065046
2013221682,0,203.68762,-22.514639,-5.873284
2013221692,0,199.57025,-20.307627,-4.725518
2013221702,0,195.31702,-18.551548,-3.424501
2013221712,0,190.7201,-17.193953,-2.074521
2013221722,0,186.32376,-16.082186,-0.794257
2013221732,0,183.24966,-15.177802,0.389321
2013221742,0,180.77878,-14.370218,1.415752
2013221753,0,178.6968,-13.647027,2.207075
2013221763,0,176.85219,-13.226712,2.955439
2013221773,0,175.23839,-12.691326,3.250626
2013221783,0,173.88907,-12.133804,3.043762
2013221793,0,172.78839,-11.984775,2.664859
2013221803,0,171.85733,-12.438929,2.599674
